Capacitance(pF),Loss (nSiemens),Timestamp (24hr)
1.19741,0.00088,14:26:24
1.19743,0.00082,14:26:26
1.19749,0.00082,14:26:28
1.19755,0.00069,14:26:31
1.19758,0.00094,14:26:33
1.19764,0.00088,14:26:35
1.19768,0.00082,14:26:37
1.19769,0.00082,14:26:39
1.19775,0.00069,14:26:41
1.19777,0.00075,14:26:43
1.197828,0.00086,14:26:45
1.19787,0.00075,14:26:47
NaN,NaN,14:26:50
NaN,NaN,14:26:52
NaN,NaN,14:26:55
NaN,NaN,14:26:57
NaN,NaN,14:26:59
NaN,NaN,14:27:02
NaN,NaN,14:27:04
NaN,NaN,14:27:07
NaN,NaN,14:27:09
NaN,NaN,14:27:11
NaN,NaN,14:27:14
NaN,NaN,14:27:16
NaN,NaN,14:27:19
NaN,NaN,14:27:21
NaN,NaN,14:27:24
NaN,NaN,14:27:26
NaN,NaN,14:27:28
NaN,NaN,14:27:31
NaN,NaN,14:27:33
NaN,NaN,14:27:36
NaN,NaN,14:27:38
NaN,NaN,14:27:41
NaN,NaN,14:27:43
NaN,NaN,14:27:45
NaN,NaN,14:27:48
NaN,NaN,14:27:50
NaN,NaN,14:27:53
NaN,NaN,14:27:55
NaN,NaN,14:27:58
NaN,NaN,14:28:00
1.19849,0.00069,14:28:02
1.19849,0.00075,14:28:04
1.19851,0.00069,14:28:06
1.19851,0.00088,14:28:08
1.1985,0.00082,14:28:10
1.19849,0.00082,14:28:12
1.19848,0.00075,14:28:13
1.19848,0.00082,14:28:16
1.19851,0.00082,14:28:18
1.19851,0.00082,14:28:21
1.19848,0.00069,14:28:23
NaN,NaN,14:28:25
1.19847,0.00082,14:28:27
1.19847,0.00082,14:28:30
1.19847,0.00069,14:28:31
1.19845,0.00082,14:28:33
1.19845,0.00082,14:28:35
1.19845,0.00063,14:28:37
1.19841,0.00075,14:28:39
1.19841,0.00063,14:28:41
1.19839,0.00082,14:28:43
1.19838,0.00075,14:28:45
1.19835,0.00075,14:28:47
1.19836,0.00082,14:28:49
1.19833,0.00107,14:28:50
1.19832,0.00082,14:28:52
1.19829,0.00082,14:28:54
1.19827,0.00082,14:28:56
1.19827,0.00063,14:28:58
1.19823,0.00082,14:29:00
1.19821,0.00057,14:29:02
1.19819,0.00082,14:29:04
1.19818,0.00088,14:29:06
1.19814,0.00069,14:29:07
1.19813,0.00082,14:29:09
1.19809,0.00077,14:29:11
1.198069,0.00069,14:29:13
