Capacitance(pF),Loss (nSiemens),Timestamp (24hr)
1.117579,0.00027,16:23:33
1.117575,0.00027,16:23:34
1.117569,0.00027,16:23:35
1.117562,0.000276,16:23:36
1.117558,0.00027,16:23:37
1.117551,0.00027,16:23:38
1.117545,0.00027,16:23:39
1.11754,0.000258,16:23:40
1.117534,0.00027,16:23:41
1.117529,0.00027,16:23:42
1.117522,0.00027,16:23:43
1.117517,0.000276,16:23:44
1.117512,0.00027,16:23:45
1.117505,0.00027,16:23:45
1.1175,0.000276,16:23:46
1.117494,0.000276,16:23:47
1.117489,0.00027,16:23:48
1.117483,0.00027,16:23:49
1.117478,0.000276,16:23:50
1.117472,0.00027,16:23:51
1.117466,0.000276,16:23:52
1.117465,0.00027,16:23:53
1.117457,0.00027,16:23:54
1.117455,0.000245,16:23:55
1.117447,0.00027,16:23:56
1.117443,0.000264,16:23:57
1.117438,0.00027,16:23:58
1.117433,0.000264,16:23:59
1.117428,0.000264,16:24:00
1.117421,0.00027,16:24:01
1.117416,0.00027,16:24:02
1.117409,0.000276,16:24:03
1.117405,0.00027,16:24:03
1.117398,0.00027,16:24:04
1.117393,0.000276,16:24:05
1.117387,0.00027,16:24:06
1.11738,0.00027,16:24:07
1.117376,0.00027,16:24:08
1.11737,0.00027,16:24:09
1.117364,0.00027,16:24:10
1.117358,0.00027,16:24:11
1.117352,0.00027,16:24:12
1.117347,0.00027,16:24:13
1.117343,0.000276,16:24:14
1.117336,0.000264,16:24:15
1.117331,0.000264,16:24:16
1.117326,0.000264,16:24:17
1.117318,0.000276,16:24:18
1.117314,0.00027,16:24:19
1.117309,0.000264,16:24:20
1.117304,0.000276,16:24:20
1.117298,0.000264,16:24:21
1.117292,0.00027,16:24:22
1.117285,0.00027,16:24:23
1.11728,0.000264,16:24:24
1.117275,0.00027,16:24:25
1.117268,0.000264,16:24:26
1.117262,0.00027,16:24:27
1.117257,0.00027,16:24:28
1.117253,0.00027,16:24:29
1.117247,0.00027,16:24:30
1.117241,0.00027,16:24:31
1.117234,0.00027,16:24:32
1.117229,0.00027,16:24:33
1.117224,0.00027,16:24:34
1.117218,0.00027,16:24:35
1.117212,0.000264,16:24:36
1.117206,0.000264,16:24:37
1.117201,0.00027,16:24:37
1.117195,0.00027,16:24:38
1.117189,0.00027,16:24:39
1.117184,0.000276,16:24:40
1.117178,0.00027,16:24:41
1.117172,0.000276,16:24:42
1.117166,0.000258,16:24:43
1.117161,0.000276,16:24:44
1.117155,0.00027,16:24:45
1.117151,0.00027,16:24:46
1.117144,0.000264,16:24:47
1.11714,0.000264,16:24:48
1.117136,0.000276,16:24:49
1.117129,0.00027,16:24:50
1.117122,0.000264,16:24:51
1.117117,0.000264,16:24:52
1.11711,0.000276,16:24:53
1.117104,0.00027,16:24:54
1.117098,0.00027,16:24:54
1.117095,0.00027,16:24:55
1.117087,0.00027,16:24:56
1.117084,0.000264,16:24:57
1.117079,0.00027,16:24:58
1.117072,0.00027,16:24:59
1.117066,0.00027,16:25:00
1.11706,0.00027,16:25:01
1.117054,0.000264,16:25:02
1.117048,0.00027,16:25:03
1.117042,0.00027,16:25:04
1.117037,0.00027,16:25:05
1.117031,0.000264,16:25:06
1.117026,0.00027,16:25:07
1.11702,0.000276,16:25:08
1.117014,0.000264,16:25:09
1.11701,0.00027,16:25:10
1.117004,0.000258,16:25:11
1.116998,0.000264,16:25:12
1.116991,0.000264,16:25:12
1.116987,0.000258,16:25:13
1.116981,0.000264,16:25:14
1.116974,0.00027,16:25:15
1.11697,0.00027,16:25:16
1.116964,0.000264,16:25:17
1.116959,0.00027,16:25:18
1.116955,0.00027,16:25:19
1.116949,0.000264,16:25:20
1.116944,0.00027,16:25:21
1.116937,0.00027,16:25:22
1.11693,0.000264,16:25:23
1.116925,0.00027,16:25:24
1.116919,0.000276,16:25:25
1.116914,0.000264,16:25:26
1.116908,0.00027,16:25:27
1.116903,0.00027,16:25:28
1.116898,0.000264,16:25:29
1.116893,0.000264,16:25:29
1.116885,0.00027,16:25:30
1.11688,0.000264,16:25:31
1.116875,0.000264,16:25:32
1.116867,0.00027,16:25:33
1.116864,0.00027,16:25:34
1.116858,0.00027,16:25:35
1.116853,0.00027,16:25:36
1.116848,0.000283,16:25:37
