Capacitance(pF),Loss (nSiemens),Timestamp (24hr)
1.188428,0.002344,10:39:17
1.188428,0.002344,10:39:18
1.188427,0.002356,10:39:19
1.188429,0.00235,10:39:20
1.18843,0.00235,10:39:21
1.188431,0.002356,10:39:22
1.188435,0.002362,10:39:23
1.188442,0.00235,10:39:24
1.188435,0.00235,10:39:25
1.188431,0.002344,10:39:26
1.188426,0.002344,10:39:27
1.188423,0.002318,10:39:28
1.188418,0.002325,10:39:28
1.188416,0.002331,10:39:29
1.188415,0.002318,10:39:30
1.188415,0.002312,10:39:31
1.188415,0.002331,10:39:32
1.188417,0.002325,10:39:33
1.188416,0.002312,10:39:34
1.188415,0.002318,10:39:35
1.188409,0.002318,10:39:36
1.188404,0.002325,10:39:37
1.188407,0.002306,10:39:38
1.188403,0.0023,10:39:39
1.188406,0.002312,10:39:40
1.188403,0.0023,10:39:41
1.188395,0.002312,10:39:42
1.188394,0.002312,10:39:43
1.188395,0.002318,10:39:44
1.18839,0.002318,10:39:45
1.188397,0.0023,10:39:46
1.188391,0.002312,10:39:47
1.188396,0.002312,10:39:48
1.188389,0.002318,10:39:48
1.18839,0.002325,10:39:49
1.188391,0.002331,10:39:50
1.188393,0.002331,10:39:51
1.188391,0.002337,10:39:52
1.18839,0.00235,10:39:53
1.18839,0.002344,10:39:54
1.188388,0.00235,10:39:55
1.188388,0.002344,10:39:56
1.188386,0.002356,10:39:57
1.188385,0.00235,10:39:58
1.188385,0.002369,10:39:59
1.188384,0.002375,10:40:00
1.188393,0.002356,10:40:01
1.188391,0.002362,10:40:02
1.188383,0.002356,10:40:03
1.188378,0.002356,10:40:04
1.188378,0.002356,10:40:05
1.188378,0.002344,10:40:05
1.188379,0.00235,10:40:06
1.188379,0.00235,10:40:07
1.188375,0.00235,10:40:08
1.188371,0.002344,10:40:09
1.18837,0.002337,10:40:10
1.188369,0.00235,10:40:11
1.188368,0.00235,10:40:12
1.18837,0.00235,10:40:13
1.188369,0.002337,10:40:14
1.18837,0.002356,10:40:15
1.188369,0.00235,10:40:16
1.18837,0.002344,10:40:17
1.188371,0.00235,10:40:18
1.18838,0.002362,10:40:19
1.18838,0.002356,10:40:20
1.188378,0.002344,10:40:21
1.188377,0.002344,10:40:22
1.188372,0.002337,10:40:23
1.188368,0.002337,10:40:23
1.188371,0.002325,10:40:24
1.188368,0.002337,10:40:25
1.188365,0.002337,10:40:26
1.188373,0.002325,10:40:27
1.188371,0.002318,10:40:28
1.188363,0.002325,10:40:29
