NA, FW_VERSION, FW_DATE 
HP8720D,07.74,"Oct 30, 2002"
DATE, TIME,
"13 Dec 2024 ","15:43:12",
CHAN,MEAS,FORMAT
1,S21,LOG_MAG
CHAN_START_FREQ,CHAN_STOP_FREQ,
50000000,1000000000,
POINTS, POWER, IF_BW
1601,0E0,3000
FREQUENCY,UNITS,
Hz,dB,
50000000, .094,
50593750, .089,
51187500, .079,
51781250, .074,
52375000, .072,
52968750, .060,
53562500, .091,
54156250, .056,
54750000, .062,
55343750, .033,
55937500, .037,
56531250, .031,
57125000, .021,
57718750, .024,
58312500, .031,
58906250, .016,
59500000,-.001,
60093750, .001,
60687500,-.001,
61281250, .005,
61875000, .007,
62468750,-.002,
63062500,-.010,
63656250,-.010,
64250000, .018,
64843750,-.010,
65437500,-.018,
66031250,-.025,
66625000,-.029,
67218750,-.042,
67812500,-.044,
68406250,-.061,
69000000,-.065,
69593750,-.068,
70187500,-.090,
70781250,-.068,
71375000,-.085,
71968750,-.093,
72562500,-.117,
73156250,-.100,
73750000,-.113,
74343750,-.121,
74937500,-.123,
75531250,-.119,
76125000,-.126,
76718750,-.140,
77312500,-.147,
77906250,-.161,
78500000,-.147,
79093750,-.141,
79687500,-.160,
80281250,-.196,
80875000,-.180,
81468750,-.198,
82062500,-.229,
82656250,-.212,
83250000,-.226,
83843750,-.224,
84437500,-.228,
85031250,-.228,
85625000,-.223,
86218750,-.229,
86812500,-.255,
87406250,-.240,
88000000,-.258,
88593750,-.254,
89187500,-.283,
89781250,-.275,
90375000,-.300,
90968750,-.306,
91562500,-.308,
92156250,-.328,
92750000,-.338,
93343750,-.318,
93937500,-.345,
94531250,-.338,
95125000,-.360,
95718750,-.370,
96312500,-.397,
96906250,-.384,
97500000,-.391,
98093750,-.412,
98687500,-.429,
99281250,-.435,
99875000,-.456,
100468750,-.462,
101062500,-.456,
101656250,-.467,
102250000,-.487,
102843750,-.498,
103437500,-.525,
104031250,-.514,
104625000,-.539,
105218750,-.551,
105812500,-.556,
106406250,-.571,
107000000,-.590,
107593750,-.591,
108187500,-.610,
108781250,-.620,
109375000,-.627,
109968750,-.647,
110562500,-.661,
111156250,-.678,
111750000,-.690,
112343750,-.711,
112937500,-.717,
113531250,-.746,
114125000,-.755,
114718750,-.773,
115312500,-.792,
115906250,-.812,
116500000,-.825,
117093750,-.830,
117687500,-.845,
118281250,-.874,
118875000,-.896,
119468750,-.903,
120062500,-.902,
120656250,-.938,
121250000,-.958,
121843750,-.983,
122437500,-.997,
123031250,-1.018,
123625000,-1.037,
124218750,-1.059,
124812500,-1.081,
125406250,-1.108,
126000000,-1.123,
126593750,-1.151,
127187500,-1.158,
127781250,-1.191,
128375000,-1.202,
128968750,-1.241,
129562500,-1.253,
130156250,-1.277,
130750000,-1.314,
131343750,-1.325,
131937500,-1.361,
132531250,-1.385,
133125000,-1.421,
133718750,-1.450,
134312500,-1.476,
134906250,-1.508,
135500000,-1.538,
136093750,-1.562,
136687500,-1.573,
137281250,-1.617,
137875000,-1.645,
138468750,-1.662,
139062500,-1.713,
139656250,-1.743,
140250000,-1.778,
140843750,-1.800,
141437500,-1.827,
142031250,-1.873,
142625000,-1.914,
143218750,-1.936,
143812500,-1.989,
144406250,-2.021,
145000000,-2.055,
145593750,-2.109,
146187500,-2.149,
146781250,-2.186,
147375000,-2.237,
147968750,-2.282,
148562500,-2.313,
149156250,-2.363,
149750000,-2.409,
150343750,-2.451,
150937500,-2.498,
151531250,-2.546,
152125000,-2.593,
152718750,-2.649,
153312500,-2.697,
153906250,-2.747,
154500000,-2.802,
155093750,-2.863,
155687500,-2.929,
156281250,-2.975,
156875000,-3.028,
157468750,-3.102,
158062500,-3.159,
158656250,-3.222,
159250000,-3.286,
159843750,-3.348,
160437500,-3.406,
161031250,-3.476,
161625000,-3.535,
162218750,-3.617,
162812500,-3.683,
163406250,-3.758,
164000000,-3.830,
164593750,-3.897,
165187500,-3.968,
165781250,-4.049,
166375000,-4.138,
166968750,-4.225,
167562500,-4.288,
168156250,-4.391,
168750000,-4.476,
169343750,-4.564,
169937500,-4.648,
170531250,-4.745,
171125000,-4.852,
171718750,-4.975,
172312500,-5.082,
172906250,-5.147,
173500000,-5.245,
174093750,-5.355,
174687500,-5.482,
175281250,-5.590,
175875000,-5.706,
176468750,-5.832,
177062500,-5.951,
177656250,-6.083,
178250000,-6.209,
178843750,-6.337,
179437500,-6.461,
180031250,-6.615,
180625000,-6.754,
181218750,-6.883,
181812500,-7.061,
182406250,-7.210,
183000000,-7.359,
183593750,-7.519,
184187500,-7.699,
184781250,-7.855,
185375000,-8.068,
185968750,-8.244,
186562500,-8.437,
187156250,-8.626,
187750000,-8.856,
188343750,-9.021,
188937500,-9.279,
189531250,-9.493,
190125000,-9.717,
190718750,-9.957,
191312500,-10.207,
191906250,-10.46,
192500000,-10.727,
193093750,-11.033,
193687500,-11.343,
194281250,-11.626,
194875000,-11.928,
195468750,-12.34,
196062500,-12.7,
196656250,-13.04,
197250000,-13.436,
197843750,-13.821,
198437500,-14.252,
199031250,-14.724,
199625000,-15.208,
200218750,-15.706,
200812500,-16.257,
201406250,-16.85,
202000000,-17.521,
202593750,-18.343,
203187500,-19.099,
203781250,-19.82,
204375000,-20.727,
204968750,-21.75,
205562500,-22.899,
206156250,-24.226,
206750000,-25.778,
207343750,-27.612,
207937500,-29.793,
208531250,-32.277,
209125000,-34.476,
209718750,-34.595,
210312500,-32.384,
210906250,-29.863,
211500000,-27.656,
212093750,-25.851,
212687500,-24.349,
213281250,-22.897,
213875000,-21.723,
214468750,-20.685,
215062500,-19.741,
215656250,-18.911,
216250000,-18.119,
216843750,-17.371,
217437500,-16.764,
218031250,-16.19,
218625000,-15.568,
219218750,-15.041,
219812500,-14.567,
220406250,-14.088,
221000000,-13.623,
221593750,-13.201,
222187500,-12.749,
222781250,-12.385,
223375000,-12.037,
223968750,-11.678,
224562500,-11.369,
225156250,-11.07,
225750000,-10.785,
226343750,-10.505,
226937500,-10.217,
227531250,-9.941,
228125000,-9.696,
228718750,-9.452,
229312500,-9.237,
229906250,-9.044,
230500000,-8.699,
231093750,-8.479,
231687500,-8.258,
232281250,-8.073,
232875000,-7.864,
233468750,-7.671,
234062500,-7.488,
234656250,-7.309,
235250000,-7.132,
235843750,-6.981,
236437500,-6.812,
237031250,-6.640,
237625000,-6.487,
238218750,-6.330,
238812500,-6.180,
239406250,-6.044,
240000000,-5.907,
240593750,-5.772,
241187500,-5.630,
241781250,-5.504,
242375000,-5.392,
242968750,-5.273,
243562500,-5.146,
244156250,-5.030,
244750000,-4.905,
245343750,-4.825,
245937500,-4.712,
246531250,-4.610,
247125000,-4.511,
247718750,-4.421,
248312500,-4.317,
248906250,-4.228,
249500000,-4.150,
250093750,-4.043,
250687500,-3.954,
251281250,-3.865,
251875000,-3.782,
252468750,-3.706,
253062500,-3.618,
253656250,-3.542,
254250000,-3.462,
254843750,-3.391,
255437500,-3.312,
256031250,-3.232,
256625000,-3.168,
257218750,-3.099,
257812500,-3.033,
258406250,-2.968,
259000000,-2.908,
259593750,-2.838,
260187500,-2.778,
260781250,-2.727,
261375000,-2.668,
261968750,-2.609,
262562500,-2.553,
263156250,-2.507,
263750000,-2.452,
264343750,-2.398,
264937500,-2.349,
265531250,-2.298,
266125000,-2.244,
266718750,-2.204,
267312500,-2.150,
267906250,-2.108,
268500000,-2.063,
269093750,-2.019,
269687500,-1.971,
270281250,-1.935,
270875000,-1.898,
271468750,-1.85,
272062500,-1.805,
272656250,-1.780,
273250000,-1.741,
273843750,-1.705,
274437500,-1.658,
275031250,-1.625,
275625000,-1.598,
276218750,-1.561,
276812500,-1.524,
277406250,-1.483,
278000000,-1.453,
278593750,-1.411,
279187500,-1.389,
279781250,-1.364,
280375000,-1.326,
280968750,-1.298,
281562500,-1.271,
282156250,-1.248,
282750000,-1.209,
283343750,-1.193,
283937500,-1.167,
284531250,-1.147,
285125000,-1.114,
285718750,-1.096,
286312500,-1.092,
286906250,-1.044,
287500000,-1.026,
288093750,-.999,
288687500,-.983,
289281250,-.964,
289875000,-.935,
290468750,-.916,
291062500,-.890,
291656250,-.874,
292250000,-.851,
292843750,-.845,
293437500,-.812,
294031250,-.803,
294625000,-.771,
295218750,-.765,
295812500,-.746,
296406250,-.725,
297000000,-.715,
297593750,-.690,
298187500,-.678,
298781250,-.659,
299375000,-.642,
299968750,-.610,
300562500,-.605,
301156250,-.597,
301750000,-.579,
302343750,-.562,
302937500,-.553,
303531250,-.550,
304125000,-.532,
304718750,-.516,
305312500,-.511,
305906250,-.487,
306500000,-.486,
307093750,-.463,
307687500,-.457,
308281250,-.441,
308875000,-.435,
309468750,-.423,
310062500,-.400,
310656250,-.396,
311250000,-.397,
311843750,-.371,
312437500,-.377,
313031250,-.356,
313625000,-.357,
314218750,-.340,
314812500,-.333,
315406250,-.331,
316000000,-.304,
316593750,-.308,
317187500,-.300,
317781250,-.292,
318375000,-.277,
318968750,-.277,
319562500,-.273,
320156250,-.266,
320750000,-.262,
321343750,-.251,
321937500,-.247,
322531250,-.229,
323125000,-.222,
323718750,-.224,
324312500,-.208,
324906250,-.212,
325500000,-.209,
326093750,-.209,
326687500,-.206,
327281250,-.192,
327875000,-.202,
328468750,-.184,
329062500,-.198,
329656250,-.190,
330250000,-.178,
330843750,-.180,
331437500,-.173,
332031250,-.178,
332625000,-.191,
333218750,-.180,
333812500,-.183,
334406250,-.172,
335000000,-.173,
335593750,-.176,
336187500,-.171,
336781250,-.174,
337375000,-.181,
337968750,-.184,
338562500,-.184,
339156250,-.188,
339750000,-.197,
340343750,-.196,
340937500,-.206,
341531250,-.218,
342125000,-.217,
342718750,-.247,
343312500,-.233,
343906250,-.263,
344500000,-.261,
345093750,-.292,
345687500,-.294,
346281250,-.313,
346875000,-.349,
347468750,-.373,
348062500,-.405,
348656250,-.414,
349250000,-.450,
349843750,-.476,
350437500,-.504,
351031250,-.539,
351625000,-.582,
352218750,-.625,
352812500,-.666,
353406250,-.701,
354000000,-.721,
354593750,-.760,
355187500,-.793,
355781250,-.825,
356375000,-.844,
356968750,-.854,
357562500,-.883,
358156250,-.896,
358750000,-.905,
359343750,-.894,
359937500,-.895,
360531250,-.879,
361125000,-.859,
361718750,-.844,
362312500,-.845,
362906250,-.817,
363500000,-.794,
364093750,-.759,
364687500,-.725,
365281250,-.703,
365875000,-.685,
366468750,-.664,
367062500,-.636,
367656250,-.612,
368250000,-.593,
368843750,-.555,
369437500,-.530,
370031250,-.504,
370625000,-.481,
371218750,-.474,
371812500,-.449,
372406250,-.428,
373000000,-.405,
373593750,-.391,
374187500,-.368,
374781250,-.361,
375375000,-.353,
375968750,-.324,
376562500,-.325,
377156250,-.307,
377750000,-.284,
378343750,-.274,
378937500,-.264,
379531250,-.253,
380125000,-.246,
380718750,-.243,
381312500,-.227,
381906250,-.216,
382500000,-.198,
383093750,-.171,
383687500,-.181,
384281250,-.151,
384875000,-.140,
385468750,-.123,
386062500,-.128,
386656250,-.118,
387250000,-.103,
387843750,-.094,
