[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3959018282.13907,06/13/2025,11:17 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,Fe3O4,SAMPLE_MATERIAL
INFO,powder,SAMPLE_COMMENT
INFO,61.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Rotator,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.43,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,He3 temp,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3959018296.78337,180.604560852051,999.893371582031,,,6,,,,30.7262451900536,,,10,,,,,,,,,,,,,,,,,,,,,,179.990783691406,181.190139770508,999.893371582031,999.893371582031,,,6.39156770706177,,1,0,0,0,0.000457763671875,34.2131004333496,6,1,1,181.218338012695,0,180.372469450298,90.0000076293945,1,0.000834647273990485,2.9183933165313E-5,0.000837707814671603,2.91911461262265E-5,0.914201200008392,0.976284325122833,31.0386238098145,0,30,4,200,-0.000325401750160381,-0.397062569856644,-0.00434648478403687,2,,,,,,,,,,,,,,,,
,3959018317.74865,182.674842834473,999.893371582031,,,6,,,,30.7262451900536,,,10,,,,,,,,,,,,,,,,,,,,,,181.321182250977,183.844757080078,999.893371582031,999.893371582031,,,6.39337348937988,,1,0,0,0,0.0005340576171875,35.6793746948242,2,1,1,184.028503417969,0,182.470952351888,90.0000076293945,1,0.000820079476056607,2.86778087461855E-5,0.000823188028901896,2.86856026489959E-5,0.912901818752289,0.975678384304047,31.043083190918,5.57163190841675,30,4,200,-0.000348064204445109,-0.392717897891998,0.105473861098289,2,,,,,,,,,,,,,,,,
,3959018338.65402,185.780815124512,999.893371582031,,,6,,,,30.7262451900536,,,10,,,,,,,,,,,,,,,,,,,,,,184.155532836914,187.352127075195,999.893371582031,999.893371582031,,,6.395920753479,,1,0,0,0,0.0006103515625,35.6793746948242,2,1,1,187.406097412109,0,185.743860880534,90.0000076293945,1,0.000803223835804642,2.80914378178782E-5,0.000806367703043365,2.8099821584755E-5,0.911669850349426,0.975169003009796,31.0472450256348,0.101568512618542,30,4,200,-0.000327498710248619,-0.276897370815277,0.102542988955975,2,,,,,,,,,,,,,,,,
,3959018359.48036,189.211364746094,999.893371582031,,,6,,,,30.7262451900536,,,10,,,,,,,,,,,,,,,,,,,,,,187.569534301758,190.697662353516,999.893371582031,999.893371582031,,,6.39808654785156,,1,0,0,0,0.0003814697265625,35.6793746948242,2,1,1,190.85319519043,0,189.13328467475,90.0000076293945,1,0.000786709905831712,2.75161833692682E-5,0.000789838339531902,2.75240753918406E-5,0.910734474658966,0.97477787733078,31.050537109375,0.132217645645142,30,4,200,-0.000303346605505794,-0.27197602391243,0.0997296199202538,2,,,,,,,,,,,,,,,,
,3959018380.10731,192.618202209473,999.893371582031,,,6,,,,30.7262451900536,,,10,,,,,,,,,,,,,,,,,,,,,,190.918487548828,194.246765136719,999.893371582031,999.893371582031,,,6.40096044540405,,1,0,0,0,0.0003814697265625,35.190616607666,2,1,1,194.317916870117,0,192.603156195747,90.0000076293945,1,0.00077063856978966,2.69571628013666E-5,0.000773785821067297,2.69649776216668E-5,0.909471213817596,0.974359214305878,31.0551490783691,0,30,4,200,-0.000337849225616083,-0.267196774482727,0.0970483720302582,2,,,,,,,,,,,,,,,,
,3959018400.74878,196.041152954102,999.893371582031,,,6,,,,30.7262451900536,,,10,,,,,,,,,,,,,,,,,,,,,,194.428039550781,197.586196899414,999.893371582031,999.893371582031,,,6.40392398834228,,1,0,0,0,0.00030517578125,35.190616607666,2,1,1,197.654266357422,0,196.02786509196,90.0000076293945,1,0.000755153432525159,2.64186186545417E-5,0.000758362341155158,2.64278104389083E-5,0.908183038234711,0.973905801773071,31.0596656799316,0.132222011685371,30,4,200,-0.000293902296107262,-0.262406557798386,0.0945317596197128,2,,,,,,,,,,,,,,,,
,3959018421.4449,198.524726867676,999.893371582031,,,6,,,,30.7262451900536,,,10,,,,,,,,,,,,,,,,,,,,,,197.768463134766,199.255722045898,999.893371582031,999.893371582031,,,6.40469217300415,,1,0,0,0,0.00030517578125,35.190616607666,6,1,1,199.280990600586,0,198.664474487305,90.0000076293945,1,0.000744957081815027,2.60632263243967E-5,0.000748153399697144,2.60720465568399E-5,0.907636404037476,0.973899066448212,31.061861038208,0,30,4,200,-0.00029432782321237,-0.253020524978638,0.0975732356309891,2,,,,,,,,,,,,,,,,
,3959018442.21624,199.52188873291,999.893371582031,,,6,,,,30.7262451900536,,,10,,,,,,,,,,,,,,,,,,,,,,199.314743041992,199.723602294922,999.893371582031,999.893371582031,,,6.40509748458862,,1,0,0,0,0.0002288818359375,35.6793746948242,6,1,1,199.729034423828,0,199.557452731662,90.0000076293945,1,0.000742808416760401,2.59884299317966E-5,0.000746022146797037,2.59978601697941E-5,0.907477259635925,0.973762452602386,31.0624485015869,0,30,4,200,-0.000275432306807488,-0.253554672002792,0.095887765288353,2,,,,,,,,,,,,,,,,
,3959018462.9836,199.805488586426,999.893371582031,,,6,,,,30.7262451900536,,,10,,,,,,,,,,,,,,,,,,,,,,199.742065429687,199.866989135742,999.893371582031,999.893371582031,,,6.40561294555664,,1,0,0,0,0,36.1681327819824,5,1,1,199.868911743164,0,199.817977057563,90.0000076293945,1,0.000742336138808135,2.59726902760878E-5,0.000745557870526999,2.59816890297136E-5,0.907150030136108,0.973734557628632,31.0634841918945,0,30,4,200,-0.000253473670454696,-0.254473716020584,0.0947308093309402,2,,,,,,,,,,,,,,,,
,3959018483.13957,199.897644042969,999.893371582031,,,6,,,,30.7262451900536,,,10,,,,,,,,,,,,,,,,,,,,,,199.868911743164,199.926376342773,999.893371582031,999.893371582031,,,6.40633249282837,,1,0,0,0,7.62939453125E-5,35.6793746948242,5,1,1,199.926376342773,0,199.904451069079,90.0000076293945,1,0.000742217945694902,2.59686389854361E-5,0.000745449856650877,2.59779029116931E-5,0.907123267650604,0.97379457950592,31.0639114379883,0,30,4,200,-0.000280334264971316,-0.255262941122055,0.0938031300902367,2,,,,,,,,,,,,,,,,
