[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3958836636.53873,06/11/2025,8:50 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,Crystal H parra ab,SAMPLE_COMMENT
INFO,61.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,Flat plate,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.88,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,He3 temp,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3958836649.63561,299.929565429687,99.8897857666016,,,6,,,,31.0006631753545,,,1,,,,,,,,,,,,,,,,,,,,,,299.926422119141,299.936065673828,99.8897857666016,99.8897857666016,,,7.5451192855835,,1,0,0,0,0,33.7243423461914,1,1,1,299.932708740234,0,299.932176378038,,,4.02027601177613E-5,1.98139120581408E-6,4.02027727841362E-5,1.98139146540944E-6,0.972604513168335,0.97261118888855,31.0029792785645,0,30,4,200,-0.000112529683974572,-0.0535606257617474,0.130527094006538,1,,,,,,,,,,,,,,,,
,3958836666.61444,299.899963378906,99.8897857666016,,,6,,,,31.0006631753545,,,1,,,,,,,,,,,,,,,,,,,,,,299.860687255859,299.953033447266,99.8897857666016,99.8897857666016,,,7.53464555740356,,1,0,0,0,0.0154876708984375,33.2355842590332,6,1,1,299.847351074219,0,299.923967149523,,,4.00882262676263E-5,1.97626511898053E-6,4.00893263208116E-5,1.97626499334494E-6,0.964298009872436,0.9650759100914,30.9723320007324,0,30,4,200,0.00162748619914055,-0.038340263068676,0.14923532307148,1,,,,,,,,,,,,,,,,
,3958836676.72654,299.663772583008,99.8897857666016,,,6,,,,31.0006631753545,,,1,,,,,,,,,,,,,,,,,,,,,,299.515777587891,299.830841064453,99.8897857666016,99.8897857666016,,,7.52817583084106,,1,0,0,0,0.0164794921875,33.7243423461914,2,1,1,299.496704101562,0,299.69862874349,,,3.96957257022826E-5,1.95704831102097E-6,3.96968251074069E-5,1.95704792988901E-6,0.962445735931396,0.963194787502289,30.9721603393555,4.25796970375814E-5,30,4,200,0.000355121796019375,-0.0175897292792797,0.169191971421242,1,,,,,,,,,,,,,,,,
,3958836686.52978,299.267639160156,99.8897857666016,,,6,,,,31.0006631753545,,,1,,,,,,,,,,,,,,,,,,,,,,299.078277587891,299.496704101562,99.8897857666016,99.8897857666016,,,7.52170324325561,,1,0,0,0,0.0199127197265625,35.6793746948242,2,1,1,299.03857421875,0,299.305094401042,,,4.02458496158125E-5,1.9835292524668E-6,4.02458799304381E-5,1.98352972999432E-6,0.972339153289795,0.97235769033432,31.0045299530029,0,30,4,200,-0.000725577992852777,-0.024509659036994,0.163579598069191,1,,,,,,,,,,,,,,,,
,3958836696.29635,298.774505615234,99.8897857666016,,,6,,,,31.0006631753545,,,1,,,,,,,,,,,,,,,,,,,,,,298.543395996094,299.03369140625,99.8897857666016,99.8897857666016,,,7.5149245262146,,1,0,0,0,0.0197601318359375,33.2355842590332,2,1,1,298.515319824219,0,298.792778862847,,,4.02796905564969E-5,1.98520135373387E-6,4.02796914604908E-5,1.98520138593278E-6,0.972273051738739,0.972273290157318,31.0010890960693,0,30,4,200,-0.000647227454464883,-0.0307333208620548,0.157180041074753,1,,,,,,,,,,,,,,,,
,3958836706.28162,298.235595703125,99.8897857666016,,,6,,,,31.0006631753545,,,1,,,,,,,,,,,,,,,,,,,,,,297.979858398438,298.515319824219,99.8897857666016,99.8897857666016,,,7.50765085220337,,1,0,0,0,0.017852783203125,33.7243423461914,2,1,1,297.955871582031,0,298.269924926758,,,4.03006046085958E-5,1.98617998999834E-6,4.03006319102204E-5,1.98618037960795E-6,0.973233461380005,0.973251461982727,31.0044078826904,0.073128454387188,30,4,200,-0.000507702934555709,-0.0362290665507317,0.150968164205551,1,,,,,,,,,,,,,,,,
,3958836716.24795,297.66845703125,99.8897857666016,,,6,,,,31.0006631753545,,,1,,,,,,,,,,,,,,,,,,,,,,297.436279296875,297.955871582031,99.8897857666016,99.8897857666016,,,7.49987888336182,,1,0,0,0,0.0173187255859375,34.2131004333496,2,1,1,297.381042480469,0,297.724046495226,,,4.04298528292522E-5,1.99261409321615E-6,4.0429869628657E-5,1.99261443895073E-6,0.972051501274109,0.972060143947601,31.0033206939697,0,30,4,200,-0.000538600841537118,-0.0412490554153919,0.14628778398037,1,,,,,,,,,,,,,,,,
,3958836725.92732,297.079925537109,99.8897857666016,,,6,,,,31.0006631753545,,,1,,,,,,,,,,,,,,,,,,,,,,296.798461914063,297.381042480469,99.8897857666016,99.8897857666016,,,7.4911003112793,,1,0,0,0,0.017547607421875,33.7243423461914,2,1,1,296.77880859375,0,297.099009195964,,,4.05179167562889E-5,1.99694573968686E-6,4.05179335269837E-5,1.99694611391174E-6,0.972208261489868,0.972216427326202,31.0032329559326,5.35924434661865,30,4,200,-0.000473209569463506,-0.0457616969943047,0.142027348279953,1,,,,,,,,,,,,,,,,
,3958836744.47623,295.831192016602,99.8897857666016,,,6,,,,30.9948986901161,,,1,,,,,,,,,,,,,,,,,,,,,,295.530456542969,296.163360595703,99.8897857666016,99.8897857666016,,,7.47144174575806,,1,0,0,0,0.018768310546875,33.7243423461914,2,1,1,295.4990234375,0,295.864539252387,,,4.0740237611859E-5,2.00790660381626E-6,4.07404122227724E-5,2.00790859937404E-6,0.97214263677597,0.97226095199585,31.004695892334,0,30,4,200,-0.000356891745468602,-0.0529413893818855,0.134758681058884,1,,,,,,,,,,,,,,,,
,3958836754.83027,295.138259887695,99.8897857666016,,,6,,,,30.9948986901161,,,1,,,,,,,,,,,,,,,,,,,,,,294.850616455078,295.447296142578,99.8897857666016,99.8897857666016,,,7.45996046066284,,1,0,0,0,0.015411376953125,33.7243423461914,2,1,1,294.829223632812,0,295.174092610677,,,4.08562901759143E-5,2.01361482752264E-6,4.08564629960482E-5,2.01361654065484E-6,0.972355723381042,0.972478151321411,31.004825592041,5.56819772720337,30,4,200,-0.000344080501236022,-0.0564264729619026,0.1321040391922,1,,,,,,,,,,,,,,,,
