[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3958857952.72712,06/12/2025,2:45 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,Crystal H parra ab,SAMPLE_COMMENT
INFO,61.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,Flat plate,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.88,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,He3 temp,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3958857966.88868,299.936614990234,70000.1875,,,6,,,,31.0009978716298,,,1000,,,,,,,,,,,,,,,,,,,,,,299.932586669922,299.943054199219,70000.1875,70000.1875,,,8.06011962890625,,1,0,0,0,0.015411376953125,33.7243423461914,1,1,1,299.940643310547,0,299.939379882812,,,0.0272472165495641,0.00134286400555955,0.0272476752812379,0.00134286582233757,0.972999751567841,0.973578989505768,31.0222415924072,0,30,4,200,-4.26493897975888E-5,-0.110888831317425,0.0136743290349841,1,,,,,,,,,,,,,,,,
,3958857984.01385,299.891830444336,70000.1875,,,6,,,,31.0009978716298,,,1000,,,,,,,,,,,,,,,,,,,,,,299.852966308594,299.956329345703,70000.1875,70000.1875,,,8.04320430755615,,1,0,0,0,0,33.7243423461914,2,1,1,299.827331542969,0,299.922573513455,,,0.0272412471947993,0.00134256425808713,0.0272416971852908,0.00134256616432603,0.973143696784973,0.973711550235748,31.0219764709473,0,30,4,200,1.91501967492513E-5,-0.111347332596779,0.0134996585547924,1,,,,,,,,,,,,,,,,
,3958857993.69957,299.678421020508,70000.1875,,,6,,,,31.0009978716298,,,1000,,,,,,,,,,,,,,,,,,,,,,299.552947998047,299.824768066406,70000.1875,70000.1875,,,8.03298473358154,,1,0,0,0,0.0164031982421875,33.7243423461914,2,1,1,299.532073974609,0,299.700205485026,,,0.0272477869308993,0.00134289270631082,0.0272482571136154,0.001342894521493,0.972965180873871,0.973559617996216,31.0225296020508,0,30,4,200,-2.60051638178993E-5,-0.110926695168018,0.0137046137824655,1,,,,,,,,,,,,,,,,
,3958858003.60943,299.288009643555,70000.1875,,,6,,,,31.0009978716298,,,1000,,,,,,,,,,,,,,,,,,,,,,299.060791015625,299.515899658203,70000.1875,70000.1875,,,8.02313709259033,,1,0,0,0,0.0154876708984375,33.7243423461914,2,1,1,299.0439453125,0,299.29207695855,,,0.0272654521101893,0.00134376462862981,0.0272659168180672,0.00134376619348344,0.972942411899567,0.973535358905792,31.0225124359131,0,30,4,200,-3.62399769073818E-5,-0.110882498323917,0.0137773314490914,1,,,,,,,,,,,,,,,,
,3958858013.52067,298.810592651367,70000.1875,,,6,,,,31.0009978716298,,,1000,,,,,,,,,,,,,,,,,,,,,,298.621734619141,299.0439453125,70000.1875,70000.1875,,,8.01212024688721,,1,0,0,0,0.0167083740234375,33.2355842590332,2,1,1,298.577239990234,0,298.85437350803,,,0.0272930607043743,0.0013451282567872,0.0272935306135241,0.0013451300396122,0.972850859165192,0.973442196846008,31.0225219726562,0,30,4,200,-3.64570332749281E-5,-0.110949084162712,0.0138437198475003,1,,,,,,,,,,,,,,,,
,3958858023.18811,298.270706176758,70000.1875,,,6,,,,31.0009978716298,,,1000,,,,,,,,,,,,,,,,,,,,,,297.981689453125,298.577239990234,70000.1875,70000.1875,,,8.00161457061768,,1,0,0,0,0,33.2355842590332,2,1,1,297.964172363281,0,298.276896158854,,,0.027332322675413,0.00134706655246637,0.0273327916762315,0.00134706825831343,0.972774982452393,0.9733647108078,31.0225219726562,,30,4,200,-3.68343789887149E-5,-0.111077979207039,0.0139107890427113,1,,,,,,,,,,,,,,,,
,3958858033.23767,297.663208007812,70000.1875,,,6,,,,31.0009978716298,,,1000,,,,,,,,,,,,,,,,,,,,,,297.464202880859,297.958862304687,70000.1875,70000.1875,,,7.98779439926147,,1,0,0,0,0,31.7693061828613,2,1,1,297.367553710937,0,297.711958143446,,,0.0273834291217278,0.00134958668314902,0.027383891993864,0.00134958821900371,0.97272914648056,0.973313093185425,31.0224361419678,0.186620756983757,30,4,200,-3.70329180441331E-5,-0.111237376928329,0.0139952572062612,1,,,,,,,,,,,,,,,,
,3958858052.26636,296.495788574219,70000.1875,,,6,,,,30.9957240488514,,,1000,,,,,,,,,,,,,,,,,,,,,,296.211395263672,296.82275390625,70000.1875,70000.1875,,,7.9622278213501,,1,0,0,0,0.0189971923828125,33.2355842590332,2,1,1,296.168823242188,0,296.529276529948,,,0.0275201851651333,0.00135633892648871,0.0275209229260069,0.00135634212733593,0.972396194934845,0.973295867443085,31.0224227905273,0,30,4,200,-3.56950404238887E-5,-0.112791210412979,0.0141455745324492,1,,,,,,,,,,,,,,,,
,3958858061.95002,295.851058959961,70000.1875,,,6,,,,30.9957240488514,,,1000,,,,,,,,,,,,,,,,,,,,,,295.600036621094,296.160034179687,70000.1875,70000.1875,,,7.94780492782593,,1,0,0,0,0.0005340576171875,33.2355842590332,2,1,1,295.542083740234,0,295.901357014974,,,0.0275948960865233,0.00136002006856542,0.0275956321167261,0.00136002293644939,0.972421169281006,0.973326027393341,31.0224857330322,0,30,4,200,-3.65419036825188E-5,-0.113024041056633,0.0131965260952711,1,,,,,,,,,,,,,,,,
,3958858071.63976,295.191741943359,70000.1875,,,6,,,,30.9957240488514,,,1000,,,,,,,,,,,,,,,,,,,,,,294.895385742188,295.5205078125,70000.1875,70000.1875,,,7.93380260467529,,1,0,0,0,0.01922607421875,33.7243423461914,2,1,1,294.862976074219,0,295.229478624132,,,0.02767486428392,0.00136396052869987,0.0276755988836177,0.00136396306284254,0.972453773021698,0.973364293575287,31.0225505828857,0,30,4,200,-3.5008506529266E-5,-0.113277390599251,0.0133152818307281,1,,,,,,,,,,,,,,,,
