[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3958870910.7565,06/12/2025,6:21 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,Crystal H parra ab,SAMPLE_COMMENT
INFO,61.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,Flat plate,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.88,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,He3 temp,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3958870991.04674,1.80062556266785,0.849815845489502,3.25544560174541E-6,3.63846732218927E-8,1,2,16.9040756225586,5.00706001718116,30.7000000029802,0.00393613346799052,0.00109962165642301,100,4.64146939420131E-8,,,,,,,,,,,,,,,,,,,,,1.80062556266785,1.80062556266785,0.849815845489502,0.849815845489502,53.086645769121,7.69724752028151,1.8821759223938,34,1,0,0,1,0.477752685546875,35.6793746948242,1,1,1,1.80062556266785,0,1.80062556266785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3958870992.28213,1.80056917667389,0.849815845489502,3.32768416012048E-6,3.99352028749039E-8,1,2,16.9040756225586,5.00703297059604,30.7000000029802,0.00404503513013762,0.00104225530438207,100,-1.99210952178567E-8,,,,,,,,,,,,,,,,,,,,,1.80051279067993,1.80062556266785,0.849815845489502,0.849815845489502,53.2398449588903,7.69727971494913,1.8818793296814,34,2,0,0,1,0.468978881835937,35.6793746948242,1,1,1,1.80051279067993,0,1.80056917667389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3958871026.00078,1.80007719993591,1999.75036621094,0.0072424370694748,6.63074326050312E-7,1,2,16.9040756225586,5.00656904152129,30.7000000029802,8.78949700423191,2.317549468677,10,-2.60035296383609E-6,,,,,,,,,,,,,,,,,,,,,1.80007719993591,1.80007719993591,1999.75036621094,1999.75036621094,53.0874273976402,7.69955429532853,1.8815062046051,34,1,0,0,1,0.470352172851562,35.6793746948242,1,1,1,1.80007719993591,0,1.80007719993591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3958871027.06836,1.80042070150375,1999.75036621094,0.00724266319152677,5.82062949145899E-7,1,2,16.9040756225586,5.00649507255012,30.7000000029802,8.78955076949635,2.31772408113852,10,-2.47682762437626E-6,,,,,,,,,,,,,,,,,,,,,1.80007719993591,1.80076420307159,1999.75036621094,1999.75036621094,53.0694499416979,7.69980985244524,1.88525557518005,34,2,0,0,1,0.468597412109375,34.7018585205078,1,1,1,1.80076420307159,0,1.80042070150375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3958871056.66418,1.80152994394302,4000.21704101562,0.0149312045463426,7.11047570438232E-7,1,2,16.9040756225586,5.0064149955068,30.7000000029802,18.1196033297521,4.77879556536442,10,-4.472799702198E-6,,,,,,,,,,,,,,,,,,,,,1.80079019069672,1.80226969718933,4000.21704101562,4000.21704101562,52.9146874948902,7.69975203240227,1.90311360359192,34,1,0,0,1,0.468368530273438,35.190616607666,1,1,1,1.80079019069672,0,1.80152994394302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3958871058.70356,1.80172967910767,4000.21704101562,0.0149334929228875,1.32923255279407E-6,1,2,16.9040756225586,5.00619270576093,30.7000000029802,18.120878678312,4.7806705431505,10,-3.28798611952788E-6,,,,,,,,,,,,,,,,,,,,,1.80079019069672,1.80266916751862,4000.21704101562,4000.21704101562,53.0116094312748,7.70048630970077,1.90650653839111,34,2,0,0,1,0.46722412109375,35.6793746948242,1,1,1,1.80266916751862,0,1.80172967910767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3958871272.52131,1.80032300949097,6000.36767578125,0.0236371201006417,2.17637637228098E-6,1,2,16.9040756225586,5.00627285211931,30.7000000029802,28.6934778995972,7.52684125173825,100,-3.84144591056555E-5,,,,,,,,,,,,,,,,,,,,,1.80032300949097,1.80032300949097,6000.36767578125,6000.36767578125,53.0905539117171,7.70063143651064,1.89369058609009,34,1,0,0,1,0.470046997070313,36.6568908691406,1,1,1,1.80032300949097,0,1.80032300949097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3958871273.61553,1.7996774315834,6000.36767578125,0.0236371404677529,2.48515980743938E-6,1,2,16.9040756225586,5.00630947981489,30.7000000029802,28.6944079959201,7.52460425986069,100,-4.03266743291054E-5,,,,,,,,,,,,,,,,,,,,,1.79929888248444,1.80005598068237,6000.36767578125,6000.36767578125,53.0874273976402,7.70075854835773,1.88691186904907,34,2,0,0,1,0.470123291015625,37.6344108581543,1,1,1,1.79929888248444,0,1.7996774315834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3958871707.6759,1.80025708675385,8000.4091796875,0.033211466576002,4.22087853882094E-6,1,2,16.9040756225586,5.0056306183813,30.7000000029802,40.311901703276,10.561685513795,100,-6.39094245824279E-5,,,,,,,,,,,,,,,,,,,,,1.79839134216309,1.8021228313446,8000.4091796875,8000.4091796875,53.2046716755249,7.70272009278512,1.89909791946411,34,1,0,0,1,0.465927124023438,37.1456527709961,1,1,1,1.79839134216309,0,1.80025708675385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3958871710.0487,1.79822993278503,8000.4091796875,0.0332078875234195,4.22695112371029E-6,1,2,16.9040756225586,5.0056306183813,30.7000000029802,40.3062129723072,10.5656390231532,100,-5.97055486033327E-5,,,,,,,,,,,,,,,,,,,,,1.79806852340698,1.79839134216309,8000.4091796875,8000.4091796875,52.9834708045825,7.70272009278512,1.90235710144043,34,2,0,0,1,0.469894409179687,37.1456527709961,1,1,1,1.79806852340698,0,1.79822993278503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
