[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3958843200.76709,06/11/2025,10:39 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,Crystal H parra ab,SAMPLE_COMMENT
INFO,61.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,Flat plate,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.88,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,He3 temp,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3958846419.40365,1.84745138883591,70000.1875,,,6,,,,30.7191871727862,,,1000,,,,,,,,,,,,,,,,,,,,,,1.82093524932861,1.8666433095932,70000.1875,70000.1875,,,1.86981582641602,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,1.87036180496216,0,1.84015084505081,,,0.400222019068874,0.0197279989360985,0.40027484867951,0.0197281746941529,0.967405736446381,0.971426427364349,30.7790966033936,0,30,4,200,-0.00052892550593242,-1.62009334564209,0.21156632900238,1,,,,,,,,,,,,,,,,
,3958846430.09702,1.89260441064835,70000.1875,,,6,,,,30.7191871727862,,,1000,,,,,,,,,,,,,,,,,,,,,,1.86542546749115,1.91766333580017,70000.1875,70000.1875,,,1.89708518981934,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,1.91978335380554,0,1.88968602816264,,,0.400413123691458,0.0197372866890299,0.400466285809419,0.0197374630557322,0.967614948749542,0.971691429615021,30.7792797088623,0.230688899755478,30,4,200,-0.000575580925215036,-1.62238442897797,0.21124267578125,1,,,,,,,,,,,,,,,,
,3958846440.32912,1.94070899486542,70000.1875,,,6,,,,30.7191871727862,,,1000,,,,,,,,,,,,,,,,,,,,,,1.91585385799408,1.96276938915253,70000.1875,70000.1875,,,1.92262125015259,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,1.96556413173676,0,1.93802992502848,,,0.40024338762856,0.0197290442016621,0.400296512005953,0.019729239273079,0.967422425746918,0.971436738967896,30.7790374755859,0,30,4,200,-0.000549483112990856,-1.62082326412201,0.210912674665451,1,,,,,,,,,,,,,,,,
,3958846450.83121,1.9881329536438,70000.1875,,,6,,,,30.7191871727862,,,1000,,,,,,,,,,,,,,,,,,,,,,1.96071124076843,2.01240468025208,70000.1875,70000.1875,,,1.94762051105499,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,2.01555466651917,0,1.9849812189738,,,0.400261152168796,0.0197299194134448,0.400313956659678,0.0197301088320352,0.967428922653198,0.971426069736481,30.7789134979248,1.00445431598928E-5,30,4,200,-0.000556922052055597,-1.62119090557098,0.211752861738205,1,,,,,,,,,,,,,,,,
,3958846461.0483,2.03805947303772,70000.1875,,,6,,,,30.7191871727862,,,1000,,,,,,,,,,,,,,,,,,,,,,2.01297521591187,2.06225776672363,70000.1875,70000.1875,,,1.97591269016266,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,2.06314373016357,0,2.0346306959788,,,0.400279353412321,0.0197308191838157,0.400332632112254,0.0197310253012528,0.967425763607025,0.971434056758881,30.778995513916,,30,4,200,-0.000565894704777747,-1.62040817737579,0.211445450782776,1,,,,,,,,,,,,,,,,
,3958846471.50683,2.08624422550201,70000.1875,,,6,,,,30.7191871727862,,,1000,,,,,,,,,,,,,,,,,,,,,,2.05833101272583,2.11129403114319,70000.1875,70000.1875,,,2.00317716598511,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,2.1141574382782,0,2.08356176482307,,,0.400296463355543,0.0197316599314951,0.40034922141162,0.0197318474774449,0.967435121536255,0.971431910991669,30.778902053833,5.54787349700928,30,4,200,-0.000544043781701475,-1.62189161777496,0.211176753044128,1,,,,,,,,,,,,,,,,
,3958846481.68642,2.13679444789886,70000.1875,,,6,,,,30.7191871727862,,,1000,,,,,,,,,,,,,,,,,,,,,,2.10937738418579,2.161696434021,70000.1875,70000.1875,,,2.02651619911194,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,2.16421151161194,0,2.1338058312734,,,0.400309151159823,0.0197322792721964,0.400362080334465,0.0197324709581937,0.967433989048004,0.97143816947937,30.7789611816406,0,30,4,200,-0.000544127135071903,-1.62110698223114,0.210909336805344,1,,,,,,,,,,,,,,,,
,3958846492.25472,2.1861879825592,70000.1875,,,6,,,,30.7191871727862,,,1000,,,,,,,,,,,,,,,,,,,,,,2.15844821929932,2.20918440818787,70000.1875,70000.1875,,,2.05456233024597,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,2.21392774581909,0,2.1829735438029,,,0.400333133200047,0.0197334572512648,0.400386151074944,0.0197336636688202,0.967447459697723,0.971434891223907,30.7788314819336,0,30,4,200,-0.000565378926694393,-1.62141799926758,0.211785137653351,1,,,,,,,,,,,,,,,,
,3958846502.55913,2.23703479766846,70000.1875,,,6,,,,30.7191871727862,,,1000,,,,,,,,,,,,,,,,,,,,,,2.20912098884583,2.26051712036133,70000.1875,70000.1875,,,2.07790017127991,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,2.26494860649109,0,2.23320041762458,,,0.400352866123587,0.0197344265711932,0.400405836592461,0.0197346281442297,0.967439234256744,0.971429705619812,30.7788639068604,0.231461897492409,30,4,200,-0.000572570017538965,-1.62061142921448,0.211565062403679,1,,,,,,,,,,,,,,,,
,3958846512.99908,2.28777396678925,70000.1875,,,6,,,,30.7191871727862,,,1000,,,,,,,,,,,,,,,,,,,,,,2.25948977470398,2.3125102519989,70000.1875,70000.1875,,,2.10372567176819,,1,0,0,0,7.62939453125E-5,33.2355842590332,6,1,1,2.31605815887451,0,2.28461416562398,,,0.400372494075332,0.0197353953927725,0.400425250930576,0.019735588072901,0.96744692325592,0.971435368061066,30.7788429260254,0,30,4,200,-0.000559109612368047,-1.62091660499573,0.211342543363571,1,,,,,,,,,,,,,,,,
