[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3958822865.94631,06/11/2025,5:00 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,Crystal H parra ab,SAMPLE_COMMENT
INFO,61.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,Flat plate,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.88,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,He3 temp,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3958825094.69758,1.80044400691986,99.8897857666016,,,6,,,,30.7142735456437,,,1,,,,,,,,,,,,,,,,,,,,,,1.79297804832458,1.80478179454803,99.8897857666016,99.8897857666016,,,1.86462306976318,,1,0,0,0,0.000152587890625,33.2355842590332,1,1,1,1.79912829399109,0,1.79996236165365,,,0.000369939221781717,1.82348009145108E-5,0.000369975084132434,1.82348229497895E-5,0.968231976032257,0.971400558948517,30.7671012878418,5.54681015014648,30,4,200,-0.000367424159776419,-1.0382171869278,0.652501285076141,1,,,,,,,,,,,,,,,,
,3958825112.20116,1.84718179702759,99.8897857666016,,,6,,,,30.7142735456437,,,1,,,,,,,,,,,,,,,,,,,,,,1.81593525409698,1.86581861972809,99.8897857666016,99.8897857666016,,,1.89712977409363,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,1.86981344223022,0,1.8394054889679,,,0.000369988425434504,1.8237220417629E-5,0.000370024974050939,1.82372879725045E-5,0.968246638774872,0.971394062042236,30.766918182373,5.54679346084595,30,4,200,-0.000482520583318546,-1.03774094581604,0.652460396289825,1,,,,,,,,,,,,,,,,
,3958825123.39283,1.90187579393387,99.8897857666016,,,6,,,,30.7142735456437,,,1,,,,,,,,,,,,,,,,,,,,,,1.86409449577332,1.93965709209442,99.8897857666016,99.8897857666016,,,1.9347163438797,,1,0,0,0,0.000152587890625,33.7243423461914,6,1,1,1.93965709209442,0,1.89249484539032,,,0.000369962016040394,1.82358613265131E-5,0.000369999676297826,1.82359580021546E-5,0.968338191509247,0.971545338630676,30.7673187255859,0.145324021577835,30,4,200,-0.000632814655546099,-1.03821706771851,0.652125835418701,1,,,,,,,,,,,,,,,,
,3958825134.1322,1.94327467679977,99.8897857666016,,,6,,,,30.7142735456437,,,1,,,,,,,,,,,,,,,,,,,,,,1.91591191291809,1.97025227546692,99.8897857666016,99.8897857666016,,,1.95420074462891,,1,0,0,0,7.62939453125E-5,33.2355842590332,6,1,1,1.97063744068146,0,1.94158930248684,,,0.000369326344423967,1.82047660566229E-5,0.000369368178952006,1.82048888966702E-5,0.96793133020401,0.971441984176636,30.7700138092041,,30,4,200,-0.000522855145391077,-1.03654420375824,0.650728225708008,1,,,,,,,,,,,,,,,,
,3958825144.68283,1.99088996648788,99.8897857666016,,,6,,,,30.7142735456437,,,1,,,,,,,,,,,,,,,,,,,,,,1.96278560161591,2.01846766471863,99.8897857666016,99.8897857666016,,,1.9794933795929,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,2.01899433135986,0,1.99086636967129,,,0.000369338854316715,1.82053879793915E-5,0.00036938255642389,1.82055861954963E-5,0.967925548553467,0.97146737575531,30.770263671875,0.3049076795578,30,4,200,-0.00052774982759729,-1.03735792636871,0.650038480758667,1,,,,,,,,,,,,,,,,
,3958825154.93434,2.04096829891205,99.8897857666016,,,6,,,,30.7142735456437,,,1,,,,,,,,,,,,,,,,,,,,,,2.01415276527405,2.0643093585968,99.8897857666016,99.8897857666016,,,2.00590443611145,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,2.06778383255005,0,2.03948561350505,,,0.000369355781838696,1.82062174052371E-5,0.000369398886689552,1.8206379177973E-5,0.967928171157837,0.971483707427978,30.7703685760498,5.21732654306106E-5,30,4,200,-0.000580597261432558,-1.03804087638855,0.649393320083618,1,,,,,,,,,,,,,,,,
,3958825165.57315,2.09050309658051,99.8897857666016,,,6,,,,30.7142735456437,,,1,,,,,,,,,,,,,,,,,,,,,,2.06206393241882,2.11650228500366,99.8897857666016,99.8897857666016,,,2.03194713592529,,1,0,0,0,7.62939453125E-5,33.7243423461914,6,1,1,2.11894226074219,0,2.0897577073839,,,0.000369365696700812,1.82067160734897E-5,0.000369408956437334,1.82068816928227E-5,0.967916965484619,0.971478283405304,30.7704277038574,5.54711008071899,30,4,200,-0.000618809252046049,-1.03883481025696,0.648724257946014,1,,,,,,,,,,,,,,,,
,3958825175.83331,2.14224112033844,99.8897857666016,,,6,,,,30.7142735456437,,,1,,,,,,,,,,,,,,,,,,,,,,2.11545562744141,2.1665313243866,99.8897857666016,99.8897857666016,,,2.05808758735657,,1,0,0,0,0.000152587890625,33.2355842590332,6,1,1,2.16902661323547,0,2.13994566599528,,,0.000369381294908106,1.8207481370635E-5,0.000369424252432377,1.82076346409373E-5,0.96792608499527,0.971483469009399,30.7703838348389,,30,4,200,-0.000608123955316842,-1.0395895242691,0.647981941699982,1,,,,,,,,,,,,,,,,
,3958825186.29235,2.19198441505432,99.8897857666016,,,6,,,,30.7142735456437,,,1,,,,,,,,,,,,,,,,,,,,,,2.16282653808594,2.2179548740387,99.8897857666016,99.8897857666016,,,2.08359289169312,,1,0,0,0,0.000152587890625,33.7243423461914,6,1,1,2.2211422920227,0,2.18979003694322,,,0.000369408389053039,1.82088125940492E-5,0.000369450632014137,1.82089410292799E-5,0.967922925949097,0.971459686756134,30.7702369689941,,30,4,200,-0.000594839686527848,-1.04047107696533,0.647205233573914,1,,,,,,,,,,,,,,,,
,3958825196.96666,2.24622333049774,99.8897857666016,,,6,,,,30.7142735456437,,,1,,,,,,,,,,,,,,,,,,,,,,2.2174608707428,2.27593779563904,99.8897857666016,99.8897857666016,,,2.11185884475708,,1,0,0,0,0.0128173828125,33.2355842590332,6,1,1,2.27498579025269,0,2.24463968276978,,,0.000369443857232919,1.82105732263861E-5,0.000369487446915534,1.82107522291794E-5,0.967905163764954,0.971469759941101,30.7704563140869,,30,4,200,-0.000597340171225369,-1.0413601398468,0.64657735824585,1,,,,,,,,,,,,,,,,
