[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952683509.27789,04/01/2025,4:37 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB001 2X2 single crystal shard,SAMPLE_COMMENT
INFO,1.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.43,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952683529.02369,300.001800537109,999.699096679688,,,6,,,,30.4689502716064,,,1,,,,,,,,,,,,,,,,,,,,,,299.999114990234,300.006072998047,999.699096679688,999.699096679688,,,5.98436498641968,,1,0,0,0,0,32.2580642700195,1,1,1,299.998626708984,0,300.002915326287,,,1.77817471948332E-5,8.76277162389338E-7,1.77817683707163E-5,8.76277433891597E-7,0.976936101913452,0.976974308490753,30.4739971160889,4.65006905869814E-6,30,4,200,-0.00620739348232746,-0.517935335636139,-0.00339786242693663,1,,,,,,,,,,,,,,,,
,3952683550.51683,299.888931274414,999.699096679688,,,6,,,,30.4689502716064,,,1,,,,,,,,,,,,,,,,,,,,,,299.793914794922,299.997253417969,999.699096679688,999.699096679688,,,6.01746129989624,,1,0,0,0,0,32.2580642700195,2,1,1,299.780609130859,0,299.916052924262,,,1.7812895219906E-5,8.77767222874463E-7,1.78129115065812E-5,8.77766945098863E-7,0.979263961315155,0.979323387145996,30.4629745483398,5.6570628657937E-5,30,4,200,-0.00682275928556919,-0.595625519752502,-0.471347630023956,1,,,,,,,,,,,,,,,,
,3952683560.18702,299.565612792969,999.699096679688,,,6,,,,30.4689502716064,,,1,,,,,,,,,,,,,,,,,,,,,,299.393035888672,299.780609130859,999.699096679688,999.699096679688,,,6.03314876556397,,1,0,0,0,0.0128173828125,32.2580642700195,2,1,1,299.336853027344,0,299.599572075738,,,1.7767014555885E-5,8.75594715692424E-7,1.77681880045018E-5,8.7559905410571E-7,0.974853992462158,0.977412104606628,30.5110569000244,3.33401703755953E-6,30,4,200,-0.00616807863116264,-0.658369541168213,-0.538427591323853,1,,,,,,,,,,,,,,,,
,3952683570.29411,299.029708862305,999.699096679688,,,6,,,,30.4689502716064,,,1,,,,,,,,,,,,,,,,,,,,,,298.751708984375,299.326263427734,999.699096679688,999.699096679688,,,6.04828977584839,,1,0,0,0,0.0165557861328125,31.7693061828613,2,1,1,298.733154296875,0,299.044986300998,,,1.80314494073396E-5,8.88659488654176E-7,1.80321501611922E-5,8.88662392514326E-7,0.973431646823883,0.974806070327759,30.5011043548584,0.131683826446533,30,4,200,-0.00514090619981289,0.410254806280136,0.525587201118469,1,,,,,,,,,,,,,,,,
,3952683580.00426,298.312637329102,999.699096679688,,,6,,,,30.4689502716064,,,1,,,,,,,,,,,,,,,,,,,,,,298.003631591797,298.706573486328,999.699096679688,999.699096679688,,,6.06055498123169,,1,0,0,0,0.0141143798828125,31.7693061828613,2,1,1,297.918701171875,0,298.389411078559,,,1.79909320975792E-5,8.87219359923126E-7,1.79941515641848E-5,8.87229566290073E-7,0.955740690231323,0.959693372249603,30.5386066436768,0,30,4,200,-0.00534443603828549,0.356101632118225,0.474505603313446,1,,,,,,,,,,,,,,,,
,3952683603.34108,296.143157958984,999.699096679688,,,6,,,,30.4630822333899,,,1,,,,,,,,,,,,,,,,,,,,,,295.137664794922,297.194122314453,999.699096679688,999.699096679688,,,6.09060716629028,,1,0,0,0,0.0128173828125,31.7693061828613,2,1,1,295.092193603516,0,296.20363482307,,,1.84842172956396E-5,9.11741304181864E-7,1.84847885341113E-5,9.11743674134927E-7,0.951136112213135,0.951717436313629,30.49169921875,0,30,4,200,-0.00594345387071371,0.00272946711629629,0.347982674837112,1,,,,,,,,,,,,,,,,
,3952683631.03819,292.395278930664,999.699096679688,,,6,,,,30.4571606339035,,,1,,,,,,,,,,,,,,,,,,,,,,291.110931396484,293.899871826172,999.699096679688,999.699096679688,,,6.10799217224121,,1,0,0,0,0,31.7693061828613,2,1,1,290.890686035156,0,292.581066131592,,,1.8539951324892E-5,9.14398055348064E-7,1.85447193369938E-5,9.14413205253016E-7,0.953236877918243,0.958689212799072,30.5407543182373,0,30,4,200,-0.00740280421450734,-0.0144372964277863,0.157372266054153,1,,,,,,,,,,,,,,,,
,3952683658.68573,287.58024597168,999.699096679688,,,6,,,,30.4494762233896,,,1,,,,,,,,,,,,,,,,,,,,,,285.977020263672,289.30810546875,999.699096679688,999.699096679688,,,6.11959505081177,,1,0,0,0,0,31.2805480957031,2,1,1,285.852386474609,0,287.729054170496,,,1.88457315090038E-5,9.2884536129138E-7,1.88489360895681E-5,9.28854492497719E-7,0.971294343471527,0.97755378484726,30.5176086425781,1.00000047683716,30,4,200,-0.00406185025349259,-0.161748662590981,-0.000101583354989998,1,,,,,,,,,,,,,,,,
,3952683686.72673,282.634613037109,999.699096679688,,,6,,,,30.4418492308279,,,1,,,,,,,,,,,,,,,,,,,,,,280.953491210938,284.346160888672,999.699096679688,999.699096679688,,,6.1305046081543,,1,0,0,0,0.0128173828125,30.7917900085449,2,1,1,280.923065185547,0,282.740868462457,,,1.91836940687813E-5,9.45296842613717E-7,1.91849759782942E-5,9.45300961197076E-7,0.980256140232086,0.983723223209381,30.4843597412109,0,30,4,200,-0.00469944486394525,-0.285234987735748,-0.0013394015841186,1,,,,,,,,,,,,,,,,
,3952683715.13304,277.756469726562,999.699096679688,,,6,,,,30.4345065946859,,,1,,,,,,,,,,,,,,,,,,,,,,276.295837402344,279.402984619141,999.699096679688,999.699096679688,,,6.14070653915405,,1,0,0,0,0,31.2805480957031,2,1,1,276.109954833984,0,277.818350399242,,,1.95968851649345E-5,9.65697219409315E-7,1.95984297365805E-5,9.65702181114028E-7,0.978276312351227,0.98198264837265,30.480712890625,5.52093410491943,30,4,200,-0.00341592449694872,-0.395876079797745,-0.00262024882249534,1,,,,,,,,,,,,,,,,
