[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952748436.28216,04/02/2025,10:39 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,second crystal shard TB001 2X2,SAMPLE_COMMENT
INFO,1.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.31,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952751477.35373,1.80025637149811,999.893371582031,,,6,,,,30.246643535212,,,1,,,,,,,,,,,,,,,,,,,,,,1.79906320571899,1.80061602592468,999.893371582031,999.893371582031,,,1.88498175144196,,1,0,0,0,0,33.2355842590332,1,1,1,1.80017423629761,0,1.79999355475108,,,0.000141339168424493,6.96800050897034E-6,0.000141429518492444,6.96815925858849E-6,0.963202893733978,0.988935470581055,30.1133823394775,,30,4,200,-0.00496175466105342,-1.1208997964859,-0.442555278539658,1,,,,,,,,,,,,,,,,
,3952751494.07582,2.13771891593933,999.893371582031,,,6,,,,30.246643535212,,,1,,,,,,,,,,,,,,,,,,,,,,1.9395923614502,2.32743406295776,999.893371582031,999.893371582031,,,2.1280677318573,,1,0,0,0,0.0128173828125,32.2580642700195,6,1,1,2.33584547042847,0,2.1360008319219,,,0.00014151086261773,6.97650248106056E-6,0.000141603111283547,6.97666179610365E-6,0.963062226772308,0.989624321460724,30.1120071411133,5.48744106292725,30,4,200,-0.0119387432932854,-0.160992041230202,0.559336423873901,1,,,,,,,,,,,,,,,,
,3952751503.77544,2.5519472360611,999.893371582031,,,6,,,,30.246643535212,,,1,,,,,,,,,,,,,,,,,,,,,,2.33584547042847,2.74399042129517,999.893371582031,999.893371582031,,,2.30709624290466,,1,0,0,0,0,32.2580642700195,6,1,1,2.76804900169373,0,2.53663110733032,,,0.000141599710222115,6.98086912638285E-6,0.000141691806681448,6.9810206635518E-6,0.963108897209167,0.989757359027863,30.1120357513428,9.14320571610006E-6,30,4,200,-0.0103488462045789,-0.263129204511642,0.447638660669327,1,,,,,,,,,,,,,,,,
,3952751513.72357,2.99956011772156,999.893371582031,,,6,,,,30.246643535212,,,1,,,,,,,,,,,,,,,,,,,,,,2.76804900169373,3.21921634674072,999.893371582031,999.893371582031,,,2.49675107002258,,1,0,0,0,0,32.2580642700195,6,1,1,3.23107123374939,0,2.99016017913818,,,0.000141767707187289,6.98910821313255E-6,0.000141859925098254,6.98927612497574E-6,0.963271379470825,0.990131080150604,30.1122817993164,0.188815549015999,30,4,200,-0.00852719508111477,-0.353807628154755,0.349201232194901,1,,,,,,,,,,,,,,,,
,3952751523.68294,3.45219421386719,999.893371582031,,,6,,,,30.246643535212,,,1,,,,,,,,,,,,,,,,,,,,,,3.23107123374939,3.62947249412537,999.893371582031,999.893371582031,,,2.65688610076904,,1,0,0,0,0,32.2580642700195,6,1,1,3.67331719398499,0,3.42571989695231,,,0.000142216407235782,7.01137008423258E-6,0.000142313319454747,7.01154235440274E-6,0.962730467319489,0.991242170333862,30.1090793609619,0.136273413896561,30,4,200,-0.0078434906899929,-0.430373549461365,0.267759263515472,1,,,,,,,,,,,,,,,,
,3952751533.37809,3.90963351726532,999.893371582031,,,6,,,,30.246643535212,,,1,,,,,,,,,,,,,,,,,,,,,,3.68251585960388,4.12631034851074,999.893371582031,999.893371582031,,,2.80335116386414,,1,0,0,0,0.0128173828125,32.2580642700195,6,1,1,4.14594984054565,0,3.90723943710327,,,0.000142897352918372,7.04481517828711E-6,0.000142992110713767,7.04498948943589E-6,0.963208615779877,0.991156280040741,30.1110324859619,,30,4,200,-0.00755245983600616,-0.505145132541657,0.193438604474068,1,,,,,,,,,,,,,,,,
,3952751543.02356,4.38908004760742,999.893371582031,,,6,,,,30.246643535212,,,1,,,,,,,,,,,,,,,,,,,,,,4.15880155563354,4.57714128494263,999.893371582031,999.893371582031,,,2.93147444725037,,1,0,0,0,0.0141143798828125,32.2580642700195,6,1,1,4.6193585395813,0,4.36476204130385,,,0.000143916621182788,7.09515508666836E-6,0.00014401426596989,7.0953351292599E-6,0.962875425815582,0.991430938243866,30.1094875335693,INF,30,4,200,-0.00678550964221358,-0.574836790561676,0.12424248456955,1,,,,,,,,,,,,,,,,
,3952751552.99749,4.88799023628235,999.893371582031,,,6,,,,30.246643535212,,,1,,,,,,,,,,,,,,,,,,,,,,4.63989400863647,5.10575246810913,999.893371582031,999.893371582031,,,3.06559085845947,,1,0,0,0,0,32.2580642700195,6,1,1,5.13608646392822,0,4.86902242236667,,,0.000145783894271623,7.18713433389087E-6,0.000145880347064112,7.1872943942133E-6,0.963159561157227,0.991062104701996,30.110933303833,0.186674758791924,30,4,200,-0.00602055108174682,-0.644774556159973,0.0602027960121632,1,,,,,,,,,,,,,,,,
,3952751562.77624,5.38016605377197,999.893371582031,,,6,,,,30.246643535212,,,1,,,,,,,,,,,,,,,,,,,,,,5.13608646392822,5.57845115661621,999.893371582031,999.893371582031,,,3.18076753616333,,1,0,0,0,0.0128173828125,33.2355842590332,6,1,1,5.62424564361572,0,5.35338460074531,,,0.000148498569427936,7.3208476292227E-6,0.000148593534607173,7.32102799778997E-6,0.963612079620361,0.990220725536346,30.1135597229004,0,30,4,200,-0.00562840607017279,-0.712069690227509,0.00276815332472324,1,,,,,,,,,,,,,,,,
,3952751572.51072,5.88703107833862,999.893371582031,,,6,,,,30.246643535212,,,1,,,,,,,,,,,,,,,,,,,,,,5.63276052474976,6.11285829544067,999.893371582031,999.893371582031,,,3.28159093856812,,1,0,0,0,0,31.7693061828613,6,1,1,6.14130163192749,0,5.86943727069431,,,0.000152791193665173,7.53252375144391E-6,0.000152886524751783,7.53270033565691E-6,0.963410973548889,0.988207697868347,30.1151161193848,6.72057819366455,30,4,200,-0.00527837546542287,-0.782760500907898,-0.0482344701886177,1,,,,,,,,,,,,,,,,
