[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952768781.61713,04/02/2025,4:18 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,second crystal shard TB001 2X3,SAMPLE_COMMENT
INFO,0.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.86,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952768795.77903,299.98893737793,999.626220703125,,,6,,,,31.0400695800781,,,1,,,,,,,,,,,,,,,,,,,,,,299.987579345703,299.992858886719,999.626220703125,999.626220703125,,,6.03047370910644,,1,0,0,0,0,31.7693061828613,1,1,1,299.987518310547,0,299.990614149306,,,4.10264253087322E-6,2.03773329248807E-7,4.10957368516645E-6,2.03787182520896E-7,0.872976243495941,0.886236727237701,30.8239994049072,0.1880764067173,30,4,200,-0.00978934392333031,0.240382224321365,0.323770731687546,1,,,,,,,,,,,,,,,,
,3952768812.41761,299.902297973633,999.626220703125,,,6,,,,31.0400695800781,,,1,,,,,,,,,,,,,,,,,,,,,,299.839050292969,299.992919921875,999.626220703125,999.626220703125,,,6.05544567108154,,1,0,0,0,0,31.7693061828613,2,1,1,299.811676025391,0,299.935363769531,,,3.94677917018617E-6,1.9546879840915E-7,3.94721643379867E-6,1.95469878262465E-7,0.897726774215698,0.898750424385071,31.0946273803711,4.52769927505869E-5,30,4,200,-0.00732393469661474,0.139842554926872,0.206916451454163,1,,,,,,,,,,,,,,,,
,3952768822.48544,299.56201171875,999.626220703125,,,6,,,,31.0400695800781,,,1,,,,,,,,,,,,,,,,,,,,,,299.354888916016,299.797485351562,999.626220703125,999.626220703125,,,6.06705379486084,,1,0,0,0,0,31.2805480957031,2,1,1,299.326538085937,0,299.601691351997,,,4.2068479945652E-6,2.07472557711774E-7,4.2074568651263E-6,2.07473271541319E-7,0.954383611679077,0.95758730173111,30.9758796691895,0,30,4,200,-0.00757477153092623,0.060740515589714,0.131644189357758,1,,,,,,,,,,,,,,,,
,3952768832.24022,299.038223266602,999.626220703125,,,6,,,,31.0400695800781,,,1,,,,,,,,,,,,,,,,,,,,,,298.749908447266,299.326538085937,999.626220703125,999.626220703125,,,6.07677030563354,,1,0,0,0,0,31.7693061828613,2,1,1,298.749908447266,0,299.041250610352,,,4.22530459374006E-6,2.09242707479476E-7,4.22548036868545E-6,2.0924342172565E-7,0.898673832416534,0.899047493934631,31.0733661651611,,30,4,200,-0.00762893259525299,-0.0140396198257804,0.0571368485689163,1,,,,,,,,,,,,,,,,
,3952768841.94302,298.386352539063,999.626220703125,,,6,,,,31.0400695800781,,,1,,,,,,,,,,,,,,,,,,,,,,298.074951171875,298.727661132812,999.626220703125,999.626220703125,,,6.08608722686768,,1,0,0,0,0,31.7693061828613,2,1,1,298.045043945313,0,298.405612521701,,,4.1371404638026E-6,2.04016157920379E-7,4.13873844440516E-6,2.04018718323818E-7,0.956412196159363,0.966032683849335,30.9364147186279,0,30,4,200,-0.00604800088331103,-0.0741244852542877,-0.0164201445877552,1,,,,,,,,,,,,,,,,
,3952768860.18599,296.773803710937,999.626220703125,,,6,,,,31.0342079547806,,,1,,,,,,,,,,,,,,,,,,,,,,296.335174560547,297.251770019531,999.626220703125,999.626220703125,,,6.09993553161621,,1,0,0,0,0,32.2580642700195,2,1,1,296.295837402344,0,296.766835530599,,,4.13730179701338E-6,2.04519745198031E-7,4.13733527308606E-6,2.04519884574206E-7,0.91795939207077,0.918049156665802,31.0488719940186,0,30,4,200,-0.00600989675149322,-0.184778079390526,-0.129460021853447,1,,,,,,,,,,,,,,,,
,3952768869.81451,295.726791381836,999.626220703125,,,6,,,,31.0342079547806,,,1,,,,,,,,,,,,,,,,,,,,,,295.272857666016,296.295837402344,999.626220703125,999.626220703125,,,6.10604572296143,,1,0,0,0,0,32.7468223571777,2,1,1,295.157745361328,0,295.804277208116,,,4.47503044522106E-6,2.258113273039E-7,4.49216758479515E-6,2.25852681195643E-7,0.783765852451324,0.800515532493591,31.3632411956787,1,30,4,200,-0.00520786177366972,-0.246462985873222,-0.186139672994614,1,,,,,,,,,,,,,,,,
,3952768887.99216,293.265441894531,999.626220703125,,,6,,,,31.0281555861384,,,1,,,,,,,,,,,,,,,,,,,,,,292.665161132812,293.958465576172,999.626220703125,999.626220703125,,,6.11408615112305,,1,0,0,0,0,31.7693061828613,2,1,1,292.572418212891,0,293.31593492296,,,3.88628383458926E-6,1.92986224180159E-7,3.88628929001972E-6,1.92986162952252E-7,0.874625325202942,0.874638855457306,31.0211505889893,2.99957628158154E-5,30,4,200,-0.00608944054692984,-0.351706832647324,-0.292673110961914,1,,,,,,,,,,,,,,,,
,3952768906.23223,290.346984863281,999.626220703125,,,6,,,,31.0231034806059,,,1,,,,,,,,,,,,,,,,,,,,,,289.54443359375,291.195373535156,999.626220703125,999.626220703125,,,6.11817932128906,,1,0,0,0,0.0128173828125,31.7693061828613,2,1,1,289.498596191406,0,290.313042534722,,,4.33533359270205E-6,2.13997965754698E-7,4.33546709175442E-6,2.13998100954819E-7,0.938018262386322,0.938504934310913,30.9936485290527,5.56719398498535,30,4,200,-0.00584853673353791,-0.462234437465668,-0.404076129198074,1,,,,,,,,,,,,,,,,
,3952768924.44501,287.042449951172,999.626220703125,,,6,,,,31.0177980245769,,,1,,,,,,,,,,,,,,,,,,,,,,286.148742675781,287.970306396484,999.626220703125,999.626220703125,,,6.12129878997803,,1,0,0,0,0,31.2805480957031,2,1,1,286.114593505859,0,287.072462293837,,,4.50501834502868E-6,2.22552385800054E-7,4.50533366365966E-6,2.22553637423767E-7,0.926247715950012,0.927120923995972,31.0610809326172,0,30,4,200,-0.00535601330921054,-0.572767674922943,-0.518599987030029,1,,,,,,,,,,,,,,,,
