[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952779921.18479,04/02/2025,7:23 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,second crystal shard TB001 2X3,SAMPLE_COMMENT
INFO,0.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.86,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952779935.66904,299.952743530273,999.893371582031,,,6,,,,31.0371419612319,,,1,,,,,,,,,,,,,,,,,,,,,,299.948852539063,299.956085205078,999.893371582031,999.893371582031,,,7.02347230911255,,1,0,0,0,0,31.7693061828613,1,1,1,299.956634521484,0,299.953637017144,,,4.08785454060489E-6,2.01478969270835E-7,4.08867962786195E-6,2.01479994756901E-7,0.970978200435638,0.97880893945694,30.9619064331055,INF,30,4,200,-0.000443807803094387,0.461703836917877,0.483344703912735,1,,,,,,,,,,,,,,,,
,3952779952.38989,299.921051025391,999.893371582031,,,6,,,,31.0371419612319,,,1,,,,,,,,,,,,,,,,,,,,,,299.896148681641,299.966491699219,999.893371582031,999.893371582031,,,7.00699138641357,,1,0,0,0,0,30.7917900085449,6,1,1,299.875610351562,0,299.943623860677,,,3.82363242755545E-6,1.98093122810666E-7,3.84129956319311E-6,1.98129896534793E-7,0.690658748149872,0.703934609889984,30.6807231903076,0,30,4,200,0.00220452900975943,0.480765402317047,0.508427739143372,1,,,,,,,,,,,,,,,,
,3952779962.0506,299.716323852539,999.893371582031,,,6,,,,31.0371419612319,,,1,,,,,,,,,,,,,,,,,,,,,,299.575897216797,299.870452880859,999.893371582031,999.893371582031,,,6.99728584289551,,1,0,0,0,0,30.7917900085449,2,1,1,299.562194824219,0,299.733957926432,,,3.86242806137006E-6,1.93786141177448E-7,3.86676007710739E-6,1.93793469654638E-7,0.810856699943543,0.816467583179474,30.8627281188965,0.0224126242101192,30,4,200,0.000496028980705887,0.497090011835098,0.517364501953125,1,,,,,,,,,,,,,,,,
,3952779972.00465,299.334274291992,999.893371582031,,,6,,,,31.0371419612319,,,1,,,,,,,,,,,,,,,,,,,,,,299.106353759766,299.562194824219,999.893371582031,999.893371582031,,,6.98634815216065,,1,0,0,0,0,30.7917900085449,2,1,1,299.106353759766,0,299.34001159668,,,4.15162420489672E-6,2.06176566089335E-7,4.1611303861838E-6,2.06194462755389E-7,0.874094069004059,0.892706692218781,30.7856121063232,4.01147174835205,30,4,200,-2.09763111342909E-5,0.495701372623444,0.51648223400116,1,,,,,,,,,,,,,,,,
,3952779981.97243,298.863967895508,999.893371582031,,,6,,,,31.0371419612319,,,1,,,,,,,,,,,,,,,,,,,,,,298.67333984375,299.092956542969,999.893371582031,999.893371582031,,,6.97774314880371,,1,0,0,0,0,30.7917900085449,2,1,1,298.634979248047,0,298.896226671007,,,4.12247861185823E-6,2.03215040077491E-7,4.12388110881331E-6,2.03217268486313E-7,0.966347754001617,0.978213846683502,30.9398422241211,0.186658725142479,30,4,200,-0.000687148014549166,0.488118082284927,0.511509299278259,1,,,,,,,,,,,,,,,,
,3952779991.70178,298.349548339844,999.893371582031,,,6,,,,31.0371419612319,,,1,,,,,,,,,,,,,,,,,,,,,,298.126098632812,298.628051757812,999.893371582031,999.893371582031,,,6.96830749511719,,1,0,0,0,0,31.2805480957031,2,1,1,298.071044921875,0,298.389389038086,,,4.12107909719166E-6,2.03147543538991E-7,4.12231454935399E-6,2.03149054272034E-7,0.96613597869873,0.976279616355896,30.9453430175781,0,30,4,200,-0.000907122797798365,0.479566127061844,0.504327952861786,1,,,,,,,,,,,,,,,,
,3952780001.42982,297.761169433594,999.893371582031,,,6,,,,31.0371419612319,,,1,,,,,,,,,,,,,,,,,,,,,,297.532684326172,298.032653808594,999.893371582031,999.893371582031,,,6.95872688293457,,1,0,0,0,0,30.7917900085449,2,1,1,297.489685058594,0,297.772823757595,,,4.13651836140351E-6,2.03919321643565E-7,4.13661234538322E-6,2.03919338942144E-7,0.964617967605591,0.965262830257416,31.0115966796875,5.56880569458008,30,4,200,-0.000816571293398738,0.471554428339005,0.495716273784637,1,,,,,,,,,,,,,,,,
,3952780011.41705,297.192199707031,999.893371582031,,,6,,,,31.0371419612319,,,1,,,,,,,,,,,,,,,,,,,,,,296.939300537109,297.468109130859,999.893371582031,999.893371582031,,,6.94958162307739,,1,0,0,0,0,32.2580642700195,2,1,1,296.916290283203,0,297.202999538845,,,4.15077575113314E-6,2.04553642364358E-7,4.15133955985603E-6,2.04554179034851E-7,0.975862443447113,0.982213973999023,30.9751949310303,5.75896456211922E-6,30,4,200,-0.000561924069188535,0.465791195631027,0.488331645727158,1,,,,,,,,,,,,,,,,
,3952780021.16831,296.618209838867,999.893371582031,,,6,,,,31.0371419612319,,,1,,,,,,,,,,,,,,,,,,,,,,296.373626708984,296.916290283203,999.893371582031,999.893371582031,,,6.94162940979004,,1,0,0,0,0,31.2805480957031,2,1,1,296.320129394531,0,296.636864556207,,,4.13956920783838E-6,2.04010493950984E-7,4.14005582368089E-6,2.04010935391568E-7,0.974074363708496,0.978987991809845,30.9794597625732,1,30,4,200,-0.000499134708661586,0.460689306259155,0.482967883348465,1,,,,,,,,,,,,,,,,
,3952780030.81016,296.029037475586,999.893371582031,,,6,,,,31.0371419612319,,,1,,,,,,,,,,,,,,,,,,,,,,295.831634521484,296.320129394531,999.893371582031,999.893371582031,,,6.9336256980896,,1,0,0,0,0,30.7917900085449,2,1,1,295.737945556641,0,296.075424194336,,,4.18482571205389E-6,2.06257960332642E-7,4.18566196601083E-6,2.06258931488634E-7,0.97106146812439,0.978846132755279,30.9621162414551,0.032442219555378,30,4,200,-0.000497739529237151,0.455531924962997,0.477960228919983,1,,,,,,,,,,,,,,,,
,3952780049.29617,294.806533813477,999.893371582031,,,6,,,,31.0317617668535,,,1,,,,,,,,,,,,,,,,,,,,,,294.502777099609,295.131134033203,999.893371582031,999.893371582031,,,6.9196343421936,,1,0,0,0,0,30.7917900085449,2,1,1,294.48193359375,0,294.816382514106,,,4.18040118533358E-6,2.06146974663355E-7,4.18257614756968E-6,2.06150879410541E-7,0.956699788570404,0.970438480377197,30.9114303588867,0,30,4,200,-0.000303474284010008,0.447640955448151,0.46894359588623,1,,,,,,,,,,,,,,,,
,3952780058.95797,294.182601928711,999.893371582031,,,6,,,,31.0317617668535,,,1,,,,,,,,,,,,,,,,,,,,,,293.923828125,294.48193359375,999.893371582031,999.893371582031,,,6.91285848617554,,1,0,0,0,0,31.2805480957031,2,1,1,293.883270263672,0,294.199008517795,,,4.18379892179781E-6,2.06269476310698E-7,4.18551701635762E-6,2.06272792162327E-7,0.962064206600189,0.974486112594605,30.9250297546387,,30,4,200,-0.000319988699629903,0.444118559360504,0.465639114379883,1,,,,,,,,,,,,,,,,
,3952780068.99824,293.57096862793,999.893371582031,,,6,,,,31.0317617668535,,,1,,,,,,,,,,,,,,,,,,,,,,293.312591552734,293.859680175781,999.893371582031,999.893371582031,,,6.9052472114563,,1,0,0,0,0,30.7917900085449,2,1,1,293.282257080078,0,293.591617160373,,,4.13988805159923E-6,2.04605973205147E-7,4.14407751252648E-6,2.04613888334897E-7,0.920456945896149,0.933728098869324,30.8646183013916,0.0232002437114716,30,4,200,-0.000115316339361016,0.441358327865601,0.462541431188583,1,,,,,,,,,,,,,,,,
,3952780078.73731,292.998687744141,999.893371582031,,,6,,,,31.0317617668535,,,1,,,,,,,,,,,,,,,,,,,,,,292.768646240234,293.282257080078,999.893371582031,999.893371582031,,,6.89956760406494,,1,0,0,0,0.0128173828125,30.7917900085449,2,1,1,292.715118408203,0,293.051415337457,,,4.27155541942159E-6,2.10622190668336E-7,4.27304252893472E-6,2.10624622306607E-7,0.95892333984375,0.968138873577118,30.9331207275391,4.01141214370728,30,4,200,-0.000182361924089491,0.438675105571747,0.459478050470352,1,,,,,,,,,,,,,,,,
,3952780088.55128,292.411117553711,999.893371582031,,,6,,,,31.0317617668535,,,1,,,,,,,,,,,,,,,,,,,,,,292.139953613281,292.703826904297,999.893371582031,999.893371582031,,,6.8928656578064,,1,0,0,0,0,30.7917900085449,2,1,1,292.118408203125,0,292.426466200087,,,4.17771807617831E-6,2.06443450021144E-7,4.18222223175335E-6,2.06452448850964E-7,0.922427415847778,0.937072336673737,30.8586444854736,0,30,4,200,-3.7585137761198E-5,0.437060207128525,0.457836598157883,1,,,,,,,,,,,,,,,,
,3952780106.84825,291.345397949219,999.893371582031,,,6,,,,31.0264558391786,,,1,,,,,,,,,,,,,,,,,,,,,,291.070404052734,291.641418457031,999.893371582031,999.893371582031,,,6.88192224502563,,1,0,0,0,0,31.2805480957031,2,1,1,291.049377441406,0,291.344943576389,,,4.21215042895655E-6,2.07786101299941E-7,4.21394851507524E-6,2.07788886215188E-7,0.949194550514221,0.95809280872345,30.9176006317139,2.64926640625163E-8,30,4,200,-0.000245964067289606,0.433447480201721,0.455267906188965,1,,,,,,,,,,,,,,,,
,3952780116.44095,290.770874023438,999.893371582031,,,6,,,,31.0264558391786,,,1,,,,,,,,,,,,,,,,,,,,,,290.524688720703,291.049377441406,999.893371582031,999.893371582031,,,6.87538003921509,,1,0,0,0,0,30.7917900085449,2,1,1,290.492370605469,0,290.790225558811,,,4.26624327577758E-6,2.10708237061719E-7,4.27106738156873E-6,2.10716669154974E-7,0.929419994354248,0.946992337703705,30.8488273620605,,30,4,200,-2.90314146695891E-5,0.431883543729782,0.452743947505951,1,,,,,,,,,,,,,,,,
,3952780126.40943,290.177139282227,999.893371582031,,,6,,,,31.0264558391786,,,1,,,,,,,,,,,,,,,,,,,,,,289.954223632812,290.460296630859,999.893371582031,999.893371582031,,,6.86995983123779,,1,0,0,0,0,30.7917900085449,2,1,1,289.893981933594,0,290.213738335503,,,4.15866729276819E-6,2.05627822168929E-7,4.16109027673026E-6,2.05631869756044E-7,0.914953947067261,0.921802937984467,30.8997173309326,7.1670365286991E-6,30,4,200,-7.40645336918533E-5,0.430333912372589,0.451621115207672,1,,,,,,,,,,,,,,,,
,3952780136.122,289.610916137695,999.893371582031,,,6,,,,31.0264558391786,,,1,,,,,,,,,,,,,,,,,,,,,,289.370880126953,289.893981933594,999.893371582031,999.893371582031,,,6.86404514312744,,1,0,0,0,0,30.7917900085449,2,1,1,289.327850341797,0,289.656450059679,,,4.24633297856203E-6,2.09713756544181E-7,4.25091356046187E-6,2.09722393768501E-7,0.930169880390167,0.946987509727478,30.8534374237061,1.82795647560852E-5,30,4,200,-0.000145593337947503,0.427555024623871,0.448874294757843,1,,,,,,,,,,,,,,,,
,3952780145.77079,289.049179077148,999.893371582031,,,6,,,,31.0264558391786,,,1,,,,,,,,,,,,,,,,,,,,,,288.7705078125,289.327850341797,999.893371582031,999.893371582031,,,6.85833501815796,,1,0,0,0,0,30.7917900085449,2,1,1,288.7705078125,0,289.073435465495,,,4.24725805300668E-6,2.09839721770736E-7,4.25225676545654E-6,2.09849265333512E-7,0.924918711185455,0.941811561584473,30.8457679748535,,30,4,200,-9.94949950836599E-5,0.425175577402115,0.446370184421539,1,,,,,,,,,,,,,,,,
,3952780164.199,287.965148925781,999.893371582031,,,6,,,,31.021299063306,,,1,,,,,,,,,,,,,,,,,,,,,,287.690216064453,288.26025390625,999.893371582031,999.893371582031,,,6.84705495834351,,1,0,0,0,0,30.7917900085449,2,1,1,287.670043945313,0,287.978708902995,,,4.23192229414162E-6,2.09004836300923E-7,4.23401122915824E-6,2.09008606340159E-7,0.929978013038635,0.937100172042847,30.9047260284424,0,30,4,200,-0.000121173630759586,0.422956973314285,0.444080173969269,1,,,,,,,,,,,,,,,,
,3952780173.93996,287.386917114258,999.893371582031,,,6,,,,31.021299063306,,,1,,,,,,,,,,,,,,,,,,,,,,287.160919189453,287.655670166016,999.893371582031,999.893371582031,,,6.84046745300293,,1,0,0,0,0,31.2805480957031,2,1,1,287.1181640625,0,287.424587673611,,,4.36085101534182E-6,2.15307748853963E-7,4.36575819078049E-6,2.15317325827465E-7,0.934380114078522,0.953603804111481,30.84499168396,0,30,4,200,-0.000178149886778556,0.419821053743362,0.441381126642227,1,,,,,,,,,,,,,,,,
,3952780184.08921,286.811340332031,999.893371582031,,,6,,,,31.021299063306,,,1,,,,,,,,,,,,,,,,,,,,,,286.550872802734,287.093170166016,999.893371582031,999.893371582031,,,6.83471155166626,,1,0,0,0,0,30.3030319213867,2,1,1,286.529510498047,0,286.847239176432,,,4.2181542587914E-6,2.08589016593346E-7,4.21925722638318E-6,2.08590770833458E-7,0.913854241371155,0.916821599006653,30.9365367889404,0.187238350510597,30,4,200,-3.62445825885516E-5,0.418860346078873,0.440177589654922,1,,,,,,,,,,,,,,,,
,3952780193.85021,286.236022949219,999.893371582031,,,6,,,,31.021299063306,,,1,,,,,,,,,,,,,,,,,,,,,,285.967834472656,286.504211425781,999.893371582031,999.893371582031,,,6.82882356643677,,1,0,0,0,0,30.3030319213867,2,1,1,285.967834472656,0,286.259725952148,,,4.37948341387847E-6,2.1605926578115E-7,4.38296310301373E-6,2.16066044191605E-7,0.947525262832642,0.96491539478302,30.8729190826416,,30,4,200,-0.000204173178644851,0.415858089923859,0.437506079673767,1,,,,,,,,,,,,,,,,
,3952780203.6093,285.675796508789,999.893371582031,,,6,,,,31.021299063306,,,1,,,,,,,,,,,,,,,,,,,,,,285.433319091797,285.956512451172,999.893371582031,999.893371582031,,,6.82295274734497,,1,0,0,0,0,31.2805480957031,2,1,1,285.395080566406,0,285.687052408854,,,4.22894369971873E-6,2.09666651301424E-7,4.2338089110244E-6,2.09675980117662E-7,0.887899994850159,0.898111939430237,30.8436870574951,4.65762714156881E-5,30,4,200,0.000142081567901187,0.41548016667366,0.437173664569855,1,,,,,,,,,,,,,,,,
,3952780221.78151,284.599151611328,999.893371582031,,,6,,,,31.0161222876074,,,1,,,,,,,,,,,,,,,,,,,,,,284.368591308594,284.862823486328,999.893371582031,999.893371582031,,,6.81227922439575,,1,0,0,0,0,30.7917900085449,2,1,1,284.335479736328,0,284.631588406033,,,4.265306947617E-6,2.10793871344509E-7,4.26766321268448E-6,2.10798197160293E-7,0.921092927455902,0.928105056285858,30.8929615020752,0,30,4,200,-8.68596907821484E-5,0.412151962518692,0.433830350637436,1,,,,,,,,,,,,,,,,
,3952780231.42799,284.062057495117,999.893371582031,,,6,,,,31.0161222876074,,,1,,,,,,,,,,,,,,,,,,,,,,283.853057861328,284.335479736328,999.893371582031,999.893371582031,,,6.80666780471802,,1,0,0,0,0.0128173828125,30.7917900085449,2,1,1,283.788635253906,0,284.089019775391,,,4.44216602348881E-6,2.18979029804814E-7,4.44384336644932E-6,2.18981549531115E-7,0.965649843215942,0.978822350502014,30.9134120941162,0,30,4,200,-0.000314564851578325,0.408137559890747,0.430777728557587,1,,,,,,,,,,,,,,,,
,3952780241.56877,283.474670410156,999.893371582031,,,6,,,,31.0161222876074,,,1,,,,,,,,,,,,,,,,,,,,,,283.208618164062,283.773590087891,999.893371582031,999.893371582031,,,6.80103349685669,,1,0,0,0,0,29.8142719268799,2,1,1,283.175750732422,0,283.515953911675,,,4.27855831547013E-6,2.11961485597947E-7,4.28057586381327E-6,2.11964812188457E-7,0.894986987113953,0.899372518062592,30.9023513793945,0,30,4,200,1.84130512934644E-5,0.407383054494858,0.429675906896591,1,,,,,,,,,,,,,,,,
,3952780251.26955,282.879409790039,999.893371582031,,,6,,,,31.0161222876074,,,1,,,,,,,,,,,,,,,,,,,,,,282.633087158203,283.175750732422,999.893371582031,999.893371582031,,,6.79531002044678,,1,0,0,0,0,30.7917900085449,2,1,1,282.583068847656,0,282.887851291233,,,4.44155340246571E-6,2.19165746610897E-7,4.44532779747639E-6,2.1917292980568E-7,0.943819522857666,0.960926294326782,30.8626194000244,1.12547138542141E-6,30,4,200,-0.000224094721488655,0.404085427522659,0.426428973674774,1,,,,,,,,,,,,,,,,
,3952780260.97839,282.294006347656,999.893371582031,,,6,,,,31.0161222876074,,,1,,,,,,,,,,,,,,,,,,,,,,282.061340332031,282.571075439453,999.893371582031,999.893371582031,,,6.78954935073853,,1,0,0,0,0,30.7917900085449,2,1,1,282.016937255859,0,282.32233344184,,,4.31633730322311E-6,2.13382222344876E-7,4.31937661051634E-6,2.13387206453703E-7,0.917268812656403,0.925893545150757,30.8763885498047,0.187181740999222,30,4,200,-8.42326480778866E-5,0.402043610811234,0.424079835414886,1,,,,,,,,,,,,,,,,
,3952780279.21561,281.298706054687,999.893371582031,,,6,,,,31.0110911450916,,,1,,,,,,,,,,,,,,,,,,,,,,281.074768066406,281.543548583984,999.893371582031,999.893371582031,,,6.77964973449707,,1,0,0,0,0,31.2805480957031,2,1,1,281.053863525391,0,281.306420220269,,,4.33792019279957E-6,2.14732315064238E-7,4.33994436887694E-6,2.1473618632258E-7,0.902728617191315,0.907410383224487,30.8981876373291,5.3353214263916,30,4,200,-0.000156510519445874,0.403005957603455,0.424740970134735,1,,,,,,,,,,,,,,,,
,3952780288.86027,280.784149169922,999.893371582031,,,6,,,,31.0110911450916,,,1,,,,,,,,,,,,,,,,,,,,,,280.571502685547,281.045867919922,999.893371582031,999.893371582031,,,6.77524900436401,,1,0,0,0,0,30.7917900085449,2,1,1,280.522430419922,0,280.813710530599,,,4.4865115241392E-6,2.21186813641771E-7,4.48789825277343E-6,2.21189390171369E-7,0.962897717952728,0.972027957439423,30.9184455871582,,30,4,200,-0.000466269993921742,0.398495048284531,0.420975059270859,1,,,,,,,,,,,,,,,,
,3952780298.94423,280.212631225586,999.893371582031,,,6,,,,31.0110911450916,,,1,,,,,,,,,,,,,,,,,,,,,,279.946746826172,280.503662109375,999.893371582031,999.893371582031,,,6.77041673660278,,1,0,0,0,0,30.3030319213867,2,1,1,279.921600341797,0,280.240468343099,,,4.33235287154358E-6,2.15704409346718E-7,4.33919234118363E-6,2.1571821642913E-7,0.855476379394531,0.866138458251953,30.8030185699463,0,30,4,200,0.000485535652842373,0.399525582790375,0.421366095542908,1,,,,,,,,,,,,,,,,
,3952780308.68196,279.642349243164,999.893371582031,,,6,,,,31.0110911450916,,,1,,,,,,,,,,,,,,,,,,,,,,279.363098144531,279.921600341797,999.893371582031,999.893371582031,,,6.76551580429077,,1,0,0,0,0,31.2805480957031,2,1,1,279.363098144531,0,279.643084716797,,,4.44725190790486E-6,2.21484916809833E-7,4.46520336849052E-6,2.21521851143961E-7,0.853659152984619,0.882405459880829,30.6768283843994,5.53866672515869,30,4,200,0.000360356352757663,0.400394290685654,0.422676503658295,1,,,,,,,,,,,,,,,,
,3952780318.45555,279.05696105957,999.893371582031,,,6,,,,31.0110911450916,,,1,,,,,,,,,,,,,,,,,,,,,,278.792388916016,279.356201171875,999.893371582031,999.893371582031,,,6.76150369644165,,1,0,0,0,0,30.7917900085449,2,1,1,278.757720947266,0,279.079498291016,,,4.2894469597023E-6,2.14122126314253E-7,4.29847154070662E-6,2.14140611631623E-7,0.838918507099152,0.851631641387939,30.7713279724121,9.18585783438175E-7,30,4,200,0.000297312304610386,0.400940448045731,0.42370742559433,1,,,,,,,,,,,,,,,,
,3952780328.45368,278.505340576172,999.893371582031,,,6,,,,31.0110911450916,,,1,,,,,,,,,,,,,,,,,,,,,,278.273956298828,278.757720947266,999.893371582031,999.893371582031,,,6.7574987411499,,1,0,0,0,0,30.7917900085449,2,1,1,278.252960205078,0,278.526364135742,,,4.28735951295542E-6,2.14636124633639E-7,4.29905814728775E-6,2.14660782101283E-7,0.822376489639282,0.837268650531769,30.7379360198975,0,30,4,200,0.00032650979119353,0.400961428880692,0.423910290002823,1,,,,,,,,,,,,,,,,
,3952780347.24519,277.436492919922,999.893371582031,,,6,,,,31.0055301557983,,,1,,,,,,,,,,,,,,,,,,,,,,277.187103271484,277.7294921875,999.893371582031,999.893371582031,,,6.74998903274536,,1,0,0,0,0,30.7917900085449,2,1,1,277.143493652344,0,277.467729356554,,,4.44989926728156E-6,2.20332334596421E-7,4.45294311800282E-6,2.20337586813145E-7,0.900129318237305,0.906905710697174,30.8687171936035,0.189566060900688,30,4,200,-8.41117071104236E-5,0.399350494146347,0.422565549612045,1,,,,,,,,,,,,,,,,
,3952780357.07575,276.876831054687,999.893371582031,,,6,,,,31.0055301557983,,,1,,,,,,,,,,,,,,,,,,,,,,276.626403808594,277.143493652344,999.893371582031,999.893371582031,,,6.7460470199585,,1,0,0,0,0,30.7917900085449,2,1,1,276.610168457031,0,276.907528686523,,,4.56560845428499E-6,2.26862574267467E-7,4.58352847206355E-6,2.26898790886527E-7,0.86979877948761,0.902344763278961,30.6761417388916,,30,4,200,0.00012323418923188,0.397022306919098,0.420304477214813,1,,,,,,,,,,,,,,,,
,3952780366.84371,276.352600097656,999.893371582031,,,6,,,,31.0055301557983,,,1,,,,,,,,,,,,,,,,,,,,,,276.149108886719,276.597198486328,999.893371582031,999.893371582031,,,6.74242401123047,,1,0,0,0,0,32.2580642700195,2,1,1,276.108001708984,0,276.377970377604,,,4.40211358969366E-6,2.20632554558014E-7,4.42108946729656E-6,2.20671004965932E-7,0.816266775131226,0.839534044265747,30.6624279022217,5.26922082901001,30,4,200,0.000453499611467123,0.398317068815231,0.421193450689316,1,,,,,,,,,,,,,,,,
,3952780376.9009,275.803497314453,999.893371582031,,,6,,,,31.0055301557983,,,1,,,,,,,,,,,,,,,,,,,,,,275.584777832031,276.066467285156,999.893371582031,999.893371582031,,,6.73856019973755,,1,0,0,0,0,30.7917900085449,2,1,1,275.54052734375,0,275.832475450304,,,4.37675138147585E-6,2.19030050355089E-7,4.39416466028525E-6,2.19065773877281E-7,0.82440984249115,0.846953213214874,30.6754989624023,,30,4,200,0.000202334485948086,0.397365063428879,0.420870423316956,1,,,,,,,,,,,,,,,,
,3952780386.65105,275.276397705078,999.893371582031,,,6,,,,31.0055301557983,,,1,,,,,,,,,,,,,,,,,,,,,,275.060455322266,275.54052734375,999.893371582031,999.893371582031,,,6.73471736907959,,1,0,0,0,0,30.3030319213867,2,1,1,275.012268066406,0,275.30359225803,,,4.44187567649808E-6,2.21552749260193E-7,4.46161833547454E-6,2.21593795600658E-7,0.843863606452942,0.873306274414062,30.654426574707,0.0242912657558918,30,4,200,0.000119208700198214,0.395426899194717,0.418881565332413,1,,,,,,,,,,,,,,,,
