[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952771622.60841,04/02/2025,5:05 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,second crystal shard TB001 2X3,SAMPLE_COMMENT
INFO,0.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.86,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952774652.95508,1.80034774541855,999.893371582031,,,6,,,,30.7539529484716,,,1,,,,,,,,,,,,,,,,,,,,,,1.79884803295135,1.80059587955475,999.893371582031,999.893371582031,,,1.95652937889099,,1,0,0,0,0.014190673828125,31.2805480957031,1,1,1,1.80054950714111,0,1.79998261398739,,,4.51744386304822E-5,2.25053308715717E-6,4.5688587633414E-5,2.2516188057855E-6,0.851513624191284,0.974998950958252,30.1942348480225,,30,4,200,-0.00159747723955661,0.14769546687603,0.366764485836029,1,,,,,,,,,,,,,,,,
,3952774669.67044,2.10082668066025,999.893371582031,,,6,,,,30.7539529484716,,,1,,,,,,,,,,,,,,,,,,,,,,1.91246449947357,2.28918886184692,999.893371582031,999.893371582031,,,2.19023489952087,,1,0,0,0,0,31.2805480957031,6,1,1,2.30253648757935,0,2.09940263960097,,,4.47070234419299E-5,2.22789698221238E-6,4.52300507380928E-5,2.22901150916303E-6,0.849606275558472,0.975183129310608,30.1865692138672,0.188594087958336,30,4,200,-0.00810805521905422,0.0486538857221603,0.304405331611633,1,,,,,,,,,,,,,,,,
,3952774679.35121,2.51053595542908,999.893371582031,,,6,,,,30.7539529484716,,,1,,,,,,,,,,,,,,,,,,,,,,2.30253648757935,2.69536137580872,999.893371582031,999.893371582031,,,2.3901469707489,,1,0,0,0,0.0128173828125,31.2805480957031,6,1,1,2.71853542327881,0,2.49500028292338,,,4.4041556473084E-5,2.1926469174864E-6,4.45114257291815E-5,2.19366062689529E-6,0.855928838253021,0.974026501178742,30.2125587463379,0.0737923383712769,30,4,200,-0.00684766098856926,-0.0186498966068029,0.226041316986084,1,,,,,,,,,,,,,,,,
,3952774689.29685,2.95085787773132,999.893371582031,,,6,,,,30.7539529484716,,,1,,,,,,,,,,,,,,,,,,,,,,2.71853542327881,3.16904664039612,999.893371582031,999.893371582031,,,2.57731509208679,,1,0,0,0,0.0128173828125,30.7917900085449,6,1,1,3.18318033218384,0,2.94444153308868,,,4.34506870670652E-5,2.1632363037111E-6,4.39199953636126E-5,2.16422105149833E-6,0.855907380580902,0.979866564273834,30.208854675293,0.104534141719341,30,4,200,-0.00586769403889775,-0.0775416195392609,0.159590765833855,1,,,,,,,,,,,,,,,,
,3952774699.26659,3.41818356513977,999.893371582031,,,6,,,,30.7539529484716,,,1,,,,,,,,,,,,,,,,,,,,,,3.19197344779968,3.59803509712219,999.893371582031,999.893371582031,,,2.74609565734863,,1,0,0,0,0.0128173828125,31.2805480957031,6,1,1,3.64439368247986,0,3.39314818382263,,,4.28908854537975E-5,2.13480278997586E-6,4.33415671635252E-5,2.1357662400874E-6,0.857712924480438,0.978785693645477,30.216646194458,5.49696683883667,30,4,200,-0.00447140354663134,-0.122976936399937,0.100755214691162,1,,,,,,,,,,,,,,,,
,3952774708.94101,3.87965667247772,999.893371582031,,,6,,,,30.7539529484716,,,1,,,,,,,,,,,,,,,,,,,,,,3.64439368247986,4.09472370147705,999.893371582031,999.893371582031,,,2.89970946311951,,1,0,0,0,0,30.7917900085449,6,1,1,4.11491966247559,0,3.8687396314409,,,4.23567999487003E-5,2.10795931544926E-6,4.27997289868632E-5,2.10888829123547E-6,0.858567774295807,0.983224809169769,30.2180347442627,,30,4,200,-0.00433167163282633,-0.162067458033562,0.0583567842841148,1,,,,,,,,,,,,,,,,
,3952774718.58189,4.34625935554504,999.893371582031,,,6,,,,30.7539529484716,,,1,,,,,,,,,,,,,,,,,,,,,,4.11491966247559,4.53489112854004,999.893371582031,999.893371582031,,,3.02994847297668,,1,0,0,0,0,30.7917900085449,6,1,1,4.5775990486145,0,4.32118733723958,,,4.20587582032103E-5,2.0925542985417E-6,4.24863600266098E-5,2.09345699602109E-6,0.860473811626434,0.98293524980545,30.2255573272705,0.0721802860498428,30,4,200,-0.00348998862318695,-0.196242719888687,0.0171723831444979,1,,,,,,,,,,,,,,,,
,3952774728.6055,4.8475923538208,999.893371582031,,,6,,,,30.7539529484716,,,1,,,,,,,,,,,,,,,,,,,,,,4.60019731521606,5.06586360931396,999.893371582031,999.893371582031,,,3.17321467399597,,1,0,0,0,0,30.7917900085449,6,1,1,5.09498739242554,0,4.82725916968452,,,4.1708329939952E-5,2.07495935288252E-6,4.21302251150851E-5,2.07586567741382E-6,0.861019253730774,0.98422372341156,30.2273387908936,0,30,4,200,-0.00336158508434892,-0.228098183870316,-0.0163711830973625,1,,,,,,,,,,,,,,,,
,3952774738.41009,5.33251214027405,999.893371582031,,,6,,,,30.7539529484716,,,1,,,,,,,,,,,,,,,,,,,,,,5.09498739242554,5.52355098724365,999.893371582031,999.893371582031,,,3.29363346099854,,1,0,0,0,0,30.7917900085449,6,1,1,5.57003688812256,0,5.30358123779297,,,4.15621234408174E-5,2.06773870170621E-6,4.1983946309245E-5,2.06864109123005E-6,0.860837996006012,0.984750866889954,30.2264595031738,1,30,4,200,-0.00317545491270721,-0.258021235466003,-0.04909947514534,1,,,,,,,,,,,,,,,,
,3952774748.14607,5.84111022949219,999.893371582031,,,6,,,,30.7539529484716,,,1,,,,,,,,,,,,,,,,,,,,,,5.59475517272949,6.05666637420654,999.893371582031,999.893371582031,,,3.40587735176086,,1,0,0,0,0,30.7917900085449,6,1,1,6.08746528625488,0,5.82909705903795,,,4.15744534853576E-5,2.06774450477861E-6,4.19834045717082E-5,2.06862345495333E-6,0.862926542758942,0.984483301639557,30.2345771789551,1.68919029874814E-7,30,4,200,-0.00270101218484342,-0.285714626312256,-0.079688772559166,1,,,,,,,,,,,,,,,,
