[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952585274.04972,03/31/2025,1:19 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,Second stage second crystal shard cut off of second crystal with many domains on it,SAMPLE_COMMENT
INFO,1.8,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.93,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952585288.05941,299.951126098633,999.808410644531,,,6,,,,31.0013083827057,,,1,,,,,,,,,,,,,,,,,,,,,,299.947357177734,299.954559326172,999.808410644531,999.808410644531,,,6.56839370727539,,1,0,0,0,0,33.7243423461914,1,1,1,299.954895019531,0,299.95211452908,,,2.00229867452081E-5,9.86482916502829E-7,2.00229867021426E-5,9.86482913649616E-7,0.993435323238373,0.993435442447662,31.0011615753174,,30,4,200,-0.000282364519080147,0.215616300702095,0.309477508068085,1,,,,,,,,,,,,,,,,
,3952585305.32929,299.888778686523,999.808410644531,,,6,,,,31.0013083827057,,,1,,,,,,,,,,,,,,,,,,,,,,299.836853027344,299.964996337891,999.808410644531,999.808410644531,,,6.55079174041748,,1,0,0,0,0,33.2355842590332,2,1,1,299.812561035156,0,299.918768988715,,,1.98983518142726E-5,9.81248609890179E-7,1.99001222300877E-5,9.81250371315516E-7,0.956539809703827,0.958590388298035,30.9513454437256,6.40755160929984E-6,30,4,200,0.00136571505572647,0.242118313908577,0.339272648096085,1,,,,,,,,,,,,,,,,
,3952585315.28377,299.625427246094,999.808410644531,,,6,,,,31.0013083827057,,,1,,,,,,,,,,,,,,,,,,,,,,299.454010009766,299.805969238281,999.808410644531,999.808410644531,,,6.54057931900024,,1,0,0,0,0,33.2355842590332,2,1,1,299.444885253906,0,299.638749864366,,,1.98806822278538E-5,9.79704676985543E-7,1.98812020375877E-5,9.79704881013902E-7,0.977227628231049,0.978396058082581,30.9740467071533,2.92817645686227E-7,30,4,200,0.000200848953681998,0.253684639930725,0.34681037068367,1,,,,,,,,,,,,,,,,
,3952585324.95798,299.226470947266,999.808410644531,,,6,,,,31.0013083827057,,,1,,,,,,,,,,,,,,,,,,,,,,299.042358398438,299.444885253906,999.808410644531,999.808410644531,,,6.53060626983643,,1,0,0,0,0,33.2355842590332,2,1,1,299.008056640625,0,299.262098524306,,,1.99683394433379E-5,9.84046355368567E-7,1.99688011981989E-5,9.84046515959227E-7,0.976271867752075,0.977259576320648,30.9756717681885,0.051397155970335,30,4,200,-0.000134522546431981,0.25226891040802,0.346548676490784,1,,,,,,,,,,,,,,,,
,3952585335.14773,298.73030090332,999.808410644531,,,6,,,,31.0013083827057,,,1,,,,,,,,,,,,,,,,,,,,,,298.504760742188,298.990447998047,999.808410644531,999.808410644531,,,6.52136087417603,,1,0,0,0,0,33.2355842590332,2,1,1,298.452545166016,0,298.744377983941,,,2.01422178103056E-5,9.9236092167553E-7,2.01423812932102E-5,9.92360869034999E-7,0.992878019809723,0.994136154651642,30.9859943389893,0,30,4,200,-0.000621674058493227,0.245649412274361,0.342045396566391,1,,,,,,,,,,,,,,,,
,3952585344.98365,298.171096801758,999.808410644531,,,6,,,,31.0013083827057,,,1,,,,,,,,,,,,,,,,,,,,,,297.8896484375,298.452545166016,999.808410644531,999.808410644531,,,6.51202344894409,,1,0,0,0,0,33.2355842590332,2,1,1,297.8896484375,0,298.185955810547,,,2.01539331403118E-5,9.92932533975934E-7,2.01539563839759E-5,9.92932419440861E-7,0.993716180324554,0.993921458721161,30.9952716827393,0.186549156904221,30,4,200,-0.000783881172537804,0.238670855760574,0.335806310176849,1,,,,,,,,,,,,,,,,
,3952585354.7474,297.605163574219,999.808410644531,,,6,,,,31.0013083827057,,,1,,,,,,,,,,,,,,,,,,,,,,297.362976074219,297.880157470703,999.808410644531,999.808410644531,,,6.50303316116333,,1,0,0,0,0,33.2355842590332,2,1,1,297.330169677734,0,297.606740315755,,,2.02042694171673E-5,9.95412785782662E-7,2.02042982976911E-5,9.95412692154668E-7,0.993671774864197,0.993917226791382,30.9946918487549,3.71151202216424E-7,30,4,200,-0.00067903456510976,0.231710180640221,0.32878977060318,1,,,,,,,,,,,,,,,,
,3952585372.9481,296.529342651367,999.808410644531,,,6,,,,30.9962685979201,,,1,,,,,,,,,,,,,,,,,,,,,,296.244750976562,296.830688476562,999.808410644531,999.808410644531,,,6.48713302612305,,1,0,0,0,0,33.2355842590332,2,1,1,296.227996826172,0,296.541090223524,,,2.02906559060927E-5,9.99667875108799E-7,2.02906564681009E-5,9.9966785323282E-7,0.993797183036804,0.993805170059204,30.9950752258301,5.36029386520386,30,4,200,-0.000627976143732667,0.219944655895233,0.317314893007278,1,,,,,,,,,,,,,,,,
,3952585382.90218,295.886001586914,999.808410644531,,,6,,,,30.9962685979201,,,1,,,,,,,,,,,,,,,,,,,,,,295.660980224609,296.227996826172,999.808410644531,999.808410644531,,,6.47812843322754,,1,0,0,0,0,33.2355842590332,2,1,1,295.544006347656,0,295.964131673177,,,2.03538551696171E-5,1.00278244395223E-6,2.03538555190794E-5,1.00278245777146E-6,0.993701756000519,0.993702292442322,30.99658203125,0,30,4,200,-0.000608325412031263,0.213904082775116,0.311698943376541,1,,,,,,,,,,,,,,,,
,3952585392.92486,295.23454284668,999.808410644531,,,6,,,,30.9962685979201,,,1,,,,,,,,,,,,,,,,,,,,,,294.974914550781,295.530426025391,999.808410644531,999.808410644531,,,6.47158145904541,,1,0,0,0,0,33.2355842590332,2,1,1,294.938659667969,0,295.261922200521,,,2.04096755020513E-5,1.00552902796634E-6,2.04096847886763E-5,1.0055288262331E-6,0.994330167770386,0.994446992874146,30.9919281005859,0,30,4,200,-0.000539557542651892,0.208257079124451,0.305607199668884,1,,,,,,,,,,,,,,,,
