[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952573915.91993,03/31/2025,10:10 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,Second stage second crystal shard cut off of second crystal with many domains on it,SAMPLE_COMMENT
INFO,1.8,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.93,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952574171.34186,299.756607055664,1000.37896728516,,,6,,,,31.0016390084154,,,1,,,,,,,,,,,,,,,,,,,,,,299.741851806641,299.776763916016,1000.37896728516,1000.37896728516,,,6.05284023284912,,1,0,0,0,0,31.7693061828613,1,1,1,299.771362304687,0,299.76511976454,,,1.99512229153473E-5,9.83316910249423E-7,1.99522097960172E-5,9.83319575391064E-7,0.971805393695831,0.973514199256897,31.0381774902344,1.74514370883117E-5,30,4,200,0.000126357947010547,0.411672502756119,0.504792094230652,1,,,,,,,,,,,,,,,,
,3952574188.54167,299.619750976562,1000.37896728516,,,6,,,,31.0016390084154,,,1,,,,,,,,,,,,,,,,,,,,,,299.481750488281,299.806976318359,1000.37896728516,1000.37896728516,,,6.0566086769104,,1,0,0,0,0,32.2580642700195,2,1,1,299.432525634766,0,299.689575195313,,,1.99730632524441E-5,9.89422665676853E-7,1.9974738277537E-5,9.89425623475207E-7,0.895470321178436,0.896238446235657,30.9534912109375,,30,4,200,0.00154799234587699,-0.646671056747437,0.574555695056915,1,,,,,,,,,,,,,,,,
,3952574198.28187,298.987976074219,1000.37896728516,,,6,,,,31.0016390084154,,,1,,,,,,,,,,,,,,,,,,,,,,298.570709228516,299.432525634766,1000.37896728516,1000.37896728516,,,6.0535044670105,,1,0,0,0,0,32.2580642700195,2,1,1,298.543426513672,0,299.017801920573,,,2.03516790523342E-5,1.0041307600119E-6,2.0367251382272E-5,1.00416994181047E-6,0.945804417133331,0.961416602134705,31.1463470458984,,30,4,200,0.000780723232310265,-0.639988541603088,-0.541666328907013,1,,,,,,,,,,,,,,,,
,3952574208.01371,298.049301147461,1000.37896728516,,,6,,,,31.0016390084154,,,1,,,,,,,,,,,,,,,,,,,,,,297.644195556641,298.522552490234,1000.37896728516,1000.37896728516,,,6.05157041549683,,1,0,0,0,0.00030517578125,32.2580642700195,2,1,1,297.576049804687,0,298.107750786675,,,2.10354730123401E-5,1.03852517581899E-6,2.1036747287716E-5,1.03852857091889E-6,0.935210525989532,0.93609744310379,31.0423202514648,8.23791367565718E-7,30,4,200,0.00104857992846519,-0.64232736825943,-0.539799511432648,1,,,,,,,,,,,,,,,,
,3952574226.26612,295.896697998047,1000.37896728516,,,6,,,,30.9963085683328,,,1,,,,,,,,,,,,,,,,,,,,,,295.377899169922,296.493408203125,1000.37896728516,1000.37896728516,,,6.04564666748047,,1,0,0,0,0,32.2580642700195,2,1,1,295.299987792969,0,295.936889648438,,,2.01557583550747E-5,9.93200630962701E-7,2.01558394942862E-5,9.93201256932656E-7,0.98006397485733,0.980234920978546,31.0061569213867,0,30,4,200,-0.00127241818699986,-0.640952289104462,-0.537395060062408,1,,,,,,,,,,,,,,,,
,3952574236.25659,294.527862548828,1000.37896728516,,,6,,,,30.9963085683328,,,1,,,,,,,,,,,,,,,,,,,,,,293.884307861328,295.299987792969,1000.37896728516,1000.37896728516,,,6.04076290130615,,1,0,0,0,0,32.2580642700195,2,1,1,293.755737304687,0,294.568667602539,,,2.02809220653251E-5,9.99719450395314E-7,2.02859079013539E-5,9.99735421792005E-7,0.966824650764465,0.974675357341766,31.0775165557861,3.24811185237195E-6,30,4,200,-0.00165035645477474,-0.641355693340302,-0.53574001789093,1,,,,,,,,,,,,,,,,
,3952574254.98694,291.371780395508,1000.37896728516,,,6,,,,30.9894534536305,,,1,,,,,,,,,,,,,,,,,,,,,,290.585693359375,292.237579345703,1000.37896728516,1000.37896728516,,,6.03347969055176,,1,0,0,0,0.00274658203125,31.7693061828613,2,1,1,290.505981445313,0,291.42877875434,,,2.07786906138215E-5,1.0237649354753E-6,2.07797035757779E-5,1.02376978258883E-6,0.988123953342438,0.992718458175659,31.0250129699707,0.0526297725737095,30,4,200,-0.000449362822109833,-0.653472423553467,-0.555225074291229,1,,,,,,,,,,,,,,,,
,3952574273.65984,288.209701538086,1000.37896728516,,,6,,,,30.9844460541127,,,1,,,,,,,,,,,,,,,,,,,,,,287.337097167969,289.082305908203,1000.37896728516,1000.37896728516,,,6.0274338722229,,1,0,0,0,0,31.7693061828613,2,1,1,287.337097167969,0,288.238467407227,,,2.10768647989712E-5,1.03844846853704E-6,2.10779604342071E-5,1.03845352588513E-6,0.988758087158203,0.994328558444977,31.0212306976318,3.77392659345332E-8,30,4,200,-0.000305758614558727,-0.660484373569489,-0.561564266681671,1,,,,,,,,,,,,,,,,
,3952574283.55342,286.436141967773,1000.37896728516,,,6,,,,30.9844460541127,,,1,,,,,,,,,,,,,,,,,,,,,,285.648864746094,287.284484863281,1000.37896728516,1000.37896728516,,,6.02571535110474,,1,0,0,0,0.0188446044921875,31.7693061828613,2,1,1,285.587799072266,0,286.499389648438,,,2.12175836546372E-5,1.04537410251108E-6,2.12184840272955E-5,1.0453769582762E-6,0.989393591880798,0.994247078895569,31.0182151794434,1.25997685245238E-5,30,4,200,-0.000246934767346829,-0.663178205490112,-0.564215362071991,1,,,,,,,,,,,,,,,,
,3952574301.95039,283.181396484375,1000.37896728516,,,6,,,,30.9772445873445,,,1,,,,,,,,,,,,,,,,,,,,,,282.351501464844,284.100189208984,1000.37896728516,1000.37896728516,,,6.02160692214966,,1,0,0,0,0.0197601318359375,32.2580642700195,2,1,1,282.262603759766,0,283.272640652127,,,2.1536023027842E-5,1.06108596879292E-6,2.15374839337286E-5,1.06109108366893E-6,0.987526535987854,0.994561851024628,31.0197830200195,0,30,4,200,-0.000201286922674626,-0.667804360389709,-0.567502081394196,1,,,,,,,,,,,,,,,,
