[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952576975.08423,03/31/2025,11:01 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,Second stage second crystal shard cut off of second crystal with many domains on it,SAMPLE_COMMENT
INFO,1.8,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.93,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952580003.04375,1.80066645145416,999.808410644531,,,6,,,,30.7148452653296,,,1,,,,,,,,,,,,,,,,,,,,,,1.79920399188995,1.8008199930191,999.808410644531,999.808410644531,,,1.87974345684052,,1,0,0,0,0.0128173828125,32.7468223571777,1,1,1,1.80051290988922,0,1.80009087324142,,,0.000175324214264885,8.63781660094035E-6,0.000175325289229442,8.63781539574711E-6,0.992974400520325,0.993932247161865,30.7014427185059,0,30,4,200,-0.00193581194616854,-0.232210606336594,0.58545196056366,1,,,,,,,,,,,,,,,,
,3952580019.79251,2.08875405788422,999.808410644531,,,6,,,,30.7148452653296,,,1,,,,,,,,,,,,,,,,,,,,,,1.8957200050354,2.24950814247131,999.808410644531,999.808410644531,,,2.09463858604431,,1,0,0,0,0,32.2580642700195,6,1,1,2.28178811073303,0,2.06444573402405,,,0.000175265718772454,8.6349446769822E-6,0.000175266626260057,8.63494152248284E-6,0.992834448814392,0.99365496635437,30.7022457122803,0.152457922697067,30,4,200,-0.00886466447263956,-0.333769857883453,0.524457275867462,1,,,,,,,,,,,,,,,,
,3952580029.89611,2.51766896247864,999.808410644531,,,6,,,,30.7148452653296,,,1,,,,,,,,,,,,,,,,,,,,,,2.30252408981323,2.71106553077698,999.808410644531,999.808410644531,,,2.29830074310303,,1,0,0,0,0,32.7468223571777,6,1,1,2.73281383514404,0,2.49938416481018,,,0.000175048865815925,8.62424978916533E-6,0.00017504998665124,8.62424891933538E-6,0.993017792701721,0.994021415710449,30.7011985778809,,30,4,200,-0.0066295089200139,-0.403321862220764,0.441635549068451,1,,,,,,,,,,,,,,,,
,3952580039.67721,2.94800400733948,999.808410644531,,,6,,,,30.7148452653296,,,1,,,,,,,,,,,,,,,,,,,,,,2.73281383514404,3.10719752311707,999.808410644531,999.808410644531,,,2.46167421340942,,1,0,0,0,0,32.2580642700195,6,1,1,3.16319417953491,0,2.91709099875556,,,0.000175090241742333,8.62626770307385E-6,0.000175091369445019,8.62626379352054E-6,0.993337512016296,0.994468152523041,30.7007942199707,,30,4,200,-0.00557117629796267,-0.457610994577408,0.379645377397537,1,,,,,,,,,,,,,,,,
,3952580049.48061,3.3899735212326,999.808410644531,,,6,,,,30.7148452653296,,,1,,,,,,,,,,,,,,,,,,,,,,3.17315149307251,3.59168314933777,999.808410644531,999.808410644531,,,2.62436008453369,,1,0,0,0,0.0128173828125,32.7468223571777,6,1,1,3.6067955493927,0,3.37735194630093,,,0.000175129295211617,8.62817320790069E-6,0.000175130776039932,8.62817048610862E-6,0.993632853031158,0.995204269886017,30.69899559021,4.00615908802138E-6,30,4,200,-0.00499336235225201,-0.505419254302978,0.328201353549957,1,,,,,,,,,,,,,,,,
,3952580059.47477,3.86401498317719,999.808410644531,,,6,,,,30.7148452653296,,,1,,,,,,,,,,,,,,,,,,,,,,3.61781048774719,4.08852624893188,999.808410644531,999.808410644531,,,2.78389525413513,,1,0,0,0,0.0141143798828125,32.2580642700195,6,1,1,4.11021947860718,0,3.85121586322784,,,0.000175317078411933,8.63741337464142E-6,0.000175318909649709,8.63740986561801E-6,0.993893623352051,0.996052145957947,30.6972179412842,5.35977506637573,30,4,200,-0.00394218461588025,-0.546141445636749,0.283054322004318,1,,,,,,,,,,,,,,,,
,3952580069.45005,4.34803366661072,999.808410644531,,,6,,,,30.7148452653296,,,1,,,,,,,,,,,,,,,,,,,,,,4.11021947860718,4.54292964935303,999.808410644531,999.808410644531,,,2.91901588439941,,1,0,0,0,0.0128173828125,32.7468223571777,6,1,1,4.58584785461426,0,4.32126723395454,,,0.000175802711831523,8.66134295002881E-6,0.000175804624963291,8.6613415128288E-6,0.993811249732971,0.995974481105804,30.6970596313477,1.54836766341759E-6,30,4,200,-0.0039901677519083,-0.58426171541214,0.246325194835663,1,,,,,,,,,,,,,,,,
,3952580079.1855,4.8372209072113,999.808410644531,,,6,,,,30.7148452653296,,,1,,,,,,,,,,,,,,,,,,,,,,4.59442806243897,5.0586256980896,999.808410644531,999.808410644531,,,3.04487800598145,,1,0,0,0,0,32.7468223571777,6,1,1,5.08001375198364,0,4.82099342346191,,,0.000176544437387291,8.69788932449034E-6,0.000176546496807774,8.69788558054309E-6,0.993769347667694,0.996175050735474,30.6962356567383,2.83004908396833E-7,30,4,200,-0.0036474906373769,-0.622559428215027,0.210265800356865,1,,,,,,,,,,,,,,,,
,3952580089.22133,5.33474683761597,999.808410644531,,,6,,,,30.7148452653296,,,1,,,,,,,,,,,,,,,,,,,,,,5.08001375198364,5.58062982559204,999.808410644531,999.808410644531,,,3.16435933113098,,1,0,0,0,0.0128173828125,32.7468223571777,6,1,1,5.58947992324829,0,5.32237949371338,,,0.000177776796263149,8.75861715407132E-6,0.000177778782656367,8.75861413630915E-6,0.993498682975769,0.995614588260651,30.6966857910156,0.153497666120529,30,4,200,-0.00331886089406908,-0.660324156284332,0.176841527223587,1,,,,,,,,,,,,,,,,
,3952580099.20227,5.84000158309937,999.808410644531,,,6,,,,30.7148452653296,,,1,,,,,,,,,,,,,,,,,,,,,,5.58947992324829,6.05423450469971,999.808410644531,999.808410644531,,,3.26830220222473,,1,0,0,0,0.0128173828125,32.7468223571777,6,1,1,6.09052324295044,0,5.82413371404012,,,0.000179874545481955,8.86200054349672E-6,0.000179876875685521,8.86199998322153E-6,0.992966592311859,0.995159089565277,30.6955394744873,,30,4,200,-0.00278344424441457,-0.696679055690765,0.146804258227348,1,,,,,,,,,,,,,,,,
