[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952756741.99037,04/02/2025,12:57 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,second crystal shard TB001 2X2,SAMPLE_COMMENT
INFO,1.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.31,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952756755.51593,299.94856262207,999.893371582031,,,6,,,,30.5335615257233,,,1,,,,,,,,,,,,,,,,,,,,,,299.944976806641,299.951721191406,999.893371582031,999.893371582031,,,7.24361896514893,,1,0,0,0,0,32.2580642700195,1,1,1,299.9521484375,0,299.949595133464,,,1.83130242549551E-5,9.02427365256294E-7,1.8315156145922E-5,9.02430816785215E-7,0.978462219238281,0.984547197818756,30.4764862060547,,30,4,200,-0.000675759045407176,-0.346576064825058,-0.258718073368073,1,,,,,,,,,,,,,,,,
,3952756772.14219,299.884765625,999.893371582031,,,6,,,,30.5335615257233,,,1,,,,,,,,,,,,,,,,,,,,,,299.819641113281,299.960357666016,999.893371582031,999.893371582031,,,7.21832466125488,,1,0,0,0,0,32.2580642700195,2,1,1,299.809173583984,0,299.907199435764,,,1.80341373279275E-5,8.90082668161113E-7,1.80411502474746E-5,8.90096454015679E-7,0.939983487129211,0.946541726589203,30.4299774169922,0.186899840831757,30,4,200,0.00125307787675411,-0.321724027395248,-0.235119134187698,1,,,,,,,,,,,,,,,,
,3952756782.10672,299.642105102539,999.893371582031,,,6,,,,30.5335615257233,,,1,,,,,,,,,,,,,,,,,,,,,,299.492919921875,299.809173583984,999.893371582031,999.893371582031,,,7.20045137405395,,1,0,0,0,0,33.2355842590332,2,1,1,299.475036621094,0,299.66838684082,,,1.81600598543377E-5,8.95072924587885E-7,1.81624287474008E-5,8.95077936350627E-7,0.970434188842773,0.975006997585297,30.4736213684082,0,30,4,200,-0.000283770554233342,-0.315347284078598,-0.229229837656021,1,,,,,,,,,,,,,,,,
,3952756792.09762,299.243835449219,999.893371582031,,,6,,,,30.5335615257233,,,1,,,,,,,,,,,,,,,,,,,,,,299.054870605469,299.467529296875,999.893371582031,999.893371582031,,,7.18478298187256,,1,0,0,0,0,31.7693061828613,2,1,1,299.020141601562,0,299.289025200738,,,1.82632439036072E-5,9.00776421787437E-7,1.82733262454772E-5,9.00796430287192E-7,0.952631533145905,0.965558648109436,30.409948348999,0,30,4,200,-0.000191652288776822,-0.318864524364471,-0.2314383238554,1,,,,,,,,,,,,,,,,
,3952756801.73917,298.756652832031,999.893371582031,,,6,,,,30.5335615257233,,,1,,,,,,,,,,,,,,,,,,,,,,298.561126708984,299.020141601562,999.893371582031,999.893371582031,,,7.17050361633301,,1,0,0,0,0,32.2580642700195,2,1,1,298.4931640625,0,298.800067901611,,,1.83554671666142E-5,9.04508086071446E-7,1.83575507947235E-5,9.04511148051537E-7,0.979019582271576,0.985167443752289,30.477123260498,,30,4,200,-0.000953474140260369,-0.327838957309723,-0.238334149122238,1,,,,,,,,,,,,,,,,
,3952756811.44354,298.189956665039,999.893371582031,,,6,,,,30.5335615257233,,,1,,,,,,,,,,,,,,,,,,,,,,297.93017578125,298.482666015625,999.893371582031,999.893371582031,,,7.15571594238281,,1,0,0,0,0,32.7468223571777,2,1,1,297.897247314453,0,298.207319471571,,,1.83885646264736E-5,9.06142222616432E-7,1.83906024704095E-5,9.0614575375355E-7,0.978869616985321,0.984744548797607,30.4779453277588,0,30,4,200,-0.000967430998571217,-0.337521225214005,-0.247258365154266,1,,,,,,,,,,,,,,,,
,3952756821.54785,297.582305908203,999.893371582031,,,6,,,,30.5335615257233,,,1,,,,,,,,,,,,,,,,,,,,,,297.369903564453,297.870300292969,999.893371582031,999.893371582031,,,7.14010763168335,,1,0,0,0,0,32.2580642700195,2,1,1,297.294311523438,0,297.610616048177,,,1.84299469302593E-5,9.08188909672021E-7,1.84322479401543E-5,9.08192633429292E-7,0.978455722332001,0.985075175762177,30.4744758605957,0,30,4,200,-0.000942070269957185,-0.346534311771393,-0.256534278392792,1,,,,,,,,,,,,,,,,
,3952756840.14113,296.477920532227,999.893371582031,,,6,,,,30.5281387247961,,,1,,,,,,,,,,,,,,,,,,,,,,296.236999511719,296.763885498047,999.893371582031,999.893371582031,,,7.11432504653931,,1,0,0,0,0,31.7693061828613,2,1,1,296.191955566406,0,296.506537543403,,,1.85162776353247E-5,9.12419927728177E-7,1.85184198824197E-5,9.1242232534605E-7,0.979673743247986,0.986321449279785,30.4709739685059,0,30,4,200,-0.00100287946406752,-0.364709109067917,-0.273871064186096,1,,,,,,,,,,,,,,,,
,3952756849.87609,295.88737487793,999.893371582031,,,6,,,,30.5281387247961,,,1,,,,,,,,,,,,,,,,,,,,,,295.594055175781,296.180694580078,999.893371582031,999.893371582031,,,7.10142183303833,,1,0,0,0,0,32.2580642700195,2,1,1,295.594055175781,0,295.890393066406,,,1.85533655977655E-5,9.14258075940297E-7,1.85554231408126E-5,9.14259930257256E-7,0.979115068912506,0.9852175116539,30.4720230102539,0,30,4,200,-0.000960638164542615,-0.374517112970352,-0.283549785614014,1,,,,,,,,,,,,,,,,
,3952756859.55138,295.304214477539,999.893371582031,,,6,,,,30.5281387247961,,,1,,,,,,,,,,,,,,,,,,,,,,295.054016113281,295.58544921875,999.893371582031,999.893371582031,,,7.08857917785645,,1,0,0,0,0,32.2580642700195,2,1,1,295.022979736328,0,295.328497992622,,,1.8617819390581E-5,9.17411261455821E-7,1.86194592736005E-5,9.17412367294957E-7,0.980347812175751,0.985422074794769,30.4780178070068,0.186571598052979,30,4,200,-0.000862747721839696,-0.383268982172012,-0.292887508869171,1,,,,,,,,,,,,,,,,
,3952756869.57714,294.703369140625,999.893371582031,,,6,,,,30.5281387247961,,,1,,,,,,,,,,,,,,,,,,,,,,294.406494140625,294.99658203125,999.893371582031,999.893371582031,,,7.07560348510742,,1,0,0,0,0,32.2580642700195,2,1,1,294.383758544922,0,294.706011962891,,,1.86671440842471E-5,9.19870603029319E-7,1.86692118536704E-5,9.19873378995794E-7,0.978817641735077,0.984726786613464,30.4723072052002,0,30,4,200,-0.000712340755853802,-0.391050785779953,-0.30114409327507,1,,,,,,,,,,,,,,,,
,3952756879.55144,294.078567504883,999.893371582031,,,6,,,,30.5281387247961,,,1,,,,,,,,,,,,,,,,,,,,,,293.840606689453,294.383758544922,999.893371582031,999.893371582031,,,7.06270980834961,,1,0,0,0,0,30.7917900085449,2,1,1,293.773376464844,0,294.129638671875,,,1.86481448395201E-5,9.18988530491063E-7,1.86509101547551E-5,9.18991823635422E-7,0.976201176643372,0.983353197574615,30.4634647369385,1.7211652448168E-5,30,4,200,-0.000550507160369307,-0.397177934646606,-0.308200120925903,1,,,,,,,,,,,,,,,,
,3952756898.14761,292.963302612305,999.893371582031,,,6,,,,30.5226931787261,,,1,,,,,,,,,,,,,,,,,,,,,,292.738372802734,293.262847900391,999.893371582031,999.893371582031,,,7.03786134719849,,1,0,0,0,0,32.2580642700195,2,1,1,292.663757324219,0,293.01417711046,,,1.87483235163493E-5,9.23824371560637E-7,1.87496707450475E-5,9.23826438885262E-7,0.981353640556335,0.985560834407806,30.4778881072998,5.28471446159529E-7,30,4,200,-0.000576197169721127,-0.407299906015396,-0.317836821079254,1,,,,,,,,,,,,,,,,
,3952756907.8007,292.3818359375,999.893371582031,,,6,,,,30.5226931787261,,,1,,,,,,,,,,,,,,,,,,,,,,292.116424560547,292.663757324219,999.893371582031,999.893371582031,,,7.02631616592407,,1,0,0,0,0,32.2580642700195,2,1,1,292.099914550781,0,292.380869547526,,,1.88369072099373E-5,9.28343982339867E-7,1.88398000898169E-5,9.28348806217098E-7,0.973904848098755,0.98039436340332,30.4571743011475,0,30,4,200,-0.000593681645113975,-0.413207590579987,-0.323469400405884,1,,,,,,,,,,,,,,,,
,3952756917.70468,291.771301269531,999.893371582031,,,6,,,,30.5226931787261,,,1,,,,,,,,,,,,,,,,,,,,,,291.524047851562,292.077667236328,999.893371582031,999.893371582031,,,7.01312017440796,,1,0,0,0,0,32.7468223571777,2,1,1,291.464935302734,0,291.802685546875,,,1.87934609869053E-5,9.26316965690363E-7,1.87975625237344E-5,9.26323814703401E-7,0.96955269575119,0.977512419223785,30.4446125030518,1.80492497747764E-6,30,4,200,-0.000353410810930654,-0.418895781040192,-0.329428046941757,1,,,,,,,,,,,,,,,,
,3952756927.69652,291.182159423828,999.893371582031,,,6,,,,30.5226931787261,,,1,,,,,,,,,,,,,,,,,,,,,,290.954132080078,291.459167480469,999.893371582031,999.893371582031,,,7.00002241134644,,1,0,0,0,0,32.2580642700195,2,1,1,290.905151367188,0,291.202575683594,,,1.88226434804619E-5,9.27709696538123E-7,1.88257024017889E-5,9.27714501782188E-7,0.971201658248901,0.97730827331543,30.4553031921387,0,30,4,200,-0.000352102390024811,-0.423729747533798,-0.334279298782349,1,,,,,,,,,,,,,,,,
,3952756937.37718,290.619140625,999.893371582031,,,6,,,,30.5226931787261,,,1,,,,,,,,,,,,,,,,,,,,,,290.350067138672,290.905151367188,999.893371582031,999.893371582031,,,6.98791170120239,,1,0,0,0,0,31.7693061828613,2,1,1,290.333129882812,0,290.616363525391,,,1.89557467367376E-5,9.34208823650753E-7,1.89593578221104E-5,9.34216518007891E-7,0.973569929599762,0.981717705726623,30.4500885009766,1.02710882856627E-5,30,4,200,-0.000509841309394687,-0.429791510105133,-0.339550644159317,1,,,,,,,,,,,,,,,,
,3952756955.74697,289.519866943359,999.893371582031,,,6,,,,30.5174627561001,,,1,,,,,,,,,,,,,,,,,,,,,,289.238433837891,289.807189941406,999.893371582031,999.893371582031,,,6.96488666534424,,1,0,0,0,0,31.7693061828613,2,1,1,289.232543945313,0,289.517832438151,,,1.89705216411217E-5,9.34876852639463E-7,1.89724451667299E-5,9.34879684475389E-7,0.976119637489319,0.980670154094696,30.4641723632812,1.11830513560562E-5,30,4,200,-0.000489254074636847,-0.4389668405056,-0.348515123128891,1,,,,,,,,,,,,,,,,
,3952756965.51139,288.918716430664,999.893371582031,,,6,,,,30.5174627561001,,,1,,,,,,,,,,,,,,,,,,,,,,288.686462402344,289.204772949219,999.893371582031,999.893371582031,,,6.95218992233276,,1,0,0,0,0,32.2580642700195,2,1,1,288.632659912109,0,288.967468261719,,,1.91744254754817E-5,9.44884604002665E-7,1.91764648756661E-5,9.44886580201929E-7,0.978005588054657,0.983407616615295,30.4625415802002,,30,4,200,-0.000629834947176278,-0.445824027061462,-0.354286551475525,1,,,,,,,,,,,,,,,,
,3952756975.61444,288.305130004883,999.893371582031,,,6,,,,30.5174627561001,,,1,,,,,,,,,,,,,,,,,,,,,,288.008972167969,288.601287841797,999.893371582031,999.893371582031,,,6.93983268737793,,1,0,0,0,0.0128173828125,32.2580642700195,2,1,1,288.008972167969,0,288.297317504883,,,1.89534202878411E-5,9.34252606687833E-7,1.89560556049826E-5,9.34256585173076E-7,0.967795670032501,0.972290575504303,30.4551181793213,3.40115934704954E-6,30,4,200,-0.000184641379746608,-0.449168056249619,-0.358666777610779,1,,,,,,,,,,,,,,,,
,3952756985.52272,287.714172363281,999.893371582031,,,6,,,,30.5174627561001,,,1,,,,,,,,,,,,,,,,,,,,,,287.514068603516,287.997863769531,999.893371582031,999.893371582031,,,6.92728424072266,,1,0,0,0,0,32.2580642700195,2,1,1,287.452392578125,0,287.768259684245,,,1.91720577534478E-5,9.4500154173296E-7,1.91773923827584E-5,9.45010966217341E-7,0.968730092048645,0.978983044624329,30.429386138916,2.16289790841984E-5,30,4,200,-0.000285412796074525,-0.454416781663895,-0.363542318344116,1,,,,,,,,,,,,,,,,
,3952756995.23445,287.1484375,999.893371582031,,,6,,,,30.5174627561001,,,1,,,,,,,,,,,,,,,,,,,,,,286.890411376953,287.439331054687,999.893371582031,999.893371582031,,,6.91508913040161,,1,0,0,0,0,32.2580642700195,2,1,1,286.857543945313,0,287.178846571181,,,1.91922487219177E-5,9.45816566591154E-7,1.91946031806056E-5,9.45819486280321E-7,0.975564360618591,0.981077790260315,30.4586639404297,0,30,4,200,-0.000383014004910365,-0.459552049636841,-0.368708729743958,1,,,,,,,,,,,,,,,,
,3952757013.42512,286.069839477539,999.893371582031,,,6,,,,30.5121960623071,,,1,,,,,,,,,,,,,,,,,,,,,,285.826202392578,286.335083007813,999.893371582031,999.893371582031,,,6.89295816421509,,1,0,0,0,0,32.7468223571777,2,1,1,285.804595947266,0,286.087561713325,,,1.92315662008265E-5,9.47749670974864E-7,1.92330986087163E-5,9.477525727552E-7,0.975764334201813,0.979162275791168,30.4652099609375,5.51952981948853,30,4,200,-0.000365864427294582,-0.467928558588028,-0.376548886299133,1,,,,,,,,,,,,,,,,
,3952757023.04098,285.533401489258,999.893371582031,,,6,,,,30.5121960623071,,,1,,,,,,,,,,,,,,,,,,,,,,285.305877685547,285.804595947266,999.893371582031,999.893371582031,,,6.88156080245972,,1,0,0,0,0,32.2580642700195,2,1,1,285.26220703125,0,285.552581787109,,,1.9407284818894E-5,9.5638866960038E-7,1.94102516069035E-5,9.56394649831432E-7,0.976675271987915,0.984158635139465,30.4471092224121,1.36566109176783E-6,30,4,200,-0.000536868581548333,-0.473668247461319,-0.381330341100693,1,,,,,,,,,,,,,,,,
,3952757033.0631,284.94889831543,999.893371582031,,,6,,,,30.5121960623071,,,1,,,,,,,,,,,,,,,,,,,,,,284.7001953125,285.236968994141,999.893371582031,999.893371582031,,,6.86947250366211,,1,0,0,0,0,31.2805480957031,2,1,1,284.660827636719,0,284.97220187717,,,1.92402847522648E-5,9.48326010725352E-7,1.92429152748598E-5,9.48330945638709E-7,0.970056533813477,0.974824666976929,30.450590133667,0,30,4,200,-0.00025882525369525,-0.477840602397919,-0.38615956902504,1,,,,,,,,,,,,,,,,
,3952757042.84864,284.380935668945,999.893371582031,,,6,,,,30.5121960623071,,,1,,,,,,,,,,,,,,,,,,,,,,284.157531738281,284.660827636719,999.893371582031,999.893371582031,,,6.85855722427368,,1,0,0,0,0,32.2580642700195,2,1,1,284.101043701172,0,284.410163031684,,,1.9295383590025E-5,9.51189226025312E-7,1.92989607160557E-5,9.51195976996339E-7,0.965271472930908,0.970847070217133,30.4403953552246,0,30,4,200,-0.000641564547549933,-0.484990805387497,-0.391263335943222,1,,,,,,,,,,,,,,,,
,3952757052.52422,283.848358154297,999.893371582031,,,6,,,,30.5121960623071,,,1,,,,,,,,,,,,,,,,,,,,,,283.621520996094,284.101043701172,999.893371582031,999.893371582031,,,6.84834480285645,,1,0,0,0,0,32.2580642700195,2,1,1,283.595672607422,0,283.87636311849,,,1.9218609773478E-5,9.47794266540197E-7,1.92218750595061E-5,9.47800289701309E-7,0.954968810081482,0.958752572536468,30.4436359405518,5.35512113571167,30,4,200,0.000309651804855093,-0.480752438306808,-0.390559285879135,1,,,,,,,,,,,,,,,,
,3952757062.13461,283.338745117187,999.893371582031,,,6,,,,30.5121960623071,,,1,,,,,,,,,,,,,,,,,,,,,,283.126983642578,283.595672607422,999.893371582031,999.893371582031,,,6.83828783035278,,1,0,0,0,0,32.2580642700195,2,1,1,283.081817626953,0,283.377129448785,,,1.95516219478382E-5,9.63456462377254E-7,1.95534713781732E-5,9.63460078838895E-7,0.978772759437561,0.983599007129669,30.4609470367432,0,30,4,200,-0.000582550012040883,-0.486429840326309,-0.394380927085876,1,,,,,,,,,,,,,,,,
,3952757080.41527,282.322601318359,999.893371582031,,,6,,,,30.5064358177033,,,1,,,,,,,,,,,,,,,,,,,,,,282.106048583984,282.584533691406,999.893371582031,999.893371582031,,,6.82064342498779,,1,0,0,0,0,31.2805480957031,2,1,1,282.060668945313,0,282.37939453125,,,1.94676246018639E-5,9.59725508676619E-7,1.94702831213032E-5,9.59728146507622E-7,0.963934540748596,0.96785306930542,30.4443340301514,5.35696840286255,30,4,200,-1.40179554364295E-5,-0.488532930612564,-0.396191537380218,1,,,,,,,,,,,,,,,,
,3952757090.48571,281.720672607422,999.893371582031,,,6,,,,30.5064358177033,,,1,,,,,,,,,,,,,,,,,,,,,,281.466827392578,282.015747070313,999.893371582031,999.893371582031,,,6.81105613708496,,1,0,0,0,0,32.2580642700195,2,1,1,281.425598144531,0,281.751732720269,,,1.94990190452062E-5,9.61251140809527E-7,1.95034421925197E-5,9.6125701484931E-7,0.964566826820374,0.971459448337555,30.4265251159668,5.51602458953857,30,4,200,4.98858025821391E-5,-0.49093496799469,-0.39940270781517,1,,,,,,,,,,,,,,,,
,3952757100.23917,281.160400390625,999.893371582031,,,6,,,,30.5064358177033,,,1,,,,,,,,,,,,,,,,,,,,,,280.946319580078,281.425598144531,999.893371582031,999.893371582031,,,6.8031644821167,,1,0,0,0,0,31.7693061828613,2,1,1,280.895202636719,0,281.198710123698,,,1.95060339200277E-5,9.6203989828355E-7,1.9511313990033E-5,9.62047700192677E-7,0.953372418880463,0.959379136562347,30.4194679260254,6.84622955304803E-6,30,4,200,0.000106296662124805,-0.493044257164001,-0.39951080083847,1,,,,,,,,,,,,,,,,
,3952757109.86396,280.624816894531,999.893371582031,,,6,,,,30.5064358177033,,,1,,,,,,,,,,,,,,,,,,,,,,280.384918212891,280.895202636719,999.893371582031,999.893371582031,,,6.79369401931763,,1,0,0,0,0,33.7243423461914,2,1,1,280.354431152344,0,280.642035590278,,,1.95921958556273E-5,9.65694462961218E-7,1.9595553474606E-5,9.65699511634533E-7,0.969271779060364,0.975256979465485,30.4371128082275,,30,4,200,-8.41931105242111E-5,-0.496437311172485,-0.404206782579422,1,,,,,,,,,,,,,,,,
,3952757119.48429,280.063446044922,999.893371582031,,,6,,,,30.5064358177033,,,1,,,,,,,,,,,,,,,,,,,,,,279.811920166016,280.354431152344,999.893371582031,999.893371582031,,,6.78555345535278,,1,0,0,0,0,32.2580642700195,2,1,1,279.7724609375,0,280.086591932509,,,1.95324205002868E-5,9.63906442088487E-7,1.95405997977389E-5,9.63921224539816E-7,0.942173063755035,0.9496049284935,30.3985462188721,1.12746852209966E-6,30,4,200,-0.00028610200388357,-0.501586854457855,-0.404766082763672,1,,,,,,,,,,,,,,,,
,3952757129.58091,279.450347900391,999.893371582031,,,6,,,,30.5064358177033,,,1,,,,,,,,,,,,,,,,,,,,,,279.21533203125,279.728790283203,999.893371582031,999.893371582031,,,6.77705812454224,,1,0,0,0,0,32.2580642700195,2,1,1,279.171905517578,0,279.493608262804,,,1.95682146115251E-5,9.64908906892047E-7,1.95724410331705E-5,9.64915377516317E-7,0.957987070083618,0.96329540014267,30.4286994934082,0,30,4,200,-0.000233920392929576,-0.508153140544891,-0.412882715463638,1,,,,,,,,,,,,,,,,
,3952757148.04275,278.460678100586,999.893371582031,,,6,,,,30.5006485562905,,,1,,,,,,,,,,,,,,,,,,,,,,278.223724365234,278.719177246094,999.893371582031,999.893371582031,,,6.76161003112793,,1,0,0,0,0,32.2580642700195,2,1,1,278.202178955078,0,278.479814317491,,,1.97189939050351E-5,9.7228556652072E-7,1.97214394087649E-5,9.7228905199311E-7,0.959438860416412,0.962520360946655,30.4418430328369,0,30,4,200,-0.0004677654360421,-0.517372250556946,-0.421393722295761,1,,,,,,,,,,,,,,,,
,3952757157.67903,277.888275146484,999.893371582031,,,6,,,,30.5006485562905,,,1,,,,,,,,,,,,,,,,,,,,,,277.655242919922,278.191619873047,999.893371582031,999.893371582031,,,6.75327253341675,,1,0,0,0,0,32.2580642700195,2,1,1,277.584930419922,0,277.95112101237,,,2.00585578836296E-5,9.88465842686288E-7,2.0060885947931E-5,9.88469772792311E-7,0.977433979511261,0.983113527297974,30.443733215332,0,30,4,200,-0.000746241596061736,-0.525993585586548,-0.43010812997818,1,,,,,,,,,,,,,,,,
,3952757167.4216,277.308563232422,999.893371582031,,,6,,,,30.5006485562905,,,1,,,,,,,,,,,,,,,,,,,,,,277.068756103516,277.568756103516,999.893371582031,999.893371582031,,,6.74535846710205,,1,0,0,0,0,31.7693061828613,2,1,1,277.048370361328,0,277.335964626736,,,1.96666891325756E-5,9.7058109091996E-7,1.96737182257295E-5,9.70595428325033E-7,0.941312491893768,0.947452902793884,30.4013481140137,5.5137414932251,30,4,200,0.000274423131486401,-0.527366161346436,-0.432217836380005,1,,,,,,,,,,,,,,,,
,3952757177.35216,276.772613525391,999.893371582031,,,6,,,,30.5006485562905,,,1,,,,,,,,,,,,,,,,,,,,,,276.496856689453,277.048370361328,999.893371582031,999.893371582031,,,6.73662614822388,,1,0,0,0,0,32.2580642700195,2,1,1,276.496856689453,0,276.767132568359,,,2.00545534146749E-5,9.88529856876965E-7,2.00595361768201E-5,9.88539742590948E-7,0.967784941196442,0.976307511329651,30.4175930023193,0.186639860272408,30,4,200,-0.000435110239777714,-0.534309506416321,-0.438795864582062,1,,,,,,,,,,,,,,,,
,3952757187.31413,276.161590576172,999.893371582031,,,6,,,,30.5006485562905,,,1,,,,,,,,,,,,,,,,,,,,,,275.892517089844,276.467956542969,999.893371582031,999.893371582031,,,6.72961950302124,,1,0,0,0,0,31.7693061828613,2,1,1,275.855224609375,0,276.200137668186,,,1.97159453759101E-5,9.72668446419435E-7,1.97205016785901E-5,9.72677233324093E-7,0.947648823261261,0.952065765857697,30.4206924438477,0,30,4,200,0.000118474010378122,-0.536246299743652,-0.440580278635025,1,,,,,,,,,,,,,,,,
,3952757197.0308,275.57145690918,999.893371582031,,,6,,,,30.5006485562905,,,1,,,,,,,,,,,,,,,,,,,,,,275.306304931641,275.855224609375,999.893371582031,999.893371582031,,,6.72181797027588,,1,0,0,0,0,32.2580642700195,2,1,1,275.287689208984,0,275.589291042752,,,2.00683443428237E-5,9.89496947680927E-7,2.00762341109307E-5,9.89512142350507E-7,0.959777772426605,0.970617353916168,30.3960971832275,0,30,4,200,-0.000346804241416976,-0.542261958122253,-0.446504831314087,1,,,,,,,,,,,,,,,,
,3952757215.42575,274.530776977539,999.893371582031,,,6,,,,30.4948438094283,,,1,,,,,,,,,,,,,,,,,,,,,,274.265045166016,274.806762695313,999.893371582031,999.893371582031,,,6.70732927322388,,1,0,0,0,0,31.7693061828613,2,1,1,274.254791259766,0,274.563774956597,,,2.00186729029677E-5,9.8677948592333E-7,2.00206679249441E-5,9.8678251375919E-7,0.967217445373535,0.970306277275085,30.4421119689941,0,30,4,200,-0.000228808494284749,-0.550554871559143,-0.455069780349731,1,,,,,,,,,,,,,,,,
