[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952259672.70703,03/27/2025,5:53 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,0.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,45.38,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952259686.94652,299.938705444336,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,299.934967041016,299.943359375,999.723388671875,999.723388671875,,,7.31352758407593,,1,0,0,0,0.0162506103515625,28.3479976654053,1,1,1,299.942443847656,0,299.940524291992,,,4.12280606014098E-5,2.04873215602934E-6,4.12281533600818E-5,2.04873049934311E-6,0.913725554943085,0.913760781288147,44.5005073547363,0,30,4,200,-0.000816309300716966,-0.203405901789665,-0.00545120285823941,1,,,,,,,,,,,,,,,,
,3952259704.40061,299.891265869141,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,299.836822509766,299.956604003906,999.723388671875,999.723388671875,,,7.30080080032349,,1,0,0,0,0.017547607421875,28.3479976654053,2,1,1,299.821105957031,0,299.920581054687,,,4.0929548211001E-5,2.03725971548008E-6,4.09316438901439E-5,2.0372588169915E-6,0.896482408046722,0.896977126598358,44.471019744873,0,30,4,200,0.00137240916956216,-0.188552126288414,0.00850442517548799,1,,,,,,,,,,,,,,,,
,3952259714.77628,299.650009155273,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,299.496215820313,299.818176269531,999.723388671875,999.723388671875,,,7.29296731948852,,1,0,0,0,0.014801025390625,28.3479976654053,2,1,1,299.481842041016,0,299.672929551866,,,4.10891026834943E-5,2.04289012593469E-6,4.10898655851062E-5,2.04288621567927E-6,0.907934784889221,0.908155620098114,44.4854469299316,1.8829210603144E-5,30,4,200,-0.00011656538117677,-0.181845799088478,0.016315869987011,1,,,,,,,,,,,,,,,,
,3952259724.90508,299.241790771484,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,299.017852783203,299.481842041016,999.723388671875,999.723388671875,,,7.28483915328979,,1,0,0,0,0,28.8367557525635,2,1,1,299.001739501953,0,299.278890991211,,,4.12894094957642E-5,2.05240965750605E-6,4.12903559000195E-5,2.05240708170031E-6,0.910268366336823,0.910536050796509,44.4833030700684,0,30,4,200,-0.000624447711743414,-0.189958274364471,0.00924754235893488,1,,,,,,,,,,,,,,,,
,3952259735.11544,298.715698242188,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,298.483337402344,298.994995117188,999.723388671875,999.723388671875,,,7.27719974517822,,1,0,0,0,0.0179290771484375,28.3479976654053,2,1,1,298.436401367188,0,298.757700602214,,,4.12660307657786E-5,2.05101508499592E-6,4.12665199263484E-5,2.05101175448977E-6,0.91153222322464,0.91168349981308,44.4900741577148,5.31487894058228,30,4,200,-0.000861373264342546,-0.199166998267174,7.09465602994897E-5,1,,,,,,,,,,,,,,,,
,3952259744.9902,298.161743164063,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,297.928192138672,298.429168701172,999.723388671875,999.723388671875,,,7.268714427948,,1,0,0,0,0.0189208984375,29.3255138397217,2,1,1,297.894317626953,0,298.191562228733,,,4.1372979542111E-5,2.05594508120984E-6,4.13737976616059E-5,2.05594326495035E-6,0.9136603474617,0.913898169994354,44.4853248596191,,30,4,200,-0.00108130078297108,-0.210526391863823,-0.0109129473567009,1,,,,,,,,,,,,,,,,
,3952259755.21101,297.566268920898,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,297.332672119141,297.872528076172,999.723388671875,999.723388671875,,,7.26021528244019,,1,0,0,0,0.0138092041015625,28.8367557525635,2,1,1,297.260009765625,0,297.595069037543,,,4.136621289984E-5,2.05579965313132E-6,4.13674651241759E-5,2.05580001695269E-6,0.912598848342895,0.912941217422485,44.4802169799805,0.188129752874374,30,4,200,-0.0011309765977785,-0.223190546035767,-0.0225944370031357,1,,,,,,,,,,,,,,,,
,3952259765.59375,296.94384765625,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,296.685485839844,297.22412109375,999.723388671875,999.723388671875,,,7.2522087097168,,1,0,0,0,0.0162506103515625,28.3479976654053,2,1,1,296.66357421875,0,296.971323649089,,,4.14082342988929E-5,2.05783805559325E-6,4.1409797801178E-5,2.0578350625725E-6,0.912876665592194,0.913324475288391,44.476001739502,,30,4,200,-0.00116566719952971,-0.23540286719799,-0.0351278819143772,1,,,,,,,,,,,,,,,,
,3952259775.91646,296.288635253906,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,296.027282714844,296.571594238281,999.723388671875,999.723388671875,,,7.24364042282104,,1,0,0,0,0.0138092041015625,29.3255138397217,2,1,1,296.005676269531,0,296.303351508247,,,4.14767020153372E-5,2.06112321977611E-6,4.14783810088379E-5,2.06112299978688E-6,0.913524866104126,0.913991987705231,44.4754066467285,0,30,4,200,-0.000974989321548492,-0.246142387390137,-0.0463730283081532,1,,,,,,,,,,,,,,,,
,3952259786.0147,295.671020507812,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,295.395324707031,295.981781005859,999.723388671875,999.723388671875,,,7.23554611206055,,1,0,0,0,0.0139617919921875,28.3479976654053,2,1,1,295.360260009766,0,295.705963134766,,,4.14823043800016E-5,2.06150329212103E-6,4.14847348402807E-5,2.06150549656508E-6,0.912960886955261,0.91361927986145,44.4688186645508,0,30,4,200,-0.000764283817261457,-0.255386769771576,-0.0561224445700645,1,,,,,,,,,,,,,,,,
