[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952160620.49701,03/26/2025,2:22 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,0.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,92.68,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952163684.40639,1.7999375462532,999.77197265625,,,6,,,,47.2868499755859,,,1,,,,,,,,,,,,,,,,,,,,,,1.79964148998261,1.80052590370178,999.77197265625,999.77197265625,,,1.89039099216461,,1,0,0,0,0.013885498046875,29.8142719268799,1,1,1,1.79990601539612,0,1.80004090070724,,,1.31753080542466E-6,1.92295513546934E-7,1.97731435184201E-6,2.42162471416801E-7,0.101331457495689,0.147499144077301,45.833854675293,0.00828757882118225,30,4,200,-0.00231143715791404,-0.21559776365757,-0.189521580934525,1,,,,,,,,,,,,,,,,
,3952163696.11686,2.03216499090195,999.77197265625,,,6,,,,47.2868499755859,,,1,,,,,,,,,,,,,,,,,,,,,,1.83734095096588,2.21685290336609,999.77197265625,999.77197265625,,,2.07545638084412,,1,0,0,0,0.0145721435546875,29.3255138397217,6,1,1,2.22698903083801,0,2.0259618361791,,,1.52390437580247E-6,1.90788882434524E-7,2.04045224590936E-6,2.28901782599441E-7,0.140621483325958,0.178818047046661,46.0866355895996,2.04945588111877,30,4,200,-0.00837698858231306,-0.311230927705765,-0.239729523658752,1,,,,,,,,,,,,,,,,
,3952163705.38526,2.42631030082703,999.77197265625,,,6,,,,47.2868499755859,,,1,,,,,,,,,,,,,,,,,,,,,,2.23532366752625,2.59856939315796,999.77197265625,999.77197265625,,,2.25803089141846,,1,0,0,0,0.0138092041015625,28.3479976654053,6,1,1,2.62721037864685,0,2.42482730746269,,,1.29333721226105E-6,1.81915647465506E-7,1.89815712816588E-6,2.27113630378543E-7,0.10958107560873,0.155179351568222,45.8775672912598,0,30,4,200,-0.00730834249407053,-0.379710704088211,-0.317819446325302,1,,,,,,,,,,,,,,,,
,3952163715.12414,2.85926568508148,999.77197265625,,,6,,,,47.2868499755859,,,1,,,,,,,,,,,,,,,,,,,,,,2.62721037864685,3.09132099151611,999.77197265625,999.77197265625,,,2.44947648048401,,1,0,0,0,0.0138092041015625,28.8367557525635,6,1,1,3.09132099151611,0,2.85539820194244,,,1.2655707509432E-6,1.82484010517223E-7,1.91492486762345E-6,2.30545170929419E-7,0.10396496206522,0.153093457221985,45.8179130554199,6.76889324188232,30,4,200,-0.00581396138295531,-0.437030225992203,-0.385075300931931,1,,,,,,,,,,,,,,,,
,3952163763.28335,5.1798369884491,999.77197265625,,,6,,,,47.2868499755859,,,1,,,,,,,,,,,,,,,,,,,,,,4.9242205619812,5.38967990875244,999.77197265625,999.77197265625,,,3.13727283477783,,1,0,0,0,0.0145721435546875,29.8142719268799,2,1,1,5.45426607131958,0,5.1515318552653,,,1.40709243437323E-6,1.69820541801403E-7,1.94054124915573E-6,2.06381223573502E-7,0.152278453111649,0.201463475823402,46.0155181884766,2.12187266349792,30,4,200,-0.00278796791099012,0.49426656961441,0.523933529853821,1,,,,,,,,,,,,,,,,
,3952163773.32461,5.70365238189697,999.77197265625,,,6,,,,47.2868499755859,,,1,,,,,,,,,,,,,,,,,,,,,,5.47184658050537,5.93545818328857,999.77197265625,999.77197265625,,,3.2432861328125,,1,0,0,0,0.0138092041015625,29.3255138397217,2,1,1,5.93545818328857,0,5.690323193868,,,1.27185245012456E-6,1.65875389535201E-7,1.79483036200062E-6,2.03664079147445E-7,0.12876296043396,0.174344971776009,45.9639053344727,0,30,4,200,-0.00280813570134342,0.467706203460693,0.494883954524994,1,,,,,,,,,,,,,,,,
,3952163782.55165,6.17824578285217,999.77197265625,,,6,,,,47.2868499755859,,,1,,,,,,,,,,,,,,,,,,,,,,5.9515643119812,6.34250402450562,999.77197265625,999.77197265625,,,3.34046244621277,,1,0,0,0,0,29.8142719268799,2,1,1,6.40492725372314,0,6.13840264081955,,,1.17017811312838E-6,1.83867349475157E-7,1.84426163628206E-6,2.36030399351119E-7,0.0867632925510407,0.134100690484047,45.7393264770508,0,30,4,200,-0.00207432336173952,0.44808042049408,0.470475047826767,1,,,,,,,,,,,,,,,,
,3952163791.75539,6.66696357727051,999.77197265625,,,6,,,,47.2868499755859,,,1,,,,,,,,,,,,,,,,,,,,,,6.43138265609741,6.9025444984436,999.77197265625,999.77197265625,,,3.43063998222351,,1,0,0,0,0.0138092041015625,29.3255138397217,2,1,1,6.9025444984436,0,6.64915784200033,,,1.00785051138252E-6,1.66600273467378E-7,1.76834567571356E-6,2.22113532879808E-7,0.0780380219221115,0.13963571190834,45.5599136352539,0.00774677563458681,30,4,200,-0.00296556320972741,0.42368483543396,0.451180726289749,1,,,,,,,,,,,,,,,,
,3952164741.73063,299.979446411133,999.929748535156,,,6,,,,57.3117485046387,,,1,,,,,,,,,,,,,,,,,,,,,,299.978424072266,299.980560302734,999.929748535156,999.929748535156,,,5.99410486221314,,1,0,0,0,0.0138092041015625,29.3255138397217,1,1,1,299.98046875,0,299.97959391276,,,-4.6963768128874E-6,3.17688094459316E-7,-4.73447822379835E-6,3.15662600767222E-7,0.776747941970825,0.851913094520569,57.7918434143066,,60,1.1,200,-0.0204310920089483,0.221585333347321,0.276166290044785,1,,,,,,,,,,,,,,,,
,3952164745.39152,299.981018066406,999.929748535156,,,6,,,,57.3117485046387,,,1,,,,,,,,,,,,,,,,,,,,,,299.980560302734,299.981597900391,999.929748535156,999.929748535156,,,5.9915246963501,,1,0,0,0,0.0138092041015625,29.8142719268799,1,1,1,299.981475830078,0,299.981160481771,,,-4.67362990050207E-6,3.1551410748319E-7,-4.70846917735682E-6,3.13680167408596E-7,0.785497426986694,0.85724014043808,57.7710494995117,7.60072708129883,60,1.1,200,-0.0219494383782148,0.171413436532021,0.227977067232132,1,,,,,,,,,,,,,,,,
