[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952251354.78117,03/27/2025,3:34 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,0.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,45.38,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952254410.95865,1.79996240139008,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,1.79939532279968,1.80029904842377,999.723388671875,999.723388671875,,,2.07391095161438,,1,0,0,0,0.0177764892578125,28.8367557525635,1,1,1,1.80042326450348,0,1.79988107416365,,,1.23031942522566E-5,6.5628273131833E-7,1.321170071571E-5,6.58462747700985E-7,0.62768018245697,0.884771406650543,43.0906867980957,5.54293632507324,30,4,200,-0.00353578920476139,-0.253387778997421,-0.16990764439106,1,,,,,,,,,,,,,,,,
,3952254427.947,2.10663646459579,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,1.89477574825287,2.28614616394043,999.723388671875,999.723388671875,,,2.32719159126282,,1,0,0,0,0.0177764892578125,28.8367557525635,6,1,1,2.31849718093872,0,2.08910861280229,,,1.23094488617409E-5,6.55528743605836E-7,1.32031107674827E-5,6.57628239609975E-7,0.631541609764099,0.890191197395325,43.102611541748,6.56525802612305,30,4,200,-0.01025683991611,-0.391687005758286,-0.261503010988235,1,,,,,,,,,,,,,,,,
,3952254438.63424,2.57167172431946,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,2.35585594177246,2.75007081031799,999.723388671875,999.723388671875,,,2.55366373062134,,1,0,0,0,0.019073486328125,28.8367557525635,6,1,1,2.78748750686646,0,2.54477951261732,,,1.22084598409488E-5,6.50457767372204E-7,1.31118693023172E-5,6.52601005216967E-7,0.630436301231384,0.89706289768219,43.0930137634277,0,30,4,200,-0.00798619352281094,-0.481695055961609,-0.366550594568253,1,,,,,,,,,,,,,,,,
,3952254448.4676,3.006178855896,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,2.78748750686646,3.22487020492554,999.723388671875,999.723388671875,,,2.74798440933228,,1,0,0,0,0.0177764892578125,28.8367557525635,6,1,1,3.22487020492554,0,3.00742604997423,,,1.2226538320952E-5,6.53400236213706E-7,1.31615322274863E-5,6.55610095781905E-7,0.62343555688858,0.889466881752014,43.0712852478027,0.0557772777974606,30,4,200,-0.00704660778865218,-0.54988956451416,-0.444881916046143,1,,,,,,,,,,,,,,,,
,3952254458.24983,3.45908546447754,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,3.23462820053101,3.64290761947632,999.723388671875,999.723388671875,,,2.92454504966736,,1,0,0,0,0.0182342529296875,28.8367557525635,6,1,1,3.68354272842407,0,3.44039776590135,,,1.22704738883177E-5,6.56277570208137E-7,1.32167645913559E-5,6.58492456926905E-7,0.621602475643158,0.887702226638794,43.0655860900879,0.0002383011742495,30,4,200,-0.00633505545556545,-0.613865792751312,-0.513856172561646,1,,,,,,,,,,,,,,,,
,3952254468.34212,3.94531416893005,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,3.70974636077881,4.13584566116333,999.723388671875,999.723388671875,,,3.09535622596741,,1,0,0,0,0.0145721435546875,28.8367557525635,6,1,1,4.1808819770813,0,3.91844858063592,,,1.22408288272822E-5,6.56446637810687E-7,1.32148190196159E-5,6.58742817830926E-7,0.615605533123016,0.8831587433815,43.0444488525391,0.0360740087926388,30,4,200,-0.0056654829531908,-0.646343350410461,0.520320236682892,1,,,,,,,,,,,,,,,,
,3952254478.70346,4.43844771385193,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,4.19848823547363,4.6498236656189,999.723388671875,999.723388671875,,,3.24392008781433,,1,0,0,0,0.0154876708984375,28.8367557525635,6,1,1,4.67840719223022,0,4.42275349299113,,,1.22333199875525E-5,6.5516827839417E-7,1.31943494707773E-5,6.57462649316378E-7,0.618582904338837,0.88654625415802,43.0556488037109,,30,4,200,-0.00503922579810023,0.398345351219177,0.488988220691681,1,,,,,,,,,,,,,,,,
,3952254488.71162,4.93797445297241,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,4.67840719223022,5.17858934402466,999.723388671875,999.723388671875,,,3.39011454582214,,1,0,0,0,0.0194549560546875,28.8367557525635,6,1,1,5.1975417137146,0,4.93839645385742,,,1.22926524444491E-5,6.60044633855833E-7,1.32831349371994E-5,6.62443922004561E-7,0.612866997718811,0.879452586174011,43.0372734069824,5.44971704483032,30,4,200,-0.00354002974927425,0.357531160116196,0.438915729522705,1,,,,,,,,,,,,,,,,
,3952254498.7908,5.45278120040894,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,5.1975417137146,5.63904190063477,999.723388671875,999.723388671875,,,3.51593661308289,,1,0,0,0,0.0177001953125,29.3255138397217,6,1,1,5.70802068710327,0,5.41354121102227,,,1.2295618758546E-5,6.61946837079005E-7,1.3315040144281E-5,6.64317821590675E-7,0.607134699821472,0.876021444797516,43.0163497924805,0.036063227802515,30,4,200,-0.00342391850426793,0.324220031499863,0.404106944799423,1,,,,,,,,,,,,,,,,
,3952254508.6441,5.96073532104492,999.723388671875,,,6,,,,44.5100059509277,,,1,,,,,,,,,,,,,,,,,,,,,,5.71699476242065,6.17233848571777,999.723388671875,999.723388671875,,,3.6329493522644,,1,0,0,0,0.012054443359375,29.3255138397217,6,1,1,6.20447587966919,0,5.94251277711656,,,1.23043986129679E-5,6.65050377882503E-7,1.3357333980284E-5,6.6754787482915E-7,0.598726749420166,0.863357245922089,42.9943008422852,4.33337881986517E-5,30,4,200,-0.00347160431556404,0.29091015458107,0.370159775018692,1,,,,,,,,,,,,,,,,
