[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952320454.78227,03/28/2025,10:46 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB001a,SAMPLE_COMMENT
INFO,1.8,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,polycrystalline,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,70.63,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952323480.94373,1.80046325922012,999.966186523437,,,6,,,,16.2824620755151,,,1,,,,,,,,,,,,,,,,,,,,,,1.79904747009277,1.80074453353882,999.966186523437,999.966186523437,,,2.22705864906311,,1,0,0,0,0,30.3030319213867,1,1,1,1.80059993267059,0,1.80005489455329,,,7.37453613704836E-5,4.95319235445142E-6,0.000100034035218529,5.02244194807822E-6,0.320312052965164,0.807313919067383,19.1648139953613,0,30,4,200,-0.00186926499009132,-0.672775626182556,-0.18160454928875,1,,,,,,,,,,,,,,,,
,3952323497.95269,2.11337220668793,999.966186523437,,,6,,,,16.2824620755151,,,1,,,,,,,,,,,,,,,,,,,,,,1.90267586708069,2.25490808486938,999.966186523437,999.966186523437,,,2.50140881538391,,1,0,0,0,0,29.8142719268799,6,1,1,2.32406854629517,0,2.07079536385006,,,7.3214567677669E-5,4.93221119985632E-6,9.96564564363859E-5,5.00212000547037E-6,0.317965269088745,0.808682978153229,19.1766128540039,0,30,4,200,-0.00961150787770748,-0.780528903007507,-0.271926015615463,1,,,,,,,,,,,,,,,,
,3952323507.98956,2.53542685508728,999.966186523437,,,6,,,,16.2824620755151,,,1,,,,,,,,,,,,,,,,,,,,,,2.32642555236816,2.70728206634521,999.966186523437,999.966186523437,,,2.7306981086731,,1,0,0,0,0,29.8142719268799,6,1,1,2.7444281578064,0,2.51193096902635,,,7.23655773700378E-5,4.89874224322034E-6,9.9036435350673E-5,4.9688894705892E-6,0.314187079668045,0.81083220243454,19.1969394683838,0.611624002456665,30,4,200,-0.00780280726030469,-0.85942131280899,-0.358633279800415,1,,,,,,,,,,,,,,,,
,3952323517.69371,2.96453928947449,999.966186523437,,,6,,,,16.2824620755151,,,1,,,,,,,,,,,,,,,,,,,,,,2.7444281578064,3.17015814781189,999.966186523437,999.966186523437,,,2.9270613193512,,1,0,0,0,0,29.8142719268799,6,1,1,3.18465042114258,0,2.9591515329149,,,7.1827303167932E-5,4.87603097053032E-6,9.86146658725127E-5,4.94666362091047E-6,0.312019407749176,0.811932921409607,19.2078857421875,,30,4,200,-0.00671566370874643,-0.922665357589722,-0.426963716745377,1,,,,,,,,,,,,,,,,
,3952323527.3456,3.40775740146637,999.966186523437,,,6,,,,16.2824620755151,,,1,,,,,,,,,,,,,,,,,,,,,,3.18465042114258,3.59814620018005,999.966186523437,999.966186523437,,,3.11814093589783,,1,0,0,0,0,30.3030319213867,6,1,1,3.63086438179016,0,3.38264960712857,,,7.12649392245193E-5,4.85301599972184E-6,9.81832875501278E-5,4.92388188051277E-6,0.309635549783707,0.813127160072327,19.2200984954834,0.258450835943222,30,4,200,-0.00607027066871524,-0.978826820850372,-0.484788745641708,1,,,,,,,,,,,,,,,,
,3952323537.38626,3.88027012348175,999.966186523437,,,6,,,,16.2824620755151,,,1,,,,,,,,,,,,,,,,,,,,,,3.63086438179016,4.06654500961304,999.966186523437,999.966186523437,,,3.30236434936523,,1,0,0,0,0,30.3030319213867,6,1,1,4.10654497146606,0,3.85163834359911,,,7.09949931776636E-5,4.84279997247414E-6,9.79906798890234E-5,4.91378004632016E-6,0.308359235525131,0.813592553138733,19.2267875671387,,30,4,200,-0.00530870025977492,-1.03122138977051,0.584688603878021,1,,,,,,,,,,,,,,,,
,3952323547.16582,4.35553073883057,999.966186523437,,,6,,,,16.2824620755151,,,1,,,,,,,,,,,,,,,,,,,,,,4.12338352203369,4.5444278717041,999.966186523437,999.966186523437,,,3.45400595664978,,1,0,0,0,0,29.8142719268799,6,1,1,4.58767795562744,0,4.32413042916192,,,7.06631744545227E-5,4.8272644214601E-6,9.76938440609954E-5,4.8982774531776E-6,0.307251840829849,0.814246773719788,19.231969833374,,30,4,200,-0.00413809763267636,0.0528377629816532,0.540441393852234,1,,,,,,,,,,,,,,,,
,3952323556.83419,4.82920980453491,999.966186523437,,,6,,,,16.2824620755151,,,1,,,,,,,,,,,,,,,,,,,,,,4.58767795562744,5.05623340606689,999.966186523437,999.966186523437,,,3.6054539680481,,1,0,0,0,0,30.3030319213867,6,1,1,5.07074165344238,0,4.82403182983398,,,7.04290921183298E-5,4.82001706688359E-6,9.75745941603101E-5,4.89140194125091E-6,0.305892527103424,0.815202355384827,19.2391109466553,0.259744137525558,30,4,200,-0.00394571479409933,0.0161302946507931,0.5024693608284,1,,,,,,,,,,,,,,,,
,3952323566.51333,5.31877017021179,999.966186523437,,,6,,,,16.2824620755151,,,1,,,,,,,,,,,,,,,,,,,,,,5.07074165344238,5.52716207504272,999.966186523437,999.966186523437,,,3.74407696723938,,1,0,0,0,0,30.3030319213867,6,1,1,5.5667986869812,0,5.29367929034763,,,7.03273155185817E-5,4.81917562892723E-6,9.7553522054755E-5,4.89054665462879E-6,0.304945111274719,0.81498795747757,19.2437572479248,0,30,4,200,-0.00346723734401166,-0.0172791890799999,0.468478381633759,1,,,,,,,,,,,,,,,,
,3952323576.70522,5.84074115753174,999.966186523437,,,6,,,,16.2824620755151,,,1,,,,,,,,,,,,,,,,,,,,,,5.59265518188477,6.06413221359253,999.966186523437,999.966186523437,,,3.87685060501099,,1,0,0,0,0,30.3030319213867,6,1,1,6.08882713317871,0,5.81772083706326,,,7.01428307161208E-5,4.81529944364615E-6,9.75019878033227E-5,4.88701669957133E-6,0.303593814373016,0.816001296043396,19.2511005401611,4.38760757446289,30,4,200,-0.00416467292234302,-0.0547637045383453,0.432981640100479,1,,,,,,,,,,,,,,,,
