[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952328742.98592,03/28/2025,1:04 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB001a,SAMPLE_COMMENT
INFO,1.8,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,polycrystalline,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,70.63,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952328756.87844,299.940551757812,999.966186523437,,,6,,,,17.2156121686339,,,1,,,,,,,,,,,,,,,,,,,,,,299.937347412109,299.945251464844,999.966186523437,999.966186523437,,,8.09395027160644,,1,0,0,0,0,30.3030319213867,1,1,1,299.943756103516,0,299.942827012804,,,3.80639622966521E-5,1.98666819782371E-6,3.80665501443515E-5,1.98667813514564E-6,0.669855177402496,0.670025169849396,17.2635612487793,0,30,4,200,-0.000661271333228797,-0.243701756000519,-0.0664401650428772,1,,,,,,,,,,,,,,,,
,3952328773.90479,299.901550292969,999.966186523437,,,6,,,,17.2156121686339,,,1,,,,,,,,,,,,,,,,,,,,,,299.871490478516,299.958892822266,999.966186523437,999.966186523437,,,8.07190704345703,,1,0,0,0,0,30.3030319213867,6,1,1,299.844329833984,0,299.930881076389,,,3.7934878601416E-5,1.9807026895473E-6,3.79349397365853E-5,1.98070226358779E-6,0.668807029724121,0.668811976909638,17.2074508666992,5.05738210678101,30,4,200,0.00202012457884848,-0.229364052414894,-0.0485250540077686,1,,,,,,,,,,,,,,,,
,3952328783.905,299.679794311523,999.966186523437,,,6,,,,17.2156121686339,,,1,,,,,,,,,,,,,,,,,,,,,,299.551422119141,299.837066650391,999.966186523437,999.966186523437,,,8.05819416046143,,1,0,0,0,0,29.8142719268799,2,1,1,299.522521972656,0,299.717475043403,,,3.77706064656379E-5,1.97006135909512E-6,3.77726906173712E-5,1.97007024323473E-6,0.671636402606964,0.67177414894104,17.2585639953613,0,30,4,200,0.00026461118250154,-0.210920080542564,-0.033704586327076,1,,,,,,,,,,,,,,,,
,3952328793.60532,299.297302246094,999.966186523437,,,6,,,,17.2156121686339,,,1,,,,,,,,,,,,,,,,,,,,,,299.131408691406,299.522521972656,999.966186523437,999.966186523437,,,8.04412937164307,,1,0,0,0,0,30.7917900085449,2,1,1,299.072082519531,0,299.320824517144,,,3.80876175190682E-5,1.98794108350781E-6,3.80900498514324E-5,1.98795227469015E-6,0.669803202152252,0.669960379600525,17.2617225646973,0,30,4,200,-0.00073820271063596,-0.216416880488396,-0.0394543334841728,1,,,,,,,,,,,,,,,,
,3952328803.26747,298.810363769531,999.966186523437,,,6,,,,17.2156121686339,,,1,,,,,,,,,,,,,,,,,,,,,,298.595062255859,299.072082519531,999.966186523437,999.966186523437,,,8.03083038330078,,1,0,0,0,0,30.3030319213867,2,1,1,298.548645019531,0,298.830596923828,,,3.81245773111525E-5,1.99009348759012E-6,3.81273639564888E-5,1.99010380432834E-6,0.669500887393951,0.669683992862701,17.2654094696045,0.00196241796948016,30,4,200,-0.000989754684269428,-0.224321976304054,-0.045895129442215,1,,,,,,,,,,,,,,,,
,3952328821.52806,297.763214111328,999.966186523437,,,6,,,,17.2086986172467,,,1,,,,,,,,,,,,,,,,,,,,,,297.508178710937,298.051300048828,999.966186523437,999.966186523437,,,8.00489616394043,,1,0,0,0,0,30.3030319213867,2,1,1,297.475128173828,0,297.797325981988,,,3.81601916616669E-5,1.99183076083756E-6,3.81631065142072E-5,1.99184218147338E-6,0.66966700553894,0.669857561588287,17.259485244751,,30,4,200,-0.000913577212486416,-0.238710135221481,-0.0605814270675182,1,,,,,,,,,,,,,,,,
,3952328839.74081,296.577438354492,999.966186523437,,,6,,,,17.2026406364548,,,1,,,,,,,,,,,,,,,,,,,,,,296.283905029297,296.892913818359,999.966186523437,999.966186523437,,,7.97668218612671,,1,0,0,0,0,30.3030319213867,2,1,1,296.261962890625,0,296.595221625434,,,3.82430185065338E-5,1.99642631310589E-6,3.82469860876016E-5,1.99644042026134E-6,0.66929829120636,0.669558763504028,17.262056350708,,30,4,200,-0.000885839632246643,-0.25352817773819,-0.0744271874427795,1,,,,,,,,,,,,,,,,
,3952328857.97778,295.395294189453,999.966186523437,,,6,,,,17.1966244916242,,,1,,,,,,,,,,,,,,,,,,,,,,295.093719482422,295.717926025391,999.966186523437,999.966186523437,,,7.94682216644287,,1,0,0,0,0,30.3030319213867,2,1,1,295.072662353516,0,295.421586778429,,,3.82791046664214E-5,1.99832787219334E-6,3.82847799564534E-5,1.99834942500681E-6,0.669274568557739,0.669645011425018,17.2674713134766,0,30,4,200,-0.000783970695920289,-0.26591545343399,-0.0870761722326279,1,,,,,,,,,,,,,,,,
,3952328876.37397,294.227874755859,999.966186523437,,,6,,,,17.190881124576,,,1,,,,,,,,,,,,,,,,,,,,,,293.939025878906,294.538787841797,999.966186523437,999.966186523437,,,7.91753721237183,,1,0,0,0,0,29.8142719268799,2,1,1,293.916961669922,0,294.257646348741,,,3.83509408860529E-5,2.0024790313697E-6,3.83583683515765E-5,2.00250372358205E-6,0.668735444545746,0.669223189353943,17.2722625732422,0,30,4,200,-0.000908124435227364,-0.278973817825317,-0.0992100387811661,1,,,,,,,,,,,,,,,,
,3952328894.70684,293.094497680664,999.966186523437,,,6,,,,17.1852707353827,,,1,,,,,,,,,,,,,,,,,,,,,,292.834075927734,293.378662109375,999.966186523437,999.966186523437,,,7.88986587524414,,1,0,0,0,0,29.8142719268799,2,1,1,292.810333251953,0,293.116814507378,,,3.84140368595837E-5,2.00578046527362E-6,3.84237180329538E-5,2.00581533845409E-6,0.668727397918701,0.669358611106873,17.27783203125,0,30,4,200,-0.000680122524499893,-0.290362417697906,-0.111206971108913,1,,,,,,,,,,,,,,,,
