[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952317644.92102,03/28/2025,9:59 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB001a,SAMPLE_COMMENT
INFO,1.8,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,polycrystalline,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,70.63,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952317658.78294,299.965942382812,999.917663574219,,,6,,,,17.2200489044189,,,1,,,,,,,,,,,,,,,,,,,,,,299.962219238281,299.97705078125,999.917663574219,999.917663574219,,,7.49175405502319,,1,0,0,0,0,30.3030319213867,1,1,1,299.961822509766,0,299.971720377604,,,3.76350247382728E-5,1.96573298115393E-6,3.76359775356822E-5,1.96573716226784E-6,0.667868733406067,0.667930841445923,17.2491607666016,0,30,4,200,-0.00307917105965316,-0.621548771858215,-0.431968003511429,1,,,,,,,,,,,,,,,,
,3952317675.54423,299.836074829102,999.917663574219,,,6,,,,17.2200489044189,,,1,,,,,,,,,,,,,,,,,,,,,,299.720733642578,299.968048095703,999.917663574219,999.917663574219,,,7.49358892440796,,1,0,0,0,0,30.7917900085449,2,1,1,299.7041015625,0,299.866980658637,,,3.76369523225203E-5,1.96531643798235E-6,3.76380525681105E-5,1.96532084223566E-6,0.668574810028076,0.668647348880768,17.2514457702637,0,30,4,200,-0.0022740054409951,-0.631550908088684,-0.447088420391083,1,,,,,,,,,,,,,,,,
,3952317685.25956,299.427597045898,999.917663574219,,,6,,,,17.2200489044189,,,1,,,,,,,,,,,,,,,,,,,,,,299.202026367188,299.689605712891,999.917663574219,999.917663574219,,,7.49337720870972,,1,0,0,0,0,30.3030319213867,2,1,1,299.165588378906,0,299.47400241428,,,3.77271440348774E-5,1.97017273476322E-6,3.77288551049298E-5,1.97017941826251E-6,0.668374061584473,0.668486714363098,17.2592163085938,0,30,4,200,-0.00220684963278472,-0.652627766132355,-0.467917501926422,1,,,,,,,,,,,,,,,,
,3952317703.45597,298.101501464844,999.917663574219,,,6,,,,17.2108941194192,,,1,,,,,,,,,,,,,,,,,,,,,,297.720642089844,298.505126953125,999.917663574219,999.917663574219,,,7.49029397964478,,1,0,0,0,0,29.8142719268799,2,1,1,297.697875976562,0,298.146657307943,,,3.77725590062497E-5,1.9720063684365E-6,3.77748933250236E-5,1.97201339629613E-6,0.669107615947723,0.669264376163483,17.257022857666,0,30,4,200,-0.00173294800333679,-0.687095940113068,-0.504320681095123,1,,,,,,,,,,,,,,,,
,3952317721.74314,296.309432983398,999.917663574219,,,6,,,,17.2017253725267,,,1,,,,,,,,,,,,,,,,,,,,,,295.790313720703,296.870727539063,999.917663574219,999.917663574219,,,7.48261165618897,,1,0,0,0,0,30.3030319213867,2,1,1,295.748138427734,0,296.360120985243,,,3.84606428719339E-5,2.01283250844844E-6,3.84613062753533E-5,2.01283466717538E-6,0.662623524665833,0.662666022777557,17.2260971069336,0.0698804706335068,30,4,200,-0.000944946950767189,-0.719360828399658,-0.530673921108246,1,,,,,,,,,,,,,,,,
,3952317740.0144,293.881011962891,999.917663574219,,,6,,,,17.190157835766,,,1,,,,,,,,,,,,,,,,,,,,,,293.37353515625,294.5859375,999.917663574219,999.917663574219,,,7.46690464019775,,1,0,0,0,0,29.8142719268799,2,1,1,293.176086425781,0,293.979309082031,,,3.8028522592253E-5,1.98462044957895E-6,3.80397743408145E-5,1.98465727231958E-6,0.67012494802475,0.670875072479248,17.2907409667969,,30,4,200,-0.00359946698881686,-0.751645386219025,-0.556977868080139,1,,,,,,,,,,,,,,,,
,3952317758.6071,290.781402587891,999.917663574219,,,6,,,,17.1755452405934,,,1,,,,,,,,,,,,,,,,,,,,,,290.003997802734,291.620666503906,999.917663574219,999.917663574219,,,7.4521279335022,,1,0,0,0,0,29.8142719268799,2,1,1,289.942138671875,0,290.82216389974,,,3.807464376347E-5,1.98929733086672E-6,3.80831526083877E-5,1.9893242132649E-6,0.667058765888214,0.667620003223419,17.2631816864014,0,30,4,200,-0.00213978649117053,0.330068737268448,0.515573978424072,1,,,,,,,,,,,,,,,,
,3952317776.89255,287.684692382813,999.917663574219,,,6,,,,17.1600561967275,,,1,,,,,,,,,,,,,,,,,,,,,,286.871398925781,288.5625,999.917663574219,999.917663574219,,,7.43989086151123,,1,0,0,0,0,29.8142719268799,2,1,1,286.806884765625,0,287.698184543186,,,3.81820878677619E-5,1.9953752135992E-6,3.81938182940867E-5,1.99541409824204E-6,0.666437268257141,0.667204916477203,17.2626476287842,0.197882041335106,30,4,200,-0.00203170091845095,0.293696373701096,0.478625804185867,1,,,,,,,,,,,,,,,,
,3952317795.15376,284.356002807617,999.917663574219,,,6,,,,17.1450090508598,,,1,,,,,,,,,,,,,,,,,,,,,,283.478240966797,285.233764648438,999.917663574219,999.917663574219,,,7.42819595336914,,1,0,0,0,0,30.3030319213867,2,1,1,283.478240966797,0,284.353624131944,,,3.83526283312339E-5,2.00442198339663E-6,3.83712928948885E-5,2.00448160003265E-6,0.666259706020355,0.667478740215302,17.2742652893066,0,30,4,200,-0.0017390021821484,0.260748326778412,0.444987386465073,1,,,,,,,,,,,,,,,,
,3952317813.57032,280.971450805664,999.917663574219,,,6,,,,17.1307892006809,,,1,,,,,,,,,,,,,,,,,,,,,,280.106719970703,281.867767333984,999.917663574219,999.917663574219,,,7.41746759414673,,1,0,0,0,0,30.3030319213867,2,1,1,280.075134277344,0,280.926310221354,,,3.84390521280909E-5,2.00981916032665E-6,3.8465116707006E-5,2.009896385185E-6,0.665095388889313,0.666795909404755,17.2837619781494,0.197999626398087,30,4,200,-0.00182756956201047,0.227755188941956,0.413091748952866,1,,,,,,,,,,,,,,,,
,3952317831.93495,277.580825805664,999.917663574219,,,6,,,,17.1158257050926,,,1,,,,,,,,,,,,,,,,,,,,,,276.983642578125,278.48779296875,999.917663574219,999.917663574219,,,7.40803527832031,,1,0,0,0,0,29.8142719268799,2,1,1,276.673858642578,0,277.705576578776,,,3.86424547289886E-5,2.02104956111107E-6,3.86752633197305E-5,2.02115459506134E-6,0.664315700531006,0.666429996490478,17.2865867614746,0.0723326876759529,30,4,200,-0.00147926795762032,0.198229432106018,0.381847470998764,1,,,,,,,,,,,,,,,,
,3952317850.33507,274.102081298828,999.917663574219,,,6,,,,17.1003258499271,,,1,,,,,,,,,,,,,,,,,,,,,,273.168121337891,275.068481445313,999.917663574219,999.917663574219,,,7.39890050888062,,1,0,0,0,0,28.8367557525635,2,1,1,273.135681152344,0,274.169498019748,,,3.88102145056803E-5,2.03064187744378E-6,3.88514089388148E-5,2.03077747998524E-6,0.66325181722641,0.665881991386414,17.291088104248,0.00913170073181391,30,4,200,-0.00176965072751045,0.167926594614983,0.354405134916306,1,,,,,,,,,,,,,,,,
,3952317868.78985,270.486526489258,999.917663574219,,,6,,,,17.0856661082013,,,1,,,,,,,,,,,,,,,,,,,,,,269.544616699219,271.458038330078,999.917663574219,999.917663574219,,,7.38961029052734,,1,0,0,0,0,29.8142719268799,2,1,1,269.515014648438,0,270.478023952908,,,3.88968294269697E-5,2.0358198568518E-6,3.8949792094285E-5,2.03599257524102E-6,0.66241729259491,0.665787041187286,17.3017902374268,0.198192551732063,30,4,200,-0.00133701844606549,0.14284411072731,0.327212363481522,1,,,,,,,,,,,,,,,,
,3952317887.2235,267.03108215332,999.917663574219,,,6,,,,17.0713182823754,,,1,,,,,,,,,,,,,,,,,,,,,,266.303436279297,267.819152832031,999.917663574219,999.917663574219,,,7.38157224655151,,1,0,0,0,0,30.3030319213867,2,1,1,266.243011474609,0,267.072899712457,,,3.90762390156071E-5,2.04548267508467E-6,3.9137943561894E-5,2.04567743325433E-6,0.662068068981171,0.665982842445374,17.3042469024658,0.00997953489422798,30,4,200,-0.00190793548244983,0.120837189257145,0.309732556343079,1,,,,,,,,,,,,,,,,
,3952317905.61355,263.98664855957,999.917663574219,,,6,,,,17.0578018976557,,,1,,,,,,,,,,,,,,,,,,,,,,263.253479003906,264.816925048828,999.917663574219,999.917663574219,,,7.37340211868286,,1,0,0,0,0,29.8142719268799,2,1,1,263.156372070313,0,264.023566351997,,,3.91780854344042E-5,2.05219038188674E-6,3.92498374400268E-5,2.05242489588508E-6,0.660314798355103,0.664819836616516,17.3084774017334,4.16034603118897,30,4,200,-0.00165373866911978,0.105342611670494,0.293046802282333,1,,,,,,,,,,,,,,,,
,3952317924.03023,260.837463378906,999.917663574219,,,6,,,,17.0441315344008,,,1,,,,,,,,,,,,,,,,,,,,,,260.021728515625,261.712310791016,999.917663574219,999.917663574219,,,7.3654351234436,,1,0,0,0,0,29.8142719268799,2,1,1,259.962615966797,0,260.912587483724,,,3.90366369672816E-5,2.04591953593227E-6,3.91126470477265E-5,2.04616152147147E-6,0.658869206905365,0.663643717765808,17.3028182983398,0.0105480756610632,30,4,200,-0.00201519182883203,0.0780042931437492,0.268451809883118,1,,,,,,,,,,,,,,,,
,3952317942.32237,257.828826904297,999.917663574219,,,6,,,,17.0309920364443,,,1,,,,,,,,,,,,,,,,,,,,,,257.228393554687,258.633758544922,999.917663574219,999.917663574219,,,7.3581109046936,,1,0,0,0,0,29.3255138397217,2,1,1,257.023895263672,0,257.899982452393,,,3.89112156080779E-5,2.03935341969506E-6,3.89932544786516E-5,2.03960114584829E-6,0.658860445022583,0.664050877094269,17.3003158569336,0.00207010190933943,30,4,200,-0.000682297628372908,0.051559753715992,0.2403784096241,1,,,,,,,,,,,,,,,,
,3952317960.7829,254.717109680176,999.917663574219,,,6,,,,17.0182931809348,,,1,,,,,,,,,,,,,,,,,,,,,,253.856826782227,255.626373291016,999.917663574219,999.917663574219,,,7.350022315979,,1,0,0,0,0,29.8142719268799,2,1,1,253.807846069336,0,254.752344767253,,,3.895959304232E-5,2.03979835251591E-6,3.90629695639077E-5,2.04012025881321E-6,0.661526799201965,0.668126702308655,17.3194026947021,0,30,4,200,-0.000824460876174271,0.0336832404136658,0.224370121955872,1,,,,,,,,,,,,,,,,
,3952317979.11711,251.6630859375,999.917663574219,,,6,,,,17.0057065296086,,,1,,,,,,,,,,,,,,,,,,,,,,250.836959838867,252.523315429687,999.917663574219,999.917663574219,,,7.34306335449219,,1,0,0,0,0,29.3255138397217,2,1,1,250.802856445313,0,251.70435418023,,,3.91503015980141E-5,2.05646288283589E-6,3.92432044760028E-5,2.05675916554752E-6,0.653147101402283,0.658852517604828,17.2916240692139,0,30,4,200,-0.000782964576501399,0.00366154196672142,0.193922430276871,1,,,,,,,,,,,,,,,,
,3952317997.46531,248.640251159668,999.917663574219,,,6,,,,16.9930028695116,,,1,,,,,,,,,,,,,,,,,,,,,,247.869415283203,249.441909790039,999.917663574219,999.917663574219,,,7.33516883850098,,1,0,0,0,0,32.7468223571777,2,1,1,247.838592529297,0,248.664538913303,,,3.89884699789936E-5,2.04510484507396E-6,3.91030818540735E-5,2.04545959366084E-6,0.656711876392365,0.663904070854187,17.3102416992187,,30,4,200,-0.000473299442091957,-0.0180837381631136,0.174177780747414,1,,,,,,,,,,,,,,,,
,3952318015.88973,245.695266723633,999.917663574219,,,6,,,,16.9803755928483,,,1,,,,,,,,,,,,,,,,,,,,,,244.967727661133,246.50178527832,999.917663574219,999.917663574219,,,7.32847929000855,,1,0,0,0,0,30.3030319213867,2,1,1,244.888748168945,0,245.75648159451,,,3.92551464499198E-5,2.06194245124976E-6,3.93835805991999E-5,2.06234510225944E-6,0.653181791305542,0.661086022853851,17.3155269622803,,30,4,200,-0.000405628437874839,-0.0440511852502823,0.147682890295982,1,,,,,,,,,,,,,,,,
,3952318034.23734,242.621589660645,999.917663574219,,,6,,,,16.9679854602175,,,1,,,,,,,,,,,,,,,,,,,,,,241.858169555664,243.416275024414,999.917663574219,999.917663574219,,,7.32110643386841,,1,0,0,0,0,29.8142719268799,2,1,1,241.826904296875,0,242.670420328776,,,3.93112284349213E-5,2.06574728923973E-6,3.9461589198309E-5,2.06622670405728E-6,0.652128100395203,0.66134238243103,17.3299236297607,,30,4,200,8.07202959549613E-5,-0.0633945986628532,0.127871423959732,1,,,,,,,,,,,,,,,,
,3952318052.63167,239.587997436523,999.917663574219,,,6,,,,16.9554370140162,,,1,,,,,,,,,,,,,,,,,,,,,,238.797149658203,240.425262451172,999.917663574219,999.917663574219,,,7.31371974945068,,1,0,0,0,0,28.8367557525635,2,1,1,238.750732421875,0,239.641267564562,,,3.98160867248504E-5,2.09403323732487E-6,3.9963226854349E-5,2.09448077724626E-6,0.6500164270401,0.658871591091156,17.3124504089355,INF,30,4,200,-0.000505720090586692,-0.0842722877860069,0.10835699737072,1,,,,,,,,,,,,,,,,
,3952318071.05002,236.383346557617,999.917663574219,,,6,,,,16.9429953758771,,,1,,,,,,,,,,,,,,,,,,,,,,235.590713500977,237.203277587891,999.917663574219,999.917663574219,,,7.30689430236816,,1,0,0,0,0,30.3030319213867,2,1,1,235.563415527344,0,236.396369086372,,,3.95619389255375E-5,2.07828290793175E-6,3.9761952879791E-5,2.07888712936245E-6,0.652905941009522,0.665224134922028,17.3586311340332,4.16636896133423,30,4,200,0.000253422214882448,-0.0955594852566719,0.0973783358931542,1,,,,,,,,,,,,,,,,
,3952318089.37305,233.441444396973,999.917663574219,,,6,,,,16.9306133144737,,,1,,,,,,,,,,,,,,,,,,,,,,232.75634765625,234.262985229492,999.917663574219,999.917663574219,,,7.29985094070435,,1,0,0,0,0,27.8592376708984,2,1,1,232.619903564453,0,233.464040120443,,,3.96999345438341E-5,2.08856726043586E-6,3.9908956698381E-5,2.08920427600385E-6,0.64924556016922,0.661902189254761,17.3552665710449,,30,4,200,0.000515648396685719,-0.105097159743309,0.0880534648895264,1,,,,,,,,,,,,,,,,
,3952318107.9396,230.401206970215,999.917663574219,,,6,,,,16.9184299676247,,,1,,,,,,,,,,,,,,,,,,,,,,229.706039428711,231.157348632813,999.917663574219,999.917663574219,,,7.29250431060791,,1,0,0,0,0,29.3255138397217,2,1,1,229.645065307617,0,230.404659695095,,,3.97578369522424E-5,2.09247496487303E-6,3.99921114921228E-5,2.09319107811981E-6,0.648218214511871,0.662361323833466,17.3671951293945,0.0121276080608368,30,4,200,0.000215969761484303,-0.11953230202198,0.0761733800172806,1,,,,,,,,,,,,,,,,
,3952318126.22599,227.213073730469,999.917663574219,,,6,,,,16.9060269742033,,,1,,,,,,,,,,,,,,,,,,,,,,226.430038452148,228.051147460938,999.917663574219,999.917663574219,,,7.2857837677002,,1,0,0,0,0,29.8142719268799,2,1,1,226.375,0,227.242565578885,,,3.99715612801117E-5,2.10621453460134E-6,4.02341643852654E-5,2.10701464181783E-6,0.645285427570343,0.660926282405853,17.3802070617676,0.00251287501305342,30,4,200,0.000153016153490171,-0.136892750859261,0.0592619515955448,1,,,,,,,,,,,,,,,,
,3952318144.58347,224.287048339844,999.917663574219,,,6,,,,16.8940829667446,,,1,,,,,,,,,,,,,,,,,,,,,,223.485733032227,225.117477416992,999.917663574219,999.917663574219,,,7.27849388122559,,1,0,0,0,0,29.8142719268799,2,1,1,223.456619262695,0,224.280665079753,,,4.00705602078504E-5,2.11215254647716E-6,4.03579360615988E-5,2.11302441156399E-6,0.6444451212883,0.661510288715363,17.389066696167,0,30,4,200,0.000281815009657294,-0.149385347962379,0.0478143692016602,1,,,,,,,,,,,,,,,,
,3952318162.86619,221.280494689941,999.917663574219,,,6,,,,16.8821457797766,,,1,,,,,,,,,,,,,,,,,,,,,,220.641174316406,222.102294921875,999.917663574219,999.917663574219,,,7.27204704284668,,1,0,0,0,0,29.8142719268799,2,1,1,220.458694458008,0,221.448505401611,,,4.02355930198866E-5,2.12227419195852E-6,4.05648744122647E-5,2.12324539893349E-6,0.642802596092224,0.662267446517944,17.4109153747559,5.00605583190918,30,4,200,7.84493822720833E-5,-0.16451670229435,0.0346339643001556,1,,,,,,,,,,,,,,,,
,3952318181.27778,218.110534667969,999.917663574219,,,6,,,,16.870458977592,,,1,,,,,,,,,,,,,,,,,,,,,,217.38899230957,219.005233764648,999.917663574219,999.917663574219,,,7.26489639282227,,1,0,0,0,0,28.3479976654053,2,1,1,217.215835571289,0,218.237085342407,,,4.02541005213224E-5,2.12450424814625E-6,4.06145112631553E-5,2.1255782766976E-6,0.641364395618439,0.662594854831696,17.4227046966553,0,30,4,200,1.10278460851987E-5,-0.17931866645813,0.0215669479221106,1,,,,,,,,,,,,,,,,
,3952318199.59734,215.106292724609,999.917663574219,,,6,,,,16.8586814751778,,,1,,,,,,,,,,,,,,,,,,,,,,214.257202148438,215.982925415039,999.917663574219,999.917663574219,,,7.2582426071167,,1,0,0,0,0,29.8142719268799,2,1,1,214.22966003418,0,215.101304796007,,,4.09669067847624E-5,2.16368940483475E-6,4.13447469862549E-5,2.16483672071025E-6,0.639611959457398,0.66133451461792,17.4202461242676,0,30,4,200,-0.000659777957480401,-0.203823536634445,-0.00267849094234407,1,,,,,,,,,,,,,,,,
,3952318218.05153,212.037223815918,999.917663574219,,,6,,,,16.8473123236552,,,1,,,,,,,,,,,,,,,,,,,,,,211.258972167969,212.868301391602,999.917663574219,999.917663574219,,,7.2511305809021,,1,0,0,0,0,29.8142719268799,2,1,1,211.206146240234,0,212.095221625434,,,4.02758640066141E-5,2.13219270017787E-6,4.06967768088854E-5,2.13346838380662E-6,0.633998513221741,0.658213436603546,17.4436492919922,0,30,4,200,0.000679263088386506,-0.208586126565933,-0.00552608910948038,1,,,,,,,,,,,,,,,,
,3952318236.351,208.907180786133,999.917663574219,,,6,,,,16.8356226246631,,,1,,,,,,,,,,,,,,,,,,,,,,208.111541748047,209.731262207031,999.917663574219,999.917663574219,,,7.24410247802734,,1,0,0,0,0,29.3255138397217,2,1,1,208.083099365234,0,208.923049926758,,,4.11875804247165E-5,2.18019274801853E-6,4.16460229564086E-5,2.18158716272551E-6,0.634288012981415,0.660167872905731,17.4522399902344,4.17758750915527,30,4,200,-6.22520747128874E-5,-0.227552965283394,-0.0257241763174534,1,,,,,,,,,,,,,,,,
,3952318254.6958,205.816879272461,999.917663574219,,,6,,,,16.8239450414584,,,1,,,,,,,,,,,,,,,,,,,,,,204.967086791992,206.721817016602,999.917663574219,999.917663574219,,,7.23682737350464,,1,0,0,0,0,29.8142719268799,2,1,1,204.91194152832,0,205.856758965386,,,4.18313876792887E-5,2.21375439357376E-6,4.23606838938713E-5,2.21532233475453E-6,0.634841799736023,0.664548754692078,17.4808235168457,,30,4,200,-0.00110559491440654,-0.244354948401451,-0.0418762117624283,1,,,,,,,,,,,,,,,,
,3952318273.2061,202.775848388672,999.917663574219,,,6,,,,16.8126674978234,,,1,,,,,,,,,,,,,,,,,,,,,,202.007217407227,203.604019165039,999.917663574219,999.917663574219,,,7.22958374023437,,1,0,0,0,0,29.3255138397217,2,1,1,201.947677612305,0,202.783218383789,,,4.17711958736377E-5,2.21425979833466E-6,4.23401821679231E-5,2.21595845257583E-6,0.630910217761993,0.662516176700592,17.4938583374023,0,30,4,200,-0.000944261031690985,-0.266734093427658,-0.0613827407360077,1,,,,,,,,,,,,,,,,
,3952318291.63447,199.633865356445,999.917663574219,,,6,,,,16.8013428079197,,,1,,,,,,,,,,,,,,,,,,,,,,198.816055297852,200.508590698242,999.917663574219,999.917663574219,,,7.22198152542114,,1,0,0,0,0,29.3255138397217,2,1,1,198.759140014648,0,199.707716200087,,,4.183146865682E-5,2.21955581909627E-6,4.24581685934271E-5,2.22140952023929E-6,0.628702342510223,0.663372874259949,17.5148601531982,4.1850757598877,30,4,200,-0.00100553582888097,-0.289807289838791,-0.0823536962270737,1,,,,,,,,,,,,,,,,
,3952318309.91676,196.53279876709,999.917663574219,,,6,,,,16.7902967901798,,,1,,,,,,,,,,,,,,,,,,,,,,195.810729980469,197.324752807617,999.917663574219,999.917663574219,,,7.21473789215088,,1,0,0,0,0,28.3479976654053,2,1,1,195.740844726562,0,196.535590277778,,,4.20460718366065E-5,2.23375970559222E-6,4.27440070303505E-5,2.23584902802623E-6,0.625787496566772,0.663981199264526,17.5401458740234,0,30,4,200,-0.000963367696385831,-0.311666071414948,-0.10316363722086,1,,,,,,,,,,,,,,,,
,3952318328.29534,193.44994354248,999.917663574219,,,6,,,,16.7793012182436,,,1,,,,,,,,,,,,,,,,,,,,,,192.68342590332,194.216461181641,999.917663574219,999.917663574219,,,7.20672178268433,,1,0,0,0,0,29.3255138397217,2,1,1,192.68342590332,0,193.496699015299,,,4.2092021558111E-5,2.23629231402863E-6,4.28702574446127E-5,2.23864445057343E-6,0.625693500041962,0.668506741523743,17.567684173584,0,30,4,200,-0.000404732301831245,-0.333597153425217,-0.12407048791647,1,,,,,,,,,,,,,,,,
