[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952676108.44762,04/01/2025,2:33 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,Polycrystalline colder side TB002a,SAMPLE_COMMENT
INFO,3.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.38,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952676122.19444,299.946258544922,999.966186523437,,,6,,,,21.4471701915125,,,1,,,,,,,,,,,,,,,,,,,,,,299.943267822266,299.950744628906,999.966186523437,999.966186523437,,,7.96155023574829,,1,0,0,0,0,31.7693061828613,1,1,1,299.949249267578,0,299.948248969184,,,2.61415220419931E-5,1.29684519907922E-6,2.61521243163758E-5,1.29686454547003E-6,0.882749378681183,0.886083364486694,21.3417129516602,5.32332706451416,30,4,200,-0.000604411819949746,-0.0547925978899002,0.0756716206669807,1,,,,,,,,,,,,,,,,
,3952676139.17894,299.881729125977,999.966186523437,,,6,,,,21.4471701915125,,,1,,,,,,,,,,,,,,,,,,,,,,299.813415527344,299.958801269531,999.966186523437,999.966186523437,,,7.9507851600647,,1,0,0,0,0.0128173828125,31.7693061828613,2,1,1,299.804656982422,0,299.907131618924,,,2.58019922928546E-5,1.28548851253691E-6,2.58174714385512E-5,1.28551872222111E-6,0.851175963878632,0.855013847351074,21.3192901611328,0,30,4,200,0.00121893081814051,-0.0296412222087383,0.100594148039818,1,,,,,,,,,,,,,,,,
,3952676148.91976,299.658401489258,999.966186523437,,,6,,,,21.4471701915125,,,1,,,,,,,,,,,,,,,,,,,,,,299.556396484375,299.804656982422,999.966186523437,999.966186523437,,,7.93909358978271,,1,0,0,0,0.0141143798828125,31.7693061828613,2,1,1,299.512145996094,0,299.690188937717,,,2.58454922547885E-5,1.28681137005463E-6,2.58602632568823E-5,1.28683742057363E-6,0.855555295944214,0.859342694282532,21.3221015930176,0.0581443086266518,30,4,200,0.000287561531877145,-0.0208885334432125,0.109729327261448,1,,,,,,,,,,,,,,,,
,3952676158.66861,299.27961730957,999.966186523437,,,6,,,,21.4471701915125,,,1,,,,,,,,,,,,,,,,,,,,,,299.073333740234,299.512145996094,999.966186523437,999.966186523437,,,7.92554616928101,,1,0,0,0,0.0141143798828125,31.7693061828613,2,1,1,299.047088623047,0,299.291266547309,,,2.61569733453693E-5,1.29879506471656E-6,2.61726305215884E-5,1.29882239867602E-6,0.875327169895172,0.879975497722626,21.3188953399658,0,30,4,200,-0.000555504462681711,-0.0266758054494858,0.104710899293423,1,,,,,,,,,,,,,,,,
,3952676176.9695,298.349319458008,999.966186523437,,,6,,,,21.4411976015385,,,1,,,,,,,,,,,,,,,,,,,,,,298.177673339844,298.607971191406,999.966186523437,999.966186523437,,,7.89685392379761,,1,0,0,0,0,31.7693061828613,2,1,1,298.090667724609,0,298.396511077881,,,2.62592969969345E-5,1.30391002047745E-6,2.62751680802951E-5,1.30394248659684E-6,0.875118970870972,0.879774987697601,21.3127365112305,1.36226935865125E-5,30,4,200,-0.000727201113477349,-0.0400387719273567,0.091977559030056,1,,,,,,,,,,,,,,,,
,3952676195.34266,297.224899291992,999.966186523437,,,6,,,,21.4353485754216,,,1,,,,,,,,,,,,,,,,,,,,,,296.902923583984,297.564727783203,999.966186523437,999.966186523437,,,7.86674785614014,,1,0,0,0,0,31.7693061828613,2,1,1,296.885070800781,0,297.236768934462,,,2.64261962642601E-5,1.3110458843801E-6,2.64392266252593E-5,1.31107017447376E-6,0.882252037525177,0.88629674911499,21.31911277771,0,30,4,200,-0.000831451383419335,-0.0569147504866123,0.0754535272717476,1,,,,,,,,,,,,,,,,
,3952676213.72992,296.072830200195,999.966186523437,,,6,,,,21.4294902450065,,,1,,,,,,,,,,,,,,,,,,,,,,295.803009033203,296.361450195313,999.966186523437,999.966186523437,,,7.83521461486816,,1,0,0,0,0.0128173828125,31.7693061828613,2,1,1,295.784210205078,0,296.087398952908,,,2.65655653446101E-5,1.31744886608249E-6,2.65779192505168E-5,1.31747283320289E-6,0.885548710823059,0.889469742774963,21.31667137146,6.55614130664617E-5,30,4,200,-0.000531078665517271,-0.0688554048538208,0.063206784427166,1,,,,,,,,,,,,,,,,
,3952676232.14135,294.945343017578,999.966186523437,,,6,,,,21.4237481097564,,,1,,,,,,,,,,,,,,,,,,,,,,294.660400390625,295.25341796875,999.966186523437,999.966186523437,,,7.80388164520264,,1,0,0,0,0,31.7693061828613,2,1,1,294.637268066406,0,294.94814046224,,,2.66432721199967E-5,1.32222434253516E-6,2.6658433876228E-5,1.3222530441748E-6,0.879687249660492,0.884258806705475,21.2988948822021,5.47385798199684E-6,30,4,200,-0.000530386983882636,-0.0791498348116875,0.0536854825913906,1,,,,,,,,,,,,,,,,
,3952676250.53822,293.788009643555,999.966186523437,,,6,,,,21.4180225967474,,,1,,,,,,,,,,,,,,,,,,,,,,293.503448486328,294.093444824219,999.966186523437,999.966186523437,,,7.77145338058472,,1,0,0,0,0.0128173828125,31.7693061828613,2,1,1,293.482574462891,0,293.803504096137,,,2.66085387168939E-5,1.32201885382866E-6,2.66249263164073E-5,1.32204913121696E-6,0.870627880096436,0.875217318534851,21.2881259918213,0,30,4,200,-0.000267137656919658,-0.0888126268982887,0.0449431836605072,1,,,,,,,,,,,,,,,,
,3952676268.85757,292.661193847656,999.966186523437,,,6,,,,21.4124822409948,,,1,,,,,,,,,,,,,,,,,,,,,,292.354949951172,292.967437744141,999.966186523437,999.966186523437,,,7.74088573455811,,1,0,0,0,0,31.2805480957031,2,1,1,292.354949951172,0,292.683898925781,,,2.66888591438433E-5,1.32633868885841E-6,2.67033039413696E-5,1.32636527878417E-6,0.868754982948303,0.872718393802643,21.2908000946045,0.0590805336833,30,4,200,-0.000169716440723278,-0.0962828546762466,0.0375034734606743,1,,,,,,,,,,,,,,,,
