[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952665023.28486,04/01/2025,11:29 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,Polycrystalline colder side TB002a,SAMPLE_COMMENT
INFO,3.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.38,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952665039.37262,299.87858581543,999.808410644531,,,6,,,,21.4491100311279,,,1,,,,,,,,,,,,,,,,,,,,,,299.877105712891,299.888702392578,999.808410644531,999.808410644531,,,6.56858730316162,,1,0,0,0,0,33.2355842590332,1,1,1,299.876739501953,0,299.883809407552,,,2.60652461284522E-5,1.29264332441922E-6,2.60653324480784E-5,1.29264284192661E-6,0.885504066944122,0.885535836219788,21.438892364502,0,30,4,200,-0.00714153191074729,-0.134337112307549,0.0205887518823147,1,,,,,,,,,,,,,,,,
,3952665056.13015,299.756225585937,999.808410644531,,,6,,,,21.4491100311279,,,1,,,,,,,,,,,,,,,,,,,,,,299.643615722656,299.888214111328,999.808410644531,999.808410644531,,,6.63541316986084,,1,0,0,0,0,32.7468223571777,2,1,1,299.624237060547,0,299.788808186849,,,2.60515430702351E-5,1.29243589654725E-6,2.60523329889066E-5,1.29243613910632E-6,0.882396399974823,0.88264936208725,21.419885635376,4.6281623840332,30,4,200,-0.00714616617187858,-0.211267039179802,-0.0549285225570202,1,,,,,,,,,,,,,,,,
,3952665065.86502,299.344772338867,999.808410644531,,,6,,,,21.4491100311279,,,1,,,,,,,,,,,,,,,,,,,,,,299.120361328125,299.615478515625,999.808410644531,999.808410644531,,,6.66701412200928,,1,0,0,0,0,33.2355842590332,2,1,1,299.074066162109,0,299.377224392361,,,2.61276580339235E-5,1.29455405008239E-6,2.61279903907768E-5,1.29455387966959E-6,0.893688023090362,0.893807649612427,21.4300098419189,,30,4,200,-0.00680911680683494,-0.28230282664299,-0.126018643379211,1,,,,,,,,,,,,,,,,
,3952665084.11226,298.153167724609,999.808410644531,,,6,,,,21.4411402548622,,,1,,,,,,,,,,,,,,,,,,,,,,297.839019775391,298.526336669922,999.808410644531,999.808410644531,,,6.70949745178223,,1,0,0,0,0,33.7243423461914,2,1,1,297.779998779297,0,298.220136854384,,,2.6252550932056E-5,1.30323307109278E-6,2.62546232939149E-5,1.3032360193953E-6,0.877202093601227,0.877818644046783,21.3945140838623,,30,4,200,-0.00502469297498465,-0.383693635463715,-0.235675171017647,1,,,,,,,,,,,,,,,,
,3952665102.37535,296.509735107422,999.808410644531,,,6,,,,21.4327339845833,,,1,,,,,,,,,,,,,,,,,,,,,,296.039733886719,297.020721435547,999.808410644531,999.808410644531,,,6.7230167388916,,1,0,0,0,0,32.7468223571777,2,1,1,295.998748779297,0,296.542087131076,,,2.61216201333611E-5,1.29190486296266E-6,2.61221217968405E-5,1.29190637130936E-6,0.912236869335175,0.91244101524353,21.4554080963135,,30,4,200,-0.0043963878415525,-0.477288842201233,-0.332210540771484,1,,,,,,,,,,,,,,,,
,3952665120.61088,294.190322875977,999.808410644531,,,6,,,,21.4220050362831,,,1,,,,,,,,,,,,,,,,,,,,,,293.5888671875,294.844085693359,999.808410644531,999.808410644531,,,6.72622299194336,,1,0,0,0,0,32.7468223571777,2,1,1,293.536560058594,0,294.186208089193,,,2.64995337317433E-5,1.31259884048954E-6,2.64995916766027E-5,1.31259865880599E-6,0.896418929100037,0.896441161632538,21.4138927459717,0.18757589161396,30,4,200,-0.007027349434793,-0.583301544189453,-0.426005184650421,1,,,,,,,,,,,,,,,,
,3952665138.87161,291.442504882812,999.808410644531,,,6,,,,21.4083138704182,,,1,,,,,,,,,,,,,,,,,,,,,,290.681304931641,292.23681640625,999.808410644531,999.808410644531,,,6.72958469390869,,1,0,0,0,0,32.7468223571777,2,1,1,290.648193359375,0,291.454518636068,,,2.69160294194033E-5,1.33551603633179E-6,2.69200988933208E-5,1.33552166694638E-6,0.881195306777954,0.882421374320984,21.3437232971191,0.0595637038350105,30,4,200,-0.00479013985022902,-0.684636414051056,-0.536463916301727,1,,,,,,,,,,,,,,,,
,3952665157.32066,288.240295410156,999.808410644531,,,6,,,,21.3931273433691,,,1,,,,,,,,,,,,,,,,,,,,,,287.421630859375,289.119354248047,999.808410644531,999.808410644531,,,6.73394823074341,,1,0,0,0,0,32.7468223571777,2,1,1,287.361236572266,0,288.260108100043,,,2.71872361008049E-5,1.34775699667041E-6,2.71911264524441E-5,1.3477627667602E-6,0.88893711566925,0.890178620815277,21.3303928375244,0,30,4,200,-0.00547797093167901,0.342488527297974,0.494345903396606,1,,,,,,,,,,,,,,,,
,3952665175.64159,284.884429931641,999.808410644531,,,6,,,,21.3782776991713,,,1,,,,,,,,,,,,,,,,,,,,,,283.970855712891,285.798004150391,999.808410644531,999.808410644531,,,6.73839998245239,,1,0,0,0,0,32.7468223571777,2,1,1,283.970855712891,0,284.914211697049,,,2.77227031126543E-5,1.37255843727479E-6,2.77253614026389E-5,1.37256061802793E-6,0.900882184505463,0.901828825473785,21.3265056610107,1.51384210766992E-6,30,4,200,-0.0050618564710021,0.245513007044792,0.396957576274872,1,,,,,,,,,,,,,,,,
,3952665194.03731,281.558319091797,999.808410644531,,,6,,,,21.3640325201588,,,1,,,,,,,,,,,,,,,,,,,,,,280.670196533203,282.506652832031,999.808410644531,999.808410644531,,,6.7423210144043,,1,0,0,0,0,32.2580642700195,2,1,1,280.609985351562,0,281.592044406467,,,2.79885694356953E-5,1.38817826492626E-6,2.79937345322835E-5,1.3881868058167E-6,0.884561479091644,0.88609653711319,21.2928733825684,0,30,4,200,-0.00325824553146958,0.180288463830948,0.328381955623627,1,,,,,,,,,,,,,,,,
