[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952667813.28753,04/01/2025,12:15 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,Polycrystalline colder side TB002a,SAMPLE_COMMENT
INFO,3.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.38,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952670842.48115,1.8005695939064,999.966186523437,,,6,,,,20.5115502948991,,,1,,,,,,,,,,,,,,,,,,,,,,1.79945302009583,1.80110239982605,999.966186523437,999.966186523437,,,2.08567118644714,,1,0,0,0,0.0141143798828125,32.2580642700195,1,1,1,1.80059409141541,0,1.8003054857254,,,0.000140191925233543,6.926654898022E-6,0.000140566924909376,6.92742247236819E-6,0.924262940883636,0.974872946739197,20.2410869598389,,30,4,200,-0.00234842672944069,-0.81644469499588,-0.15397122502327,1,,,,,,,,,,,,,,,,
,3952670859.68532,2.1208958029747,999.966186523437,,,6,,,,20.5115502948991,,,1,,,,,,,,,,,,,,,,,,,,,,1.90616166591644,2.31076645851135,999.966186523437,999.966186523437,,,2.35342884063721,,1,0,0,0,0,32.2580642700195,6,1,1,2.33562994003296,0,2.09632499217987,,,0.000139825910566179,6.90716063318861E-6,0.000140170215336196,6.90786894837921E-6,0.926994621753693,0.97489595413208,20.2520999908447,,30,4,200,-0.00916764326393604,-0.934246182441711,-0.242595195770264,1,,,,,,,,,,,,,,,,
,3952670869.86494,2.54286921024322,999.966186523437,,,6,,,,20.5115502948991,,,1,,,,,,,,,,,,,,,,,,,,,,2.33562994003296,2.71399903297424,999.966186523437,999.966186523437,,,2.5628502368927,,1,0,0,0,0,32.2580642700195,6,1,1,2.75010848045349,0,2.52304032113817,,,0.000139659705242144,6.89753932689558E-6,0.000139976706683586,6.8981990430069E-6,0.929835379123688,0.975671887397766,20.2625789642334,,30,4,200,-0.00742595130577683,-1.00919055938721,-0.330673068761826,1,,,,,,,,,,,,,,,,
,3952670879.5769,2.97699332237244,999.966186523437,,,6,,,,20.5115502948991,,,1,,,,,,,,,,,,,,,,,,,,,,2.75923371315002,3.17230534553528,999.966186523437,999.966186523437,,,2.74736070632935,,1,0,0,0,0.0141143798828125,32.2580642700195,6,1,1,3.19475293159485,0,2.95970061090257,,,0.000139494722487814,6.8879257737576E-6,0.000139780310578837,6.88847969019641E-6,0.932919681072235,0.975913405418396,20.2748279571533,0.134087786078453,30,4,200,-0.00667778356000781,-1.07337665557861,-0.401726961135864,1,,,,,,,,,,,,,,,,
,3952670889.51913,3.43426644802094,999.966186523437,,,6,,,,20.5115502948991,,,1,,,,,,,,,,,,,,,,,,,,,,3.19475293159485,3.65954875946045,999.966186523437,999.966186523437,,,2.94007158279419,,1,0,0,0,0.0128173828125,32.7468223571777,6,1,1,3.67377996444702,0,3.42286815643311,,,0.000139435116574006,6.88458985613244E-6,0.000139709757540762,6.88515625036255E-6,0.933770954608917,0.975003778934479,20.2797260284424,0,30,4,200,-0.00563330110162497,-1.13135540485382,-0.461642980575562,1,,,,,,,,,,,,,,,,
,3952670899.47654,3.90328645706177,999.966186523437,,,6,,,,20.5115502948991,,,1,,,,,,,,,,,,,,,,,,,,,,3.67377996444702,4.09563302993774,999.966186523437,999.966186523437,,,3.1032989025116,,1,0,0,0,0.0141143798828125,32.7468223571777,6,1,1,4.13279294967651,0,3.88291319211324,,,0.000139395625172329,6.88145868581787E-6,0.000139648927509207,6.88196510691551E-6,0.936405956745148,0.976158380508423,20.2887668609619,0,30,4,200,-0.00496931746602058,-0.05582020804286,0.608975827693939,1,,,,,,,,,,,,,,,,
,3952670909.14493,4.37573623657227,999.966186523437,,,6,,,,20.5115502948991,,,1,,,,,,,,,,,,,,,,,,,,,,4.13279294967651,4.60271739959717,999.966186523437,999.966186523437,,,3.25335383415222,,1,0,0,0,0.0141143798828125,32.7468223571777,6,1,1,4.61867952346802,0,4.37782017389933,,,0.000139333625730756,6.87827607594721E-6,0.000139580091534138,6.87879350989266E-6,0.936685562133789,0.974853098392487,20.2920112609863,,30,4,200,-0.00411746045574546,-0.0951483249664307,0.567761123180389,1,,,,,,,,,,,,,,,,
,3952670918.84895,4.86147284507751,999.966186523437,,,6,,,,20.5115502948991,,,1,,,,,,,,,,,,,,,,,,,,,,4.62978410720825,5.04958629608154,999.966186523437,999.966186523437,,,3.38453316688538,,1,0,0,0,0.0141143798828125,31.2805480957031,6,1,1,5.09316158294678,0,4.83339897791545,,,0.000139427004808084,6.8826919839568E-6,0.000139667358721448,6.88319863760627E-6,0.937126398086548,0.974248230457306,20.2948627471924,,30,4,200,-0.00374119612388313,-0.130949378013611,0.531508207321167,1,,,,,,,,,,,,,,,,
,3952670928.88777,5.36578011512756,999.966186523437,,,6,,,,20.5115502948991,,,1,,,,,,,,,,,,,,,,,,,,,,5.1209774017334,5.59166717529297,999.966186523437,999.966186523437,,,3.52420020103455,,1,0,0,0,0.0128173828125,32.2580642700195,6,1,1,5.61058282852173,0,5.34781312942505,,,0.000139523093022431,6.88701650109558E-6,0.000139755865252115,6.88749611874623E-6,0.938098967075348,0.974617719650269,20.2982978820801,0.186911940574646,30,4,200,-0.00388334575109184,-0.169242173433304,0.495170652866364,1,,,,,,,,,,,,,,,,
,3952670938.65398,5.86039972305298,999.966186523437,,,6,,,,20.5115502948991,,,1,,,,,,,,,,,,,,,,,,,,,,5.61058282852173,6.0641016960144,999.966186523437,999.966186523437,,,3.64241576194763,,1,0,0,0,0.0128173828125,32.2580642700195,6,1,1,6.11021661758423,0,5.83057504230075,,,0.000139710536353001,6.89635891626962E-6,0.000139941600206553,6.89683792432994E-6,0.937894642353058,0.973576843738556,20.2992687225342,2.36089181900024,30,4,200,-0.00350640108808875,-0.202293992042542,0.460919231176376,1,,,,,,,,,,,,,,,,
