[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952592605.29028,03/31/2025,3:22 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB002a warmer side polycrystalline powder,SAMPLE_COMMENT
INFO,2.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68.91,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952592619.46833,299.999359130859,999.893371582031,,,6,,,,25.7620677947998,,,1,,,,,,,,,,,,,,,,,,,,,,299.995391845703,300.007293701172,999.893371582031,999.893371582031,,,6.94122123718262,,1,0,0,0,0,31.7693061828613,1,1,1,299.995452880859,0,300.002445220947,,,2.76328299373599E-5,1.41296750633769E-6,2.77100334697741E-5,1.41314721132836E-6,0.732234716415405,0.74165678024292,26.0441818237305,0,30,4,200,-0.0444406382739544,-0.372843325138092,0.0772122293710709,1,,,,,,,,,,,,,,,,
,3952592636.154,299.906387329102,999.893371582031,,,6,,,,25.7620677947998,,,1,,,,,,,,,,,,,,,,,,,,,,299.834564208984,300.007568359375,999.893371582031,999.893371582031,,,6.97358846664429,,1,0,0,0,0,32.7468223571777,6,1,1,299.805206298828,0,299.942153930664,,,2.45480787987737E-5,1.21922442088122E-6,2.45620438468832E-5,1.21925341159674E-6,0.873291015625,0.877598226070404,25.8860950469971,0,30,4,200,-0.0282830614596605,-0.704912483692169,0.443327128887177,1,,,,,,,,,,,,,,,,
,3952592645.85873,299.582290649414,999.893371582031,,,6,,,,25.7620677947998,,,1,,,,,,,,,,,,,,,,,,,,,,299.404907226562,299.789611816406,999.893371582031,999.893371582031,,,6.99106025695801,,1,0,0,0,0.014495849609375,32.7468223571777,2,1,1,299.374969482422,0,299.598320855035,,,2.51935079285426E-5,1.25638360944381E-6,2.52217754585358E-5,1.25644791530554E-6,0.844976782798767,0.851875126361847,25.9372673034668,6.37862777709961,30,4,200,-0.0288165677338839,-0.00430413708090782,0.303160041570663,1,,,,,,,,,,,,,,,,
,3952592664.1006,298.495834350586,999.893371582031,,,6,,,,25.7539192775213,,,1,,,,,,,,,,,,,,,,,,,,,,298.179534912109,298.844970703125,999.893371582031,999.893371582031,,,7.02208709716797,,1,0,0,0,0,32.7468223571777,2,1,1,298.146697998047,0,298.531270345052,,,2.45822535118599E-5,1.22777081050421E-6,2.46172656367418E-5,1.22784749516025E-6,0.835676074028015,0.843953192234039,25.9502105712891,0,30,4,200,-0.0193111337721348,-0.3880615234375,-0.1468845307827,1,,,,,,,,,,,,,,,,
,3952592683.0588,296.75862121582,999.893371582031,,,6,,,,25.7441169079541,,,1,,,,,,,,,,,,,,,,,,,,,,296.216033935547,297.342987060547,999.893371582031,999.893371582031,,,7.0524001121521,,1,0,0,0,0,33.2355842590332,2,1,1,296.174255371094,0,296.812503051758,,,2.50189683540301E-5,1.24826538935185E-6,2.50455608387722E-5,1.24832382578604E-6,0.842050850391388,0.848456025123596,25.9139709472656,3.02692897093948E-5,30,4,200,-0.0154801458120346,-0.657900333404541,0.525162398815155,1,,,,,,,,,,,,,,,,
,3952592702.15196,294.526611328125,999.893371582031,,,6,,,,25.7309188174978,,,1,,,,,,,,,,,,,,,,,,,,,,293.919677734375,295.201354980469,999.893371582031,999.893371582031,,,7.08150625228882,,1,0,0,0,0,31.7693061828613,2,1,1,293.851867675781,0,294.597507052951,,,2.50865613044532E-5,1.25908038993099E-6,2.51303824193552E-5,1.25917520564856E-6,0.809102475643158,0.817741215229034,25.9491310119629,0,30,4,200,-0.014267835766077,0.109617456793785,0.328423708677292,1,,,,,,,,,,,,,,,,
,3952592720.51151,291.829299926758,999.893371582031,,,6,,,,25.7147378072427,,,1,,,,,,,,,,,,,,,,,,,,,,291.1328125,292.622192382812,999.893371582031,999.893371582031,,,7.11843681335449,,1,0,0,0,0,32.7468223571777,2,1,1,291.036407470703,0,291.94632297092,,,2.55215270549398E-5,1.26212522879162E-6,2.55296778267547E-5,1.26214371417401E-6,0.913141906261444,0.916696965694428,25.8076419830322,0,30,4,200,-0.0146729685366154,-0.147044390439987,0.0641510114073753,1,,,,,,,,,,,,,,,,
,3952592738.88482,288.558685302734,999.893371582031,,,6,,,,25.6967323627545,,,1,,,,,,,,,,,,,,,,,,,,,,287.825714111328,289.387023925781,999.893371582031,999.893371582031,,,7.16234016418457,,1,0,0,0,0,32.7468223571777,2,1,1,287.730346679687,0,288.697825113932,,,2.59553499092371E-5,1.29317801775188E-6,2.59870873276373E-5,1.29325169837728E-6,0.850923776626587,0.858781158924103,25.8788509368896,,30,4,200,-0.0125662749633193,-0.401456117630005,-0.192663460969925,1,,,,,,,,,,,,,,,,
,3952592757.32618,285.266174316406,999.893371582031,,,6,,,,25.6790533345795,,,1,,,,,,,,,,,,,,,,,,,,,,284.432403564453,286.163970947266,999.893371582031,999.893371582031,,,7.21182012557983,,1,0,0,0,0,31.7693061828613,2,1,1,284.368377685547,0,285.38330078125,,,2.65718422321089E-5,1.31738661934847E-6,2.65874507402074E-5,1.31742459953446E-6,0.888017117977142,0.893057286739349,25.8051910400391,INF,30,4,200,-0.00929128006100655,-0.587601065635681,-0.399962157011032,1,,,,,,,,,,,,,,,,
,3952592775.69607,281.987655639648,999.893371582031,,,6,,,,25.6618043304536,,,1,,,,,,,,,,,,,,,,,,,,,,281.218994140625,282.756317138672,999.893371582031,999.893371582031,,,7.2576699256897,,1,0,0,0,0,32.7468223571777,2,1,1,281.218994140625,0,282.014275444878,,,2.68891160620571E-5,1.33664407701034E-6,2.6908556488461E-5,1.33668685758991E-6,0.866791188716888,0.871989369392395,25.8020439147949,5.07957124710083,30,4,200,-0.00866443756967783,0.361693233251572,0.546456813812256,1,,,,,,,,,,,,,,,,
