[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952595415.47175,03/31/2025,4:08 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB002a warmer side polycrystalline powder,SAMPLE_COMMENT
INFO,2.1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68.91,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952598443.36142,1.79959958791733,999.6748046875,,,6,,,,24.8251599062161,,,1,,,,,,,,,,,,,,,,,,,,,,1.79678189754486,1.80211293697357,999.6748046875,999.6748046875,,,2.20501446723938,,1,0,0,0,0.0141143798828125,31.7693061828613,1,1,1,1.79981970787048,0,1.79962660074234,,,0.000146126095079753,7.22935190977943E-6,0.000146661807557531,7.23037413708047E-6,0.908635139465332,0.963316738605499,24.5090389251709,0.187313541769981,30,4,200,-0.00134754984173924,-0.913030087947846,-0.216616705060005,1,,,,,,,,,,,,,,,,
,3952598460.93805,2.12906211614609,999.6748046875,,,6,,,,24.8251599062161,,,1,,,,,,,,,,,,,,,,,,,,,,1.90558755397797,2.33566761016846,999.6748046875,999.6748046875,,,2.49622344970703,,1,0,0,0,0.000152587890625,31.7693061828613,6,1,1,2.35253667831421,0,2.11078064441681,,,0.000146040461086323,7.2266924470729E-6,0.000146602415284975,7.22778866289E-6,0.906298756599426,0.962053894996643,24.5015296936035,0,30,4,200,-0.0086192125454545,-1.02411770820618,-0.282281339168549,1,,,,,,,,,,,,,,,,
,3952598471.67983,2.58476948738098,999.6748046875,,,6,,,,24.8251599062161,,,1,,,,,,,,,,,,,,,,,,,,,,2.37166142463684,2.78403043746948,999.6748046875,999.6748046875,,,2.72081637382507,,1,0,0,0,0.000152587890625,31.7693061828613,6,1,1,2.79787755012512,0,2.57877569728427,,,0.000145686736164064,7.21082199286881E-6,0.000146294322859473,7.21203114965464E-6,0.903929591178894,0.96417760848999,24.4886245727539,0,30,4,200,-0.00669302884489298,-1.09215474128723,-0.367222130298615,1,,,,,,,,,,,,,,,,
,3952598482.20086,3.05458986759186,999.6748046875,,,6,,,,24.8251599062161,,,1,,,,,,,,,,,,,,,,,,,,,,2.83272004127502,3.25008773803711,999.6748046875,999.6748046875,,,2.93802571296692,,1,0,0,0,0.000152587890625,31.7693061828613,6,1,1,3.27645969390869,0,3.0345311164856,,,0.000145471571226282,7.20181661113918E-6,0.000146122831443255,7.20315593790029E-6,0.901605606079102,0.965852379798889,24.4769172668457,,30,4,200,-0.00554713513702154,-1.15070199966431,-0.433429449796677,1,,,,,,,,,,,,,,,,
,3952598492.42765,3.52309548854828,999.6748046875,,,6,,,,24.8251599062161,,,1,,,,,,,,,,,,,,,,,,,,,,3.29688096046448,3.72266960144043,999.6748046875,999.6748046875,,,3.1351318359375,,1,0,0,0,0.000152587890625,31.7693061828613,6,1,1,3.74931001663208,0,3.50987617174784,,,0.000145347301225296,7.19704356129899E-6,0.000146030900265199,7.19845931812113E-6,0.899694919586182,0.966526925563812,24.468433380127,0,30,4,200,-0.00485625537112355,-1.18083012104034,0.605077683925629,1,,,,,,,,,,,,,,,,
,3952598502.87565,4.0193395614624,999.6748046875,,,6,,,,24.8251599062161,,,1,,,,,,,,,,,,,,,,,,,,,,3.78126382827759,4.23318719863892,999.6748046875,999.6748046875,,,3.31767225265503,,1,0,0,0,7.62939453125E-5,31.7693061828613,6,1,1,4.25741529464722,0,4.00066987673442,,,0.000145250439372678,7.1932246647014E-6,0.000145960550219832,7.19467319234074E-6,0.898362576961517,0.967872977256775,24.4614315032959,,30,4,200,-0.00463361758738756,-0.120387971401215,0.589197218418121,1,,,,,,,,,,,,,,,,
,3952598513.1085,4.52338075637817,999.6748046875,,,6,,,,24.8251599062161,,,1,,,,,,,,,,,,,,,,,,,,,,4.28722429275513,4.73708248138428,999.6748046875,999.6748046875,,,3.4801332950592,,1,0,0,0,0.000152587890625,32.2580642700195,6,1,1,4.75953722000122,0,4.50528271993001,,,0.000145205614280467,7.19187102418535E-6,0.000145931986883467,7.19331538453449E-6,0.897197902202606,0.967661380767822,24.4571113586426,0,30,4,200,-0.00413078628480434,-0.161643147468567,0.54452109336853,1,,,,,,,,,,,,,,,,
,3952598523.55287,5.04063367843628,999.6748046875,,,6,,,,24.8251599062161,,,1,,,,,,,,,,,,,,,,,,,,,,4.79409265518188,5.26231718063354,999.6748046875,999.6748046875,,,3.63409900665283,,1,0,0,0,0.000152587890625,31.7693061828613,6,1,1,5.28717470169067,0,5.02400615480211,,,0.000145267501313711,7.19577269235986E-6,0.000146015821558368,7.19729180556214E-6,0.896081030368805,0.968324244022369,24.4519233703613,0,30,4,200,-0.00418404676020145,-0.202660858631134,0.50353592634201,1,,,,,,,,,,,,,,,,
,3952598533.72487,5.56111669540405,999.6748046875,,,6,,,,24.8251599062161,,,1,,,,,,,,,,,,,,,,,,,,,,5.31889247894287,5.78534984588623,999.6748046875,999.6748046875,,,3.76915812492371,,1,0,0,0,0.000152587890625,31.7693061828613,6,1,1,5.80334091186523,0,5.54696072472466,,,0.00014539178962027,7.20246190933947E-6,0.000146152338698221,7.2040219744022E-6,0.89538311958313,0.968331575393677,24.4491329193115,0,30,4,200,-0.00358028593473136,-0.239936754107475,0.463983356952667,1,,,,,,,,,,,,,,,,
,3952598544.22311,6.09642362594605,999.6748046875,,,6,,,,24.8251599062161,,,1,,,,,,,,,,,,,,,,,,,,,,5.84558343887329,6.31973695755005,999.6748046875,999.6748046875,,,3.89925146102905,,1,0,0,0,0.000152587890625,31.7693061828613,6,1,1,6.3472638130188,0,6.07619047164917,,,0.000145607179490782,7.2136103604746E-6,0.000146383795421313,7.21523995874019E-6,0.89475804567337,0.969177186489105,24.4457321166992,0,30,4,200,-0.00305241299793124,-0.272038549184799,0.429926246404648,1,,,,,,,,,,,,,,,,
