[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952880807.98409,04/03/2025,11:25 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB002b H parra ab,SAMPLE_COMMENT
INFO,42.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.33,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952881473.0256,299.951934814453,999.735534667969,,,6,,,,30.742395993646,,,10,,,,,,,,,,,,,,,,,,,,,,299.94580078125,299.957214355469,999.735534667969,999.735534667969,,,6.55885028839111,,1,0,0,0,0,30.3030319213867,1,1,1,299.958068847656,0,299.951226128472,,,0.000503145544226105,2.48075693823107E-5,0.000503150879072412,2.48075706146026E-5,0.96049427986145,0.960761904716492,30.7247867584229,0,30,4,200,-0.000133625391754322,-0.265725672245026,-0.0364048443734646,1,,,,,,,,,,,,,,,,
,3952881490.99634,299.92057800293,999.735534667969,,,6,,,,30.742395993646,,,10,,,,,,,,,,,,,,,,,,,,,,299.887725830078,299.970001220703,999.735534667969,999.735534667969,,,6.50804042816162,,1,0,0,0,0,30.3030319213867,6,1,1,299.871826171875,0,299.944980197483,,,0.000503254574089249,2.48128863444274E-5,0.00050325919010917,2.48128876093012E-5,0.960559129714966,0.960790753364563,30.7260265350342,0,30,4,200,7.85672746133059E-5,-0.265461832284927,-0.0351440384984016,1,,,,,,,,,,,,,,,,
,3952881501.50171,299.715866088867,999.735534667969,,,6,,,,30.742395993646,,,10,,,,,,,,,,,,,,,,,,,,,,299.573852539063,299.871826171875,999.735534667969,999.735534667969,,,6.48093748092651,,1,0,0,0,0,29.8142719268799,2,1,1,299.559906005859,0,299.744194878472,,,0.000503454121498548,2.48227079318417E-5,0.000503458655568145,2.48227197264529E-5,0.960570871829987,0.9607874751091,30.7265644073486,0.0816639512777329,30,4,200,-8.21658759377897E-5,-0.264113903045654,-0.0348875373601913,1,,,,,,,,,,,,,,,,
,3952881511.83596,299.298828125,999.735534667969,,,6,,,,30.742395993646,,,10,,,,,,,,,,,,,,,,,,,,,,299.062469482422,299.552734375,999.735534667969,999.735534667969,,,6.45527362823486,,1,0,0,0,0,30.3030319213867,2,1,1,299.044921875,0,299.324601915148,,,0.000504040046428399,2.48516414312122E-5,0.000504044625710362,2.4851646866665E-5,0.96052348613739,0.960748374462128,30.7262554168701,1.17373838293133E-5,30,4,200,-0.000116625931696035,-0.264540046453476,-0.0349080599844456,1,,,,,,,,,,,,,,,,
,3952881522.17783,298.780090332031,999.735534667969,,,6,,,,30.742395993646,,,10,,,,,,,,,,,,,,,,,,,,,,298.575317382812,299.044921875,999.735534667969,999.735534667969,,,6.43244218826294,,1,0,0,0,0.0128173828125,30.3030319213867,2,1,1,298.515258789063,0,298.815477159288,,,0.000504837673654921,2.48909511511341E-5,0.000504842219786086,2.48909550891204E-5,0.960545420646668,0.960769951343536,30.7262725830078,5.35679197311401,30,4,200,-0.000127873267047107,-0.265192925930023,-0.0350825861096382,1,,,,,,,,,,,,,,,,
,3952881532.48555,298.214584350586,999.735534667969,,,6,,,,30.742395993646,,,10,,,,,,,,,,,,,,,,,,,,,,297.935546875,298.515258789063,999.735534667969,999.735534667969,,,6.40933990478516,,1,0,0,0,0,30.7917900085449,2,1,1,297.913909912109,0,298.2300652398,,,0.00050583445787745,2.49401109915662E-5,0.000505839256934051,2.49401166893016E-5,0.960521638393402,0.960756540298462,30.7259006500244,0,30,4,200,-0.00012684655666817,-0.266060918569565,-0.0354632623493671,1,,,,,,,,,,,,,,,,
,3952881542.74475,297.59846496582,999.735534667969,,,6,,,,30.742395993646,,,10,,,,,,,,,,,,,,,,,,,,,,297.318542480469,297.899597167969,999.735534667969,999.735534667969,,,6.38785886764526,,1,0,0,0,0,30.3030319213867,2,1,1,297.297332763672,0,297.613599989149,,,0.000506976588294315,2.49964472876738E-5,0.000506981397865278,2.49964543942005E-5,0.960507690906525,0.96074104309082,30.7259502410889,0,30,4,200,-0.000133038076455705,-0.267035156488419,-0.0358859710395336,1,,,,,,,,,,,,,,,,
,3952881553.06893,296.986953735352,999.735534667969,,,6,,,,30.742395993646,,,10,,,,,,,,,,,,,,,,,,,,,,296.701568603516,297.297332763672,999.735534667969,999.735534667969,,,6.3673529624939,,1,0,0,0,0,30.3030319213867,2,1,1,296.676574707031,0,297.017615424262,,,0.000508171808333804,2.50553060891089E-5,0.000508176350789483,2.50553005663538E-5,0.960574388504028,0.960807025432587,30.7259902954102,,30,4,200,-0.000121653625683393,-0.267886817455292,-0.0362647175788879,1,,,,,,,,,,,,,,,,
,3952881563.38772,296.375457763672,999.735534667969,,,6,,,,30.742395993646,,,10,,,,,,,,,,,,,,,,,,,,,,296.096923828125,296.676574707031,999.735534667969,999.735534667969,,,6.34895181655884,,1,0,0,0,0,30.7917900085449,2,1,1,296.074340820313,0,296.410464816623,,,0.00050945805922023,2.51187976713924E-5,0.000509462914013483,2.5118801685887E-5,0.960505962371826,0.960743546485901,30.7258014678955,0,30,4,200,-0.000121040298836306,-0.268812596797943,-0.0365493707358837,1,,,,,,,,,,,,,,,,
,3952881581.79713,295.230804443359,999.735534667969,,,6,,,,30.7368854984581,,,10,,,,,,,,,,,,,,,,,,,,,,294.957183837891,295.537658691406,999.735534667969,999.735534667969,,,6.31728935241699,,1,0,0,0,0,30.7917900085449,2,1,1,294.923950195313,0,295.253482818604,,,0.000511902773024953,2.52392173687051E-5,0.000511904669117769,2.52392137650463E-5,0.960619509220123,0.960717141628265,30.7262535095215,0,30,4,200,-0.000110963934275787,-0.270319700241089,-0.0370684452354908,1,,,,,,,,,,,,,,,,
