[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952886882.42428,04/04/2025,1:06 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB002b H parra ab,SAMPLE_COMMENT
INFO,42.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.33,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952886896.18373,1.80024462938309,999.735534667969,,,6,,,,30.455285487457,,,10,,,,,,,,,,,,,,,,,,,,,,1.79885411262512,1.80057966709137,999.735534667969,999.735534667969,,,1.82788944244385,,1,0,0,0,0,31.2805480957031,1,1,1,1.80021524429321,0,1.7998184710741,,,0.00358509281818114,0.00017678890789091,0.00358535990041393,0.000176789291228486,0.956932723522186,0.958643078804016,30.4091510772705,,30,4,200,-0.000568302872125059,-1.42711234092712,0.206463173031807,1,,,,,,,,,,,,,,,,
,3952886913.40509,1.82990348339081,999.735534667969,,,6,,,,30.455285487457,,,10,,,,,,,,,,,,,,,,,,,,,,1.81365609169006,1.84561336040497,999.735534667969,999.735534667969,,,1.85198736190796,,1,0,0,0,0,30.3030319213867,6,1,1,1.84615087509155,0,1.82888336976369,,,0.00358497858841517,0.000176783274698508,0.00358524645248616,0.00017678370810552,0.956924915313721,0.958633422851562,30.4091739654541,0,30,4,200,-0.000634920026641339,-1.42800569534302,0.205807864665985,1,,,,,,,,,,,,,,,,
,3952886964.99092,2.00136786699295,999.735534667969,,,6,,,,30.455285487457,,,10,,,,,,,,,,,,,,,,,,,,,,1.98423111438751,2.01813364028931,999.735534667969,999.735534667969,,,1.93958222866058,,1,0,0,0,0,30.3030319213867,6,1,1,2.01850461959839,0,1.99995753500197,,,0.00358364390321638,0.00017671790309937,0.00358392337224604,0.000176718324691374,0.956877291202545,0.958664238452911,30.4081192016602,0,30,4,200,-0.000598489656113088,-1.43128168582916,0.201748237013817,1,,,,,,,,,,,,,,,,
,3952887019.58957,2.18465781211853,999.735534667969,,,6,,,,30.455285487457,,,10,,,,,,,,,,,,,,,,,,,,,,2.16828465461731,2.19861388206482,999.735534667969,999.735534667969,,,2.02646493911743,,1,0,0,0,0,30.3030319213867,6,1,1,2.20103096961975,0,2.18283972144127,,,0.00358254751815411,0.000176663725606681,0.00358283452846551,0.000176664239484129,0.956886649131775,0.958712816238403,30.4076232910156,0,30,4,200,-0.000593420874793082,-1.43448507785797,0.19801838696003,1,,,,,,,,,,,,,,,,
,3952887075.42601,2.3701593875885,999.735534667969,,,6,,,,30.455285487457,,,10,,,,,,,,,,,,,,,,,,,,,,2.35311651229858,2.38489532470703,999.735534667969,999.735534667969,,,2.1098518371582,,1,0,0,0,0,30.3030319213867,6,1,1,2.38720226287842,0,2.36958315637377,,,0.00358161904463087,0.00017661780687988,0.00358190735310302,0.000176618216294058,0.956905424594879,0.958755970001221,30.4073238372803,,30,4,200,-0.000584177032578737,-1.43764436244965,0.194414302706718,1,,,,,,,,,,,,,,,,
,3952887130.13254,2.55232203006744,999.735534667969,,,6,,,,30.455285487457,,,10,,,,,,,,,,,,,,,,,,,,,,2.53639602661133,2.56771540641785,999.735534667969,999.735534667969,,,2.1908586025238,,1,0,0,0,0.0128173828125,30.3030319213867,6,1,1,2.56824803352356,0,2.55184236168861,,,0.0035808754302382,0.000176581044419345,0.00358116757976961,0.000176581443292107,0.956912159919739,0.958790838718414,30.4069728851318,0,30,4,200,-0.000578735722228885,-1.44091141223907,0.19081337749958,1,,,,,,,,,,,,,,,,
,3952887186.12068,2.73868775367737,999.735534667969,,,6,,,,30.455285487457,,,10,,,,,,,,,,,,,,,,,,,,,,2.72154855728149,2.75553512573242,999.735534667969,999.735534667969,,,2.2688295841217,,1,0,0,0,0.0128173828125,30.3030319213867,6,1,1,2.75582695007324,0,2.73862666553921,,,0.00358030581845481,0.000176552692016998,0.00358060214876615,0.000176553159617315,0.956942915916443,0.958842217922211,30.4067325592041,0,30,4,200,-0.000576316728256643,-1.4437952041626,0.18769109249115,1,,,,,,,,,,,,,,,,
,3952887240.53422,2.92009198665619,999.735534667969,,,6,,,,30.455285487457,,,10,,,,,,,,,,,,,,,,,,,,,,2.90369129180908,2.93622326850891,999.735534667969,999.735534667969,,,2.34304761886597,,1,0,0,0,0.0141143798828125,30.7917900085449,6,1,1,2.9364926815033,0,2.91909623146057,,,0.00358001151529741,0.000176538248986513,0.00358031102466902,0.000176538687509049,0.95693975687027,0.958864510059357,30.4064140319824,2.27139917114982E-5,30,4,200,-0.00056456564925611,-1.44666194915771,0.184583112597466,1,,,,,,,,,,,,,,,,
,3952887296.68678,3.1071138381958,999.735534667969,,,6,,,,30.455285487457,,,10,,,,,,,,,,,,,,,,,,,,,,3.08708763122559,3.12439131736755,999.735534667969,999.735534667969,,,2.41521668434143,,1,0,0,0,0,30.3030319213867,6,1,1,3.12456011772156,0,3.10613973935445,,,0.00358008531927689,0.000176541618929886,0.00358038573553865,0.00017654204968404,0.956971406936646,0.95890486240387,30.4063262939453,0,30,4,200,-0.000559919979423285,-1.44944095611572,0.181851863861084,1,,,,,,,,,,,,,,,,
,3952887351.15882,3.28851187229156,999.735534667969,,,6,,,,30.455285487457,,,10,,,,,,,,,,,,,,,,,,,,,,3.27145767211914,3.30519008636475,999.735534667969,999.735534667969,,,2.48063158988953,,1,0,0,0,0,30.3030319213867,6,1,1,3.30556607246399,0,3.28762446509467,,,0.00358051797190763,0.000176562884735598,0.00358082147513055,0.000176563351783563,0.956988513469696,0.958938539028168,30.4061317443848,5.35532760620117,30,4,200,-0.000561722030397505,-1.45215308666229,0.179273277521133,1,,,,,,,,,,,,,,,,
