[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952863058.61007,04/03/2025,6:29 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB002b H parra ab,SAMPLE_COMMENT
INFO,42.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.33,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952866090.48395,1.80068749189377,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,1.79589188098907,1.8014440536499,999.808410644531,999.808410644531,,,1.7779186964035,,1,0,0,0,0.0128173828125,31.2805480957031,1,1,1,1.79993093013763,0,1.7997535020113,,,0.00353054404868839,0.000174099469935027,0.00353101109163055,0.000174100243418889,0.956861913204193,0.959929227828979,30.395809173584,0,30,4,200,-0.000962336140219122,-1.43552613258362,0.176673039793968,1,,,,,,,,,,,,,,,,
,3952866108.13636,2.11660873889923,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,1.89595437049866,2.31467986106873,999.808410644531,999.808410644531,,,2.01070523262024,,1,0,0,0,0.0141143798828125,30.7917900085449,6,1,1,2.3372631072998,0,2.09181049134996,,,0.00352553435343226,0.000173854360659367,0.00352598991212195,0.000173855211055869,0.956605792045593,0.959566593170166,30.3966522216797,2.41209563682787E-5,30,4,200,-0.00153320445679128,-1.4464635848999,0.166239187121391,1,,,,,,,,,,,,,,,,
,3952866118.55342,2.56087791919708,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,2.34207224845886,2.74155497550964,999.808410644531,999.808410644531,,,2.20220494270325,,1,0,0,0,0,31.2805480957031,6,1,1,2.7796835899353,0,2.53190180990431,,,0.00352612473471609,0.000173883442922445,0.00352657858867734,0.000173884237354408,0.956610202789307,0.959566831588745,30.3966979980469,5.51331996917725,30,4,200,-0.0013237230014056,-1.455899477005,0.155716836452484,1,,,,,,,,,,,,,,,,
,3952866128.90617,3.01063168048859,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,2.7796835899353,3.22748351097107,999.808410644531,999.808410644531,,,2.38436770439148,,1,0,0,0,0,30.7917900085449,6,1,1,3.24157977104187,0,2.98586649364895,,,0.00352804145089133,0.000173977861497306,0.00352849288481824,0.000173978622470983,0.956627011299133,0.959571003913879,30.3968372344971,0,30,4,200,-0.00119377172086388,-1.46400332450867,0.147485122084618,1,,,,,,,,,,,,,,,,
,3952866139.22369,3.49081742763519,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,3.25597357749939,3.70610427856445,999.808410644531,999.808410644531,,,2.55173206329346,,1,0,0,0,0,30.7917900085449,6,1,1,3.725661277771,0,3.46185284190708,,,0.00353196216933378,0.000174170780183779,0.00353241039499343,0.000174171633855368,0.956673264503479,0.959581673145294,30.3972187042236,,30,4,200,-0.00108139729127288,-1.47211289405823,0.140605583786964,1,,,,,,,,,,,,,,,,
,3952866149.52157,3.97535610198975,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,3.725661277771,4.21992063522339,999.808410644531,999.808410644531,,,2.70104455947876,,1,0,0,0,0,30.7917900085449,6,1,1,4.2250509262085,0,3.95380126105414,,,0.00354031971329798,0.000174582437302314,0.00354075716775204,0.000174583204966633,0.956739068031311,0.959582090377808,30.3979225158691,0,30,4,200,-0.000928132387343794,-1.48052000999451,0.135570183396339,1,,,,,,,,,,,,,,,,
,3952866159.86062,4.48647427558899,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,4.24182319641113,4.71936845779419,999.808410644531,999.808410644531,,,2.83410024642944,,1,0,0,0,0.0128173828125,30.7917900085449,6,1,1,4.73112535476685,0,4.45592922634549,,,0.00355660328401359,0.00017538481615228,0.00355703039569455,0.00017538553607313,0.956819832324982,0.959589898586273,30.3987140655518,0,30,4,200,-0.000782803341280669,-1.49102878570557,0.132271692156792,1,,,,,,,,,,,,,,,,
,3952866170.16813,4.99281358718872,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,4.73622465133667,5.18708086013794,999.808410644531,999.808410644531,,,2.95958161354065,,1,0,0,0,0,30.7917900085449,6,1,1,5.24940252304077,0,4.96130344602797,,,0.00358595672049411,0.000176831510722993,0.00358636218924567,0.000176832219469413,0.956931173801422,0.959537744522095,30.4004859924316,5.51366329193115,30,4,200,-0.000511027756147087,-1.50577890872955,0.132305920124054,1,,,,,,,,,,,,,,,,
,3952866180.49441,5.5251362323761,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,5.26307582855225,5.71752119064331,999.808410644531,999.808410644531,,,3.07544541358948,,1,0,0,0,0,30.7917900085449,6,1,1,5.78719663619995,0,5.48461373647054,,,0.0036364002994269,0.000179318207588085,0.00363677148367102,0.000179318779401865,0.957026958465576,0.959388792514801,30.4031944274902,5.51390933990479,30,4,200,-0.000246580253588036,-1.5272833108902,0.137379005551338,1,,,,,,,,,,,,,,,,
,3952866190.83829,6.05604934692383,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,5.79900121688843,6.29496717453003,999.808410644531,999.808410644531,,,3.18297266960144,,1,0,0,0,0,30.7917900085449,6,1,1,6.31309747695923,0,6.02479807535807,,,0.00372177991476012,0.000183529266802795,0.00372210250354973,0.000183529819528283,0.956925213336945,0.958909749984741,30.4075145721436,0,30,4,200,6.05971436016262E-5,-1.56228566169739,0.147191017866135,1,,,,,,,,,,,,,,,,
,3952866201.16857,6.58052635192871,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,6.31309747695923,6.83577394485474,999.808410644531,999.808410644531,,,3.28279328346252,,1,0,0,0,0,30.7917900085449,6,1,1,6.84795522689819,0,6.55904250674778,,,0.00386653782775343,0.000190674147372778,0.00386678531823556,0.000190674511500707,0.956140220165253,0.957576930522919,30.4143810272217,0,30,4,200,0.000770571641623974,-1.61975622177124,0.16669362783432,1,,,,,,,,,,,,,,,,
,3952866211.42344,7.12261819839478,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,6.84795522689819,7.37488842010498,999.808410644531,999.808410644531,,,3.37571978569031,,1,0,0,0,0,31.2805480957031,6,1,1,7.39728116989136,0,7.09790526496039,,,0.00413855217763943,0.000204126811616255,0.00413870218414166,0.000204126940905121,0.952029407024383,0.952775895595551,30.4247512817383,0,30,4,200,0.00229678233154118,-1.72883200645447,0.207509994506836,1,,,,,,,,,,,,,,,,
,3952866221.66219,7.67388677597046,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,7.39728116989136,7.91826915740967,999.808410644531,999.808410644531,,,3.46343946456909,,1,0,0,0,0,31.2805480957031,6,1,1,7.95049238204956,0,7.63810624016656,,,0.00494112913681168,0.00024459946878615,0.00494115124586729,0.000244599444078106,0.902411878108978,0.902458310127258,30.4455223083496,,30,4,200,0.0104956356808543,-2.11871671676636,0.362463980913162,1,,,,,,,,,,,,,,,,
,3952866232.0021,8.22038960456848,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,7.95049238204956,8.47132301330566,999.808410644531,999.808410644531,,,3.54549264907837,,1,0,0,0,0,30.7917900085449,6,1,1,8.4902868270874,0,8.19531043370565,,,0.00567225899029312,0.000279679031705795,0.00567229810619841,0.000279679228557658,0.959717869758606,0.959871649742126,30.4706077575684,,30,4,200,-0.000315913814119995,-2.3259117603302,0.265589654445648,1,,,,,,,,,,,,,,,,
,3952866242.36808,8.7687497138977,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,8.4902868270874,9.02811241149902,999.808410644531,999.808410644531,,,3.62102007865906,,1,0,0,0,0,32.2580642700195,6,1,1,9.04721260070801,0,8.74276648627387,,,0.00569341382648988,0.000280722388085857,0.00569345921785139,0.000280722545633836,0.95970344543457,0.959887504577637,30.4718780517578,0,30,4,200,-0.00118681986350566,-2.32917141914368,0.26504972577095,1,,,,,,,,,,,,,,,,
,3952866252.75016,9.32594919204712,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,9.04721260070801,9.58510303497314,999.808410644531,999.808410644531,,,3.69390821456909,,1,0,0,0,0,31.2805480957031,6,1,1,9.60468578338623,0,9.29942554897732,,,0.0056767948741513,0.000279903662019671,0.00567684630881093,0.000279903923952801,0.95963716506958,0.959838628768921,30.4725723266602,0,30,4,200,-0.0012427190085873,-2.3273937702179,0.260901033878326,1,,,,,,,,,,,,,,,,
,3952866263.04038,9.88561105728149,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,9.60468578338623,10.1440839767456,999.808410644531,999.808410644531,,,3.76138877868652,,1,0,0,0,0,31.2805480957031,6,1,1,10.1665363311768,0,9.86595355139838,,,0.0056590293479983,0.000279028513923552,0.00565908304621981,0.000279028732401348,0.959568917751312,0.95978444814682,30.4731159210205,5.52024602890015,30,4,200,-0.00121320481412113,-2.32322907447815,0.256104052066803,1,,,,,,,,,,,,,,,,
,3952866273.36631,10.4553823471069,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,10.1840581893921,10.706841468811,999.808410644531,999.808410644531,,,3.82346940040588,,1,0,0,0,0,30.7917900085449,6,1,1,10.7267065048218,0,10.4289475546943,,,0.00565541066142427,0.000278851131217723,0.00565547342945304,0.000278851447094173,0.959487199783325,0.959733545780182,30.4742336273193,0,30,4,200,-0.00104180874768645,-2.32463908195496,0.252155721187592,1,,,,,,,,,,,,,,,,
,3952866283.64104,11.0087385177612,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,10.7267065048218,11.2715187072754,999.808410644531,999.808410644531,,,3.88251781463623,,1,0,0,0,0,31.2805480957031,6,1,1,11.2907705307007,0,10.983524746365,,,0.00564613504915342,0.000278394977940965,0.00564620312966136,0.000278395224383642,0.959374129772186,0.959649622440338,30.4752407073975,5.35620880126953,30,4,200,-0.00124400272034109,-2.32447862625122,0.25023877620697,1,,,,,,,,,,,,,,,,
,3952866293.97525,11.5733833312988,999.808410644531,,,6,,,,30.4571153992671,,,10,,,,,,,,,,,,,,,,,,,,,,11.2907705307007,11.8363742828369,999.808410644531,999.808410644531,,,3.93882203102112,,1,0,0,0,0,30.7917900085449,6,1,1,11.855996131897,0,11.5542713801066,,,0.00561307350841126,0.000276765518825978,0.00561314238829013,0.000276765773526793,0.959304451942444,0.959583878517151,30.4753856658936,0,30,4,200,-0.00132369587663561,-2.31670784950256,0.245034962892532,1,,,,,,,,,,,,,,,,
