[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952872243.62181,04/03/2025,9:02 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB002b H parra ab,SAMPLE_COMMENT
INFO,42.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.33,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952875293.27786,1.78515994548798,999.735534667969,,,6,,,,30.4528811296534,,,10,,,,,,,,,,,,,,,,,,,,,,1.7969958782196,1.83114731311798,999.735534667969,999.735534667969,,,1.80872285366058,,1,0,0,0,0.0212860107421875,30.7917900085449,1,1,1,1.77120292186737,0,1.80314327610864,,,0.00354369666685678,0.000174749593070306,0.00354426930858227,0.000174755550273227,0.9566610455513,0.959704518318176,30.3918075561523,0,30,4,200,-0.00107531354296952,-1.4375216960907,0.181922793388367,1,,,,,,,,,,,,,,,,
,3952875311.39567,1.82625132799149,999.735534667969,,,6,,,,30.4528811296534,,,10,,,,,,,,,,,,,,,,,,,,,,1.8012957572937,1.84708845615387,999.735534667969,999.735534667969,,,1.81188869476318,,1,0,0,0,0.0002288818359375,30.3030319213867,6,1,1,1.84248614311218,0,1.82311802440219,,,0.00353837577276113,0.000174490451696505,0.00353886085124933,0.000174493639281317,0.956232964992523,0.959032297134399,30.3938770294189,2.43846043304075E-5,30,4,200,-0.000553932623006403,-1.43929886817932,0.175438031554222,1,,,,,,,,,,,,,,,,
,3952875365.13085,2.00159132480621,999.735534667969,,,6,,,,30.4528811296534,,,10,,,,,,,,,,,,,,,,,,,,,,1.98687338829041,2.01642513275146,999.735534667969,999.735534667969,,,1.89995157718658,,1,0,0,0,0,30.3030319213867,6,1,1,2.01630926132202,0,2.00173604488373,,,0.00353608568472221,0.000174374002080208,0.00353652935592492,0.000174374675421153,0.956697165966034,0.959597527980804,30.3930816650391,5.5129919052124,30,4,200,-0.000771365128457546,-1.45557343959808,0.156157195568085,1,,,,,,,,,,,,,,,,
,3952875419.70956,2.18446719646454,999.735534667969,,,6,,,,30.4528811296534,,,10,,,,,,,,,,,,,,,,,,,,,,2.16840958595276,2.20721983909607,999.735534667969,999.735534667969,,,1.99318754673004,,1,0,0,0,0,30.7917900085449,6,1,1,2.20052480697632,0,2.18596442540487,,,0.00353565830099576,0.000174353486470574,0.00353611465047578,0.000174354865276373,0.956627726554871,0.959512054920196,30.3932151794434,0,30,4,200,-0.000722079596016556,-1.46819388866425,0.143558338284492,1,,,,,,,,,,,,,,,,
,3952875474.44612,2.37135660648346,999.735534667969,,,6,,,,30.4528811296534,,,10,,,,,,,,,,,,,,,,,,,,,,2.35213279724121,2.38277363777161,999.735534667969,999.735534667969,,,2.07889461517334,,1,0,0,0,0.00030517578125,30.3030319213867,6,1,1,2.39058041572571,0,2.36701121926308,,,0.00353616354170112,0.000174378062559424,0.00353661796608981,0.000174379225189506,0.956666529178619,0.959570407867432,30.3930549621582,0,30,4,200,-0.000618090853095055,-1.48007559776306,0.13163386285305,1,,,,,,,,,,,,,,,,
,3952875530.40081,2.55569839477539,999.735534667969,,,6,,,,30.4528811296534,,,10,,,,,,,,,,,,,,,,,,,,,,2.53800225257874,2.57488036155701,999.735534667969,999.735534667969,,,2.16431379318237,,1,0,0,0,0,30.3030319213867,6,1,1,2.57339453697205,0,2.55404374334547,,,0.00353571364524843,0.000174356810984172,0.00353615858441339,0.000174358065922559,0.956541121006012,0.959357380867004,30.3938446044922,5.51306104660034,30,4,200,-0.000760351482313126,-1.49195611476898,0.230085104703903,1,,,,,,,,,,,,,,,,
,3952875584.89541,2.73892605304718,999.735534667969,,,6,,,,30.4528811296534,,,10,,,,,,,,,,,,,,,,,,,,,,2.71993613243103,2.76977038383484,999.735534667969,999.735534667969,,,2.24115991592407,,1,0,0,0,0.0002288818359375,29.8142719268799,6,1,1,2.75791597366333,0,2.73779630661011,,,0.00353777712825305,0.000174459145358553,0.00353829032362386,0.000174464040098029,0.956471264362335,0.959242463111878,30.394323348999,0,30,4,200,-0.000213255392736755,-1.39298987388611,0.221249148249626,1,,,,,,,,,,,,,,,,
,3952875640.72117,2.92101752758026,999.735534667969,,,6,,,,30.4528811296534,,,10,,,,,,,,,,,,,,,,,,,,,,2.90353345870972,2.93546628952026,999.735534667969,999.735534667969,,,2.3138747215271,,1,0,0,0,0,30.3030319213867,6,1,1,2.93850159645081,0,2.91984891891479,,,0.00353663296861201,0.000174402208038037,0.00353704451017941,0.000174402122533001,0.956541359424591,0.959313809871674,30.39426612854,2.41483612626325E-5,30,4,200,-0.000638096418697387,-1.40309929847717,0.208783835172653,1,,,,,,,,,,,,,,,,
,3952875695.53177,3.10588729381561,999.735534667969,,,6,,,,30.4528811296534,,,10,,,,,,,,,,,,,,,,,,,,,,3.08797097206116,3.12319731712341,999.735534667969,999.735534667969,,,2.38784146308899,,1,0,0,0,0,30.3030319213867,6,1,1,3.12380361557007,0,3.1040911939409,,,0.00353714652176317,0.000174428096960748,0.00353758076019057,0.000174429063936353,0.956458806991577,0.959234535694122,30.3941860198975,0.000130098196677864,30,4,200,-0.000686204468365759,-1.40987718105316,0.201795607805252,1,,,,,,,,,,,,,,,,
,3952875750.32838,3.28731501102447,999.735534667969,,,6,,,,30.4528811296534,,,10,,,,,,,,,,,,,,,,,,,,,,3.27090501785278,3.30202102661133,999.735534667969,999.735534667969,,,2.45324087142944,,1,0,0,0,0,30.3030319213867,6,1,1,3.30372500419617,0,3.28619864583015,,,0.00353828274484685,0.000174484405246266,0.00353871887989616,0.000174485462185063,0.956425189971924,0.959198176860809,30.3941917419434,0.186647698283195,30,4,200,-0.000772515079006553,-1.4175580739975,0.19486865401268,1,,,,,,,,,,,,,,,,
