[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3952860236.71311,04/03/2025,5:42 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,RuCl3,SAMPLE_MATERIAL
INFO,TB002b H parra ab,SAMPLE_COMMENT
INFO,42.7,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.33,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3952860252.60053,299.852783203125,1000.07543945312,,,6,,,,30.7400245666504,,,10,,,,,,,,,,,,,,,,,,,,,,299.839202880859,299.873077392578,1000.07543945312,1000.07543945312,,,5.59166288375854,,1,0,0,0,0,32.2580642700195,1,1,1,299.838439941406,0,299.861156463623,,,0.000504970977011898,2.48977089704082E-5,0.000504983220228382,2.48977611020233E-5,0.9603590965271,0.960921049118042,30.7655410766602,0,30,4,200,-0.000509407196659595,-0.196912929415703,0.0354632325470448,1,,,,,,,,,,,,,,,,
,3952860270.23918,299.728042602539,1000.07543945312,,,6,,,,30.7400245666504,,,10,,,,,,,,,,,,,,,,,,,,,,299.635711669922,299.851196289063,1000.07543945312,1000.07543945312,,,5.63957643508911,,1,0,0,0,0,32.7468223571777,2,1,1,299.605194091797,0,299.773423936632,,,0.000505090242576452,2.49033375783203E-5,0.000505101112113719,2.49033727878899E-5,0.960604906082153,0.961117804050446,30.764331817627,,30,4,200,-0.000554665923118591,-0.201007336378098,0.0319102294743061,1,,,,,,,,,,,,,,,,
,3952860280.72258,299.326736450195,1000.07543945312,,,6,,,,30.7400245666504,,,10,,,,,,,,,,,,,,,,,,,,,,299.068695068359,299.605194091797,1000.07543945312,1000.07543945312,,,5.66437530517578,,1,0,0,0,0,33.2355842590332,2,1,1,299.048278808594,0,299.368143717448,,,0.000505618496450628,2.49294964164077E-5,0.000505628165756087,2.49295531289851E-5,0.960503220558167,0.960931479930878,30.7622737884521,3.97378301620483,30,4,200,-0.000631851842626929,-0.206803545355797,0.0269176866859198,1,,,,,,,,,,,,,,,,
,3952860291.03223,298.663803100586,1000.07543945312,,,6,,,,30.7400245666504,,,10,,,,,,,,,,,,,,,,,,,,,,298.3330078125,299.048278808594,1000.07543945312,1000.07543945312,,,5.6869945526123,,1,0,0,0,0,32.7468223571777,2,1,1,298.279327392578,0,298.714453803168,,,0.000506287651609056,2.49624863713829E-5,0.000506296010525919,2.49625343751357E-5,0.960498690605164,0.960869133472443,30.7607269287109,,30,4,200,-0.00064862536964938,-0.212649002671242,0.0214276723563671,1,,,,,,,,,,,,,,,,
,3952860301.34325,297.838317871094,1000.07543945312,,,6,,,,30.7400245666504,,,10,,,,,,,,,,,,,,,,,,,,,,297.427154541016,298.279327392578,1000.07543945312,1000.07543945312,,,5.70809125900269,,1,0,0,0,0,32.7468223571777,2,1,1,297.397308349609,0,297.895880805122,,,0.000507507094837298,2.50223604266111E-5,0.000507512418066899,2.50223819600629E-5,0.960750997066498,0.960996687412262,30.7568454742432,0,30,4,200,-0.000580308667849749,-0.218149542808533,0.0160356666892767,1,,,,,,,,,,,,,,,,
,3952860319.82851,296.05143737793,1000.07543945312,,,6,,,,30.7349172159182,,,10,,,,,,,,,,,,,,,,,,,,,,295.593780517578,296.547576904297,1000.07543945312,1000.07543945312,,,5.74006414413452,,1,0,0,0,0,32.2580642700195,2,1,1,295.555297851562,0,296.077606201172,,,0.000510600937819054,2.5175315690949E-5,0.000510608873904096,2.5175341937557E-5,0.960331559181213,0.960698187351227,30.7555599212646,0,30,4,200,-0.000494094856549054,-0.230014488101006,0.0061389384791255,1,,,,,,,,,,,,,,,,
,3952860329.76295,294.889953613281,1000.07543945312,,,6,,,,30.7349172159182,,,10,,,,,,,,,,,,,,,,,,,,,,294.299102783203,295.523956298828,1000.07543945312,1000.07543945312,,,5.75653696060181,,1,0,0,0,0,32.2580642700195,2,1,1,294.255950927734,0,294.931664360894,,,0.000512381924833999,2.52623021402195E-5,0.000512383852949558,2.5262310834225E-5,0.961170017719269,0.961258053779602,30.7449398040771,INF,30,4,200,-0.000835134764201939,-0.237212792038918,0.0011500291293487,1,,,,,,,,,,,,,,,,
,3952860348.3119,292.117630004883,1000.07543945312,,,6,,,,30.7293651253505,,,10,,,,,,,,,,,,,,,,,,,,,,291.414093017578,292.938293457031,1000.07543945312,1000.07543945312,,,5.78100824356079,,1,0,0,0,0,32.7468223571777,2,1,1,291.296966552734,0,292.217712402344,,,0.000517292371515822,2.55041315411826E-5,0.000517294980885545,2.55041460903614E-5,0.961442112922668,0.961558163166046,30.7408294677734,0,30,4,200,-0.00049260666128248,-0.249089598655701,-0.0106420982629061,1,,,,,,,,,,,,,,,,
,3952860358.21559,290.493286132812,1000.07543945312,,,6,,,,30.7293651253505,,,10,,,,,,,,,,,,,,,,,,,,,,289.715911865234,291.296966552734,1000.07543945312,1000.07543945312,,,5.79134178161621,,1,0,0,0,0.0128173828125,32.7468223571777,2,1,1,289.689605712891,0,290.516479492188,,,0.000520953282604715,2.56852664932717E-5,0.000520954219283922,2.56852744121428E-5,0.96079432964325,0.960832238197327,30.7359828948975,7.47502781450748E-6,30,4,200,-0.000530733610503376,-0.254794299602509,-0.0146415699273348,1,,,,,,,,,,,,,,,,
,3952860376.63245,287.311981201172,1000.07543945312,,,6,,,,30.7223296215232,,,10,,,,,,,,,,,,,,,,,,,,,,286.503082275391,288.204406738281,1000.07543945312,1000.07543945312,,,5.81017589569092,,1,0,0,0,0.0128173828125,32.2580642700195,2,1,1,286.419555664062,0,287.4049949646,,,0.000527850825311665,2.6025469046078E-5,0.000527851675393067,2.60254718778377E-5,0.960687696933746,0.960725843906403,30.7289733886719,0,30,4,200,-0.000495302490890026,-0.264805406332016,-0.0218483954668045,1,,,,,,,,,,,,,,,,
