[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3993905148.99376,07/22/2026,6:05 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB001X1,SAMPLE_COMMENT
INFO,0.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3993905176.35381,299.937561035156,999.662658691406,-5.29743430113362E-7,7.74720965121012E-9,1,2,16.9040756225586,4.99760867650471,30.799999833107,-0.000586372118182647,-0.000377098638832063,1,-1.71649378436084E-7,,,,,,,,,,,,,,,,,,,,,299.937561035156,299.937561035156,999.662658691406,999.662658691406,52.4683776104094,7.63128202868442,5.92275953292847,34,1,0,0,1,0.458526611328125,33.2355842590332,1,1,1,299.937561035156,0,299.937561035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993905179.14227,299.940979003906,999.662658691406,-5.36581376717209E-7,6.69555835729555E-9,1,2,16.9040756225586,4.99755524939706,30.799999833107,-0.000606952493135982,-0.000332651697324651,1,-1.33129023305313E-7,,,,,,,,,,,,,,,,,,,,,299.940979003906,299.940979003906,999.662658691406,999.662658691406,52.4910448374671,7.63111520308132,5.92726278305054,34,1,0,0,1,0.467071533203125,33.2355842590332,6,1,1,299.940979003906,0,299.940979003906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993905180.23184,299.939849853516,999.662658691406,-5.86259920143806E-7,3.63382847857341E-8,1,2,16.9040756225586,4.99754186914046,30.799999833107,-0.000684777513549815,-0.000281519902559148,1,-7.77699190859614E-8,,,,,,,,,,,,,,,,,,,,,299.938720703125,299.940979003906,999.662658691406,999.662658691406,52.5090222934094,7.63104061043961,5.92588996887207,34,1,0,0,1,0.460281372070313,33.7243423461914,6,1,1,299.938720703125,0,299.939849853516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993905182.3149,299.927490234375,999.662658691406,-5.37680127703653E-7,6.7340765786366E-9,1,2,16.9040756225586,4.99760156817084,30.799999833107,-0.000630872851702819,-0.000247485744824862,1,-6.24772395448861E-8,,,,,,,,,,,,,,,,,,,,,299.916259765625,299.938720703125,999.662658691406,999.662658691406,52.4402389837171,7.63137361369352,5.9302339553833,34,1,0,0,1,0.459136962890625,33.2355842590332,2,1,1,299.916259765625,0,299.927490234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993905184.35781,299.893905639648,999.662658691406,-5.46404861379948E-7,5.89828447406801E-9,1,2,16.9040756225586,4.99760156817084,30.799999833107,-0.000641521785622768,-0.000249941343616688,1,-6.22020580334044E-8,,,,,,,,,,,,,,,,,,,,,299.873992919922,299.913818359375,999.662658691406,999.662658691406,52.5262181208325,7.63137361369352,5.93207740783691,34,1,0,0,1,0.461578369140625,33.7243423461914,2,1,1,299.873992919922,0,299.893905639648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993905186.40497,299.852722167969,999.662658691406,-5.57331854848185E-7,8.25216180444038E-9,1,2,16.9040756225586,4.99758797878954,30.799999833107,-0.000659475119581683,-0.000235523627874664,1,-4.74065529307651E-8,,,,,,,,,,,,,,,,,,,,,299.831451416016,299.873992919922,999.662658691406,999.662658691406,52.5058957793325,7.6313634629415,5.93095111846924,34,1,0,0,1,0.46173095703125,33.7243423461914,2,1,1,299.831451416016,0,299.852722167969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993905188.48565,299.778366088867,999.662658691406,-5.43642979521721E-7,6.17222520696744E-9,1,2,16.9040756225586,4.99759501230386,30.799999833107,-0.000641912495890291,-0.000234913267708782,1,-5.05165716224625E-8,,,,,,,,,,,,,,,,,,,,,299.749786376953,299.806945800781,999.662658691406,999.662658691406,52.4691592389286,7.63105964086316,5.93593502044678,34,1,0,0,1,0.466232299804687,33.7243423461914,2,1,1,299.749786376953,0,299.778366088867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993905190.364,299.70915222168,999.662658691406,-5.49195185938316E-7,6.2970970622692E-9,1,2,16.9040756225586,4.99759094903483,30.799999833107,-0.000650678805959433,-0.000228938135222099,1,-4.41144478075227E-8,,,,,,,,,,,,,,,,,,,,,299.679443359375,299.738861083984,999.662658691406,999.662658691406,52.5590465186402,7.63137062106881,5.93758583068848,34,1,0,0,1,0.461883544921875,34.2131004333496,2,1,1,299.679443359375,0,299.70915222168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993905192.35384,299.636917114258,999.662658691406,-5.55929585823226E-7,6.84915309792021E-9,1,2,16.9040756225586,4.99759416895005,30.799999833107,-0.00066243383578067,-0.000217447151713986,1,-3.28429560133084E-8,,,,,,,,,,,,,,,,,,,,,299.594390869141,299.679443359375,999.662658691406,999.662658691406,52.4566531826209,7.63119331142538,5.93720388412476,34,1,0,0,1,0.460968017578125,33.7243423461914,2,1,1,299.594390869141,0,299.636917114258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993905194.36467,299.541687011719,999.662658691406,-5.50258052171323E-7,7.62885857043966E-9,1,2,16.9040756225586,4.99759796326672,30.799999833107,-0.000651959023226988,-0.000229307157661278,1,-4.41382809395189E-8,,,,,,,,,,,,,,,,,,,,,299.488983154297,299.594390869141,999.662658691406,999.662658691406,52.4449287548325,7.63184729052999,5.9352445602417,34,1,0,0,1,0.47088623046875,34.2131004333496,2,1,1,299.488983154297,0,299.541687011719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
