[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3993907549.00727,07/22/2026,6:45 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.2.2 Build 0, MultiVu Release 2.3.5.2,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 N4,MOTOR_HW_VERSION
INFO,MMC1299,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM364,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A3,OVEN_HW_VERSION
INFO,OVB387,OVEN_SERIAL_NUMBER
INFO,01.07.07,OVEN_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 G0,AC_HW_VERSION
INFO,SAC242,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.11,AC_SOFTWARE_VERSION
INFO,TCI374,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,YCOB,SAMPLE_MATERIAL
INFO,YCOB TB001X1,SAMPLE_COMMENT
INFO,0.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,590.5,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3993907556.57405,1.79884099960327,1000.01470947266,2.23467618070866E-6,1.20394970369936E-8,1,2,16.9040756225586,4.99762228023118,30.519999563694,0.0027039288462406,0.000718374529181261,1,3.38579749167578E-9,,,,,,,,,,,,,,,,,,,,,1.79884099960327,1.79884099960327,1000.01470947266,1000.01470947266,52.4464920118709,7.63084056791828,2.01943683624268,34,1,0,0,1,0.461883544921875,36.1681327819824,1,1,1,1.79884099960327,0,1.79884099960327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993907559.21489,1.90498864650726,1000.01470947266,2.22550256394072E-6,1.03837665945018E-8,1,2,16.9040756225586,4.99762209940801,30.519999563694,0.00269517241102004,0.000706549895147472,1,-3.96043971680138E-9,,,,,,,,,,,,,,,,,,,,,1.90498864650726,1.90498864650726,1000.01470947266,1000.01470947266,52.4847918093132,7.63098976678347,2.05690264701843,34,1,0,0,1,0.4583740234375,36.6568908691406,6,1,1,1.90498864650726,0,1.90498864650726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993907560.94987,2.03310590982437,1000.01470947266,2.10088483488762E-6,1.01947398129644E-8,1,2,16.9040756225586,4.99763912167869,30.519999563694,0.00254617833424926,0.000659752994103852,1,-9.71696618453742E-9,,,,,,,,,,,,,,,,,,,,,1.90498864650726,2.16122317314148,1000.01470947266,1000.01470947266,52.4746306385632,7.63125249892194,2.16172480583191,34,1,0,0,1,0.461883544921875,36.6568908691406,6,1,1,2.16122317314148,0,2.03310590982437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993907563.71279,2.23275792598724,1000.01470947266,2.04215229997227E-6,1.30302209052864E-8,1,2,16.9040756225586,4.99762349565115,30.519999563694,0.00247214781413374,0.000652055722906947,1,-5.64774556131897E-10,,,,,,,,,,,,,,,,,,,,,2.16122317314148,2.30429267883301,1000.01470947266,1000.01470947266,52.3401905332555,7.63073873090897,2.24281764030457,34,1,0,0,1,0.4644775390625,36.1681327819824,6,1,1,2.30429267883301,0,2.23275792598724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993907565.73951,2.37491345405579,1000.01470947266,1.97853148991521E-6,1.12477631298402E-8,1,2,16.9040756225586,4.99760982269382,30.519999563694,0.00239564860296167,0.000629744487479511,1,-2.19514471859155E-9,,,,,,,,,,,,,,,,,,,,,2.30429267883301,2.44553422927856,1000.01470947266,1000.01470947266,52.5434139482555,7.63092726880511,2.30923748016357,34,1,0,0,1,0.46112060546875,35.6793746948242,6,1,1,2.44553422927856,0,2.37491345405579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993907567.76582,2.53364777565002,1000.01470947266,1.93846561132118E-6,1.16926952746402E-8,1,2,16.9040756225586,4.99762556038408,30.519999563694,0.00234586831341351,0.000621834464399383,1,1.84757066614616E-9,,,,,,,,,,,,,,,,,,,,,2.46638083457947,2.60091471672058,1000.01470947266,1000.01470947266,52.4253880418517,7.63103891716526,2.37931275367737,34,1,0,0,1,0.460052490234375,36.6568908691406,6,1,1,2.60091471672058,0,2.53364777565002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993907569.75291,2.68200278282166,1000.01470947266,1.89273088387143E-6,1.18455883401104E-8,1,2,16.9040756225586,4.9976234825456,30.519999563694,0.00229247930061603,0.000599744134593081,1,-4.32493167939366E-9,,,,,,,,,,,,,,,,,,,,,2.60091471672058,2.76309084892273,1000.01470947266,1000.01470947266,52.4308594414863,7.63135511903994,2.44199228286743,34,1,0,0,1,0.459823608398438,36.1681327819824,6,1,1,2.76309084892273,0,2.68200278282166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993907571.76759,2.83962976932526,1000.01470947266,1.81635142727028E-6,1.26389225553723E-8,1,2,16.9040756225586,4.9976234825456,30.519999563694,0.00219928926947153,0.000578113741334958,1,-2.02582334437001E-9,,,,,,,,,,,,,,,,,,,,,2.76309084892273,2.91616868972778,1000.01470947266,1000.01470947266,52.5012060082171,7.63135511903994,2.49904489517212,34,1,0,0,1,0.461502075195313,36.1681327819824,6,1,1,2.91616868972778,0,2.83962976932526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993907573.84137,3.0181770324707,1000.01470947266,1.80433086724829E-6,1.03799746203127E-8,1,2,16.9040756225586,4.99758154498813,30.519999563694,0.00218311045250663,0.000580334292470948,1,2.98835294605285E-9,,,,,,,,,,,,,,,,,,,,,2.93942594528198,3.09692811965942,1000.01470947266,1000.01470947266,52.5012060082171,7.63097759839239,2.5568687915802,34,1,0,0,1,0.465850830078125,37.1456527709961,6,1,1,3.09692811965942,0,3.0181770324707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3993907575.86024,3.17743718624115,1000.01470947266,1.74755468631749E-6,1.29002828069899E-8,1,2,16.9040756225586,4.99759807550815,30.519999563694,0.00211923570817159,0.000543857733687656,1,-1.21561198612753E-8,,,,,,,,,,,,,,,,,,,,,3.11092925071716,3.24394512176514,1000.01470947266,1000.01470947266,52.6379909990825,7.63132175412821,2.617520570755,34,1,0,0,1,0.459747314453125,35.6793746948242,6,1,1,3.24394512176514,0,3.17743718624115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
