[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001A POWDER 300 TO 3 K FCC
FILEOPENTIME,48499724.75,07/16/2026,4:32 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,KYbSe2 TB001-a powder,SAMPLE_COMMENT
INFO,29.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.09,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,Powder,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,48499862.155,299.87963865,1999.80737304687,0.00100384373998201,3.30178092237534E-7,1,0.999253354069792,40.0298881530762,1.98991508714784,18.0699992924929,0.0113902216096535,0.0019127647086087,0.25,-2.92780285971381E-6,0.00100382026482658,-2.2614171273536E-6,299.8788757,299.8804016,1999.80737304687,1999.80737304687,60.433953849891,20.6211093960596,5.154188,0,0,0,40,4881,300.05455,1999.80737304687,,,,,,,,,,,,,0,,,,4.05588935,,,,,,299.87963865,,,,
,48499868.69,299.8769836,1999.80737304687,0.00100264147042808,3.61917229938212E-7,1,0.999253354069792,40.0298881530762,1.98993096568516,18.0699992924929,0.0113782301717807,0.00190134704257475,0.25,-3.73035419455308E-6,0.00100261865908424,-3.06474646712356E-6,299.8769836,299.8769836,1999.80737304687,1999.80737304687,60.4941392458718,20.620950193787,5.527248,0,0,0,40,4882,300.05455,1999.80737304687,,,,,,,,,,,,,0,,,,4.0356307,,,,,,299.8769836,,,,
,48499869.32,299.8769836,1999.80737304687,0.00100374793310568,4.34917171135565E-7,1,0.999253354069792,40.0298881530762,1.98987664835585,18.0699992924929,0.0113898588312035,0.00190708949483628,0.25,-3.40877232758022E-6,0.00100372487972873,-2.74243051751934E-6,299.8769836,299.8769836,1999.80737304687,1999.80737304687,60.5027371595833,20.6221640160594,5.154188,0,0,0,40,4882,300.0516,1999.80737304687,,,,,,,,,,,,,0,,,,4.05588935,,,,,,299.8769836,,,,
,48499870.32,299.87564085,1999.80737304687,0.00100331109186277,3.33662635299957E-7,1,0.999253354069792,40.0298881530762,1.98992340031683,18.0699992924929,0.0113848449429946,0.00190813024884318,0.25,-3.24611203638503E-6,0.0010032879921365,-2.58006047345433E-6,299.8742981,299.8769836,1999.80737304687,1999.80737304687,60.4230110506218,20.6234801399931,5.527248,0,0,0,40,4882,300.0501,1999.80737304687,,,,,,,,,,,,,0,,,,4.05588935,,,,,,299.87564085,,,,
,48499871.375,299.8749237,1999.80737304687,0.00100310444808862,3.90666186764365E-7,1,0.999253354069792,40.0298881530762,1.98984373747326,18.0699992924929,0.0113831044496853,0.00190158882763639,0.25,-3.78130769948662E-6,0.00100308172570249,-3.1152605583617E-6,299.8742981,299.8755493,1999.80737304687,1999.80737304687,60.3847112531795,20.6246258099294,5.527248,0,0,0,40,4882,300.00475,1999.80737304687,,,,,,,,,,,,,0,,,,4.05588935,,,,,,299.8749237,,,,
,48499872.57,299.8753662,1999.80737304687,0.00100267481802344,4.25151383175867E-7,1,0.999253354069792,40.0298881530762,1.98979803574967,18.0699992924929,0.0113772741097163,0.00190486034590983,0.25,-3.41582880127495E-6,0.00100265183667084,-2.74995669059148E-6,299.8751831,299.8755493,1999.80737304687,1999.80737304687,60.4894494747564,20.6213434298128,5.154188,0,0,0,40,4882,299.9594,1999.80737304687,,,,,,,,,,,,,0,,,,4.05588935,,,,,,299.8753662,,,,
,48499873.705,299.8747101,1999.80737304687,0.00100348777846974,4.34563865180982E-7,1,0.999253354069792,40.0298881530762,1.98986693202776,18.0799998342991,0.0113870102457277,0.00190567467071449,0.25,-3.488649019068E-6,0.00100346483953244,-2.82211584463928E-6,299.8742371,299.8751831,1999.80737304687,1999.80737304687,60.3659521687179,20.6223756553589,5.527248,0,0,0,40,4882,299.91405,1999.80737304687,,,,,,,,,,,,,0,,,,4.07635165,,,,,,299.8747101,,,,
,48499874.85,299.8744812,1999.80737304687,0.00100306800533471,4.010840176877E-7,1,0.999253354069792,40.0298881530762,1.98982612615152,18.0699992924929,0.0113819663232235,0.00190517969770505,0.25,-3.4574192641802E-6,0.0010030450508766,-2.79100403916974E-6,299.8742371,299.8747253,1999.80737304687,1999.80737304687,60.5230595010833,20.6209198664438,5.154188,0,0,0,40,4882,299.8527,1999.80737304687,,,,,,,,,,,,,0,,,,4.0966103,,,,,,299.8744812,,,,
,48499876.045,299.87364195,1999.80737304687,0.00100371040319081,3.8238690389146E-7,1,0.999253354069792,40.0298881530762,1.9898132798813,18.0699992924929,0.0113894559300253,0.00190480862112903,0.25,-3.59896361180531E-6,0.00100368755445389,-2.93207215624501E-6,299.8725586,299.8747253,1999.80737304687,1999.80737304687,60.4284824502564,20.6190400807205,5.154188,0,0,0,40,4882,299.83525,1999.80737304687,,,,,,,,,,,,,0,,,,4.0966103,,,,,,299.87364195,,,,
,48499877.21,299.87208555,1999.80737304687,0.00100405623335387,3.40067249908026E-7,1,0.999253354069792,40.0298881530762,1.98987264207542,18.0699992924929,0.0113923296678592,0.00191356444097385,0.25,-2.89080186159827E-6,0.00100403296388953,-2.22369094607368E-6,299.8716125,299.8725586,1999.80737304687,1999.80737304687,60.3049851442179,20.6234947158601,5.527248,0,0,0,40,4882,299.83235,1999.80737304687,,,,,,,,,,,,,0,,,,4.0966103,,,,,,299.87208555,,,,
