[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001A POWDER 3  TO 300 K FCW
FILEOPENTIME,48518095.91,07/16/2026,9:38 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,KYbSe2 TB001-a powder,SAMPLE_COMMENT
INFO,29.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.09,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,Powder,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,48518126.72,2.993432,1999.80737304687,,,2,,,,19.1060002446771,,,,,,,2.993432,2.993432,1999.80737304687,1999.80737304687,,,5.154188,,,,-99999999,4885,2.9872,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,2.993432,,,,
,48518629.915,3.01109885,1999.80737304687,0.0107746329961801,7.95144609354978E-7,1,0.999253354069792,40.0298881530762,1.99736794111765,19.0900005400181,0.121762531037693,0.0222672253309004,2.5,7.85692020077711E-5,0.010717507183816,0.00013123925775794,3.0072906,3.0149071,1999.80737304687,1999.80737304687,60.9607714718526,20.7081016357716,5.154188,0,0,0,40,4881,2.90655,1999.80737304687,,,,,,,,,,,,,0,,,,1.4713581,,,,,,3.01109885,,,,
,48518636.555,3.1156805,1999.80737304687,0.0106971802743638,2.37741449022081E-6,1,0.999253354069792,40.0298881530762,1.99744920767577,19.0900005400181,0.120891073403455,0.0221129471981481,2.5,7.84401648578653E-5,0.0106404632272507,0.000130729314097979,3.1156805,3.1156805,1999.80737304687,1999.80737304687,61.1311664890449,20.7090847893041,5.154188,0,0,0,40,4882,3.0746,1999.80737304687,,,,,,,,,,,,,0,,,,1.4861304,,,,,,3.1156805,,,,
,48518637.29,3.13469735,1999.80737304687,0.0106283922625161,1.49183692509921E-6,1,0.999253354069792,40.0298881530762,1.99736249206669,19.0900005400181,0.120109694870682,0.0219642736246761,2.5,7.74436691949936E-5,0.0105720424025024,0.000129399165915055,3.1156805,3.1537142,1999.80737304687,1999.80737304687,61.2788942791796,20.7106375445957,5.154188,0,0,0,40,4886,3.0745,1999.80737304687,,,,,,,,,,,,,0,,,,1.47874425,,,,,,3.13469735,,,,
,48518638.65,3.1623173,1999.80737304687,0.0106139187274458,9.51350389699237E-7,1,0.999253354069792,40.0298881530762,1.99733437140038,19.0900005400181,0.119944254309101,0.0219356059055401,2.5,7.74740312133525E-5,0.0105576449975525,0.000129358061500805,3.1537142,3.1709204,1999.80737304687,1999.80737304687,61.351585731468,20.7099737192916,5.527248,0,0,0,40,4886,3.0872,1999.80737304687,,,,,,,,,,,,,0,,,,1.47874425,,,,,,3.1623173,,,,
,48518639.86,3.17322695,1999.80737304687,0.010600589812739,1.26271117971012E-6,1,0.999253354069792,40.0298881530762,1.99732269254246,19.0900005400181,0.119793234545681,0.0219063817479697,2.5,7.72392657289371E-5,0.0105443874527648,0.00012905886449237,3.1709204,3.1755335,1999.80737304687,1999.80737304687,61.6439147976604,20.7101899505285,5.154188,0,0,0,40,4886,3.10295,1999.80737304687,,,,,,,,,,,,,0,,,,1.4861304,,,,,,3.17322695,,,,
,48518640.975,3.1828183,1999.80737304687,0.0105928863134444,1.0468132297224E-6,1,0.999253354069792,40.0298881530762,1.99738577598715,19.0900005400181,0.119708341216035,0.0218993394386554,2.5,7.79094417513037E-5,0.0105367212387426,0.000129687558556182,3.1755335,3.1901031,1999.80737304687,1999.80737304687,61.0834871493719,20.7097160112235,5.154188,0,0,0,40,4886,3.10765,1999.80737304687,,,,,,,,,,,,,0,,,,1.4861304,,,,,,3.1828183,,,,
,48518642.2,3.200792,1999.80737304687,0.01056654002345,1.15101584684348E-6,1,0.999253354069792,40.0298881530762,1.99734588298835,19.0900005400181,0.119409758350832,0.0218363382436608,2.5,7.69982005490999E-5,0.0105105182141796,0.000128651315063338,3.1901031,3.2114809,1999.80737304687,1999.80737304687,61.4899339793719,20.7084102984639,5.527248,0,0,0,40,4886,3.125,1999.80737304687,,,,,,,,,,,,,0,,,,1.49359075,,,,,,3.200792,,,,
,48518643.46,3.22196295,1999.80737304687,0.010542265000988,1.4200899017384E-6,1,0.999253354069792,40.0298881530762,1.99735474903626,19.0900005400181,0.119135905806983,0.0217864418407256,2.5,7.68369558512153E-5,0.0104863718604859,0.000128371323318159,3.2114809,3.232445,1999.80737304687,1999.80737304687,61.6658003961988,20.7089283297616,5.154188,0,0,0,40,4886,3.1508,1999.80737304687,,,,,,,,,,,,,0,,,,1.5010511,,,,,,3.22196295,,,,
,48518644.695,3.26043035,1999.80737304687,0.0105235346159371,1.40471625792417E-6,1,0.999253354069792,40.0298881530762,1.99735570214958,19.0900005400181,0.118923502451383,0.0217522503524494,2.5,7.70986916527624E-5,0.0104677388953551,0.000128539402077758,3.232445,3.2884157,1999.80737304687,1999.80737304687,61.2687331084296,20.7076951260785,5.154188,0,0,0,40,4886,3.19035,1999.80737304687,,,,,,,,,,,,,0,,,,1.5010511,,,,,,3.26043035,,,,
