[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X2 300 TO 30K
FILEOPENTIME,44266128.30,05/28/2026,4:30 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X2,SAMPLE_COMMENT
INFO,5.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44266351.64,299.7628479,1999.70202636719,0.00021290676418591,3.72115329333198E-7,1,0.999253354069792,40.0298881530762,1.99098042169834,18.3300003409386,0.00241489710832596,0.000418270613651644,0.25,4.70401121333974E-7,0.000212902025022004,6.11453261450402E-7,299.7605286,299.7651672,1999.70202636719,1999.70202636719,61.0803606352949,20.7406198509117,6.646428,0,0,0,40,4881,300.5171,1999.70202636719,,,,,,,,,,,,,0,,,,3.6886253,,,,,,299.7628479,,,,
,44266358.375,299.7749329,1999.70202636719,0.000212754622532823,4.08886165283313E-7,1,0.999253354069792,40.0298881530762,1.9910352440058,18.3300003409386,0.00241402984999245,0.000413323944583665,0.25,5.94158887889323E-8,0.000212750052568459,2.00475630671535E-7,299.7749329,299.7749329,1999.70202636719,1999.70202636719,60.9420123873911,20.7415795933597,6.646428,0,0,0,40,4882,300.3374,1999.70202636719,,,,,,,,,,,,,0,,,,3.7256589,,,,,,299.7749329,,,,
,44266359.14,299.7762299,1999.70202636719,0.000212460344375594,3.39684832757933E-7,1,0.999253354069792,40.0298881530762,1.99095265357064,18.3300003409386,0.00241096588127145,0.000410568335415609,0.25,-1.3169881839895E-7,0.000212455896900457,9.17065811239265E-9,299.7749329,299.7775269,1999.70202636719,1999.70202636719,61.1303848605257,20.7415901005608,6.273368,0,0,0,40,4882,300.336,1999.70202636719,,,,,,,,,,,,,0,,,,3.7071421,,,,,,299.7762299,,,,
,44266360.315,299.7782135,1999.70202636719,0.000212912305862761,2.88536937461461E-7,1,0.999253354069792,40.0298881530762,1.99098753851283,18.3300003409386,0.00241584091854769,0.000413167786962776,0.25,1.94876141090812E-8,0.000212907728052968,1.60703135373226E-7,299.7775269,299.7789001,1999.70202636719,1999.70202636719,60.955300072218,20.7395041757081,6.273368,0,0,0,40,4882,300.24695,1999.70202636719,,,,,,,,,,,,,0,,,,3.7071421,,,,,,299.7782135,,,,
,44266361.54,299.77976985,1999.70202636719,0.000212654801133876,3.06593888723672E-7,1,0.999253354069792,40.0298881530762,1.99097148783736,18.3300003409386,0.00241197355430622,0.000418087052691855,0.25,4.97274646372825E-7,0.000212649894701377,6.38360241276148E-7,299.7789001,299.7806396,1999.70202636719,1999.70202636719,61.0139222111603,20.740706203158,6.273368,0,0,0,40,4882,300.1551,1999.70202636719,,,,,,,,,,,,,0,,,,3.7256589,,,,,,299.77976985,,,,
,44266362.82,299.7829132,1999.70202636719,0.000212727984255161,3.4961721039554E-7,1,0.999253354069792,40.0298881530762,1.99097507723542,18.3300003409386,0.00241517604890054,0.000404374482868215,0.25,-7.23820589558773E-7,0.000212723858901812,-5.82634103027134E-7,299.7806396,299.7851868,1999.70202636719,1999.70202636719,61.1045911193911,20.7404268134916,6.273368,0,0,0,40,4882,300.1085,1999.70202636719,,,,,,,,,,,,,0,,,,3.7071421,,,,,,299.7829132,,,,
,44266364.065,299.7857056,1999.70202636719,0.000212826416323722,3.65547822952314E-7,1,0.999253354069792,40.0298881530762,1.99099863285852,18.3300003409386,0.00241418953710282,0.000417033071866299,0.25,3.74507357340008E-7,0.000212821532854774,5.15785743203906E-7,299.7851868,299.7862244,1999.70202636719,1999.70202636719,61.117878804218,20.7393979563036,6.273368,0,0,0,40,4882,300.01815,1999.70202636719,,,,,,,,,,,,,0,,,,3.7071421,,,,,,299.7857056,,,,
,44266365.27,299.78619385,1999.70202636719,0.000212179368492958,2.85889112567294E-7,1,0.999253354069792,40.0298881530762,1.99104545956987,18.3400008827448,0.00240822899385053,0.000408020540429958,0.25,-3.10045016943175E-7,0.000212174943024142,-1.69106694701742E-7,299.7861633,299.7862244,1999.70202636719,1999.70202636719,60.9787489277949,20.7412903598783,6.273368,0,0,0,40,4882,299.88425,1999.70202636719,,,,,,,,,,,,,0,,,,3.7071421,,,,,,299.78619385,,,,
,44266366.525,299.7858276,1999.70202636719,0.00021252056373827,3.79998930185057E-7,1,0.999253354069792,40.0298881530762,1.99102310359512,18.3400008827448,0.00241194029020763,0.000409464572561502,0.25,-2.4077020132815E-7,0.000212516083263904,-9.95564069907466E-8,299.7854919,299.7861633,1999.70202636719,1999.70202636719,60.8380557943334,20.741315727518,6.646428,0,0,0,40,4882,299.79405,1999.70202636719,,,,,,,,,,,,,0,,,,3.7071421,,,,,,299.7858276,,,,
,44266368.595,299.7852173,1999.70202636719,0.000212729689970004,3.7077699625912E-7,1,0.999253354069792,40.0298881530762,1.99128786569298,18.3300003409386,0.00241409147791697,0.000413009612611658,0.25,3.12162184901151E-8,0.000212725022280704,1.72638622722657E-7,299.7852173,299.7852173,1999.70202636719,1999.70202636719,60.9607714718526,20.7429238213581,6.646428,0,0,0,40,4882,299.6589,1999.70202636719,,,,,,,,,,,,,0,,,,3.7256589,,,,,,299.7852173,,,,
