[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X2 30 TO 60 K
FILEOPENTIME,44269900.47,05/28/2026,5:33 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X2,SAMPLE_COMMENT
INFO,5.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44269934.72,29.9655819,1999.70202636719,,,2,,,,19.075999819994,,,,,,,29.9655819,29.9655819,1999.70202636719,1999.70202636719,,,7.019488,,,,-99999999,4885,30.0174,1999.70202636719,,,,,,,,,,,,,,,,,,,,,,,29.9655819,,,,
,44270038.415,29.98597335,1999.70202636719,0.00106748076746591,2.89010744648195E-7,1,0.999253354069792,40.0298881530762,2.00113367588417,19.0600007772446,0.0120892238889066,0.00221454854019013,0.25,7.4176426583242E-6,0.00106240706305994,1.33276976723852E-5,29.9859524,29.9859943,1999.70202636719,1999.70202636719,61.7080083362373,20.7650764668276,7.019488,0,0,0,40,4881,30.0276,1999.70202636719,,,,,,,,,,,,,0,,,,2.7471541,,,,,,29.98597335,,,,
,44270045.235,29.9864063,1999.70202636719,0.0010678454214473,3.10983556458136E-7,1,0.999253354069792,40.0298881530762,2.00099885729129,19.0699994564056,0.0120942011737364,0.00220609687011056,0.25,6.61803797041133E-6,0.00106277680758288,1.25360126748047E-5,29.9864063,29.9864063,1999.70202636719,1999.70202636719,61.3250103618142,20.7664197194066,6.646428,0,0,0,40,4882,30.0472,1999.70202636719,,,,,,,,,,,,,0,,,,2.7471541,,,,,,29.9864063,,,,
,44270045.96,29.9868183,1999.70202636719,0.00106716623940244,2.78767920790832E-7,1,0.999253354069792,40.0298881530762,2.00100842915449,19.0600007772446,0.0120862016622379,0.00220680231410668,0.25,6.79826810355739E-6,0.00106210042106089,1.27121505209803E-5,29.9864063,29.9872303,1999.70202636719,1999.70202636719,61.5563724035065,20.7670751044741,6.273368,0,0,0,40,4882,30.0522,1999.70202636719,,,,,,,,,,,,,0,,,,2.7471541,,,,,,29.9868183,,,,
,44270048.095,29.99085045,1999.70202636719,0.00106747087387737,3.3017226939234E-7,1,0.999253354069792,40.0298881530762,2.00108590004697,19.0600007772446,0.0120900845984494,0.00220770681423969,0.25,6.81530561349712E-6,0.0010624053053814,1.27324288406744E-5,29.9888687,29.9928322,1999.70202636719,1999.70202636719,61.6853411091796,20.7676685700941,7.019488,0,0,0,40,4882,30.0672,1999.70202636719,,,,,,,,,,,,,0,,,,2.7471541,,,,,,29.99085045,,,,
,44270049.68,29.9977417,1999.70202636719,0.00106763954625623,2.23202622690826E-7,1,0.999253354069792,40.0298881530762,2.00108814932221,19.0699994564056,0.0120926014553376,0.00220496654372263,0.25,6.5392007363014E-6,0.00106257890669723,1.24623591328081E-5,29.9977417,29.9977417,1999.70202636719,1999.70202636719,61.0506587515642,20.7680694221569,6.646428,0,0,0,40,4882,30.1022,1999.70202636719,,,,,,,,,,,,,0,,,,2.7334323,,,,,,29.9977417,,,,
,44270051.18,30.0049,1999.70202636719,0.001067362152547,2.41202110118274E-7,1,0.999253354069792,40.0298881530762,2.00102594800278,19.0699994564056,0.0120877903662521,0.00221197882578603,0.25,7.20898454727527E-6,0.00106230207533856,1.3130171799628E-5,30.0049,30.0049,1999.70202636719,1999.70202636719,61.117878804218,20.7649610774848,6.646428,0,0,0,40,4882,30.1273,1999.70202636719,,,,,,,,,,,,,0,,,,2.7334323,,,,,,30.0049,,,,
,44270051.915,30.00929545,1999.70202636719,0.00106763665770061,2.34951205613723E-7,1,0.999253354069792,40.0298881530762,2.00117414947497,19.0600007772446,0.0120930560876031,0.00220545674454754,0.25,6.5691134500811E-6,0.0010625812730643,1.24970283797372E-5,30.0049,30.0136909,1999.70202636719,1999.70202636719,61.483680951218,20.7677762838253,6.646428,0,0,0,40,4882,30.1474,1999.70202636719,,,,,,,,,,,,,0,,,,2.7334323,,,,,,30.00929545,,,,
,44270054.305,30.0372849,1999.70202636719,0.00106715032281916,2.90670944962406E-7,1,0.999253354069792,40.0298881530762,2.00110439805512,19.0699994564056,0.0120873608102166,0.00220364058202355,0.25,6.49315522019593E-6,0.00106210482272542,1.24252965364816E-5,30.0372849,30.0372849,1999.70202636719,1999.70202636719,61.2570086806411,20.7686705290388,6.273368,0,0,0,40,4882,30.2078,1999.70202636719,,,,,,,,,,,,,0,,,,2.7334323,,,,,,30.0372849,,,,
,44270055.91,30.0525913,1999.70202636719,0.0010665205465024,2.32779967394399E-7,1,0.999253354069792,40.0298881530762,2.00106955132378,19.0600007772446,0.0120793568407227,0.00220651968478393,0.25,6.8545579730959E-6,0.00106148207110382,1.27870078400476E-5,30.0525913,30.0525913,1999.70202636719,1999.70202636719,61.649386197295,20.7696877523481,7.019488,0,0,0,40,4882,30.2583,1999.70202636719,,,,,,,,,,,,,0,,,,2.7608759,,,,,,30.0525913,,,,
