[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X3 300 TO 30K
FILEOPENTIME,44277287.47,05/28/2026,7:36 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X3,SAMPLE_COMMENT
INFO,1.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44277433.695,299.73936465,1999.70202636719,2.38947314885274E-5,4.40972031769046E-7,1,0.999253354069792,40.0298881530762,1.97777509561376,17.9999992251396,0.000269789546795467,4.38520238557408E-5,0.25,-1.9502277324825E-7,2.38943838431236E-5,-1.79172986128109E-7,299.7386475,299.7400818,1999.70202636719,1999.70202636719,60.5918428107756,20.7131475643511,6.273368,0,0,0,40,4881,300.2872,1999.70202636719,,,,,,,,,,,,,0,,,,3.59768905,,,,,,299.73936465,,,,
,44277440.93,299.7426147,1999.70202636719,2.38382867401798E-5,3.9472244634761E-7,1,0.999253354069792,40.0298881530762,1.97771811392614,17.9999992251396,0.000269950989011188,3.90307850289025E-5,0.25,-6.12888306229437E-7,2.38382140216521E-5,-5.97061636568829E-7,299.7426147,299.7426147,1999.70202636719,1999.70202636719,60.731754315718,20.7138105511286,6.646428,0,0,0,40,4882,300.1929,1999.70202636719,,,,,,,,,,,,,0,,,,3.56192755,,,,,,299.7426147,,,,
,44277441.61,299.74263,1999.70202636719,2.39071862966275E-5,4.54718208818148E-7,1,0.999253354069792,40.0298881530762,1.97768810279559,17.9999992251396,0.000270409688726061,4.10011810181281E-5,0.25,-4.49853144208257E-7,2.39070038139016E-5,-4.33981133273749E-7,299.7426147,299.7426453,1999.70202636719,1999.70202636719,60.6145100378333,20.7148408704134,6.273368,0,0,0,40,4882,300.1465,1999.70202636719,,,,,,,,,,,,,0,,,,3.5797191,,,,,,299.74263,,,,
,44277443.825,299.7450867,1999.70202636719,2.39106282103916E-5,5.26537892935337E-7,1,0.999253354069792,40.0298881530762,1.97771083479237,17.9999992251396,0.000269840882510467,4.45801479006043E-5,0.25,-1.33055373911515E-7,2.39102324965316E-5,-1.17178717326667E-7,299.7450867,299.7450867,1999.70202636719,1999.70202636719,60.5652674411218,20.7140730617514,6.646428,0,0,0,40,4882,300.0074,1999.70202636719,,,,,,,,,,,,,0,,,,3.5797191,,,,,,299.7450867,,,,
,44277444.555,299.7447052,1999.70202636719,2.41536247982504E-5,3.87976086594834E-7,1,0.999253354069792,40.0298881530762,1.9777606585595,17.9999992251396,0.000272795883537141,4.38283278935958E-5,0.25,-2.41369500261304E-7,2.41532961939921E-5,-2.25326487004233E-7,299.7443237,299.7450867,1999.70202636719,1999.70202636719,60.6489016926795,20.7135549348624,6.646428,0,0,0,40,4882,299.96255,1999.70202636719,,,,,,,,,,,,,0,,,,3.5797191,,,,,,299.7447052,,,,
,44277445.805,299.7445526,1999.70202636719,2.39175686180645E-5,3.9628314897738E-7,1,0.999253354069792,40.0298881530762,1.97774996022958,17.9999992251396,0.00027012318767881,4.34303739574174E-5,0.25,-2.36301504318619E-7,2.39172410969881E-5,-2.20409514810734E-7,299.7443237,299.7447815,1999.70202636719,1999.70202636719,60.884171876968,20.7141022719015,6.273368,0,0,0,40,4882,299.8699,1999.70202636719,,,,,,,,,,,,,0,,,,3.5797191,,,,,,299.7445526,,,,
,44277446.97,299.7447357,1999.70202636719,2.40034950635804E-5,3.53997544693569E-7,1,0.999253354069792,40.0298881530762,1.97778055052528,17.9999992251396,0.000272040239433443,3.80724859664771E-5,0.25,-7.26250274050025E-7,2.40034907328465E-5,-7.10285423040438E-7,299.7446899,299.7447815,1999.70202636719,1999.70202636719,60.5566695274103,20.7143172861017,6.646428,0,0,0,40,4882,299.7773,1999.70202636719,,,,,,,,,,,,,0,,,,3.5797191,,,,,,299.7447357,,,,
,44277448.09,299.7442474,1999.70202636719,2.37880889825502E-5,3.97265289229669E-7,1,0.999253354069792,40.0298881530762,1.97775429716176,17.9999992251396,0.000268323705141661,4.51710332420273E-5,0.25,-5.9802653549973E-8,2.37876463503121E-5,-4.39914776373711E-8,299.7438049,299.7446899,1999.70202636719,1999.70202636719,60.6832933475257,20.7144442861035,6.273368,0,0,0,40,4882,299.72965,1999.70202636719,,,,,,,,,,,,,0,,,,3.5797191,,,,,,299.7442474,,,,
,44277449.285,299.74241635,1999.70202636719,2.4200210464258E-5,3.41073236061433E-7,1,0.999253354069792,40.0298881530762,1.97769029629879,17.9999992251396,0.000272380974191899,4.93625765279932E-5,0.25,2.41640479177029E-7,2.41995602166035E-5,2.57725339156815E-7,299.7410278,299.7438049,1999.70202636719,1999.70202636719,60.8216415954295,20.7135540712835,6.273368,0,0,0,40,4882,299.63725,1999.70202636719,,,,,,,,,,,,,0,,,,3.5797191,,,,,,299.74241635,,,,
,44277451.41,299.7387695,1999.70202636719,2.36163695293056E-5,3.15464511615536E-7,1,0.999253354069792,40.0298881530762,1.97771134568172,17.9999992251396,0.000266931167859507,4.1627019522177E-5,0.25,-3.44713748861027E-7,2.36161237446932E-5,-3.28999309161621E-7,299.7387695,299.7387695,1999.70202636719,1999.70202636719,60.7270645446026,20.7156939142718,6.646428,0,0,0,40,4882,299.5419,1999.70202636719,,,,,,,,,,,,,0,,,,3.59768905,,,,,,299.7387695,,,,
