[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X3 H PARA AB 10 TO 30K
FILEOPENTIME,44280409.70,05/28/2026,8:28 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X3,SAMPLE_COMMENT
INFO,1.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44280559.09,15.7460718,1999.70202636719,,,2,,,,18.8660002095103,,,,,,,15.7460718,15.7460718,1999.70202636719,1999.70202636719,,,6.273368,,,,-99999999,4886,15.3702,1999.70202636719,,,,,,,,,,,,,,,,,,,,,,,15.7460718,,,,
,44280903.17,9.99145415,1999.70202636719,0.000236891112654344,2.19589688827665E-7,1,0.999253354069792,40.0298881530762,1.99139683291201,18.8500005751848,0.00266865653206972,0.000490080613239221,0.25,1.9036839383988E-6,0.000235633128485761,3.06074330319353E-6,9.9907475,9.9921608,1999.70202636719,1999.70202636719,61.527452148295,20.7411789927073,6.646428,0,0,0,40,4881,10.01015,1999.70202636719,,,,,,,,,,,,,0,,,,1.78782635,,,,,,9.99145415,,,,
,44280910.165,10.007966,1999.70202636719,0.00023662391635298,2.68029741611308E-7,1,0.999253354069792,40.0298881530762,1.99137116823516,18.8500005751848,0.00266644614629385,0.000484774207599551,0.25,1.48069048079542E-6,0.000235369418105426,2.63866288913199E-6,10.007966,10.007966,1999.70202636719,1999.70202636719,61.2898370784488,20.7424250419069,6.646428,0,0,0,40,4882,10.0347,1999.70202636719,,,,,,,,,,,,,0,,,,1.7967564,,,,,,10.007966,,,,
,44280911.61,10.0136185,1999.70202636719,0.000236602502830629,2.16562459239235E-7,1,0.999253354069792,40.0298881530762,1.99137677395161,18.8500005751848,0.00266554127946132,0.000488556550339302,0.25,1.81961125996495E-6,0.000235346445497928,2.97569175025724E-6,10.0136185,10.0136185,1999.70202636719,1999.70202636719,61.6978471654873,20.7409721089972,6.646428,0,0,0,40,4882,10.0531,1999.70202636719,,,,,,,,,,,,,0,,,,1.7788963,,,,,,10.0136185,,,,
,44280913.14,10.0350466,1999.70202636719,0.000236282608579823,2.54463992614804E-7,1,0.999253354069792,40.0298881530762,1.99146554074713,18.8500005751848,0.00266170762932365,0.000489871400481396,0.25,1.99041409599869E-6,0.000235027387557832,3.14401817627901E-6,10.0350466,10.0350466,1999.70202636719,1999.70202636719,61.4617953526796,20.7411693939855,6.273368,0,0,0,40,4882,10.07485,1999.70202636719,,,,,,,,,,,,,0,,,,1.78782635,,,,,,10.0350466,,,,
,44280914.775,10.0494967,1999.70202636719,0.000236507177045466,2.25530238887108E-7,1,0.999253354069792,40.0298881530762,1.99143699579145,18.8500005751848,0.00266490313222655,0.000486325587747848,0.25,1.63732573526228E-6,0.000235252506294367,2.79389721465374E-6,10.0494967,10.0494967,1999.70202636719,1999.70202636719,61.5258888912565,20.7418673197838,6.646428,0,0,0,40,4882,10.10435,1999.70202636719,,,,,,,,,,,,,0,,,,1.7788963,,,,,,10.0494967,,,,
,44280916.57,10.0908861,1999.70202636719,0.00023572899925205,1.85380023058859E-7,1,0.999253354069792,40.0298881530762,1.99144768311369,18.8500005751848,0.00265588885760366,0.000486207034516373,0.25,1.76305171933693E-6,0.000234477794658093,2.91512645579563E-6,10.0908861,10.0908861,1999.70202636719,1999.70202636719,61.5524642609104,20.7432215342354,6.273368,0,0,0,40,4882,10.1499,1999.70202636719,,,,,,,,,,,,,0,,,,1.7788963,,,,,,10.0908861,,,,
,44280918.265,10.1133413,1999.70202636719,0.000234981018789458,2.65178966313892E-7,1,0.999253354069792,40.0298881530762,1.99138785551799,18.8599992543459,0.00264730240287481,0.000485125291822027,0.25,1.79955533087357E-6,0.000233733568166613,2.94775246708367E-6,10.1133413,10.1133413,1999.70202636719,1999.70202636719,61.4109894989296,20.7414363457453,6.273368,0,0,0,40,4882,10.1864,1999.70202636719,,,,,,,,,,,,,0,,,,1.8147956,,,,,,10.1133413,,,,
,44280920.03,10.1638012,1999.70202636719,0.000234766199407465,1.74382987648661E-7,1,0.999253354069792,40.0298881530762,1.99136508395613,18.8500005751848,0.0026443603441069,0.000487487146218709,0.25,2.04706060850189E-6,0.00023351864192343,3.19289452193538E-6,10.1638012,10.1638012,1999.70202636719,1999.70202636719,61.6118680283719,20.7414882445227,6.646428,0,0,0,40,4882,10.23115,1999.70202636719,,,,,,,,,,,,,0,,,,1.7788963,,,,,,10.1638012,,,,
,44280921.625,10.1889753,1999.70202636719,0.000234845763673192,1.66797685262463E-7,1,0.999253354069792,40.0298881530762,1.99141801796123,18.8500005751848,0.00264566579209024,0.000485712315725147,0.25,1.87469172851613E-6,0.000233598626075112,3.02182607395122E-6,10.1889753,10.1889753,1999.70202636719,1999.70202636719,61.6243740846796,20.7419072266056,6.273368,0,0,0,40,4882,10.2746,1999.70202636719,,,,,,,,,,,,,0,,,,1.8147956,,,,,,10.1889753,,,,
