[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X3 30 TO 60 K
FILEOPENTIME,44282815.75,05/28/2026,9:08 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X3,SAMPLE_COMMENT
INFO,1.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44282858.5,29.9818134,1999.70202636719,,,2,,,,19.0060003442168,,,,,,,29.9818134,29.9818134,1999.70202636719,1999.70202636719,,,6.273368,,,,-99999999,4881,30.0386,1999.70202636719,,,,,,,,,,,,,,,,,,,,,,,29.9818134,,,,
sample offset = 36.5 mm touchdown = 14.6000003442168 mm,44282871.85,29.9765167,1999.70202636719,0.000133253563083878,2.13855435486826E-7,1,0.999253354069792,40.0298881530762,1.99100783103652,18.9999993890524,0.00150177920030211,0.00027533644651408,0.25,9.46251641999322E-7,0.000132619959909306,1.68377425592168E-6,29.976078,29.9769554,1999.70202636719,1999.70202636719,60.7989743683718,20.7358826586321,6.273368,0,0,0,40,4881,30.0177,1999.70202636719,,,,,,,,,,,,,0,,,,2.4246321,,,,,,29.9765167,,,,
,44282878.15,29.9730587,1999.70202636719,0.000133320389505269,1.84041385461899E-7,1,0.999253354069792,40.0298881530762,1.99116668898374,18.9900007098913,0.00150265999081366,0.000275430035177295,0.25,9.40758776798314E-7,0.000132686660878336,1.67881983440012E-6,29.9730587,29.9730587,1999.70202636719,1999.70202636719,60.9341961021987,20.7357109300625,6.646428,0,0,0,40,4882,30.0281,1999.70202636719,,,,,,,,,,,,,0,,,,2.4246321,,,,,,29.9730587,,,,
,44282879.625,29.9736004,1999.70202636719,0.000133460815361373,2.30069084685701E-7,1,0.999253354069792,40.0298881530762,1.9911960853611,18.9900007098913,0.00150427598042468,0.000275665909800903,0.25,9.36430333497691E-7,0.000132826606166678,1.67543584884576E-6,29.9736004,29.9736004,1999.70202636719,1999.70202636719,61.2992166206796,20.736782626977,6.646428,0,0,0,40,4882,30.0386,1999.70202636719,,,,,,,,,,,,,0,,,,2.4246321,,,,,,29.9736004,,,,
,44282881.095,29.97651955,1999.70202636719,0.000133573347891276,2.45840647287801E-7,1,0.999253354069792,40.0298881530762,1.99108052465426,18.9900007098913,0.00150523996609987,0.000277149844794527,0.25,1.04930400791034E-6,0.000132938136456481,1.78854806158366E-6,29.9752483,29.9777908,1999.70202636719,1999.70202636719,60.9037125899487,20.739441004005,6.273368,0,0,0,40,4882,30.0492,1999.70202636719,,,,,,,,,,,,,0,,,,2.4489751,,,,,,29.97651955,,,,
,44282882.67,29.9818325,1999.70202636719,0.000133222243320381,2.08502334057815E-7,1,0.999253354069792,40.0298881530762,1.99114433333093,18.9900007098913,0.00150193225298373,0.000273034887269843,0.25,7.45207053826017E-7,0.000132590847395857,1.48435046491765E-6,29.9818325,29.9818325,1999.70202636719,1999.70202636719,61.1624316298142,20.7375866837799,6.646428,0,0,0,40,4882,30.0805,1999.70202636719,,,,,,,,,,,,,0,,,,2.4246321,,,,,,29.9818325,,,,
,44282884.305,29.9907789,1999.70202636719,0.000133365446673921,2.21833075436406E-7,1,0.999253354069792,40.0298881530762,1.9910415387853,18.9900007098913,0.00150315294456343,0.000275162862625518,0.25,9.09259327541079E-7,0.000132732928751072,1.64885451687432E-6,29.9873943,29.9941635,1999.70202636719,1999.70202636719,61.1976049131796,20.736826769063,6.646428,0,0,0,40,4882,30.1119,1999.70202636719,,,,,,,,,,,,,0,,,,2.4246321,,,,,,29.9907789,,,,
,44282885.055,29.9986067,1999.70202636719,0.000133364486538045,2.45094175847543E-7,1,0.999253354069792,40.0298881530762,1.9911454008313,18.9900007098913,0.00150315774454819,0.000275531077674696,0.25,9.40505971493541E-7,0.000132732108642177,1.68023280437378E-6,29.9941635,30.0030499,1999.70202636719,1999.70202636719,61.2366863391411,20.7380940648803,6.646428,0,0,0,40,4882,30.1328,1999.70202636719,,,,,,,,,,,,,0,,,,2.4246321,,,,,,29.9986067,,,,
,44282886.375,30.008626,1999.70202636719,0.000133331113852253,2.25555916232271E-7,1,0.999253354069792,40.0298881530762,1.9911114206752,18.9900007098913,0.00150268965256347,0.000275872436550664,0.25,9.76515826526856E-7,0.000132699160816182,1.71631525208686E-6,30.0030499,30.0142021,1999.70202636719,1999.70202636719,60.945138901468,20.7379140909352,6.273368,0,0,0,40,4882,30.16425,1999.70202636719,,,,,,,,,,,,,0,,,,2.4368036,,,,,,30.008626,,,,
,44282888.59,30.026823,1999.70202636719,0.000133296295981662,1.86104751813495E-7,1,0.999253354069792,40.0298881530762,1.99108375688954,18.9900007098913,0.0015025201389291,0.00027448351935657,0.25,8.58816570380739E-7,0.000132666153573206,1.59987284326472E-6,30.026823,30.026823,1999.70202636719,1999.70202636719,61.0303364100642,20.7364896920766,6.273368,0,0,0,40,4882,30.2301,1999.70202636719,,,,,,,,,,,,,0,,,,2.4489751,,,,,,30.026823,,,,
