[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X4 30 TO 60 K
FILEOPENTIME,44337806.38,05/29/2026,12:25 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X4,SAMPLE_COMMENT
INFO,4.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44337840.78,29.9744625,1999.5966796875,,,2,,,,20.2859996677041,,,,,,,29.9744625,29.9744625,1999.5966796875,1999.5966796875,,,6.646428,,,,-99999999,4885,30.0327,1999.5966796875,,,,,,,,,,,,,,,,,,,,,,,29.9744625,,,,
,44337938.095,29.98524475,1999.5966796875,0.000912307109202231,2.60743843903636E-7,1,0.999253354069792,40.0298881530762,2.00242704443807,20.2699992805719,0.0103401539466266,0.00188289715565174,0.25,5.37919071848044E-6,0.000907975824786506,1.04342408948167E-5,29.9852085,29.985281,1999.5966796875,1999.5966796875,61.2108925980065,20.7476729943689,6.273368,0,0,0,40,4881,30.0231,1999.5966796875,,,,,,,,,,,,,0,,,,2.6133063,,,,,,29.98524475,,,,
,44337945.245,29.9854298,1999.5966796875,0.000912218271250603,2.44761449404557E-7,1,0.999253354069792,40.0298881530762,2.00243796077233,20.2699992805719,0.0103381269030677,0.00188895750406444,0.25,5.92597736316193E-6,0.000907886342953128,1.09797376372006E-5,29.9854298,29.9854298,1999.5966796875,1999.5966796875,61.4086446133719,20.7433747226964,6.273368,0,0,0,40,4882,30.0424,1999.5966796875,,,,,,,,,,,,,0,,,,2.6263595,,,,,,29.9854298,,,,
,44337946.76,29.9870186,1999.5966796875,0.00091188842558983,2.19212292374017E-7,1,0.999253354069792,40.0298881530762,2.00237851465928,20.2699992805719,0.0103348895896366,0.00188375184003165,0.25,5.52933074670475E-6,0.000907560796890579,1.05836122367156E-5,29.9870186,29.9870186,1999.5966796875,1999.5966796875,61.3742529585257,20.7426876132483,6.273368,0,0,0,40,4882,30.0477,1999.5966796875,,,,,,,,,,,,,0,,,,2.6002531,,,,,,29.9870186,,,,
,44337948.3,29.9892826,1999.5966796875,0.000912175821029834,2.39768137776581E-7,1,0.999253354069792,40.0298881530762,2.00240651127276,20.2699992805719,0.0103378671211913,0.00188684501134973,0.25,5.74749437541435E-6,0.000907847164372219,1.0803745399951E-5,29.9892826,29.9892826,1999.5966796875,1999.5966796875,61.4094262418911,20.7442827155708,6.646428,0,0,0,40,4882,30.0628,1999.5966796875,,,,,,,,,,,,,0,,,,2.63954365,,,,,,29.9892826,,,,
,44337949.94,29.9968662,1999.5966796875,0.000911906796615458,2.5722181474606E-7,1,0.999253354069792,40.0298881530762,2.00240018030098,20.2699992805719,0.0103349675183396,0.00188539458014722,0.25,5.66527943000836E-6,0.000907581903071028,1.07222876162103E-5,29.9968662,29.9968662,1999.5966796875,1999.5966796875,61.3156308195834,20.7445555853341,6.646428,0,0,0,40,4882,30.083,1999.5966796875,,,,,,,,,,,,,0,,,,2.6263595,,,,,,29.9968662,,,,
,44337951.595,30.0023022,1999.5966796875,0.000912028221671334,2.43288568832921E-7,1,0.999253354069792,40.0298881530762,2.00245174086746,20.2699992805719,0.0103369076583849,0.00188420129380891,0.25,5.53025956764713E-6,0.000907707586702215,1.05922615975756E-5,30.0023022,30.0023022,1999.5966796875,1999.5966796875,61.476646294545,20.7452150324441,6.273368,0,0,0,40,4882,30.1227,1999.5966796875,,,,,,,,,,,,,0,,,,2.6263595,,,,,,30.0023022,,,,
,44337953.14,30.0156536,1999.5966796875,0.000911468812257836,2.09927065204493E-7,1,0.999253354069792,40.0298881530762,2.00241269494136,20.2799998223782,0.0103303459167985,0.00188345701127251,0.25,5.5616987701465E-6,0.000907154780713127,1.06242132586579E-5,30.0103798,30.0209274,1999.5966796875,1999.5966796875,61.2312149395065,20.7465409615673,6.646428,0,0,0,40,4882,30.1634,1999.5966796875,,,,,,,,,,,,,0,,,,2.6002531,,,,,,30.0156536,,,,
,44337954.87,30.0307026,1999.5966796875,0.000911351202827184,2.71696911166715E-7,1,0.999253354069792,40.0298881530762,2.00239727948585,20.2699992805719,0.0103283833819918,0.00188662327587153,0.25,5.85819525661136E-6,0.00090704019088787,1.09224238200655E-5,30.0307026,30.0307026,1999.5966796875,1999.5966796875,61.2452842528526,20.7456557377106,6.646428,0,0,0,40,4882,30.2038,1999.5966796875,,,,,,,,,,,,,0,,,,2.6263595,,,,,,30.0307026,,,,
,44337956.46,30.05498695,1999.5966796875,0.000911079199443151,2.77433870883629E-7,1,0.999253354069792,40.0298881530762,2.00244887257759,20.2799998223782,0.0103254695849018,0.00188693170279353,0.25,5.92355479107811E-6,0.000906774241746284,1.09906740922627E-5,30.0459499,30.064024,1999.5966796875,1999.5966796875,61.1538337161026,20.7462309189857,6.273368,0,0,0,40,4882,30.2543,1999.5966796875,,,,,,,,,,,,,0,,,,2.6263595,,,,,,30.05498695,,,,
,44337958.06,30.0773201,1999.5966796875,0.000910934922598225,2.65541941148507E-7,1,0.999253354069792,40.0298881530762,2.00242981679108,20.2699992805719,0.0103246492880107,0.00188180483897061,0.25,5.49293241333522E-6,0.000906638254778904,1.05660121930399E-5,30.0773201,30.0773201,1999.5966796875,1999.5966796875,61.3961385570642,20.744810693853,6.273368,0,0,0,40,4882,30.305,1999.5966796875,,,,,,,,,,,,,0,,,,2.6133063,,,,,,30.0773201,,,,
,44337959.84,30.1210709,1999.5966796875,0.000910383909188718,2.8737321374894E-7,1,0.999253354069792,40.0298881530762,2.0024411404722,20.2799998223782,0.0103180932077703,0.00188310361794396,0.25,5.69779117336508E-6,0.000906093825207878,1.07716346886109E-5,30.1210709,30.1210709,1999.5966796875,1999.5966796875,61.2288700539488,20.7474089576395,6.273368,0,0,0,40,4882,30.3562,1999.5966796875,,,,,,,,,,,,,0,,,,2.6263595,,,,,,30.1210709,,,,
,44337961.525,30.1422634,1999.5966796875,0.000909939281739111,2.57502878402348E-7,1,0.999253354069792,40.0298881530762,2.00239379991686,20.2699992805719,0.0103131063603984,0.00188088246063806,0.25,5.57826114516856E-6,0.000905657279822149,1.06550082546595E-5,30.1422634,30.1422634,1999.5966796875,1999.5966796875,61.2163639976411,20.7459706611803,6.646428,0,0,0,40,4882,30.40755,1999.5966796875,,,,,,,,,,,,,0,,,,2.6263595,,,,,,30.1422634,,,,
,44337963.065,30.1784058,1999.5966796875,0.000909384384629685,2.48870634865377E-7,1,0.999253354069792,40.0298881530762,2.00239796726753,20.2799998223782,0.0103066855630268,0.00188095509427152,0.25,5.6762703572924E-6,0.000905109669475394,1.07542765432069E-5,30.1662579,30.1905537,1999.5966796875,1999.5966796875,61.2335598250642,20.7449662022031,7.019488,0,0,0,40,4882,30.4587,1999.5966796875,,,,,,,,,,,,,0,,,,2.6133063,,,,,,30.1784058,,,,
,44337964.75,30.2165108,1999.5966796875,0.000908443450442086,2.59670331862077E-7,1,0.999253354069792,40.0298881530762,2.00239293090177,20.2699992805719,0.0102957470810889,0.00188081239427312,0.25,5.82338342239635E-6,0.000904178119573918,1.09007592840835E-5,30.2165108,30.2165108,1999.5966796875,1999.5966796875,60.9232533029295,20.7463575985635,6.273368,0,0,0,40,4882,30.5151,1999.5966796875,,,,,,,,,,,,,0,,,,2.6133063,,,,,,30.2165108,,,,
,44337965.45,30.2296877,1999.5966796875,0.00090779234713565,2.30927102778132E-7,1,0.999253354069792,40.0298881530762,2.00240450049087,20.2799998223782,0.010288897645123,0.00187693104084062,0.25,5.59268874896994E-6,0.000903533489627132,1.06694379733731E-5,30.2165108,30.2428646,1999.5966796875,1999.5966796875,61.2624800802757,20.7452382590747,6.646428,0,0,0,40,4882,30.53575,1999.5966796875,,,,,,,,,,,,,0,,,,2.6263595,,,,,,30.2296877,,,,
,44337966.75,30.2569332,1999.5966796875,0.000907970311902215,2.26179292591892E-7,1,0.999253354069792,40.0298881530762,2.00244211402415,20.2699992805719,0.0102902965136392,0.00188213889115349,0.25,6.01330385296424E-6,0.000903711982135603,1.10925144793917E-5,30.2428646,30.2710018,1999.5966796875,1999.5966796875,61.2523189095257,20.7450366915306,6.273368,0,0,0,40,4882,30.57175,1999.5966796875,,,,,,,,,,,,,0,,,,2.6263595,,,,,,30.2569332,,,,
,44337969.095,30.3266048,1999.5966796875,0.000906965748397179,2.30873899065983E-7,1,0.999253354069792,40.0298881530762,2.00241353776442,20.2799998223782,0.0102798356482226,0.0018743390223103,0.25,5.49912379967265E-6,0.000902720204022493,1.05800279149276E-5,30.3266048,30.3266048,1999.5966796875,1999.5966796875,61.2945268495642,20.7457476173112,6.273368,0,0,0,40,4882,30.62385,1999.5966796875,,,,,,,,,,,,,0,,,,2.6263595,,,,,,30.3266048,,,,
,44337970.695,30.3516159,1999.5966796875,0.000906171144763853,2.96298381312439E-7,1,0.999253354069792,40.0298881530762,2.00246246231489,20.2699992805719,0.0102707935523303,0.00187459418750256,0.25,5.65294726370816E-6,0.000901932795845533,1.07326224033673E-5,30.3516159,30.3516159,1999.5966796875,1999.5966796875,61.527452148295,20.7468915305151,7.019488,0,0,0,40,4882,30.6654,1999.5966796875,,,,,,,,,,,,,0,,,,2.6263595,,,,,,30.3516159,,,,
,44337972.23,30.4018478,1999.5966796875,0.000905697449584424,1.90868832338547E-7,1,0.999253354069792,40.0298881530762,2.00253122766654,20.2699992805719,0.0102656511624088,0.00187450069222436,0.25,5.71922411279068E-6,0.000901463989238124,1.07988699693391E-5,30.4018478,30.4018478,1999.5966796875,1999.5966796875,61.4954053790065,20.7480318888665,7.019488,0,0,0,40,4882,30.6963,1999.5966796875,,,,,,,,,,,,,0,,,,2.6133063,,,,,,30.4018478,,,,
,44337973.825,30.4257603,1999.5966796875,0.000904740655130088,2.57773153390613E-7,1,0.999253354069792,40.0298881530762,2.00251425558962,20.2799998223782,0.010254745440933,0.00187252686582105,0.25,5.71267360424805E-6,0.00090051384079913,1.07889795814615E-5,30.4257603,30.4257603,1999.5966796875,1999.5966796875,61.2491923954488,20.7468462745224,6.646428,0,0,0,40,4882,30.7175,1999.5966796875,,,,,,,,,,,,,0,,,,2.6263595,,,,,,30.4257603,,,,
,44337975.34,30.4693069,1999.5966796875,0.000904517428146716,2.29004155174225E-7,1,0.999253354069792,40.0298881530762,2.00239993235137,20.2699992805719,0.0102518728813923,0.0018708767263664,0.25,5.6131847922078E-6,0.000900294213700274,1.06906742867785E-5,30.4693069,30.4693069,1999.5966796875,1999.5966796875,61.3586203881411,20.7452494698905,6.646428,0,0,0,40,4882,30.73825,1999.5966796875,,,,,,,,,,,,,0,,,,2.6527278,,,,,,30.4693069,,,,
,44337976.02,30.48016925,1999.5966796875,0.000903650451001638,2.66119843174203E-7,1,0.999253354069792,40.0298881530762,2.00245394340442,20.2699992805719,0.0102425722819549,0.00186763726838573,0.25,5.47609404750423E-6,0.000899431992929774,1.05493550162477E-5,30.4693069,30.4910316,1999.5966796875,1999.5966796875,61.3265736188526,20.7468835596058,6.646428,0,0,0,40,4882,30.73855,1999.5966796875,,,,,,,,,,,,,0,,,,2.63954365,,,,,,30.48016925,,,,
,44337977.205,30.49986075,1999.5966796875,0.000903133754918309,2.69831769376889E-7,1,0.999253354069792,40.0298881530762,2.00248572524361,20.2699992805719,0.0102359565310017,0.00187185628323806,0.25,5.93523043989032E-6,0.000898916123517635,1.10044461604885E-5,30.4910316,30.5086899,1999.5966796875,1999.5966796875,61.3437694462757,20.7468673567453,6.273368,0,0,0,40,4882,30.749,1999.5966796875,,,,,,,,,,,,,0,,,,2.63954365,,,,,,30.49986075,,,,
