[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X4 30K TO 300K
FILEOPENTIME,44350583.98,05/29/2026,3:58 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X4,SAMPLE_COMMENT
INFO,4.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44350616.94,29.9347477,1999.5966796875,,,2,,,,20.7760001391768,,,,,,,29.9347477,29.9347477,1999.5966796875,1999.5966796875,,,7.019488,,,,-99999999,4885,29.9936,1999.5966796875,,,,,,,,,,,,,,,,,,,,,,,29.9347477,,,,
,44350719.71,29.9766598,1999.5966796875,0.000917333535940019,2.34889448227834E-7,1,0.999253354069792,40.0298881530762,2.00165184461171,20.7599997520447,0.0103924815423522,0.00189732622827941,0.25,5.82545736028082E-6,0.000912978395235248,1.09084385073162E-5,29.9766102,29.9767094,1999.5966796875,1999.5966796875,61.5720049738911,20.7633281872695,7.019488,0,0,0,40,4881,30.0451,1999.5966796875,,,,,,,,,,,,,0,,,,2.1187539,,,,,,29.9766598,,,,
,44350726.96,29.9779053,1999.5966796875,0.000917138048386308,2.87368576734691E-7,1,0.999253354069792,40.0298881530762,2.0016905576934,20.7700002938509,0.0103900758437508,0.00189920316508551,0.25,6.02108263263631E-6,0.000912783838840716,1.11030477672223E-5,29.9779053,29.9779053,1999.5966796875,1999.5966796875,61.4703932663911,20.7626799919442,6.646428,0,0,0,40,4882,30.0558,1999.5966796875,,,,,,,,,,,,,0,,,,2.108171,,,,,,29.9779053,,,,
,44350728.735,29.9808941,1999.5966796875,0.000917114312355131,2.86266476122686E-7,1,0.999253354069792,40.0298881530762,2.00165378029451,20.7700002938509,0.0103901932256341,0.00189603398364558,0.25,5.74649557789786E-6,0.00091276384166523,1.08315200276239E-5,29.9808941,29.9808941,1999.5966796875,1999.5966796875,61.361746902218,20.7656591619863,6.646428,0,0,0,40,4882,30.0762,1999.5966796875,,,,,,,,,,,,,0,,,,2.108171,,,,,,29.9808941,,,,
,44350730.47,29.98626805,1999.5966796875,0.000917135063532251,2.36041824194986E-7,1,0.999253354069792,40.0298881530762,2.00166525920899,20.7700002938509,0.0103892138592167,0.00190352464172003,0.25,6.39890133862596E-6,0.000912784067734784,1.1483879491021E-5,29.9838123,29.9887238,1999.5966796875,1999.5966796875,60.8974595617949,20.7624928996445,6.646428,0,0,0,40,4882,30.1074,1999.5966796875,,,,,,,,,,,,,0,,,,2.1293368,,,,,,29.98626805,,,,
,44350732.19,29.9949436,1999.5966796875,0.000916897763630529,2.81651110690634E-7,1,0.999253354069792,40.0298881530762,2.00169796302635,20.7599997520447,0.0103877122436546,0.00189752748140889,0.25,5.90464944692006E-6,0.000912554938694935,1.09945248863738E-5,29.9949436,29.9949436,1999.5966796875,1999.5966796875,61.2898370784488,20.7639224667523,6.646428,0,0,0,40,4882,30.1491,1999.5966796875,,,,,,,,,,,,,0,,,,2.108171,,,,,,29.9949436,,,,
,44350733.755,30.01021195,1999.5966796875,0.000917276686713508,3.27185957726948E-7,1,0.999253354069792,40.0298881530762,2.00164487941579,20.7599997520447,0.0103918200327583,0.00189818319980899,0.25,5.89418185406297E-6,0.000912937489601766,1.09910858016557E-5,30.0041142,30.0163097,1999.5966796875,1999.5966796875,61.9776701753719,20.7650642179612,6.646428,0,0,0,40,4882,30.201,1999.5966796875,,,,,,,,,,,,,0,,,,2.1293368,,,,,,30.01021195,,,,
,44350735.415,30.0295448,1999.5966796875,0.00091716994178377,2.40029115510658E-7,1,0.999253354069792,40.0298881530762,2.00164001006225,20.7599997520447,0.0103902820159513,0.00190027498166372,0.25,6.08834983349402E-6,0.000912838904574293,1.11916452619403E-5,30.0295448,30.0295448,1999.5966796875,1999.5966796875,61.4274036978334,20.7645714899833,6.646428,0,0,0,40,4886,30.2849,1999.5966796875,,,,,,,,,,,,,0,,,,2.1293368,,,,,,30.0295448,,,,
,44350736.12,30.04017255,1999.5966796875,0.000916140384611773,2.39093789157471E-7,1,0.999253354069792,40.0298881530762,2.00172419462886,20.7599997520447,0.0103794706426532,0.00189596202263076,0.25,5.87902563939157E-6,0.000911818669068632,1.09805560262512E-5,30.0295448,30.0508003,1999.5966796875,1999.5966796875,61.7877344451988,20.7643147145302,7.019488,0,0,0,40,4886,30.31685,1999.5966796875,,,,,,,,,,,,,0,,,,2.1293368,,,,,,30.04017255,,,,
,44350738.39,30.0981064,1999.5966796875,0.000916452055962151,2.82740479106158E-7,1,0.999253354069792,40.0298881530762,2.00168557650252,20.7599997520447,0.0103828648760895,0.00189723105833026,0.25,5.9235209915279E-6,0.000912143019608205,1.10396461465983E-5,30.0981064,30.0981064,1999.5966796875,1999.5966796875,61.7572509329488,20.7653742745791,6.646428,0,0,0,40,4886,30.45445,1999.5966796875,,,,,,,,,,,,,0,,,,2.108171,,,,,,30.0981064,,,,
,44350739.955,30.134388,1999.5966796875,0.0009154149700872,2.48426276815023E-7,1,0.999253354069792,40.0298881530762,2.00157217976001,20.7599997520447,0.0103700100228647,0.00189878705181785,0.25,6.24099661034579E-6,0.000911119508078243,1.13592917495793E-5,30.134388,30.134388,1999.5966796875,1999.5966796875,61.3078145343911,20.763964686134,7.019488,0,0,0,40,4886,30.5536,1999.5966796875,,,,,,,,,,,,,0,,,,2.1293368,,,,,,30.134388,,,,
,44350741.615,30.19638635,1999.5966796875,0.000914573125329764,2.73422480098455E-7,1,0.999253354069792,40.0298881530762,2.00162594514135,20.7700002938509,0.0103608079485398,0.00189771867177288,0.25,6.27431718834441E-6,0.000910296661334103,1.14014535479281E-5,30.1740437,30.218729,1999.5966796875,1999.5966796875,61.2382495961796,20.7641256445655,6.646428,0,0,0,40,4886,30.6964,1999.5966796875,,,,,,,,,,,,,0,,,,2.1187539,,,,,,30.19638635,,,,
,44350743.36,30.2726231,1999.5966796875,0.000914079531188278,2.20142612101264E-7,1,0.999253354069792,40.0298881530762,2.00163323525128,20.7700002938509,0.010355358788072,0.00189708427554968,0.25,6.28884928896174E-6,0.000909820019922289,1.14264047702086E-5,30.2726231,30.2726231,1999.5966796875,1999.5966796875,61.2124558550449,20.7672360812229,6.646428,0,0,0,40,4886,30.83335,1999.5966796875,,,,,,,,,,,,,0,,,,2.1187539,,,,,,30.2726231,,,,
,44350744.89,30.3457966,1999.5966796875,0.000912550572619065,2.76867021730939E-7,1,0.999253354069792,40.0298881530762,2.00157238701736,20.7700002938509,0.0103384191735993,0.00189104297956195,0.25,6.01353174248492E-6,0.000908315387857209,1.11577124555551E-5,30.3159924,30.3756008,1999.5966796875,1999.5966796875,61.4578872100834,20.7680900183528,6.646428,0,0,0,40,4886,30.9769,1999.5966796875,,,,,,,,,,,,,0,,,,2.1293368,,,,,,30.3457966,,,,
,44350746.415,30.4306736,1999.5966796875,0.000911727903949118,3.18070728235958E-7,1,0.999253354069792,40.0298881530762,2.00165778024545,20.7599997520447,0.0103300010931815,0.00188737947713292,0.25,5.81732063772374E-6,0.000907508111316044,1.096723059208E-5,30.4306736,30.4306736,1999.5966796875,1999.5966796875,61.1366378886795,20.764584815106,7.019488,0,0,0,40,4886,31.0737,1999.5966796875,,,,,,,,,,,,,0,,,,2.1293368,,,,,,30.4306736,,,,
