[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X4 30K TO 300K
FILEOPENTIME,48536689.58,07/17/2026,2:48 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,KYbSe2 TB001-a powder,SAMPLE_COMMENT
INFO,29.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.09,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,Powder,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,48537006.11,288.1507263,1999.80737304687,,,2,,,,18.2559998259544,,,,,,,288.1507263,288.1507263,1999.80737304687,1999.80737304687,,,5.154188,,,,-99999999,4886,276.7525,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,288.1507263,,,,
,48537129.81,276.4916382,1999.80737304687,,,2,,,,18.2660003677607,,,,,,,276.4916382,276.4916382,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,261.8251,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,276.4916382,,,,
,48537240.84,264.6524353,1999.80737304687,,,2,,,,18.2660003677607,,,,,,,264.6524353,264.6524353,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,248.6852,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,264.6524353,,,,
,48537348.47,253.0083618,1999.80737304687,,,2,,,,18.2660003677607,,,,,,,253.0083618,253.0083618,1999.80737304687,1999.80737304687,,,5.154188,,,,-99999999,4886,236.4512,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,253.0083618,,,,
,48537456.2,241.2270508,1999.80737304687,,,2,,,,18.2759999782443,,,,,,,241.2270508,241.2270508,1999.80737304687,1999.80737304687,,,5.154188,,,,-99999999,4886,224.3406,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,241.2270508,,,,
,48537563.84,229.3979034,1999.80737304687,,,2,,,,18.2759999782443,,,,,,,229.3979034,229.3979034,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,212.463,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,229.3979034,,,,
,48537672.92,217.7396088,1999.80737304687,,,2,,,,18.2859995887279,,,,,,,217.7396088,217.7396088,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,201.1233,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,217.7396088,,,,
,48537785.81,206.2871552,1999.80737304687,,,2,,,,18.2960001305342,,,,,,,206.2871552,206.2871552,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,190.0394,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,206.2871552,,,,
,48537904.14,194.6783142,1999.80737304687,,,2,,,,18.3059997410178,,,,,,,194.6783142,194.6783142,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,179.0282,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,194.6783142,,,,
,48538027.25,183.255249,1999.80737304687,,,2,,,,18.316000282824,,,,,,,183.255249,183.255249,1999.80737304687,1999.80737304687,,,5.154188,,,,-99999999,4886,168.3741,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,183.255249,,,,
,48538156.09,171.8806915,1999.80737304687,,,2,,,,18.3259998933077,,,,,,,171.8806915,171.8806915,1999.80737304687,1999.80737304687,,,5.154188,,,,-99999999,4886,157.8623,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,171.8806915,,,,
,48538290,160.6449127,1999.80737304687,,,2,,,,18.3460000455975,,,,,,,160.6449127,160.6449127,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,147.1288,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,160.6449127,,,,
,48538427.5,149.2887726,1999.80737304687,,,2,,,,18.3660001978874,,,,,,,149.2887726,149.2887726,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,136.3994,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,149.2887726,,,,
,48538569.44,137.9986115,1999.80737304687,,,2,,,,18.3860003501773,,,,,,,137.9986115,137.9986115,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,125.8137,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,137.9986115,,,,
,48538716.53,126.7578049,1999.80737304687,,,2,,,,18.4059995711446,,,,,,,126.7578049,126.7578049,1999.80737304687,1999.80737304687,,,5.154188,,,,-99999999,4886,115.3182,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,126.7578049,,,,
,48538867.42,115.5238876,1999.80737304687,,,2,,,,18.4360002652407,,,,,,,115.5238876,115.5238876,1999.80737304687,1999.80737304687,,,5.154188,,,,-99999999,4886,104.8789,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,115.5238876,,,,
,48539020.64,104.3853149,1999.80737304687,,,2,,,,18.4759996384978,,,,,,,104.3853149,104.3853149,1999.80737304687,1999.80737304687,,,5.154188,,,,-99999999,4886,94.3938,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,104.3853149,,,,
,48539175.13,93.1740723,1999.80737304687,,,2,,,,18.5060003325939,,,,,,,93.1740723,93.1740723,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,83.9254,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,93.1740723,,,,
,48539328.22,81.9836426,1999.80737304687,,,2,,,,18.5459997058511,,,,,,,81.9836426,81.9836426,1999.80737304687,1999.80737304687,,,5.154188,,,,-99999999,4886,73.4237,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,81.9836426,,,,
,48539476.5,70.7741241,1999.80737304687,,,2,,,,18.5959996209145,,,,,,,70.7741241,70.7741241,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,62.8789,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,70.7741241,,,,
,48539614.11,59.4545364,1999.80737304687,,,2,,,,18.6359999254942,,,,,,,59.4545364,59.4545364,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,52.3382,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,59.4545364,,,,
,48539733.34,47.8069801,1999.80737304687,,,2,,,,18.6560000777841,,,,,,,47.8069801,47.8069801,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,43.8099,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,47.8069801,,,,
,48539851.52,35.9653435,1999.80737304687,,,2,,,,18.6859998405576,,,,,,,35.9653435,35.9653435,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4886,33.727,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,35.9653435,,,,
,48540070.225,29.9782982,1999.80737304687,0.00411830933012951,3.56058290281607E-7,1,0.999253354069792,40.0298881530762,1.99758763948677,18.6700001358986,0.0465533282962206,0.00857296384377178,0.25,3.24906727035047E-5,0.0040987033861897,5.52638668458914E-5,29.9782982,29.9782982,1999.80737304687,1999.80737304687,61.077234121218,20.7123741566124,5.527248,0,0,0,40,4881,30.0051,1999.80737304687,,,,,,,,,,,,,0,,,,3.0509303,,,,,,29.9782982,,,,
,48540076.775,29.9797192,1999.80737304687,0.00411893837946161,3.20602784373054E-7,1,0.999253354069792,40.0298881530762,1.99748842371205,18.6700001358986,0.0465584729837276,0.00857283735315502,0.25,3.23994876031744E-5,0.00409933469839895,5.51809094123811E-5,29.9797192,29.9797192,1999.80737304687,1999.80737304687,61.5970170865065,20.7113445755369,5.154188,0,0,0,40,4882,30.0154,1999.80737304687,,,,,,,,,,,,,0,,,,3.0509303,,,,,,29.9797192,,,,
