[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X4 5K TO 30K
FILEOPENTIME,44347212.31,05/29/2026,3:01 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X4,SAMPLE_COMMENT
INFO,4.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44347244.78,9.6562691,1999.5966796875,,,2,,,,20.3559997350574,,,,,,,9.6562691,9.6562691,1999.5966796875,1999.5966796875,,,6.646428,,,,-99999999,4887,9.6734,1999.5966796875,,,,,,,,,,,,,,,,,,,,,,,9.6562691,,,,
,44347860.28,7.1873989,1999.5966796875,,,2,,,,20.6560001567602,,,,,,,7.1873989,7.1873989,1999.5966796875,1999.5966796875,,,7.019488,,,,-99999999,4887,7.2684,1999.5966796875,,,,,,,,,,,,,,,,,,,,,,,7.1873989,,,,
,44348445.595,4.9991267,1999.5966796875,0.00275225481053835,5.6972878048987E-7,1,0.999253354069792,40.0298881530762,2.00190219011068,20.6400007009506,0.0311708049169033,0.00566670016227664,0.25,1.7195148928958E-5,0.00273767671647508,3.06642019838433E-5,4.9963961,5.0018573,1999.5966796875,1999.5966796875,61.6353168839488,20.7603508222883,6.646428,0,0,0,40,4881,5.0071,1999.5966796875,,,,,,,,,,,,,0,,,,0.74967375,,,,,,4.9991267,,,,
,44348452.465,5.02320075,1999.5966796875,0.00274645436150486,5.4529256705794E-7,1,0.999253354069792,40.0298881530762,2.00189387568896,20.6400007009506,0.0311047798501581,0.00565592427391398,0.25,1.72637998200764E-5,0.00273190645509752,3.07039139248198E-5,5.0134826,5.0329189,1999.5966796875,1999.5966796875,61.3570571311027,20.7572009496454,6.273368,0,0,0,40,4882,5.0603,1999.5966796875,,,,,,,,,,,,,0,,,,0.7459292,,,,,,5.02320075,,,,
,44348453.965,5.0487404,1999.5966796875,0.00273874639080018,6.42542450355906E-7,1,0.999253354069792,40.0298881530762,2.0018643706783,20.6499993801117,0.0310173928388651,0.00563800593346678,0.25,1.70419736324703E-5,0.00272424014662776,3.04452805903262E-5,5.0487404,5.0487404,1999.5966796875,1999.5966796875,61.5704417168527,20.7558681329182,6.646428,0,0,0,40,4882,5.0848,1999.5966796875,,,,,,,,,,,,,0,,,,0.7534183,,,,,,5.0487404,,,,
,44348455.44,5.0714803,1999.5966796875,0.00273242051105159,5.72661069528746E-7,1,0.999253354069792,40.0298881530762,2.00190668906193,20.6400007009506,0.0309461419418321,0.00562641154765689,0.25,1.71185852476965E-5,0.0027179471826635,3.04903226850749E-5,5.0714803,5.0714803,1999.5966796875,1999.5966796875,61.3781611011219,20.7600648433176,6.646428,0,0,0,40,4882,5.12,1999.5966796875,,,,,,,,,,,,,0,,,,0.7534183,,,,,,5.0714803,,,,
,44348456.155,5.09215975,1999.5966796875,0.00271892303222233,5.71354362909563E-7,1,0.999253354069792,40.0298881530762,2.00189155996909,20.6499993801117,0.0307928622628345,0.00559967082984955,0.25,1.71303983798999E-5,0.00270452070618558,3.04355750465719E-5,5.0714803,5.1128392,1999.5966796875,1999.5966796875,61.5008767786411,20.7599717436302,6.646428,0,0,0,40,4882,5.1422,1999.5966796875,,,,,,,,,,,,,0,,,,0.7534183,,,,,,5.09215975,,,,
,44348457.305,5.1279342,1999.5966796875,0.00271215879253287,5.40874680420043E-7,1,0.999253354069792,40.0298881530762,2.00194869199626,20.6499993801117,0.0307176696671009,0.00558258048080997,0.25,1.67957575404086E-5,0.00269779370494949,3.00693705428377E-5,5.1128392,5.1430292,1999.5966796875,1999.5966796875,61.3461143318334,20.7588757802257,6.273368,0,0,0,40,4882,5.15355,1999.5966796875,,,,,,,,,,,,,0,,,,0.7534183,,,,,,5.1279342,,,,
,44348459.27,5.1618028,1999.5966796875,0.00270778831630823,5.94860446666197E-7,1,0.999253354069792,40.0298881530762,2.00189284032631,20.6499993801117,0.0306664305137539,0.00557870797969954,0.25,1.72336475705699E-5,0.00269344405637952,3.04834221517237E-5,5.1618028,5.1618028,1999.5966796875,1999.5966796875,61.2640433373142,20.7575752269423,7.019488,0,0,0,40,4882,5.1865,1999.5966796875,,,,,,,,,,,,,0,,,,0.7609825,,,,,,5.1618028,,,,
,44348459.975,5.16981005,1999.5966796875,0.00269609621805222,5.51513070790611E-7,1,0.999253354069792,40.0298881530762,2.00182328151208,20.6499993801117,0.0305335334399679,0.00555141561466847,0.25,1.6892865820726E-5,0.00268181520105506,3.00868311449943E-5,5.1618028,5.1778173,1999.5966796875,1999.5966796875,61.3468959603527,20.7634601898303,6.646428,0,0,0,40,4882,5.20485,1999.5966796875,,,,,,,,,,,,,0,,,,0.7572004,,,,,,5.16981005,,,,
,44348476.53,5.4529667,1999.5966796875,,,2,,,,20.7460003764033,,,,,,,5.4529667,5.4529667,1999.5966796875,1999.5966796875,,,7.019488,,,,-99999999,4882,5.4706,1999.5966796875,,,,,,,,,,,,,,,,,,,,,,,5.4529667,,,,
touchdown = 14.9100003764033 mm,44348490.485,5.6728973,1999.5966796875,0.00255986771191382,5.58354443619551E-7,1,0.999253354069792,40.0298881530762,2.00209466100402,20.7299999892712,0.028994750952484,0.00526999147440323,0.25,1.58980811853572E-5,0.00254630846367236,2.84261189467783E-5,5.6728973,5.6728973,1999.5966796875,1999.5966796875,61.4399097541411,20.7600979954279,6.646428,0,0,0,40,4882,5.7034,1999.5966796875,,,,,,,,,,,,,0,,,,0.8079899,,,,,,5.6728973,,,,
,44348491.245,5.6909287,1999.5966796875,0.00255648595352701,5.65773076286767E-7,1,0.999253354069792,40.0298881530762,2.00208139030929,20.7400005310774,0.0289562186230058,0.00526325436788846,0.25,1.58998477149738E-5,0.00254294448396004,2.84112149399711E-5,5.6728973,5.7089601,1999.5966796875,1999.5966796875,61.4469444108142,20.76325376758,6.646428,0,0,0,40,4882,5.7171,1999.5966796875,,,,,,,,,,,,,0,,,,0.81614275,,,,,,5.6909287,,,,
,44348493.39,5.7215476,1999.5966796875,0.00255331899677172,6.32607001527203E-7,1,0.999253354069792,40.0298881530762,2.00212726452499,20.7299999892712,0.0289204306611426,0.00525997318583163,0.25,1.61556799821225E-5,0.00253979290728354,2.8650096781756E-5,5.7215476,5.7215476,1999.5966796875,1999.5966796875,61.7635039611027,20.7618567148194,6.646428,0,0,0,40,4882,5.7572,1999.5966796875,,,,,,,,,,,,,0,,,,0.8201988,,,,,,5.7215476,,,,
,44348494.02,5.7330737,1999.5966796875,0.00254561940994062,5.81605832064968E-7,1,0.999253354069792,40.0298881530762,2.00210519384602,20.7299999892712,0.0288331105041258,0.00524295668427807,0.25,1.60099647338484E-5,0.0025321345722803,2.84672150138963E-5,5.7215476,5.7445998,1999.5966796875,1999.5966796875,61.8432300700642,20.7598633379601,6.646428,0,0,0,40,4882,5.76605,1999.5966796875,,,,,,,,,,,,,0,,,,0.8242956,,,,,,5.7330737,,,,
,44348496.035,5.7691698,1999.5966796875,0.00254263542357071,4.69097992828863E-7,1,0.999253354069792,40.0298881530762,2.00206125683585,20.7299999892712,0.0287989883912467,0.00523511261342139,0.25,1.58510848746438E-5,0.00252916703800527,2.82944700797885E-5,5.7691698,5.7691698,1999.5966796875,1999.5966796875,61.9167031508719,20.7618686912951,6.646428,0,0,0,40,4882,5.7992,1999.5966796875,,,,,,,,,,,,,0,,,,0.8242956,,,,,,5.7691698,,,,
,44348497.58,5.7940545,1999.5966796875,0.00253246230321268,5.45154480556859E-7,1,0.999253354069792,40.0298881530762,2.00198848471884,20.7400005310774,0.0286815957451433,0.00522068280278732,0.25,1.63782667785438E-5,0.00251904486356546,2.87687551713763E-5,5.7940545,5.7940545,1999.5966796875,1999.5966796875,61.4914972364104,20.7621784522971,6.646428,0,0,0,40,4882,5.8233,1999.5966796875,,,,,,,,,,,,,0,,,,0.8325715,,,,,,5.7940545,,,,
,44348499.02,5.8106613,1999.5966796875,0.00252961647560255,7.10671758953571E-7,1,0.999253354069792,40.0298881530762,2.00203283511977,20.7400005310774,0.0286515271891994,0.00520604142786421,0.25,1.55762904553546E-5,0.00251621795283392,2.7956981467433E-5,5.8106613,5.8106613,1999.5966796875,1999.5966796875,61.3937936715065,20.7641308715444,7.019488,0,0,0,40,4882,5.8483,1999.5966796875,,,,,,,,,,,,,0,,,,0.8325715,,,,,,5.8106613,,,,
,44348499.74,5.82793975,1999.5966796875,0.00252485833720585,6.04035881197464E-7,1,0.999253354069792,40.0298881530762,2.00192612441966,20.7299999892712,0.0285957623890093,0.00519838157240457,0.25,1.57583476373783E-5,0.00251148395311053,2.81146375956473E-5,5.8106613,5.8452182,1999.5966796875,1999.5966796875,61.067072950468,20.7660842786108,7.019488,0,0,0,40,4882,5.86475,1999.5966796875,,,,,,,,,,,,,0,,,,0.8325715,,,,,,5.82793975,,,,
,44348500.975,5.8573282,1999.5966796875,0.00251612694690387,5.35435625497045E-7,1,0.999253354069792,40.0298881530762,2.00190149227659,20.7400005310774,0.0284964244957248,0.0051809970147402,0.25,1.57614566591284E-5,0.0025027984916685,2.80747126702956E-5,5.8452182,5.8694382,1999.5966796875,1999.5966796875,61.3453327033142,20.7627428771999,6.646428,0,0,0,40,4882,5.8864,1999.5966796875,,,,,,,,,,,,,0,,,,0.8325715,,,,,,5.8573282,,,,
,44348503.295,5.8796034,1999.5966796875,0.00251307729102088,5.69104908647507E-7,1,0.999253354069792,40.0298881530762,2.00199939771069,20.7299999892712,0.0284637696018692,0.00517177185569116,0.25,1.54613180207164E-5,0.00249976634569795,2.77611295300935E-5,5.8796034,5.8796034,1999.5966796875,1999.5966796875,61.7932058448335,20.7652252620595,6.646428,0,0,0,40,4882,5.92545,1999.5966796875,,,,,,,,,,,,,0,,,,0.8493733,,,,,,5.8796034,,,,
,44348504.94,5.9165764,1999.5966796875,0.00250469125610693,4.83077877270406E-7,1,0.999253354069792,40.0298881530762,2.00201837366364,20.7299999892712,0.0283691466548119,0.0051539674054884,0.25,1.53574349347133E-5,0.00249142493719336,2.76164773102412E-5,5.9165764,5.9165764,1999.5966796875,1999.5966796875,61.5962354579873,20.7670808522679,7.019488,0,0,0,40,4882,5.9536,1999.5966796875,,,,,,,,,,,,,0,,,,0.8493733,,,,,,5.9165764,,,,
,44348506.405,5.9406123,1999.5966796875,0.00250135120940846,5.02107210512134E-7,1,0.999253354069792,40.0298881530762,2.00199283540125,20.7400005310774,0.0283299207826324,0.00515302347569301,0.25,1.58653840840519E-5,0.00248809994543722,2.81052955536166E-5,5.9406123,5.9406123,1999.5966796875,1999.5966796875,61.2570086806411,20.7672029384539,6.646428,0,0,0,40,4882,5.969,1999.5966796875,,,,,,,,,,,,,0,,,,0.8451519,,,,,,5.9406123,,,,
,44348507.085,5.94662045,1999.5966796875,0.00249357803043686,5.29163872192168E-7,1,0.999253354069792,40.0298881530762,2.00190054565496,20.7299999892712,0.0282409033309863,0.00513529978387697,0.25,1.56851350834188E-5,0.00248036858296444,2.78876994229049E-5,5.9406123,5.9526286,1999.5966796875,1999.5966796875,61.415679270045,20.7610929446352,6.646428,0,0,0,40,4882,5.98455,1999.5966796875,,,,,,,,,,,,,0,,,,0.8451519,,,,,,5.94662045,,,,
,44348508.305,5.9680073,1999.5966796875,0.00248988102542986,5.32466801014387E-7,1,0.999253354069792,40.0298881530762,2.00190067933299,20.7299999892712,0.0281990156185864,0.00512779426010892,0.25,1.56713933157944E-5,0.00247669108636451,2.78558155766091E-5,5.9526286,5.983386,1999.5966796875,1999.5966796875,61.791642587795,20.7645870657538,7.019488,0,0,0,40,4882,6.00795,1999.5966796875,,,,,,,,,,,,,0,,,,0.8493733,,,,,,5.9680073,,,,
,44348510.36,6.0046978,1999.5966796875,0.00248257521787001,5.38389106986945E-7,1,0.999253354069792,40.0298881530762,2.00191258171272,20.7400005310774,0.0281162130537498,0.00511402977970551,0.25,1.57358922375051E-5,0.00246942338575749,2.78839805583382E-5,6.0046978,6.0046978,1999.5966796875,1999.5966796875,61.483680951218,20.7585268329456,6.646428,0,0,0,40,4882,6.03695,1999.5966796875,,,,,,,,,,,,,0,,,,0.8665143,,,,,,6.0046978,,,,
,44348511.86,6.0221505,1999.5966796875,0.00247859835803658,4.08546780854964E-7,1,0.999253354069792,40.0298881530762,2.00185827285007,20.7299999892712,0.0280713318755751,0.0051006645244939,0.25,1.52660558742452E-5,0.00246546976015816,2.73970253974868E-5,6.0221505,6.0221505,1999.5966796875,1999.5966796875,61.1436725453526,20.7614530848602,6.273368,0,0,0,40,4882,6.0726,1999.5966796875,,,,,,,,,,,,,0,,,,0.857901,,,,,,6.0221505,,,,
,44348512.58,6.0324707,1999.5966796875,0.00247481997812504,4.76270972389348E-7,1,0.999253354069792,40.0298881530762,2.00192366439712,20.7299999892712,0.0280289068053047,0.00509592650578475,0.25,1.54967110074014E-5,0.00246171012799498,2.76078506062903E-5,6.0221505,6.0427909,1999.5966796875,1999.5966796875,61.2781126506603,20.76192396811,6.646428,0,0,0,40,4882,6.07825,1999.5966796875,,,,,,,,,,,,,0,,,,0.857901,,,,,,6.0324707,,,,
,44348513.8,6.0633178,1999.5966796875,0.00247091842070727,4.12475378926975E-7,1,0.999253354069792,40.0298881530762,2.00190294988623,20.7400005310774,0.0279847008666614,0.0050863715574354,0.25,1.5342540649269E-5,0.00245782983381946,2.74352697984485E-5,6.0427909,6.0838447,1999.5966796875,1999.5966796875,61.3578387596219,20.7607932014832,6.646428,0,0,0,40,4882,6.09675,1999.5966796875,,,,,,,,,,,,,0,,,,0.857901,,,,,,6.0633178,,,,
