[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X4 300 TO 30 K
FILEOPENTIME,44334202.11,05/29/2026,11:25 am
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X4,SAMPLE_COMMENT
INFO,4.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44334339.29,299.7559204,1999.5966796875,0.00017538619783312,3.87042434894353E-7,1,0.999253354069792,40.0298881530762,1.99145730478139,19.4199997931719,0.00199236471431093,0.000329482301643957,0.25,-9.47963933292941E-7,0.000175383213208778,-8.31607066602408E-7,299.7559204,299.7559204,1999.5966796875,1999.5966796875,60.6285793511795,20.7235886306567,6.273368,0,0,0,40,4881,300.2234,1999.5966796875,,,,,,,,,,,,,0,,,,3.6886253,,,,,,299.7559204,,,,
,44334345.925,299.7615967,1999.5966796875,0.000175445895387241,3.30492862174964E-7,1,0.999253354069792,40.0298881530762,1.9914625035767,19.4199997931719,0.00199142639293571,0.000339078635046598,0.25,-1.1270090469135E-7,0.00017544231758906,3.68097017011892E-9,299.7615967,299.7615967,1999.5966796875,1999.5966796875,60.6754770623333,20.7230534993585,6.646428,0,0,0,40,4882,300.2177,1999.5966796875,,,,,,,,,,,,,0,,,,3.6886253,,,,,,299.7615967,,,,
,44334347.38,299.7634888,1999.5966796875,0.000175630430121788,2.72905304027798E-7,1,0.999253354069792,40.0298881530762,1.991471891209,19.4199997931719,0.00199328328115655,0.000340878489423873,0.25,1.41297832120057E-8,0.000175626744485134,1.30712285404089E-7,299.7634888,299.7634888,1999.5966796875,1999.5966796875,60.7567664283334,20.7224782801351,6.273368,0,0,0,40,4882,300.042,1999.5966796875,,,,,,,,,,,,,0,,,,3.6519601,,,,,,299.7634888,,,,
,44334348.845,299.7636108,1999.5966796875,0.000175790664408979,3.25647940670171E-7,1,0.999253354069792,40.0298881530762,1.9914724467122,19.4199997931719,0.00199572285760085,0.000337559394708061,0.25,-3.05714030723366E-7,0.00017578718674504,-1.89016510193336E-7,299.7636108,299.7636108,1999.5966796875,1999.5966796875,60.8021008824487,20.7238290115142,6.273368,0,0,0,40,4882,300.03775,1999.5966796875,,,,,,,,,,,,,0,,,,3.6702927,,,,,,299.7636108,,,,
,44334349.555,299.76356505,1999.5966796875,0.000176179304257635,3.12506980165825E-7,1,0.999253354069792,40.0298881530762,1.99154506283715,19.4199997931719,0.00200009114761594,0.0003389807940485,0.25,-2.47943872632546E-7,0.000176175780353668,-1.30988909865858E-7,299.7635193,299.7636108,1999.5966796875,1999.5966796875,60.8271129950641,20.7239718150705,6.273368,0,0,0,40,4882,300.0363,1999.5966796875,,,,,,,,,,,,,0,,,,3.7071421,,,,,,299.76356505,,,,
,44334350.895,299.76293945,1999.5966796875,0.000175549124838156,3.57276089625116E-7,1,0.999253354069792,40.0298881530762,1.99153640811504,19.4199997931719,0.00199388005454608,0.0003322013509988,0.25,-7.37461972411567E-7,0.000175545939696671,-6.20874020223116E-7,299.7623596,299.7635193,1999.5966796875,1999.5966796875,60.6856382330833,20.7243410364483,6.646428,0,0,0,40,4882,299.94715,1999.5966796875,,,,,,,,,,,,,0,,,,3.7071421,,,,,,299.76293945,,,,
,44334352.145,299.76275635,1999.5966796875,0.000175946576789513,3.31849540405896E-7,1,0.999253354069792,40.0298881530762,1.99153202353977,19.4199997931719,0.00199729196731046,0.00033937705129363,0.25,-1.73146678158344E-7,0.000175943006081683,-5.62647799098692E-8,299.7623596,299.7631531,1999.5966796875,1999.5966796875,60.6872014901218,20.724511603908,6.273368,0,0,0,40,4882,299.8566,1999.5966796875,,,,,,,,,,,,,0,,,,3.6886253,,,,,,299.76275635,,,,
,44334353.305,299.7630768,1999.5966796875,0.000175842531636575,4.08426847200057E-7,1,0.999253354069792,40.0298881530762,1.99155059520376,19.4199997931719,0.00199673636731133,0.000335623478076786,0.25,-4.86382614984448E-7,0.00017583916545598,-3.69522136248374E-7,299.7630005,299.7631531,1999.5966796875,1999.5966796875,60.7966294828141,20.7241792759167,6.273368,0,0,0,40,4882,299.7676,1999.5966796875,,,,,,,,,,,,,0,,,,3.6702927,,,,,,299.7630768,,,,
,44334354.47,299.76223755,1999.5966796875,0.000175541350426417,3.6316891121619E-7,1,0.999253354069792,40.0298881530762,1.99151575160489,19.4199997931719,0.00199357797598602,0.000333318295691997,0.25,-6.37555428583387E-7,0.000175538092974471,-5.20850172555674E-7,299.7614746,299.7630005,1999.5966796875,1999.5966796875,60.7372257153526,20.7241368581426,6.646428,0,0,0,40,4882,299.67715,1999.5966796875,,,,,,,,,,,,,0,,,,3.6702927,,,,,,299.76223755,,,,
,44334355.545,299.75964355,1999.5966796875,0.000176233068459768,3.26071328798576E-7,1,0.999253354069792,40.0298881530762,1.99148269000018,19.4199997931719,0.00199981649003684,0.00034390301055919,0.25,1.77262127250056E-7,0.000176229270165174,2.94431727664131E-7,299.7578125,299.7614746,1999.5966796875,1999.5966796875,60.7708357416795,20.723163802057,6.273368,0,0,0,40,4882,299.6306,1999.5966796875,,,,,,,,,,,,,0,,,,3.6886253,,,,,,299.75964355,,,,
,44334356.67,299.75672915,1999.5966796875,0.000176053675381135,4.26872873260101E-7,1,0.999253354069792,40.0298881530762,1.99146883284659,19.4199997931719,0.00199732682715691,0.000346130181990141,0.25,4.04320025390243E-7,0.000176049745516277,5.21406184610216E-7,299.7556458,299.7578125,1999.5966796875,1999.5966796875,60.5480716136987,20.7250564587852,6.273368,0,0,0,40,4882,299.54315,1999.5966796875,,,,,,,,,,,,,0,,,,3.6702927,,,,,,299.75672915,,,,
