[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 10 K TO 300 K TB001X5
FILEOPENTIME,44366036.50,05/29/2026,8:15 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X5,SAMPLE_COMMENT
INFO,1.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44366068.77,9.98314,1999.5966796875,,,2,,,,20.3859997994304,,,,,,,9.98314,9.98314,1999.5966796875,1999.5966796875,,,4.408067,,,,-99999999,4885,10.0107,1999.5966796875,,,,,,,,,,,,,,,,,,,,,,,9.98314,,,,
,44366162.64,9.99049235,1999.5966796875,0.000309482708380935,2.43509865496656E-7,1,0.999253354069792,40.0298881530762,1.99164821772958,20.3699991106987,0.00348719378057414,0.000638341905231388,0.25,2.31036833651762E-6,0.00030784010364813,3.82291969636369E-6,9.9899092,9.9910755,1999.5966796875,1999.5966796875,60.8880800195641,20.7371899436202,4.408067,0,0,0,40,4881,10.017,1999.5966796875,,,,,,,,,,,,,0,,,,0.26000815,,,,,,9.99049235,,,,
,44366168.97,9.996809,1999.5966796875,0.000309029791126784,2.20229889803239E-7,1,0.999253354069792,40.0298881530762,1.99165269805299,20.3699991106987,0.00348207664483916,0.000637529848772368,0.25,2.31769170883975E-6,0.000307389534365983,3.82797304095395E-6,9.996809,9.996809,1999.5966796875,1999.5966796875,61.0881769204872,20.7357385336673,4.408067,0,0,0,40,4882,10.0418,1999.5966796875,,,,,,,,,,,,,0,,,,0.2587094,,,,,,9.996809,,,,
,44366169.595,10.0005021,1999.5966796875,0.000309755248217674,2.36520431297248E-7,1,0.999253354069792,40.0298881530762,1.99173754503952,20.3699991106987,0.00348986879303811,0.000642039764994371,0.25,2.58789684154466E-6,0.000308109834620146,4.10032805845798E-6,9.996809,10.0041952,1999.5966796875,1999.5966796875,60.7247196590449,20.7365873953383,4.781127,0,0,0,40,4882,10.0512,1999.5966796875,,,,,,,,,,,,,0,,,,0.26000815,,,,,,10.0005021,,,,
,44366171.735,10.0127163,1999.5966796875,0.000309057665606723,2.29623633696903E-7,1,0.999253354069792,40.0298881530762,1.9917155783119,20.3699991106987,0.00348266469175922,0.000636641201276841,0.25,2.23234497883276E-6,0.000307417674365642,3.7432133889601E-6,10.0127163,10.0127163,1999.5966796875,1999.5966796875,60.8443088224872,20.7357705894537,4.781127,0,0,0,40,4882,10.089,1999.5966796875,,,,,,,,,,,,,0,,,,0.2613069,,,,,,10.0127163,,,,
,44366173.255,10.0500069,1999.5966796875,0.000308536735200131,2.42863263666611E-7,1,0.999253354069792,40.0298881530762,1.99174864962816,20.3699991106987,0.00347692237216009,0.000635161483624863,0.25,2.19165546882733E-6,0.000306899671273938,3.70017165064337E-6,10.0500069,10.0500069,1999.5966796875,1999.5966796875,61.2640433373142,20.7379056738257,4.781127,0,0,0,40,4882,10.127,1999.5966796875,,,,,,,,,,,,,0,,,,0.26000815,,,,,,10.0500069,,,,
,44366174.725,10.0701809,1999.5966796875,0.00030822171195232,2.23879215538677E-7,1,0.999253354069792,40.0298881530762,1.9917762442912,20.3699991106987,0.00347305800992317,0.000636574898577386,0.25,2.37141922868726E-6,0.000306585412583201,3.877435738687E-6,10.0701809,10.0701809,1999.5966796875,1999.5966796875,60.7505134001795,20.7380653032808,4.408067,0,0,0,40,4882,10.1589,1999.5966796875,,,,,,,,,,,,,0,,,,0.2587094,,,,,,10.0701809,,,,
,44366175.4,10.08441355,1999.5966796875,0.000308308451498579,2.20078509759965E-7,1,0.999253354069792,40.0298881530762,1.991650753831,20.3699991106987,0.00347377702634356,0.000636999097938642,0.25,2.39719658739144E-6,0.000306671560675556,3.90350447404219E-6,10.0701809,10.0986462,1999.5966796875,1999.5966796875,60.9873468415065,20.7346027918838,4.781127,0,0,0,40,4882,10.17835,1999.5966796875,,,,,,,,,,,,,0,,,,0.2587094,,,,,,10.08441355,,,,
,44366176.61,10.1134119,1999.5966796875,0.000307409670612949,2.52845591785577E-7,1,0.999253354069792,40.0298881530762,1.99174862825917,20.3699991106987,0.00346325850706813,0.000638330243887705,0.25,2.67013153803639E-6,0.000305776157760052,4.17057257026757E-6,10.0986462,10.1281776,1999.5966796875,1999.5966796875,60.8865167625257,20.7374585557234,4.408067,0,0,0,40,4882,10.2139,1999.5966796875,,,,,,,,,,,,,0,,,,0.26000815,,,,,,10.1134119,,,,
,44366178.77,10.1807642,1999.5966796875,0.000307091604855973,2.55093652701695E-7,1,0.999253354069792,40.0298881530762,1.99172085067346,20.3699991106987,0.00345997847910173,0.000635667155401775,0.25,2.49063501251235E-6,0.000305460618258421,3.99045470521849E-6,10.1807642,10.1807642,1999.5966796875,1999.5966796875,60.9341961021987,20.7386118139112,4.408067,0,0,0,40,4882,10.27095,1999.5966796875,,,,,,,,,,,,,0,,,,0.2613069,,,,,,10.1807642,,,,
,44366179.445,10.19594,1999.5966796875,0.000306588133765954,2.25441597086384E-7,1,0.999253354069792,40.0298881530762,1.9917051161159,20.3699991106987,0.00345480447920904,0.000631628042288367,0.25,2.22135767556824E-6,0.000304961119838704,3.72011621436814E-6,10.1807642,10.2111158,1999.5966796875,1999.5966796875,60.8857351340065,20.7387722000236,4.781127,0,0,0,40,4882,10.28615,1999.5966796875,,,,,,,,,,,,,0,,,,0.2613069,,,,,,10.19594,,,,
,44366180.575,10.22124815,1999.5966796875,0.000306187199441926,2.40619866979539E-7,1,0.999253354069792,40.0298881530762,1.99163272603531,20.3699991106987,0.00344983108246556,0.00063269509095018,0.25,2.38817810627651E-6,0.000304561463934241,3.88408186080393E-6,10.2111158,10.2313805,1999.5966796875,1999.5966796875,60.9154370177372,20.7384147828372,4.408067,0,0,0,40,4882,10.3034,1999.5966796875,,,,,,,,,,,,,0,,,,0.2613069,,,,,,10.22124815,,,,
,44366182.775,10.2535372,1999.5966796875,0.00030546256204423,2.43619684428054E-7,1,0.999253354069792,40.0298881530762,1.99165555245444,20.3699991106987,0.00344172926721194,0.000631060208474679,0.25,2.3697298216169E-6,0.000303840720389252,3.86216053714618E-6,10.2535372,10.2535372,1999.5966796875,1999.5966796875,60.7122136027372,20.738037800714,4.408067,0,0,0,40,4882,10.33805,1999.5966796875,,,,,,,,,,,,,0,,,,0.2613069,,,,,,10.2535372,,,,
,44366184.44,10.294508,1999.5966796875,0.000304972301321974,2.21446028019706E-7,1,0.999253354069792,40.0298881530762,1.99164498367423,20.3799996525049,0.00343658600327389,0.000627772908511742,0.25,2.16462185527912E-6,0.000303354033132148,3.65571812026269E-6,10.294508,10.294508,1999.5966796875,1999.5966796875,60.8013192539295,20.7370894900368,4.408067,0,0,0,40,4882,10.3608,1999.5966796875,,,,,,,,,,,,,0,,,,0.2639304,,,,,,10.294508,,,,
,44366185.975,10.3106022,1999.5966796875,0.000304580549072833,2.07232913858863E-7,1,0.999253354069792,40.0298881530762,1.99165456644302,20.3699991106987,0.0034317095126478,0.000629693464860856,0.25,2.40328400633428E-6,0.000302963161711973,3.89119205573296E-6,10.3106022,10.3106022,1999.5966796875,1999.5966796875,61.260135194718,20.7379531989029,4.408067,0,0,0,40,4882,10.3838,1999.5966796875,,,,,,,,,,,,,0,,,,0.2613069,,,,,,10.3106022,,,,
,44366186.61,10.31878375,1999.5966796875,0.000304673893215802,2.59766675854585E-7,1,0.999253354069792,40.0298881530762,1.99160232248461,20.3699991106987,0.00343250733635694,0.000630828864597176,0.25,2.48894763490955E-6,0.000303055587486796,3.97686394463146E-6,10.3106022,10.3269653,1999.5966796875,1999.5966796875,60.9818754418718,20.7373928080207,4.408067,0,0,0,40,4882,10.39345,1999.5966796875,,,,,,,,,,,,,0,,,,0.26261865,,,,,,10.31878375,,,,
,44366187.845,10.34228945,1999.5966796875,0.000303862490907762,2.11205788480233E-7,1,0.999253354069792,40.0298881530762,1.99173688562961,20.3699991106987,0.00342364112038314,0.000628876422456398,0.25,2.45458565933984E-6,0.000302248619361381,3.93868540833106E-6,10.3269653,10.3576136,1999.5966796875,1999.5966796875,60.8646311639872,20.7390843584103,4.781127,0,0,0,40,4882,10.41155,1999.5966796875,,,,,,,,,,,,,0,,,,0.2613199,,,,,,10.34228945,,,,
,44366189.165,10.36541415,1999.5966796875,0.000303653504820633,2.69373581848051E-7,1,0.999253354069792,40.0298881530762,1.99169165108705,20.3699991106987,0.00342179185327679,0.000625124924715801,0.25,2.15994299648539E-6,0.00030204217440561,3.6445661648843E-6,10.3576136,10.3732147,1999.5966796875,1999.5966796875,60.647338435641,20.7403929876319,4.408067,0,0,0,40,4882,10.43465,1999.5966796875,,,,,,,,,,,,,0,,,,0.26000815,,,,,,10.36541415,,,,
,44366191.35,10.3921223,1999.5966796875,0.00030354990995787,1.83358895659462E-7,1,0.999253354069792,40.0298881530762,1.99167104402597,20.3799996525049,0.0034203255535728,0.000626416890620983,0.25,2.29316570188711E-6,0.000301938455227296,3.77657603926538E-6,10.3921223,10.3921223,1999.5966796875,1999.5966796875,61.0959932056795,20.7380139078506,4.408067,0,0,0,40,4882,10.4723,1999.5966796875,,,,,,,,,,,,,0,,,,0.2639304,,,,,,10.3921223,,,,
,44366192.075,10.4125662,1999.5966796875,0.000303149723672641,2.28577812049772E-7,1,0.999253354069792,40.0298881530762,1.9917041395595,20.3699991106987,0.003415516754314,0.000627617346697587,0.25,2.4688566646845E-6,0.000301539502151779,3.94936911259898E-6,10.3921223,10.4330101,1999.5966796875,1999.5966796875,60.6293609796987,20.7408381590891,4.408067,0,0,0,40,4882,10.48885,1999.5966796875,,,,,,,,,,,,,0,,,,0.26261865,,,,,,10.4125662,,,,
,44366194.22,10.4525204,1999.5966796875,0.000302437571055612,2.09369984738113E-7,1,0.999253354069792,40.0298881530762,1.99174911683417,20.3799996525049,0.0034081856770655,0.000622623540660851,0.25,2.14994723576538E-6,0.000300832653697814,3.62863200383784E-6,10.4525204,10.4525204,1999.5966796875,1999.5966796875,60.6231079515449,20.7397908398844,4.408067,0,0,0,40,4882,10.5287,1999.5966796875,,,,,,,,,,,,,0,,,,0.2639304,,,,,,10.4525204,,,,
,44366194.93,10.4624119,1999.5966796875,0.000302259591331262,2.50687625884211E-7,1,0.999253354069792,40.0298881530762,1.99167588594844,20.3799996525049,0.00340565372321736,0.000624555682195957,0.25,2.3543381831445E-6,0.000300654599988309,3.83106856794442E-6,10.4525204,10.4723034,1999.5966796875,1999.5966796875,60.9084023610641,20.7383333646675,4.408067,0,0,0,40,4882,10.5404,1999.5966796875,,,,,,,,,,,,,0,,,,0.2639304,,,,,,10.4624119,,,,
,44366196.2,10.48050975,1999.5966796875,0.000302057496495222,2.85145007428946E-7,1,0.999253354069792,40.0298881530762,1.9916664747577,20.3799996525049,0.00340343563624553,0.000623710879541972,0.25,2.31515012728647E-6,0.000300453753967671,3.79109131449735E-6,10.4723034,10.4887161,1999.5966796875,1999.5966796875,60.8146069387564,20.739400294189,4.781127,0,0,0,40,4882,10.5588,1999.5966796875,,,,,,,,,,,,,0,,,,0.2639304,,,,,,10.48050975,,,,
,44366198.275,10.5242376,1999.5966796875,0.000301355130209041,2.17623533928755E-7,1,0.999253354069792,40.0298881530762,1.9916680814058,20.3699991106987,0.00339630881666009,0.000617785620089405,0.25,1.91310650043866E-6,0.000299757047758387,3.38770650521057E-6,10.5242376,10.5242376,1999.5966796875,1999.5966796875,61.1499255735065,20.7387282348813,4.781127,0,0,0,40,4882,10.59095,1999.5966796875,,,,,,,,,,,,,0,,,,0.2652553,,,,,,10.5242376,,,,
,44366199.855,10.5392246,1999.5966796875,0.000301124175764163,2.55835469237157E-7,1,0.999253354069792,40.0298881530762,1.9916151525065,20.3699991106987,0.00339207457830229,0.000626109284509604,0.25,2.69274922863254E-6,0.00029952346176465,4.16210122842434E-6,10.5392246,10.5392246,1999.5966796875,1999.5966796875,60.8247681095064,20.7384741923914,4.781127,0,0,0,40,4882,10.6061,1999.5966796875,,,,,,,,,,,,,0,,,,0.2613069,,,,,,10.5392246,,,,
