[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X5 5300 TO 5 K COOLING
FILEOPENTIME,44360396.38,05/29/2026,6:41 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X5,SAMPLE_COMMENT
INFO,1.0,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44360543.24,299.73501585,1999.5966796875,2.97539175329333E-5,4.14767060985602E-7,1,0.999253354069792,40.0298881530762,1.99268258315981,18.9500004053116,0.000339028864403657,5.10747391471318E-5,0.25,-5.88262180187575E-7,2.97537185112144E-5,-5.68517812650953E-7,299.7349243,299.7351074,1999.5966796875,1999.5966796875,60.6731321767757,20.7069346961339,4.781127,0,0,0,40,4881,300.2708,1999.5966796875,,,,,,,,,,,,,0,,,,1.0476302,,,,,,299.73501585,,,,
,44360550.515,299.7373962,1999.5966796875,2.91210826743215E-5,4.08604007141392E-7,1,0.999253354069792,40.0298881530762,1.99277019704857,18.9500004053116,0.000332807158025831,4.42851911693303E-5,0.25,-1.0781377025648E-6,2.91212182483422E-5,-1.05879950097766E-6,299.7373962,299.7373962,1999.5966796875,1999.5966796875,60.6090386381987,20.7069296667629,4.408067,0,0,0,40,4882,300.222,1999.5966796875,,,,,,,,,,,,,0,,,,1.0372165,,,,,,299.7373962,,,,
,44360551.16,299.73757935,1999.5966796875,2.92071545560538E-5,4.08327775021119E-7,1,0.999253354069792,40.0298881530762,1.99267281538009,18.9500004053116,0.000333991124257597,4.31511940559935E-5,0.25,-1.19253401232358E-6,2.92073637610105E-5,-1.17312960135655E-6,299.7373962,299.7377625,1999.5966796875,1999.5966796875,60.6543730923141,20.7076070072962,4.781127,0,0,0,40,4882,300.13305,1999.5966796875,,,,,,,,,,,,,0,,,,1.0372165,,,,,,299.73757935,,,,
,44360552.34,299.7384186,1999.5966796875,2.96129666560096E-5,4.82975495940681E-7,1,0.999253354069792,40.0298881530762,1.99270116836256,18.9500004053116,0.000338697115026277,4.33953549570257E-5,0.25,-1.24045442062419E-6,2.96131984537587E-5,-1.22077605070835E-6,299.7377625,299.7390747,1999.5966796875,1999.5966796875,60.843527193968,20.7081544564949,4.781127,0,0,0,40,4882,300.08575,1999.5966796875,,,,,,,,,,,,,0,,,,1.0372165,,,,,,299.7384186,,,,
,44360553.545,299.7393036,1999.5966796875,2.95353633445244E-5,3.4254920934952E-7,1,0.999253354069792,40.0298881530762,1.99274718112938,18.9500004053116,0.000337845064953395,4.3118106726697E-5,0.25,-1.25169063893393E-6,2.95356029858583E-5,-1.23205983012652E-6,299.7390747,299.7395325,1999.5966796875,1999.5966796875,60.8224232239487,20.7094828047273,4.781127,0,0,0,40,4882,300.03845,1999.5966796875,,,,,,,,,,,,,0,,,,1.04242335,,,,,,299.7393036,,,,
,44360554.82,299.7410126,1999.5966796875,2.96747178288713E-5,4.1695606763342E-7,1,0.999253354069792,40.0298881530762,1.99269291467595,18.9500004053116,0.000339792571088591,4.12007803992977E-5,0.25,-1.44425560433224E-6,2.96750802916535E-5,-1.4245211698314E-6,299.7395325,299.7424927,1999.5966796875,1999.5966796875,60.8529067361987,20.7084475421598,4.781127,0,0,0,40,4882,299.9467,1999.5966796875,,,,,,,,,,,,,0,,,,1.04242335,,,,,,299.7410126,,,,
,44360556.1,299.7424164,1999.5966796875,2.95336175696026E-5,3.35542193157381E-7,1,0.999253354069792,40.0298881530762,1.99259633275534,18.9500004053116,0.000338214160174654,4.06934383844869E-5,0.25,-1.46465428506066E-6,2.95339945578968E-5,-1.44500592236751E-6,299.7423401,299.7424927,1999.5966796875,1999.5966796875,60.6770403193718,20.7081873333462,4.781127,0,0,0,40,4882,299.85505,1999.5966796875,,,,,,,,,,,,,0,,,,1.0372165,,,,,,299.7424164,,,,
,44360557.215,299.742157,1999.5966796875,2.93677510705742E-5,4.30656589859548E-7,1,0.999253354069792,40.0298881530762,1.99271996976776,18.9500004053116,0.000335519736352309,4.52343158376881E-5,0.25,-1.03666402926981E-6,2.93678470092096E-5,-1.01712762986099E-6,299.7419739,299.7423401,1999.5966796875,1999.5966796875,60.7090870886603,20.7077815395328,4.781127,0,0,0,40,4882,299.76635,1999.5966796875,,,,,,,,,,,,,0,,,,1.0372165,,,,,,299.742157,,,,
,44360558.31,299.7421875,1999.5966796875,2.91922339733382E-5,3.69193806320212E-7,1,0.999253354069792,40.0298881530762,1.99263467326736,18.9500004053116,0.000333355498460796,4.58127007412403E-5,0.25,-9.55570658096805E-7,2.91922793253159E-5,-9.36148896562077E-7,299.7419739,299.7424011,1999.5966796875,1999.5966796875,60.6614077489872,20.7092327035044,4.781127,0,0,0,40,4882,299.71915,1999.5966796875,,,,,,,,,,,,,0,,,,1.0372165,,,,,,299.7421875,,,,
,44360559.54,299.7423248,1999.5966796875,2.9047424829316E-5,3.74929301678526E-7,1,0.999253354069792,40.0298881530762,1.99264896453108,18.9500004053116,0.000331590445076842,4.62508873590486E-5,0.25,-8.92265858094052E-7,2.90474304642831E-5,-8.7293461078032E-7,299.7422485,299.7424011,1999.5966796875,1999.5966796875,60.6246712085833,20.7087493833982,4.781127,0,0,0,40,4882,299.6277,1999.5966796875,,,,,,,,,,,,,0,,,,1.0372165,,,,,,299.7423248,,,,
