[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X6 300 TO 30 K COOLING
FILEOPENTIME,44608342.11,06/01/2026,3:34 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X6,SAMPLE_COMMENT
INFO,1.4,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.09,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44608483.655,299.6523132,1999.76513671875,5.05636991245902E-5,3.70560235945459E-7,1,0.999253354069792,40.0298881530762,2.00063577470158,14.299999922514,0.000575879755363426,0.000101501212298948,0.25,2.61351385980284E-7,5.05626848291028E-5,2.94858897504678E-7,299.6514282,299.6531982,1999.76513671875,1999.76513671875,61.6806513380642,20.7537647740509,6.646428,0,0,0,40,4881,300.4368,1999.76513671875,,,,,,,,,,,,,0,,,,3.63380955,,,,,,299.6523132,,,,
,44608490.375,299.6562805,1999.76513671875,5.10277452119777E-5,3.50159242286841E-7,1,0.999253354069792,40.0298881530762,2.00037120534758,14.3100004643202,0.000581456184388772,0.000100286593834314,0.25,7.65648527173524E-8,5.1026835734626E-5,1.10407828379509E-7,299.6562805,299.6562805,1999.76513671875,1999.76513671875,61.303906391795,20.7531638975865,6.273368,0,0,0,40,4882,300.2506,1999.76513671875,,,,,,,,,,,,,0,,,,3.6519601,,,,,,299.6562805,,,,
,44608491.025,299.65600585,1999.76513671875,5.02542766776254E-5,3.98278000410767E-7,1,0.999253354069792,40.0298881530762,2.0005211952154,14.299999922514,0.000572194442110484,0.000101634525952183,0.25,3.26387955597864E-7,5.02532139226102E-5,3.59725308451246E-7,299.6557312,299.6562805,1999.76513671875,1999.76513671875,61.2382495961796,20.7518300230282,6.646428,0,0,0,40,4882,300.16255,1999.76513671875,,,,,,,,,,,,,0,,,,3.63380955,,,,,,299.65600585,,,,
,44608492.095,299.6554718,1999.76513671875,5.05972846360633E-5,3.61136272121383E-7,1,0.999253354069792,40.0298881530762,2.00040661837266,14.3100004643202,0.000577513256292928,9.38703415558713E-5,0.25,-4.12955281984545E-7,5.05967066960205E-5,-3.79366036659066E-7,299.6552124,299.6557312,1999.76513671875,1999.76513671875,61.8744952108335,20.748237395016,6.273368,0,0,0,40,4882,300.0731,1999.76513671875,,,,,,,,,,,,,0,,,,3.615659,,,,,,299.6554718,,,,
,44608493.115,299.6552582,1999.76513671875,5.08657628859963E-5,3.91745998822515E-7,1,0.999253354069792,40.0298881530762,2.00040560093815,14.299999922514,0.000579863559708713,9.85443644807805E-5,0.25,-4.87751390099971E-8,5.08649385661469E-5,-1.50075895373915E-8,299.6552124,299.655304,1999.76513671875,1999.76513671875,61.0584750367565,20.7497892475552,6.273368,0,0,0,40,4882,300.0263,1999.76513671875,,,,,,,,,,,,,0,,,,3.615659,,,,,,299.6552582,,,,
,44608494.2,299.65516665,1999.76513671875,5.1061142558106E-5,4.0915243587315E-7,1,0.999253354069792,40.0298881530762,2.00040397839938,14.3100004643202,0.000581640090970466,0.000101557277872736,0.25,1.82160110962405E-7,5.10601606800414E-5,2.16065627027097E-7,299.6550293,299.655304,1999.76513671875,1999.76513671875,61.5798212590834,20.754195705291,6.273368,0,0,0,40,4882,299.93555,1999.76513671875,,,,,,,,,,,,,0,,,,3.63380955,,,,,,299.65516665,,,,
,44608495.2,299.6550293,1999.76513671875,5.08875909993145E-5,3.64948296455836E-7,1,0.999253354069792,40.0298881530762,2.00040070216003,14.3100004643202,0.000579470068571676,0.000102336248014323,0.25,2.80175973172557E-7,5.08865466235223E-5,3.13970829011986E-7,299.6550293,299.6550293,1999.76513671875,1999.76513671875,61.3789427296411,20.7568000120194,6.646428,0,0,0,40,4882,299.8888,1999.76513671875,,,,,,,,,,,,,0,,,,3.6158396,,,,,,299.6550293,,,,
,44608496.235,299.6547699,1999.76513671875,5.03379050140301E-5,4.12220325602935E-7,1,0.999253354069792,40.0298881530762,2.00042504471663,14.3100004643202,0.000574026187753905,9.64996903955918E-5,0.25,-1.38044696346987E-7,5.03371471534064E-5,-1.04596092131068E-7,299.6545105,299.6550293,1999.76513671875,1999.76513671875,61.517290977545,20.7546991430057,6.646428,0,0,0,40,4882,299.7996,1999.76513671875,,,,,,,,,,,,,0,,,,3.59768905,,,,,,299.6547699,,,,
,44608497.415,299.6523285,1999.76513671875,5.12172697236446E-5,3.67889097417712E-7,1,0.999253354069792,40.0298881530762,2.00047301940151,14.3100004643202,0.000583900036976125,9.91666575047378E-5,0.25,-5.45839419708579E-8,5.12164452246253E-5,-2.05404569616835E-8,299.6501465,299.6545105,1999.76513671875,1999.76513671875,61.2992166206796,20.7541145383367,6.646428,0,0,0,40,4882,299.7104,1999.76513671875,,,,,,,,,,,,,0,,,,3.615659,,,,,,299.6523285,,,,
,44608498.615,299.64891055,1999.76513671875,5.08143369360932E-5,3.4937754883E-7,1,0.999253354069792,40.0298881530762,2.00043303833551,14.299999922514,0.000578957121386387,0.00010036406811783,0.25,1.19507112640121E-7,5.08134100291836E-5,1.53280255145693E-7,299.6476746,299.6501465,1999.76513671875,1999.76513671875,61.5563724035065,20.751025019904,6.646428,0,0,0,40,4882,299.70755,1999.76513671875,,,,,,,,,,,,,0,,,,3.615659,,,,,,299.64891055,,,,
