[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X7 300 TO 30 K COOLING
FILEOPENTIME,44616732.83,06/01/2026,5:54 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X7,SAMPLE_COMMENT
INFO,1.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.09,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44616859.835,299.6978607,1999.76513671875,5.94656442339448E-5,2.76517951073341E-7,1,0.999253354069792,40.0298881530762,1.99085540343663,13.1400004029274,0.000675169143481517,0.000112615987712837,0.25,-2.38975396394848E-7,5.94647095797808E-5,-1.99542493890665E-7,299.6972656,299.6984558,1999.76513671875,1999.76513671875,61.0748892356603,20.7326186199517,5.154188,0,0,0,40,4881,300.32865,1999.76513671875,,,,,,,,,,,,,0,,,,2.3766694,,,,,,299.6978607,,,,
,44616866.765,299.6968079,1999.76513671875,5.97208969877145E-5,3.06239810256978E-7,1,0.999253354069792,40.0298881530762,1.99091123609333,13.1400004029274,0.000678445393225652,0.000110996316197792,0.25,-4.25639920601572E-7,5.97200819830537E-5,-3.86012611804553E-7,299.6968079,299.6968079,1999.76513671875,1999.76513671875,61.2726412510257,20.7346442216876,5.527248,0,0,0,40,4882,300.18965,1999.76513671875,,,,,,,,,,,,,0,,,,2.4005308,,,,,,299.6968079,,,,
,44616867.43,299.6965027,1999.76513671875,5.99630844133902E-5,3.32379144933295E-7,1,0.999253354069792,40.0298881530762,1.99093637373746,13.150000013411,0.00068106258936542,0.000112280383921751,0.25,-3.53994325675885E-7,5.99622175067067E-5,-3.14200381936418E-7,299.6961975,299.6968079,1999.76513671875,1999.76513671875,61.1694662864872,20.7356927659605,5.154188,0,0,0,40,4882,300.1433,1999.76513671875,,,,,,,,,,,,,0,,,,2.3886001,,,,,,299.6965027,,,,
,44616868.475,299.6961975,1999.76513671875,5.98058982503282E-5,3.05606709596726E-7,1,0.999253354069792,40.0298881530762,1.99092519680954,13.1400004029274,0.000678602326730089,0.000115912758629214,0.25,-6.95628869952657E-9,5.98048033847677E-5,3.27410432461251E-8,299.6961975,299.6961975,1999.76513671875,1999.76513671875,60.8529067361987,20.7370232418878,5.527248,0,0,0,40,4882,300.0536,1999.76513671875,,,,,,,,,,,,,0,,,,2.3766694,,,,,,299.6961975,,,,
,44616869.505,299.6954956,1999.76513671875,5.95430777110688E-5,3.66333901753393E-7,1,0.999253354069792,40.0298881530762,1.99089853916708,13.150000013411,0.000675628122102627,0.000115304991798302,0.25,-1.54740320057425E-8,5.95419942619985E-5,2.40562284620207E-8,299.6947937,299.6961975,1999.76513671875,1999.76513671875,61.3187573336603,20.7348999344098,5.527248,0,0,0,40,4882,300.00735,1999.76513671875,,,,,,,,,,,,,0,,,,2.3766694,,,,,,299.6954956,,,,
,44616870.595,299.6950989,1999.76513671875,5.97049263171487E-5,3.89930266426326E-7,1,0.999253354069792,40.0298881530762,1.99088783711386,13.150000013411,0.00067732620109242,0.000116407197200193,0.25,5.40477315174287E-8,5.97037939552656E-5,9.36916375931823E-8,299.6947937,299.6954041,1999.76513671875,1999.76513671875,61.158523487218,20.7351522586239,5.527248,0,0,0,40,4882,299.95965,1999.76513671875,,,,,,,,,,,,,0,,,,2.3766694,,,,,,299.6950989,,,,
,44616871.68,299.6946106,1999.76513671875,5.96307236866035E-5,3.09700805553574E-7,1,0.999253354069792,40.0298881530762,1.99081312258423,13.1400004029274,0.000676576698873303,0.000115576838026878,0.25,-6.10195112114633E-9,5.96296324242637E-5,3.35082616261927E-8,299.6938171,299.6954041,1999.76513671875,1999.76513671875,61.364873416295,20.7373309810502,5.527248,0,0,0,40,4882,299.8672,1999.76513671875,,,,,,,,,,,,,0,,,,2.3886001,,,,,,299.6946106,,,,
,44616872.77,299.69436645,1999.76513671875,5.98737772115966E-5,3.67445800005817E-7,1,0.999253354069792,40.0298881530762,1.99092364190228,13.1400004029274,0.000680370620581216,0.000110202213012119,0.25,-5.21874710874046E-7,5.98730240319026E-5,-4.820860787272E-7,299.6938171,299.6949158,1999.76513671875,1999.76513671875,61.4469444108142,20.7345989404187,5.154188,0,0,0,40,4882,299.81955,1999.76513671875,,,,,,,,,,,,,0,,,,2.3886001,,,,,,299.69436645,,,,
,44616873.92,299.6936951,1999.76513671875,5.99368432160624E-5,3.18665386183573E-7,1,0.999253354069792,40.0298881530762,1.990861557292,13.1400004029274,0.000680615333794092,0.000112957545725067,0.25,-2.89537884152428E-7,5.99359348161511E-5,-2.49697308736623E-7,299.6924744,299.6949158,1999.76513671875,1999.76513671875,61.283584050295,20.7334063035219,5.527248,0,0,0,40,4882,299.7287,1999.76513671875,,,,,,,,,,,,,0,,,,2.3886001,,,,,,299.6936951,,,,
,44616875.11,299.69160465,1999.76513671875,5.95112579081411E-5,3.14188499065422E-7,1,0.999253354069792,40.0298881530762,1.99080462401405,13.1400004029274,0.000674993865978533,0.000116659115979193,0.25,1.09713088667603E-7,5.9510095368549E-5,1.49277708362916E-7,299.6907349,299.6924744,1999.76513671875,1999.76513671875,61.2960901066026,20.7358516239671,5.527248,0,0,0,40,4882,299.63785,1999.76513671875,,,,,,,,,,,,,0,,,,2.4005308,,,,,,299.69160465,,,,
,44616876.205,299.6903992,1999.76513671875,5.99765161945733E-5,3.50883422983412E-7,1,0.999253354069792,40.0298881530762,1.99085811442199,13.1400004029274,0.00068135222659032,0.000111350513842606,0.25,-4.37962310623444E-7,5.99757113747371E-5,-3.98070840032785E-7,299.6900635,299.6907349,1999.76513671875,1999.76513671875,61.443036268218,20.7367783749923,5.527248,0,0,0,40,4882,299.5903,1999.76513671875,,,,,,,,,,,,,0,,,,2.3886001,,,,,,299.6903992,,,,
,44616877.335,299.68701175,1999.76513671875,5.97116225286919E-5,3.56530891873579E-7,1,0.999253354069792,40.0298881530762,1.99083206350578,13.1400004029274,0.000678191665204836,0.000111693385501268,0.25,-3.62349944777206E-7,5.97107793074599E-5,-3.22628796587982E-7,299.68396,299.6900635,1999.76513671875,1999.76513671875,61.1757193146411,20.7358057783821,5.527248,0,0,0,40,4882,299.5442,1999.76513671875,,,,,,,,,,,,,0,,,,2.3886001,,,,,,299.68701175,,,,
,44616878.615,299.6829834,1999.76513671875,5.95609807561213E-5,3.18963305239058E-7,1,0.999253354069792,40.0298881530762,1.99090292733084,13.1400004029274,0.000676890285749986,0.000109154093969724,0.25,-5.6074013484301E-7,5.95602807093193E-5,-5.21108418945456E-7,299.6820068,299.68396,1999.76513671875,1999.76513671875,61.0021977833718,20.7377721213208,5.154188,0,0,0,40,4882,299.4981,1999.76513671875,,,,,,,,,,,,,0,,,,2.3886001,,,,,,299.6829834,,,,
,44616879.835,299.679306,1999.76513671875,5.96166928218424E-5,3.34901765000368E-7,1,0.999253354069792,40.0298881530762,1.99080594480742,13.1400004029274,0.000677579897799742,0.000108737285464289,0.25,-6.06561713976651E-7,5.96160299452584E-5,-5.66884714619993E-7,299.6766052,299.6820068,1999.76513671875,1999.76513671875,61.1460174309103,20.7360004813999,5.154188,0,0,0,40,4882,299.45055,1999.76513671875,,,,,,,,,,,,,0,,,,2.3886001,,,,,,299.679306,,,,
,44616881.04,299.6740875,1999.76513671875,5.93515332622235E-5,3.12693643101389E-7,1,0.999253354069792,40.0298881530762,1.99086205958648,13.1400004029274,0.000673980250913758,0.000111791251145835,0.25,-2.92348307305309E-7,5.93506765671257E-5,-2.52839214031085E-7,299.6715698,299.6766052,1999.76513671875,1999.76513671875,61.1999497987372,20.7368747887589,5.154188,0,0,0,40,4882,299.3599,1999.76513671875,,,,,,,,,,,,,0,,,,2.4005308,,,,,,299.6740875,,,,
,44616883.06,299.6687622,1999.76513671875,5.96488339762329E-5,3.7709657000481E-7,1,0.999253354069792,40.0298881530762,1.99091260530103,13.1400004029274,0.000676472006877423,0.000117624026197472,0.25,1.70639935924554E-7,5.96476745145626E-5,2.10353240859213E-7,299.6687622,299.6687622,1999.76513671875,1999.76513671875,61.3789427296411,20.7353684643593,5.527248,0,0,0,40,4882,299.2678,1999.76513671875,,,,,,,,,,,,,0,,,,2.4005308,,,,,,299.6687622,,,,
,44616883.71,299.66140745,1999.76513671875,5.95955673243845E-5,3.73965211643515E-7,1,0.999253354069792,40.0298881530762,1.99085735960851,13.1400004029274,0.000676381007289933,0.000114410669855426,0.25,-1.03201757678523E-7,5.95946070653478E-5,-6.35119064668905E-8,299.6540527,299.6687622,1999.76513671875,1999.76513671875,61.178845828718,20.7356163747434,5.154188,0,0,0,40,4882,299.22185,1999.76513671875,,,,,,,,,,,,,0,,,,2.3886001,,,,,,299.66140745,,,,
