[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 30 K TO 60 K TB001X7
FILEOPENTIME,44620809.89,06/01/2026,7:02 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X7,SAMPLE_COMMENT
INFO,1.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.09,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44620843.63,29.9774361,1999.76513671875,,,2,,,,13.9260000810623,,,,,,,29.9774361,29.9774361,1999.76513671875,1999.76513671875,,,5.154188,,,,-99999999,4885,30.0057,1999.76513671875,,,,,,,,,,,,,,,,,,,,,,,29.9774361,,,,
,44620947.77,29.9875336,1999.76513671875,0.000298449122808744,1.72403763120312E-7,1,0.999253354069792,40.0298881530762,2.00130160296932,13.9100002124906,0.00337916365522472,0.000625114097961687,0.25,2.59573369072448E-6,0.00029702745804682,4.24540977357074E-6,29.9875336,29.9875336,1999.76513671875,1999.76513671875,61.280457536218,20.7630564880199,5.527248,0,0,0,40,4881,30.02055,1999.76513671875,,,,,,,,,,,,,0,,,,1.7612139,,,,,,29.9875336,,,,
,44620954.245,29.99000265,1999.76513671875,0.000298370356039907,2.04852984106017E-7,1,0.999253354069792,40.0298881530762,2.00128277364191,13.9100002124906,0.00337840473766784,0.000624026965805423,0.25,2.51404706410669E-6,0.00029694967512366,4.16381637991617E-6,29.9895802,29.9904251,1999.76513671875,1999.76513671875,61.6704901673142,20.7612205526057,5.527248,0,0,0,40,4882,30.0254,1999.76513671875,,,,,,,,,,,,,0,,,,1.7524606,,,,,,29.99000265,,,,
,44620955.93,29.9914417,1999.76513671875,0.000298389598211472,2.1368933683646E-7,1,0.999253354069792,40.0298881530762,2.00124180865232,13.9100002124906,0.00337854367157693,0.00062417406123356,0.25,2.52398327506841E-6,0.000296969437953185,4.17441709413759E-6,29.9914417,29.9914417,1999.76513671875,1999.76513671875,61.720514392545,20.7626616142456,5.154188,0,0,0,40,4882,30.04535,1999.76513671875,,,,,,,,,,,,,0,,,,1.7788963,,,,,,29.9914417,,,,
,44620957.435,29.9932251,1999.76513671875,0.00029852832785779,2.37210620095851E-7,1,0.999253354069792,40.0298881530762,2.00131130002012,13.9100002124906,0.00338083659710813,0.000621039857119935,0.25,2.22098919555739E-6,0.000297109539942031,3.87393114085173E-6,29.9932251,29.9932251,1999.76513671875,1999.76513671875,61.4610137241604,20.763057082763,5.154188,0,0,0,40,4882,30.0555,1999.76513671875,,,,,,,,,,,,,0,,,,1.7612139,,,,,,29.9932251,,,,
,44620959.03,30.000351,1999.76513671875,0.000298475743730763,1.94115097849765E-7,1,0.999253354069792,40.0298881530762,2.00127051673648,13.9100002124906,0.00338029287333276,0.00062029594398181,0.25,2.16497854870415E-6,0.000297058179001303,3.81850052597741E-6,30.000351,30.000351,1999.76513671875,1999.76513671875,61.1960416561411,20.764213330943,5.154188,0,0,0,40,4882,30.0756,1999.76513671875,,,,,,,,,,,,,0,,,,1.7437073,,,,,,30.000351,,,,
,44620960.595,30.0059872,1999.76513671875,0.000298264876659346,2.37901960327602E-7,1,0.999253354069792,40.0298881530762,2.00134919306213,13.9100002124906,0.00337773260962146,0.000621656619416306,0.25,2.31875630913084E-6,0.000296848627071499,3.97144906203895E-6,30.0059872,30.0059872,1999.76513671875,1999.76513671875,61.5532458894296,20.7644743698805,5.527248,0,0,0,40,4882,30.11085,1999.76513671875,,,,,,,,,,,,,0,,,,1.7612139,,,,,,30.0059872,,,,
,44620962.275,30.0215359,1999.76513671875,0.000298545153716485,1.71396667173363E-7,1,0.999253354069792,40.0298881530762,2.00135027410123,13.9199998229742,0.00338064833678658,0.00062380863143203,0.25,2.45769041594592E-6,0.000297128155128057,4.11252856587668E-6,30.0215359,30.0215359,1999.76513671875,1999.76513671875,61.3797243581603,20.7624862467493,5.154188,0,0,0,40,4882,30.1514,1999.76513671875,,,,,,,,,,,,,0,,,,1.7524606,,,,,,30.0215359,,,,
,44620963.945,30.03806305,1999.76513671875,0.000298346180697682,2.57681636542177E-7,1,0.999253354069792,40.0298881530762,2.00128202915281,13.9100002124906,0.00337829987068958,0.00062339227569557,0.25,2.45613469828069E-6,0.000296931635869083,4.11125307480207E-6,30.0316677,30.0444584,1999.76513671875,1999.76513671875,61.2570086806411,20.7632342721145,5.154188,0,0,0,40,4882,30.1967,1999.76513671875,,,,,,,,,,,,,0,,,,1.7612139,,,,,,30.03806305,,,,
,44620965.585,30.0588245,1999.76513671875,0.000298363653635243,2.24637724590099E-7,1,0.999253354069792,40.0298881530762,2.00124998792165,13.9100002124906,0.00337907275954748,0.000619962119379075,0.25,2.14973873322063E-6,0.000296952262296401,3.80779157842457E-6,30.0588245,30.0588245,1999.76513671875,1999.76513671875,61.6962839084488,20.7643960220651,5.154188,0,0,0,40,4882,30.2424,1999.76513671875,,,,,,,,,,,,,0,,,,1.7437073,,,,,,30.0588245,,,,
,44620967.185,30.077282,1999.76513671875,0.000297965675466167,2.31212213001126E-7,1,0.999253354069792,40.0298881530762,2.00136412267438,13.9199998229742,0.00337439515821335,0.00062128155771785,0.25,2.33148912287181E-6,0.00029655668155583,3.98787823152654E-6,30.077282,30.077282,1999.76513671875,1999.76513671875,61.260135194718,20.763763015887,5.527248,0,0,0,40,4882,30.2885,1999.76513671875,,,,,,,,,,,,,0,,,,1.7612139,,,,,,30.077282,,,,
,44620968.9,30.1165295,1999.76513671875,0.000298192657064048,1.88280743062746E-7,1,0.999253354069792,40.0298881530762,2.00129834160805,13.9199998229742,0.00337752416248103,0.000618098425998158,0.25,2.01031748742128E-6,0.000296786425845441,3.67135420614595E-6,30.1165295,30.1165295,1999.76513671875,1999.76513671875,61.3765978440834,20.7641868691387,5.154188,0,0,0,40,4882,30.3494,1999.76513671875,,,,,,,,,,,,,0,,,,1.7524606,,,,,,30.1165295,,,,
,44620970.68,30.1408272,1999.76513671875,0.000297689706199187,2.41249785672751E-7,1,0.999253354069792,40.0298881530762,2.00129491125254,13.9100002124906,0.00337095145513064,0.00062209223116973,0.25,2.44961443821586E-6,0.000296284750989939,4.10705278021705E-6,30.1408272,30.1408272,1999.76513671875,1999.76513671875,61.1913518850257,20.7650252732881,5.527248,0,0,0,40,4882,30.3907,1999.76513671875,,,,,,,,,,,,,0,,,,1.7700551,,,,,,30.1408272,,,,
,44620971.365,30.15392115,1999.76513671875,0.000297876682898196,1.80489043971165E-7,1,0.999253354069792,40.0298881530762,2.00127605317912,13.9100002124906,0.00337277997233978,0.000624014985318537,0.25,2.58561904716795E-6,0.000296471125815185,4.24441273819815E-6,30.1408272,30.1670151,1999.76513671875,1999.76513671875,61.862770783045,20.7634761612232,5.527248,0,0,0,40,4882,30.42115,1999.76513671875,,,,,,,,,,,,,0,,,,1.7788963,,,,,,30.15392115,,,,
,44620973.47,30.207119,1999.76513671875,0.000297433369486852,2.47259199800751E-7,1,0.999253354069792,40.0298881530762,2.00135321166741,13.9100002124906,0.00336846325585143,0.000619993612028152,0.25,2.30419214239124E-6,0.000296034056616032,3.96420495918641E-6,30.1927738,30.2214642,1999.76513671875,1999.76513671875,61.2062028268911,20.7636515065468,5.527248,0,0,0,40,4882,30.49835,1999.76513671875,,,,,,,,,,,,,0,,,,1.7613018,,,,,,30.207119,,,,
,44620974.235,30.2351637,1999.76513671875,0.000297842175700689,2.20217404662531E-7,1,0.999253354069792,40.0298881530762,2.00129793683183,13.9100002124906,0.00337269405543701,0.000622636100561107,0.25,2.4659202949801E-6,0.000296440712248795,4.12811191306493E-6,30.2214642,30.2488632,1999.76513671875,1999.76513671875,61.6454780546988,20.7623078985719,5.154188,0,0,0,40,4882,30.5188,1999.76513671875,,,,,,,,,,,,,0,,,,1.7613018,,,,,,30.2351637,,,,
,44620976.495,30.2723103,1999.76513671875,0.000297464665185428,2.24092918527135E-7,1,0.999253354069792,40.0298881530762,2.00129843293738,13.9199998229742,0.0033680811471906,0.000623901874407565,0.25,2.64186696952152E-6,0.000296065912231806,4.30289840833433E-6,30.2723103,30.2723103,1999.76513671875,1999.76513671875,61.1944783991026,20.7622587151095,5.527248,0,0,0,40,4882,30.5759,1999.76513671875,,,,,,,,,,,,,0,,,,1.7700551,,,,,,30.2723103,,,,
,44620978.18,30.3246861,1999.76513671875,0.000297074077290033,2.2322036055162E-7,1,0.999253354069792,40.0298881530762,2.00129138546952,13.9100002124906,0.00336412520481138,0.000620458313409329,0.25,2.40562960455536E-6,0.000295679835639929,4.06685762360948E-6,30.3246861,30.3246861,1999.76513671875,1999.76513671875,61.6321903698719,20.7620249634008,5.154188,0,0,0,40,4882,30.6174,1999.76513671875,,,,,,,,,,,,,0,,,,1.7524606,,,,,,30.3246861,,,,
,44620979.835,30.3491726,1999.76513671875,0.000296982725079329,2.47256962242278E-7,1,0.999253354069792,40.0298881530762,2.00130615271068,13.9100002124906,0.00336286616400933,0.000621776656120516,0.25,2.53603807844963E-6,0.00029558959395216,4.19743842038224E-6,30.3491726,30.3491726,1999.76513671875,1999.76513671875,61.5907640583527,20.7639487844366,5.527248,0,0,0,40,4882,30.6587,1999.76513671875,,,,,,,,,,,,,0,,,,1.7524606,,,,,,30.3491726,,,,
,44620981.5,30.401247,1999.76513671875,0.000296907361487347,2.10041027287886E-7,1,0.999253354069792,40.0298881530762,2.0013041823146,13.9100002124906,0.00336256302291642,0.000618519369395936,0.25,2.26135092471563E-6,0.00029551678269393,3.92426802794219E-6,30.401247,30.401247,1999.76513671875,1999.76513671875,61.7728835033335,20.7626543758088,5.527248,0,0,0,40,4882,30.68,1999.76513671875,,,,,,,,,,,,,0,,,,1.7524606,,,,,,30.401247,,,,
,44620983.035,30.4241791,1999.76513671875,0.000296200507698435,2.70674547593308E-7,1,0.999253354069792,40.0298881530762,2.00125573728082,13.9100002124906,0.00335438899983986,0.000617623105982204,0.25,2.30687231628266E-6,0.00029481402075713,3.96657066018816E-6,30.4241791,30.4241791,1999.76513671875,1999.76513671875,61.5868559157565,20.7633572310884,5.527248,0,0,0,40,4882,30.7112,1999.76513671875,,,,,,,,,,,,,0,,,,1.7788963,,,,,,30.4241791,,,,
,44620983.71,30.43737985,1999.76513671875,0.000295991337635608,2.31297280538243E-7,1,0.999253354069792,40.0298881530762,2.00122316251671,13.9100002124906,0.00335254358488177,0.000613920633957814,0.25,2.01786359302072E-6,0.000294607609765944,3.67788485535376E-6,30.4241791,30.4505806,1999.76513671875,1999.76513671875,61.2742045080642,20.7639973526716,5.527248,0,0,0,40,4882,30.7164,1999.76513671875,,,,,,,,,,,,,0,,,,1.7788963,,,,,,30.43737985,,,,
