[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X8 300 TO 30 K FCC
FILEOPENTIME,48312031.69,07/14/2026,12:23 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X7,SAMPLE_COMMENT
INFO,6.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.09,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,48312064.53,304.967926,1999.5966796875,,,2,,,,15.2659997970462,,,,,,,304.967926,304.967926,1999.5966796875,1999.5966796875,,,4.781127,,,,-99999999,4886,304.8682,1999.5966796875,,,,,,,,,,,,,,,,,,,,,,,304.967926,,,,
,48312439.61,299.957489,1999.5966796875,0.000192340998962117,5.29472525273771E-7,1,0.999253354069792,40.0298881530762,1.99040057315308,15.2500001713634,0.00218285746136932,0.000366938076955799,0.25,-5.29413819535047E-7,0.000192335902211033,-4.01598014544708E-7,299.9556274,299.9593506,1999.5966796875,1999.5966796875,60.637177264891,20.7359013787437,5.154188,0,0,0,40,4881,299.7914,1999.5966796875,,,,,,,,,,,,,0,,,,3.9361396,,,,,,299.957489,,,,
,48312446.175,299.9434204,1999.5966796875,0.00019177025504372,4.5441212088853E-7,1,0.999253354069792,40.0298881530762,1.99036689202811,15.259999781847,0.0021757349438644,0.000369419452229445,0.25,-2.12622159004151E-7,0.000191765064000919,-8.51723228244717E-8,299.9434204,299.9434204,1999.5966796875,1999.5966796875,60.7849050550257,20.7391360429064,4.781127,0,0,0,40,4882,299.7472,1999.5966796875,,,,,,,,,,,,,0,,,,3.9164791,,,,,,299.9434204,,,,
,48312446.855,299.94218445,1999.5966796875,0.000192404263160561,5.45338260806633E-7,1,0.999253354069792,40.0298881530762,1.99045082928029,15.259999781847,0.00218419101598223,0.000363781219853193,0.25,-8.19335236277237E-7,0.000192399466681533,-6.91447222196291E-7,299.9409485,299.9434204,1999.5966796875,1999.5966796875,60.6973626608718,20.73981911907,4.781127,0,0,0,40,4882,299.7472,1999.5966796875,,,,,,,,,,,,,0,,,,3.9361396,,,,,,299.94218445,,,,
,48312447.985,299.9398804,1999.5966796875,0.000192888704975891,6.01481418835371E-7,1,0.999253354069792,40.0298881530762,1.9904496897556,15.259999781847,0.00218848185436304,0.000371761726110241,0.25,-1.98616203744762E-7,0.000192883499346116,-7.04234830353013E-8,299.9388123,299.9409485,1999.5966796875,1999.5966796875,60.7114319742179,20.7382886258578,4.781127,0,0,0,40,4882,299.7472,1999.5966796875,,,,,,,,,,,,,0,,,,3.9361396,,,,,,299.9398804,,,,
,48312449.045,299.9373627,1999.5966796875,0.00019265626688736,6.83684757771526E-7,1,0.999253354069792,40.0298881530762,1.99047897209245,15.2500001713634,0.00218781806007309,0.000359954498146165,0.25,-1.20018335974413E-6,0.000192651751638654,-1.07211749609478E-6,299.9359131,299.9388123,1999.5966796875,1999.5966796875,60.5723020977949,20.7395747451564,4.781127,0,0,0,40,4882,299.7472,1999.5966796875,,,,,,,,,,,,,0,,,,3.9164791,,,,,,299.9373627,,,,
,48312450.13,299.93569945,1999.5966796875,0.000192220642052684,5.32934305250179E-7,1,0.999253354069792,40.0298881530762,1.99049280000904,15.2500001713634,0.00218155359150315,0.000366936145832318,0.25,-5.10466530254891E-7,0.000192215694501595,-3.82731548394431E-7,299.9354858,299.9359131,1999.5966796875,1999.5966796875,61.1702479150065,20.739521259866,4.781127,0,0,0,40,4882,299.7914,1999.5966796875,,,,,,,,,,,,,0,,,,3.9361396,,,,,,299.93569945,,,,
,48312451.335,299.93339535,1999.5966796875,0.000191590679789278,4.63968877520199E-7,1,0.999253354069792,40.0298881530762,1.99045349918688,15.2500001713634,0.00217463520791509,0.000364135889136716,0.25,-6.4903255456546E-7,0.000191585858327346,-5.21712385336702E-7,299.9313049,299.9354858,1999.5966796875,1999.5966796875,60.8466537080449,20.7391112080863,4.781127,0,0,0,40,4882,299.7914,1999.5966796875,,,,,,,,,,,,,0,,,,3.9361396,,,,,,299.93339535,,,,
,48312453.4,299.9303589,1999.5966796875,0.000192830063530731,5.16635206308338E-7,1,0.999253354069792,40.0298881530762,1.99045167111077,15.259999781847,0.00218692625358653,0.000376874256509609,0.25,2.62052180821698E-7,0.000192824622807156,3.90193323295405E-7,299.9303589,299.9303589,1999.5966796875,1999.5966796875,60.7372257153526,20.7381000818355,4.781127,0,0,0,40,4882,299.7472,1999.5966796875,,,,,,,,,,,,,0,,,,3.9558001,,,,,,299.9303589,,,,
,48312454.03,299.9293518,1999.5966796875,0.000192746155638428,4.33671047877243E-7,1,0.999253354069792,40.0298881530762,1.99030497203121,15.2500001713634,0.00218733015992779,0.000367855682253369,0.25,-5.16347475463183E-7,0.000192741241844786,-3.88240850462607E-7,299.9283447,299.9303589,1999.5966796875,1999.5966796875,60.6653158915833,20.7397100817978,5.154188,0,0,0,40,4882,299.7472,1999.5966796875,,,,,,,,,,,,,0,,,,3.9361396,,,,,,299.9293518,,,,
