[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X8 30 TO 60 K
FILEOPENTIME,48316252.95,07/14/2026,1:34 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X7,SAMPLE_COMMENT
INFO,6.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.09,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,48316286.97,29.9769096,1999.5966796875,,,2,,,,15.4059999317527,,,,,,,29.9769096,29.9769096,1999.5966796875,1999.5966796875,,,4.781127,,,,-99999999,4885,30.0254,1999.5966796875,,,,,,,,,,,,,,,,,,,,,,,29.9769096,,,,
,48316385.265,29.9886761,1999.5966796875,0.000998941792158392,1.97929945646106E-7,1,0.999253354069792,40.0298881530762,1.99858265658022,15.3900003060699,0.0113009356462875,0.00206043681738244,0.25,6.11097689972564E-6,0.000994198215705017,1.16452661758059E-5,29.9885998,29.9887524,1999.5966796875,1999.5966796875,61.6321903698719,20.803836227859,5.154188,0,0,0,40,4881,30.0255,1999.5966796875,,,,,,,,,,,,,0,,,,1.0116459,,,,,,29.9886761,,,,
,48316392.595,29.9885025,1999.5966796875,0.000999274974969123,2.2802842341672E-7,1,0.999253354069792,40.0298881530762,1.998670537127,15.3900003060699,0.0113058481681467,0.00205747998684065,0.25,5.7824398037124E-6,0.000994532773384794,1.13211343087088E-5,29.9885025,29.9885025,1999.5966796875,1999.5966796875,61.6603289965642,20.8048092740387,4.781127,0,0,0,40,4882,30.0354,1999.5966796875,,,,,,,,,,,,,0,,,,1.0065928,,,,,,29.9885025,,,,
,48316394.3,29.9899426,1999.5966796875,0.000999014777987411,2.44532706876275E-7,1,0.999253354069792,40.0298881530762,1.99866732781635,15.3999999165535,0.0113029797006347,0.00205649077636443,0.25,5.73993981946674E-6,0.000994275179446933,1.12784167612435E-5,29.9899426,29.9899426,1999.5966796875,1999.5966796875,60.9107472466218,20.8062315913534,5.154188,0,0,0,40,4882,30.0456,1999.5966796875,,,,,,,,,,,,,0,,,,1.016699,,,,,,29.9899426,,,,
,48316395.845,29.9922523,1999.5966796875,0.000998713505854342,2.92037886176754E-7,1,0.999253354069792,40.0298881530762,1.99868867086666,15.3999999165535,0.0112996419017653,0.00205632973632221,0.25,5.77388232807939E-6,0.000993977938745252,1.1313046204646E-5,29.9922523,29.9922523,1999.5966796875,1999.5966796875,61.0897401775257,20.8065236995583,4.781127,0,0,0,40,4882,30.07055,1999.5966796875,,,,,,,,,,,,,0,,,,1.0065928,,,,,,29.9922523,,,,
,48316397.535,29.9989891,1999.5966796875,0.000999269459927941,2.32901155191407E-7,1,0.999253354069792,40.0298881530762,1.99877277138,15.3999999165535,0.0113061478034039,0.00205909358399202,0.25,5.90972631663653E-6,0.000994533319785732,1.1453900234766E-5,29.9989891,29.9989891,1999.5966796875,1999.5966796875,61.6321903698719,20.803728668175,4.781127,0,0,0,40,4882,30.0957,1999.5966796875,,,,,,,,,,,,,0,,,,1.0065928,,,,,,29.9989891,,,,
,48316399.305,30.0104313,1999.5966796875,0.000998762384572296,2.71306706346761E-7,1,0.999253354069792,40.0298881530762,1.99862209060287,15.3900003060699,0.011299493707204,0.00205876382629181,0.25,5.97862232656879E-6,0.000994032194426347,1.15232459221505E-5,30.0104313,30.0104313,1999.5966796875,1999.5966796875,61.8635524115642,20.8035401490315,4.781127,0,0,0,40,4882,30.13115,1999.5966796875,,,,,,,,,,,,,0,,,,1.0065928,,,,,,30.0104313,,,,
,48316401.1,30.0174313,1999.5966796875,0.000998658461190897,2.21002516629511E-7,1,0.999253354069792,40.0298881530762,1.99874296423715,15.3900003060699,0.0112989611187281,0.00205905615318365,0.25,6.00671807086465E-6,0.000993933737553568,1.15552594853151E-5,30.0174313,30.0174313,1999.5966796875,1999.5966796875,61.1811907142757,20.8017009565382,5.154188,0,0,0,40,4882,30.1766,1999.5966796875,,,,,,,,,,,,,0,,,,1.0065928,,,,,,30.0174313,,,,
,48316402.8,30.0418301,1999.5966796875,0.000998772354923618,2.65339626880971E-7,1,0.999253354069792,40.0298881530762,1.99869555309035,15.3900003060699,0.0113002901417837,0.00205794256171275,0.25,5.88627944360617E-6,0.000994053415025278,1.14412019045107E-5,30.0418301,30.0418301,1999.5966796875,1999.5966796875,61.6923757658527,20.8034638570859,5.154188,0,0,0,40,4882,30.2273,1999.5966796875,,,,,,,,,,,,,0,,,,0.9965872,,,,,,30.0418301,,,,
,48316404.485,30.0532036,1999.5966796875,0.000998102860428406,2.1400257430993E-7,1,0.999253354069792,40.0298881530762,1.99878300206017,15.3999999165535,0.0112929839644636,0.00205818327255522,0.25,6.0115887167379E-6,0.000993392133847037,1.15673858837058E-5,30.0532036,30.0532036,1999.5966796875,1999.5966796875,61.4649218667565,20.805549189613,5.154188,0,0,0,40,4882,30.2781,1999.5966796875,,,,,,,,,,,,,0,,,,1.016699,,,,,,30.0532036,,,,
