[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X9 30 TO 60 K
FILEOPENTIME,48329374.66,07/14/2026,5:13 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X9,SAMPLE_COMMENT
INFO,4.4,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.09,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,48329407.88,29.9727917,1999.78625488281,,,2,,,,15.8060001513958,,,,,,,29.9727917,29.9727917,1999.78625488281,1999.78625488281,,,6.273368,,,,-99999999,4885,30.0255,1999.78625488281,,,,,,,,,,,,,,,,,,,,,,,29.9727917,,,,
,48329509.015,29.9978275,1999.78625488281,0.000830007564719757,2.09674089230013E-7,1,0.999253354069792,40.0298881530762,1.99745743661692,15.7900005578995,0.00938157021958414,0.00172914399090917,0.25,6.67514568453536E-6,0.000826056345423522,1.12651729660202E-5,29.9978275,29.9978275,1999.78625488281,1999.78625488281,61.750997904795,20.7906845454068,6.646428,0,0,0,40,4881,30.0158,1999.78625488281,,,,,,,,,,,,,0,,,,2.7885947,,,,,,29.9978275,,,,
,48329515.61,29.9973869,1999.78625488281,0.000830493098071257,2.28375796503163E-7,1,0.999253354069792,40.0298881530762,1.99748160323308,15.7900005578995,0.00938743245266578,0.00172869428500679,0.25,6.54770834822004E-6,0.000826540753687899,1.11414481928982E-5,29.9973869,29.9973869,1999.78625488281,1999.78625488281,61.5235440056988,20.7923946221443,5.900308,0,0,0,40,4882,30.02065,1999.78625488281,,,,,,,,,,,,,0,,,,2.7885947,,,,,,29.9973869,,,,
,48329516.23,29.99752425,1999.78625488281,0.000830321930005567,2.73731168174659E-7,1,0.999253354069792,40.0298881530762,1.99761564230852,15.7900005578995,0.00938621828750047,0.00172782364728368,0.25,6.49018497102037E-6,0.000826371617789108,1.10840592732493E-5,29.9973869,29.9976616,1999.78625488281,1999.78625488281,61.3687815588911,20.7886106020557,6.273368,0,0,0,40,4882,30.03035,1999.78625488281,,,,,,,,,,,,,0,,,,2.7885947,,,,,,29.99752425,,,,
,48329517.39,29.9985876,1999.78625488281,0.000830634518468586,2.27194799278659E-7,1,0.999253354069792,40.0298881530762,1.9974106842009,15.7900005578995,0.00938898664445126,0.00172750096401791,0.25,6.42056672149466E-6,0.000826684054092503,1.10173567223444E-5,29.9976616,29.9995136,1999.78625488281,1999.78625488281,61.3797243581603,20.7880481320966,6.646428,0,0,0,40,4882,30.0404,1999.78625488281,,,,,,,,,,,,,0,,,,2.7885947,,,,,,29.9985876,,,,
,48329518.64,30.0008354,1999.78625488281,0.000830533403734482,2.67106753777614E-7,1,0.999253354069792,40.0298881530762,1.9974969824823,15.7900005578995,0.00938831490377975,0.00172694306209404,0.25,6.38176895086543E-6,0.000826584574003044,1.09790380754243E-5,29.9995136,30.0021572,1999.78625488281,1999.78625488281,61.2671698513911,20.7900307581457,6.273368,0,0,0,40,4882,30.0506,1999.78625488281,,,,,,,,,,,,,0,,,,2.7610135,,,,,,30.0008354,,,,
,48329520.715,30.0056324,1999.78625488281,0.000830508149713739,2.11304919416537E-7,1,0.999253354069792,40.0298881530762,1.99733161254813,15.7900005578995,0.00938698655261941,0.00172862841156727,0.25,6.54462331146884E-6,0.000826560857714433,1.11431024452021E-5,30.0056324,30.0056324,1999.78625488281,1999.78625488281,61.4336567259873,20.7888177801974,6.646428,0,0,0,40,4882,30.0757,1999.78625488281,,,,,,,,,,,,,0,,,,2.7608759,,,,,,30.0056324,,,,
,48329522.32,30.01396945,1999.78625488281,0.000830577717179907,2.04386168594922E-7,1,0.999253354069792,40.0298881530762,1.99756266386545,15.7900005578995,0.00938899015383882,0.00172814441459641,0.25,6.46923494999508E-6,0.000826633786738423,1.10714371378566E-5,30.0107327,30.0172062,1999.78625488281,1999.78625488281,60.7583296853718,20.7853783715621,6.273368,0,0,0,40,4882,30.11095,1999.78625488281,,,,,,,,,,,,,0,,,,2.7747353,,,,,,30.01396945,,,,
,48329524.12,30.0261669,1999.78625488281,0.000829989922746268,2.26637730761916E-7,1,0.999253354069792,40.0298881530762,1.99757848657466,15.7900005578995,0.00938249969278099,0.00172674408561563,0.25,6.44324511710689E-6,0.000826053125030337,1.10461409731937E-5,30.0261669,30.0261669,1999.78625488281,1999.78625488281,61.9432785205258,20.7969865974484,6.273368,0,0,0,40,4882,30.1564,1999.78625488281,,,,,,,,,,,,,0,,,,2.7608759,,,,,,30.0261669,,,,
,48329525.79,30.0497074,1999.78625488281,0.000830328299788389,2.47469819431591E-7,1,0.999253354069792,40.0298881530762,1.99760178756882,15.7900005578995,0.00938615112144522,0.00172929691981912,0.25,6.60337733374494E-6,0.000826392755788651,1.12108763600084E-5,30.0497074,30.0497074,1999.78625488281,1999.78625488281,61.199168170218,20.7916964778132,5.900308,0,0,0,40,4882,30.1972,1999.78625488281,,,,,,,,,,,,,0,,,,2.7608759,,,,,,30.0497074,,,,
