[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2 TB001X9 300 TO 30 K FCC
FILEOPENTIME,48325498.98,07/14/2026,4:08 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001X9,SAMPLE_COMMENT
INFO,4.4,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.09,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,48325533.83,299.9606934,1999.78625488281,,,2,,,,14.8359997502565,,,,,,,299.9606934,299.9606934,1999.78625488281,1999.78625488281,,,6.273368,,,,-99999999,4117,299.9384,1999.78625488281,,,,,,,,,,,,,,,,,,,,,,,299.9606934,,,,
,48325631.3,299.89112855,1999.78625488281,0.000160988713023228,3.31750963994169E-7,1,0.999253354069792,40.0298881530762,1.97485896810929,14.8200001567602,0.00181198070132714,0.000313375267533721,0.25,3.1519035797231E-7,0.000160984360333774,4.2200869199686E-7,299.8909607,299.8912964,1999.78625488281,1999.78625488281,60.789594826141,20.748115982926,6.273368,0,0,0,40,4881,300.129,1999.78625488281,,,,,,,,,,,,,0,,,,4.48199655,,,,,,299.89112855,,,,
,48325637.805,299.8925018,1999.78625488281,0.000160526826467877,3.50767386945543E-7,1,0.999253354069792,40.0298881530762,1.97491435469185,14.8200001567602,0.00180746486603712,0.000308771983033517,0.25,-1.54419620400127E-8,0.000160522696726393,9.10783854264727E-8,299.8920898,299.8929138,1999.78625488281,1999.78625488281,60.8497802221218,20.7468027327781,6.646428,0,0,0,40,4882,300.129,1999.78625488281,,,,,,,,,,,,,0,,,,4.5043836,,,,,,299.8925018,,,,
,48325638.54,299.8922424,1999.78625488281,0.000160422713637763,3.61700420718995E-7,1,0.999253354069792,40.0298881530762,1.9748785397606,14.8200001567602,0.00180586742190234,0.000310871028215982,0.25,1.89256544096157E-7,0.000160418452212878,2.9570374876836E-7,299.8920898,299.892395,1999.78625488281,1999.78625488281,61.1608683727757,20.7504250447377,6.273368,0,0,0,40,4882,300.1261,1999.78625488281,,,,,,,,,,,,,0,,,,4.48199655,,,,,,299.8922424,,,,
,48325639.73,299.89260865,1999.78625488281,0.000161130342024834,4.37144904209862E-7,1,0.999253354069792,40.0298881530762,1.97486769476696,14.8200001567602,0.00181378504064193,0.000312466314052257,0.25,2.10133155065609E-7,0.000161126046159888,3.17050604272466E-7,299.892395,299.8928223,1999.78625488281,1999.78625488281,60.698144289391,20.7481106814385,6.646428,0,0,0,40,4882,300.1232,1999.78625488281,,,,,,,,,,,,,0,,,,4.4596095,,,,,,299.89260865,,,,
,48325641.83,299.8916321,1999.78625488281,0.00016080603014554,4.45434661896603E-7,1,0.999253354069792,40.0298881530762,1.97483324958442,14.8200001567602,0.00181030637195437,0.000310649916113388,0.25,1.04662548150082E-7,0.00016080181514537,2.11405249323545E-7,299.8916321,299.8916321,1999.78625488281,1999.78625488281,60.5504164992564,20.7483820108052,6.646428,0,0,0,40,4882,300.0337,1999.78625488281,,,,,,,,,,,,,0,,,,4.4596095,,,,,,299.8916321,,,,
,48325642.49,299.8924713,1999.78625488281,0.000160893823154617,3.52915316046139E-7,1,0.999253354069792,40.0298881530762,1.97489592499693,14.8200001567602,0.00181066682266364,0.000314822801790278,0.25,4.59419636269934E-7,0.000160889363534673,5.66230334281284E-7,299.8916321,299.8933105,1999.78625488281,1999.78625488281,60.6121651522756,20.7494720775205,6.646428,0,0,0,40,4882,299.98895,1999.78625488281,,,,,,,,,,,,,0,,,,4.4596095,,,,,,299.8924713,,,,
,48325643.71,299.89295955,1999.78625488281,0.000160698339234721,3.2303725547619E-7,1,0.999253354069792,40.0298881530762,1.97492693924034,14.8200001567602,0.00180859125880741,0.000313875623050063,0.25,4.08273288404201E-7,0.000160693913845963,5.14974987495876E-7,299.8926086,299.8933105,1999.78625488281,1999.78625488281,60.8153885672757,20.749513970897,6.646428,0,0,0,40,4882,299.94275,1999.78625488281,,,,,,,,,,,,,0,,,,4.48199655,,,,,,299.89295955,,,,
,48325644.905,299.89329525,1999.78625488281,0.000160616302696617,2.91309741684429E-7,1,0.999253354069792,40.0298881530762,1.97489186349066,14.8200001567602,0.0018070313896095,0.000317254898643175,0.25,7.22900802173582E-7,0.00016061166840235,8.29540491568443E-7,299.8926086,299.8939819,1999.78625488281,1999.78625488281,60.8067906535641,20.7484386400678,6.646428,0,0,0,40,4882,299.9413,1999.78625488281,,,,,,,,,,,,,0,,,,4.5043836,,,,,,299.89329525,,,,
,48325646.885,299.8922424,1999.78625488281,0.000160952062663274,3.61176783709251E-7,1,0.999253354069792,40.0298881530762,1.9749498262263,14.8200001567602,0.00181259491623033,0.000307775362272519,0.25,-1.77190435396744E-7,0.000160948023695573,-7.03032794645486E-8,299.8922424,299.8922424,1999.78625488281,1999.78625488281,61.0811422638142,20.7484746857078,6.646428,0,0,0,40,4882,299.9384,1999.78625488281,,,,,,,,,,,,,0,,,,4.5043836,,,,,,299.8922424,,,,
