[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,44183504.09,05/27/2026,5:33 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001,SAMPLE_COMMENT
INFO,3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44184454.94,300.0839539,1999.80737304687,,,2,,,,18.6960004351139,,,,,,,300.0839539,300.0839539,1999.80737304687,1999.80737304687,,,4.408067,,,,-99999999,4917,299.9056,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,300.0839539,,,,
,44184562.17,299.9465332,1999.80737304687,8.31496023344314E-6,3.66762812439843E-7,1,0.999253354069792,40.0298881530762,1.99114334304537,18.6800006777048,9.316077981984E-5,2.31136833646888E-5,0.25,6.15596539946164E-7,8.31432001489796E-6,6.21098720697979E-7,299.9463806,299.9466858,1999.80737304687,1999.80737304687,60.5902795537372,20.7166825876467,4.781127,0,0,0,40,4881,300.04535,1999.80737304687,,,,,,,,,,,,,0,,,,2.27222195,,,,,,299.9465332,,,,
,44184568.91,299.9437866,1999.80737304687,8.65900892892143E-6,3.61788309332401E-7,1,0.999253354069792,40.0298881530762,1.99116679275237,18.6800006777048,9.80745372795726E-5,1.78810320727356E-5,0.25,9.56430518484647E-8,8.65870485487172E-6,1.01391139287068E-7,299.9437866,299.9437866,1999.80737304687,1999.80737304687,60.6426486645257,20.7194071558191,4.781127,0,0,0,40,4882,299.9114,1999.80737304687,,,,,,,,,,,,,0,,,,2.2608724,,,,,,299.9437866,,,,
,44184569.585,299.94369505,1999.80737304687,8.07519763744067E-6,3.80808815215688E-7,1,0.999253354069792,40.0298881530762,1.99110812823306,18.6800006777048,9.18136402482419E-5,1.4603426838181E-5,0.25,-9.33629759690235E-8,8.07503533547124E-6,-8.79973671753271E-8,299.9436035,299.9437866,1999.80737304687,1999.80737304687,60.5988774674487,20.718686872253,4.781127,0,0,0,40,4882,299.9114,1999.80737304687,,,,,,,,,,,,,0,,,,2.2608724,,,,,,299.94369505,,,,
,44184570.785,299.94332885,1999.80737304687,8.02552950446314E-6,3.71409756599128E-7,1,0.999253354069792,40.0298881530762,1.99106968541671,18.6800006777048,9.04127911062284E-5,1.93951465724075E-5,0.25,3.37432720359975E-7,8.02508258709104E-6,3.42753381232194E-7,299.9430542,299.9436035,1999.80737304687,1999.80737304687,60.5371288144295,20.7170129430298,4.408067,0,0,0,40,4882,299.9114,1999.80737304687,,,,,,,,,,,,,0,,,,2.2608724,,,,,,299.94332885,,,,
,44184571.86,299.94319155,1999.80737304687,8.66649907442964E-6,3.36673362594349E-7,1,0.999253354069792,40.0298881530762,1.99118478625365,18.6800006777048,9.81850522979728E-5,1.77513806570325E-5,0.25,8.29239222804338E-8,8.6662034345128E-6,8.86773395243112E-8,299.9430542,299.9433289,1999.80737304687,1999.80737304687,60.5519797562949,20.7155787938508,4.408067,0,0,0,40,4882,299.9114,1999.80737304687,,,,,,,,,,,,,0,,,,2.27222195,,,,,,299.94319155,,,,
,44184572.985,299.9425354,1999.80737304687,8.76177641979621E-6,4.35192117160846E-7,1,0.999253354069792,40.0298881530762,1.99115387527626,18.6800006777048,9.83489362985827E-5,2.32938732186301E-5,0.25,5.55087356347513E-7,8.76116476748446E-6,5.60890991166768E-7,299.9417419,299.9433289,1999.80737304687,1999.80737304687,60.6277977226603,20.7165918055472,4.781127,0,0,0,40,4882,299.90995,1999.80737304687,,,,,,,,,,,,,0,,,,2.27222195,,,,,,299.9425354,,,,
,44184574.165,299.9417419,1999.80737304687,9.00805002468944E-6,3.88792728572329E-7,1,0.999253354069792,40.0298881530762,1.99110507930873,18.6800006777048,0.000101558754189739,2.13282147201447E-5,0.25,3.39813794311194E-7,9.00757477953556E-6,3.45787003725538E-7,299.9417419,299.9417419,1999.80737304687,1999.80737304687,60.5871530396603,20.7185421820316,4.781127,0,0,0,40,4882,299.9085,1999.80737304687,,,,,,,,,,,,,0,,,,2.2608724,,,,,,299.9417419,,,,
,44184575.29,299.941864,1999.80737304687,8.60934590588588E-6,4.1783696541697E-7,1,0.999253354069792,40.0298881530762,1.99115677546454,18.6800006777048,9.65551553349361E-5,2.33737635472387E-5,0.25,5.88179749733516E-7,8.60871671131084E-6,5.93881312084173E-7,299.9417419,299.9419861,1999.80737304687,1999.80737304687,60.9935998696603,20.7188487112853,4.408067,0,0,0,40,4882,299.90705,1999.80737304687,,,,,,,,,,,,,0,,,,2.2608724,,,,,,299.941864,,,,
,44184576.465,299.94140625,1999.80737304687,8.44404547501286E-6,3.04673381795949E-7,1,0.999253354069792,40.0298881530762,1.99113281402377,18.6800006777048,9.54861276320012E-5,1.8326806031083E-5,0.25,1.71696104343927E-7,8.44369760920757E-6,1.77299458675471E-7,299.9408264,299.9419861,1999.80737304687,1999.80737304687,60.6152916663526,20.7179469204785,4.781127,0,0,0,40,4882,299.9056,1999.80737304687,,,,,,,,,,,,,0,,,,2.2608724,,,,,,299.94140625,,,,
