[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,KYBSE2_HPARA_AB_0P2T_FCW
FILEOPENTIME,44255847.98,05/28/2026,1:39 pm
BYAPP,VSM,2.0,2.0
INFO,PPMS VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,MMC920,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM672,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,659,PREAMP_SERIAL_NUMBER
INFO,749,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KYbSe2,SAMPLE_MATERIAL
INFO,TB001,SAMPLE_COMMENT
INFO,3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,370.06,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,PPMS Status (code),System Temp. (K),System Field (Oe),Sample Position (deg),Bridge 1 Resistance (ohms),Bridge 1 Excitation (µA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (µA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (µA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (µA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (W),Drive 2 Iout (mA),Drive 2 Ipower (W),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,44255880.41,4.9937334,1999.80737304687,,,2,,,,20.1560003764033,,,,,,,4.9937334,4.9937334,1999.80737304687,1999.80737304687,,,5.527248,,,,-99999999,4885,5.0031,1999.80737304687,,,,,,,,,,,,,,,,,,,,,,,4.9937334,,,,
,44255979.915,4.998225,1999.80737304687,0.000190305996040749,2.55145416549357E-7,1,0.999253354069792,40.0298881530762,1.99854866151989,20.1399996876717,0.00215093273806429,0.000396612110813476,0.25,1.66693446137842E-6,0.000189295634058833,2.59574421624643E-6,4.9973021,4.9991479,1999.80737304687,1999.80737304687,62.0816267684296,20.7972768346392,5.527248,0,0,0,40,4881,5.00315,1999.80737304687,,,,,,,,,,,,,0,,,,0.1832897,,,,,,4.998225,,,,
,44255986.485,5.0136752,1999.80737304687,0.000190622928826567,2.32641027640292E-7,1,0.999253354069792,40.0298881530762,1.9981305437176,20.1399996876717,0.00215421709411141,0.000396442850153562,0.25,1.60338950448505E-6,0.000189611210093947,2.53409531987041E-6,5.0136752,5.0136752,1999.80737304687,1999.80737304687,60.9701510140834,20.8118775802994,5.527248,0,0,0,40,4882,5.03755,1999.80737304687,,,,,,,,,,,,,0,,,,0.1823742,,,,,,5.0136752,,,,
,44255993.53,5.1548965,1999.80737304687,0.000188754639064653,2.42163071977062E-7,1,0.999253354069792,40.0298881530762,1.99790445663076,20.1399996876717,0.00213357657484546,0.00038850630124691,0.25,1.23343737919266E-6,0.000187754573085012,2.1568866904767E-6,5.1357942,5.1739988,1999.80737304687,1999.80737304687,60.9685877570449,20.8194697870961,5.154188,0,0,0,40,4882,5.18325,1999.80737304687,,,,,,,,,,,,,0,,,,0.1860546,,,,,,5.1548965,,,,
,44256001.75,5.2921987,1999.80737304687,0.000187123576112701,2.2748016729999E-7,1,0.999253354069792,40.0298881530762,1.99827012037045,20.1399996876717,0.00211560011028282,0.000384694553578176,0.25,1.17668349549931E-6,0.000186132370006813,2.09239575427389E-6,5.2921987,5.2921987,1999.80737304687,1999.80737304687,60.9912549841026,20.807283063955,5.527248,0,0,0,40,4882,5.3082,1999.80737304687,,,,,,,,,,,,,0,,,,0.1879226,,,,,,5.2921987,,,,
,44256011.195,5.449244,1999.80737304687,0.000185296648067029,2.15020898772106E-7,1,0.999253354069792,40.0298881530762,1.99857358914086,20.1399996876717,0.00209457829368409,0.00038481298284972,0.25,1.50258003979735E-6,0.00018431344578561,2.40757515600099E-6,5.449244,5.449244,1999.80737304687,1999.80737304687,60.792721340218,20.7922950838522,5.154188,0,0,0,40,4882,5.4839,1999.80737304687,,,,,,,,,,,,,0,,,,0.191715,,,,,,5.449244,,,,
,44256022.53,5.626678,1999.80737304687,0.000183352532802687,2.56724497043032E-7,1,0.999253354069792,40.0298881530762,1.99819444827281,20.1399996876717,0.00207252515629036,0.000379009011749265,0.25,1.3368139469268E-6,0.000182380371064525,2.23310369331225E-6,5.626678,5.626678,1999.80737304687,1999.80737304687,60.833366023218,20.8101370878823,5.527248,0,0,0,40,4882,5.6592,1999.80737304687,,,,,,,,,,,,,0,,,,0.1955839,,,,,,5.626678,,,,
,44256030.605,5.7693911,1999.80737304687,0.000181335458427658,2.3959761815912E-7,1,0.999253354069792,40.0298881530762,1.99843902916683,20.1500002294779,0.00204965181764371,0.000376663611125966,0.25,1.4793988050427E-6,0.000180373204208015,2.36499991038786E-6,5.7693911,5.7693911,1999.80737304687,1999.80737304687,60.6090386381987,20.8078266610872,5.154188,0,0,0,40,4882,5.8058,1999.80737304687,,,,,,,,,,,,,0,,,,0.1995309,,,,,,5.7693911,,,,
,44256039.62,5.92845225,1999.80737304687,0.000180027038564254,2.57119564268001E-7,1,0.999253354069792,40.0298881530762,1.99780850719397,20.1399996876717,0.00203392025374679,0.000375718822413757,0.25,1.63534296760363E-6,0.000179070891714039,2.51367637666487E-6,5.9195557,5.9373488,1999.80737304687,1999.80737304687,60.6340507508141,20.8200918661286,5.527248,0,0,0,40,4882,5.9531,1999.80737304687,,,,,,,,,,,,,0,,,,0.2025459,,,,,,5.92845225,,,,
,44256051.665,6.101603,1999.80737304687,0.00017790363294683,2.21998444234315E-7,1,0.999253354069792,40.0298881530762,1.99858390735645,20.1399996876717,0.0020110175934128,0.000369460671825181,0.25,1.44257351517122E-6,0.000176959601105564,2.31146043422226E-6,6.101603,6.101603,1999.80737304687,1999.80737304687,60.9576449577757,20.7989457526596,5.527248,0,0,0,40,4882,6.1237,1999.80737304687,,,,,,,,,,,,,0,,,,0.2056013,,,,,,6.101603,,,,
,44256060.635,6.27141765,1999.80737304687,0.000176412549715739,2.3733060256434E-7,1,0.999253354069792,40.0298881530762,1.99779421428651,20.1399996876717,0.00199392511307927,0.000363297685655252,0.25,1.1716901406301E-6,0.000175477686917048,2.03465727460297E-6,6.260397,6.2824383,1999.80737304687,1999.80737304687,61.0381526952565,20.821745583439,5.527248,0,0,0,40,4882,6.30405,1999.80737304687,,,,,,,,,,,,,0,,,,0.208708,,,,,,6.27141765,,,,
,44256072.12,6.454149,1999.80737304687,0.000174375325929799,2.06640263619455E-7,1,0.999253354069792,40.0298881530762,1.99811288609494,20.1399996876717,0.00197036479462846,0.000363910717280223,0.25,1.57820657170677E-6,0.000173449168569273,2.4289956000259E-6,6.4386744,6.4696236,1999.80737304687,1999.80737304687,61.1061543764295,20.8107956024962,5.154188,0,0,0,40,4882,6.4963,1999.80737304687,,,,,,,,,,,,,0,,,,0.2118563,,,,,,6.454149,,,,
,44256083.84,6.651258,1999.80737304687,0.000172675902820666,2.72580856044805E-7,1,0.999253354069792,40.0298881530762,1.99767700992006,20.1399996876717,0.0019513002388377,0.000357187202832911,0.25,1.28868193441535E-6,0.000171760098085356,2.13262289481102E-6,6.651258,6.651258,1999.80737304687,1999.80737304687,61.2554454236026,20.8246024199944,5.527248,0,0,0,40,4882,6.6999,1999.80737304687,,,,,,,,,,,,,0,,,,0.2161317,,,,,,6.651258,,,,
,44256095.545,6.8397179,1999.80737304687,0.000170833005256461,2.08250603533389E-7,1,0.999253354069792,40.0298881530762,1.99769007700103,20.1399996876717,0.00193006884844575,0.000355759540761342,0.25,1.48546713034077E-6,0.000169925912751809,2.31929185483262E-6,6.8397179,6.8397179,1999.80737304687,1999.80737304687,61.2796759076988,20.8245202285178,5.154188,0,0,0,40,4882,6.8866,1999.80737304687,,,,,,,,,,,,,0,,,,0.2183017,,,,,,6.8397179,,,,
,44256107.475,7.0407043,1999.80737304687,0.000169066635335965,2.18801144168251E-7,1,0.999253354069792,40.0298881530762,1.99787580298763,20.1399996876717,0.00191024025863455,0.000352346170577059,0.25,1.49078323570517E-6,0.000168168792431864,2.31587714624917E-6,7.0407043,7.0407043,1999.80737304687,1999.80737304687,60.3253074857179,20.82385865414,5.154188,0,0,0,40,4882,7.0799,1999.80737304687,,,,,,,,,,,,,0,,,,0.2204934,,,,,,7.0407043,,,,
,44256119.395,7.235765,1999.80737304687,0.000167429901928645,2.8231837044371E-7,1,0.999253354069792,40.0298881530762,1.99776563491209,20.1399996876717,0.00189177910643521,0.000348166371242961,0.25,1.4100402503051E-6,0.000166541049422351,2.22749531947257E-6,7.2270322,7.2444978,1999.80737304687,1999.80737304687,61.5329235479296,20.8246781407659,5.154188,0,0,0,40,4882,7.2569,1999.80737304687,,,,,,,,,,,,,0,,,,0.22382515,,,,,,7.235765,,,,
