[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3949021273.91818,02/18/2025,6:24 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 L2,MOTOR_HW_VERSION
INFO,MMC884,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM641,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,VPA645,PREAMP_SERIAL_NUMBER
INFO,740,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NbTi,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,4.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 33.45 mm,3949023440.0785,1.8950572013855,-0.198127150535583,1.69915647244546E-5,2.24559583779759E-7,1,0.999253354069792,40.0298881530762,1.99975402877849,17.8900007158518,0.00018685191252033,2.77941438143734E-5,0.25,-4.63479766848912E-7,1.68799828183498E-5,-3.78555627138093E-7,1.8950572013855,1.8950572013855,-0.198127150535583,-0.198127150535583,55.636317998852,20.58955794547,2.10288000106812,0,0,0,40,1.8951381444931,1,4,1,2.249755859375,29.8142719268799,,,,,,,,,,,,,,,,
,3949023448.8235,1.90077793598175,24.8368652313948,-5.65179210634508E-5,1.50071310980177E-5,1,0.999253354069792,40.0298881530762,1.99961711246374,17.8900007158518,-0.000613924646698863,-0.000135152437485345,0.25,-2.36104863211806E-6,-5.61280059306778E-5,-2.61741694571188E-6,1.90067672729492,1.90067672729492,-0.162104040384293,49.8358345031738,55.5331430343136,20.5858650441489,2.12183141708374,0,0,0,40,1.90340924263,1,6,1,2.2503662109375,30.7917900085449,,,,,,,,,,,,,,,,
,3949023449.827,1.90108573436737,101.761766433716,-0.00154794136851496,0.000129047661625234,1,0.999253354069792,40.0298881530762,1.99966400004948,17.8999993950129,-0.0168894065139656,-0.00328008759590852,0.25,-2.61344978294894E-5,-0.00153745086435522,-3.34179229226373E-5,1.90087914466858,1.90087914466858,49.8358345031738,153.687698364258,55.4080824712366,20.5866538982076,2.12312078475952,0,0,0,40,1.90513980388641,1,6,1,2.24441528320313,31.7693061828613,,,,,,,,,,,,,,,,
,3949023450.8215,1.9020259976387,197.318450927734,-0.00542198417210369,0.000219144594974564,1,0.999253354069792,40.0298881530762,1.99990374210181,17.8900007158518,-0.0592129184412012,-0.0112224639868931,0.25,-6.70298027663505E-5,-0.00538537351503474,-9.272537450705E-5,1.90129232406616,1.90129232406616,153.687698364258,240.949203491211,55.9247389224482,20.5872917889817,2.12482070922852,0,0,0,40,1.90940976142883,1,6,1,2.24578857421875,31.2805480957031,,,,,,,,,,,,,,,,
,3949023451.824,1.90473973751068,289.800590515137,-0.0107865040009742,0.000266845766530417,1,0.999253354069792,40.0298881530762,1.99960342666518,17.8900007158518,-0.11781543334683,-0.0221330884614702,0.25,-0.000115964190493466,-0.0107137894898596,-0.000167241260982587,1.90275967121124,1.90275967121124,240.949203491211,338.651977539063,55.4987513794674,20.5843740467928,2.1266176700592,0,0,0,40,1.90539014339447,1,6,1,2.249755859375,31.7693061828613,,,,,,,,,,,,,,,,
,3949023453.7115,1.90599697828293,477.256072998047,-0.0235936398614429,0.00031110261181281,1,0.999253354069792,40.0298881530762,1.99964327559841,17.8900007158518,-0.257788971868767,-0.047955184954321,2.5,-0.000211558566379583,-0.0234349624724333,-0.000324202754046827,1.90671980381012,1.90671980381012,338.651977539063,615.860168457031,55.0500966094289,20.5878511506282,2.1291139125824,0,0,0,40,1.90539014339447,1,6,1,2.2412109375,32.2580642700195,,,,,,,,,,,,,,,,
,3949023455.198,1.90527415275574,625.812835693359,-0.0304813654460412,0.000317976805085699,1,0.999253354069792,40.0298881530762,1.99964327559841,17.8900007158518,-0.333068029053892,-0.0618405203496372,2.5,-0.000262618220614862,-0.0302766046113676,-0.000408441335885908,1.90527415275574,1.90527415275574,615.860168457031,635.765502929688,55.2392507110828,20.5878511506282,2.12965512275696,0,0,0,40,1.90539014339447,1,6,1,2.2393798828125,32.2580642700195,,,,,,,,,,,,,,,,
,3949023455.8165,1.90379148721695,685.482666015625,-0.0374917167932584,0.000321012810694923,1,0.999253354069792,40.0298881530762,1.99959976199287,17.8900007158518,-0.409671014637916,-0.0760125592566362,2.5,-0.000318410470725275,-0.0372399818307344,-0.000497915902075519,1.90527415275574,1.90527415275574,635.765502929688,735.199829101562,55.5362695483905,20.5869603185265,2.1299033164978,0,0,0,40,1.89901947975159,1,6,1,2.25067138671875,32.2580642700195,,,,,,,,,,,,,,,,
,3949023456.8515,1.90140354633331,790.041076660156,-0.0445383504141458,0.000322833988282478,1,0.999253354069792,40.0298881530762,1.99963671284105,17.8900007158518,-0.486694496086986,-0.0902203465995412,2.5,-0.000370621481193856,-0.0442395434401387,-0.000584158876284167,1.90230882167816,1.90230882167816,735.199829101562,844.88232421875,55.9974303747367,20.5849316670681,2.13033604621887,0,0,0,40,1.89640367031097,1,6,1,2.24533081054687,31.7693061828613,,,,,,,,,,,,,,,,
,3949023457.8715,1.89821529388428,894.709350585938,-0.0516268494580716,0.000321877398439662,1,0.999253354069792,40.0298881530762,1.99979095039159,17.8999993950129,-0.564207745620329,-0.10453410747817,2.5,-0.000424440641839699,-0.051280755447864,-0.000672286808581512,1.90049827098846,1.90049827098846,844.88232421875,944.536376953125,55.2611363096212,20.5920337683513,2.13056683540344,0,0,0,40,1.8947194814682,1,6,1,2.23907470703125,32.7468223571777,,,,,,,,,,,,,,,,
