[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3949032684.06665,02/18/2025,9:34 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 L2,MOTOR_HW_VERSION
INFO,MMC884,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM641,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,VPA645,PREAMP_SERIAL_NUMBER
INFO,740,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NbTi,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,4.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 33.45 mm,3949034841.958,2.99771189689636,0.180115595459938,5.98488683327171E-5,1.62387665571301E-7,1,0.999253354069792,40.0298881530762,1.99885145499427,17.8900007158518,0.000654580234933492,0.00011642069067825,0.25,6.45081391264282E-8,5.9447697358696E-5,3.52266973338461E-7,2.99771189689636,2.99771189689636,0.180115595459938,0.180115595459938,55.1298227183905,20.6106161306307,2.83460068702698,0,0,0,40,3.00257730484009,1,4,1,2.24075317382813,29.8142719268799,,,,,,,,,,,,,,,,
,3949034850.101,2.99955582618713,11.4905831441283,5.76568516793168E-5,1.1313401290535E-6,1,0.999253354069792,40.0298881530762,1.99880816207309,17.8900007158518,0.000631171792072233,0.000108878695100582,0.25,-2.37316646631701E-7,5.72718265766926E-5,4.19209151781893E-8,2.99903798103333,2.99903798103333,0.126080915331841,22.8550853729248,54.8288957384866,20.6055976018029,2.84743094444275,0,0,0,40,3.00672888755798,1,6,1,2.24365234375,31.7693061828613,,,,,,,,,,,,,,,,
,3949034851.1275,3.0004221200943,69.3218297958374,-0.000572470897488278,7.75181485982015E-5,1,0.999253354069792,40.0298881530762,1.99873381790493,17.8900007158518,-0.00623723123868136,-0.00124745396830519,0.25,-1.28585772883437E-5,-0.000568575527902548,-1.55301705739167E-5,3.00007367134094,3.00007367134094,22.8550853729248,115.78857421875,55.2486302533135,20.6113184724965,2.84842801094055,0,0,0,40,3.00792670249939,1,6,1,2.24227905273438,31.2805480957031,,,,,,,,,,,,,,,,
,3949034852.125,3.00125479698181,164.013816833496,-0.0035106990843678,0.000187688680057117,1,0.999253354069792,40.0298881530762,1.9988442497485,17.8900007158518,-0.0383115776553266,-0.00731434394764072,0.25,-4.81163416265747E-5,-0.00348696863617629,-6.47178790140707E-5,3.00077056884766,3.00077056884766,115.78857421875,212.239059448242,55.9911773465829,20.6114841925563,2.8496196269989,0,0,0,40,3.01026892662048,1,6,1,2.24258422851562,29.8142719268799,,,,,,,,,,,,,,,,
,3949034853.1615,3.00324165821075,265.861427307129,-0.00835345738544269,0.000249648849197953,1,0.999253354069792,40.0298881530762,1.99882009379266,17.8900007158518,-0.0911957756474473,-0.0171953854453685,0.25,-9.54008835682636E-5,-0.0082971135271073,-0.000135065688899908,3.00173902511597,3.00173902511597,212.239059448242,319.483795166016,56.0435464573713,20.6125843050971,2.85059547424316,0,0,0,40,3.01257014274597,1,6,1,2.24273681640625,31.7693061828613,,,,,,,,,,,,,,,,
,3949034854.168,3.00554287433624,363.814041137695,-0.014202533518075,0.000282402536041448,1,0.999253354069792,40.0298881530762,1.99886379840923,17.8900007158518,-0.155085148718373,-0.0290638975229759,0.25,-0.0001463817223454,-0.0141068654869911,-0.000213987057678781,3.00474429130554,3.00474429130554,319.483795166016,408.144287109375,55.3338277619097,20.6158953222485,2.85227584838867,0,0,0,40,3.01363396644592,1,6,1,2.24456787109375,31.7693061828613,,,,,,,,,,,,,,,,
,3949034855.125,3.00680649280548,457.690322875977,,,1,0.999253354069792,40.0298881530762,1.99883829156472,17.8900007158518,-0.223973332320576,-0.0418743815888549,0.25,,,,3.00634145736694,3.00634145736694,408.144287109375,507.236358642578,55.392449900852,20.6055740583493,2.85260581970215,1,0,,40,3.00600743293762,1,6,1,2.254638671875,32.2580642700195,,,,,,,,,,,,,,,,
,3949034856.895,3.00434756278992,631.363418579102,-0.0342960631891796,0.000316733261847828,1,0.999253354069792,40.0298881530762,1.99870781813914,17.8900007158518,-0.374588436443197,-0.0695293570384695,2.5,-0.000293684321928755,-0.034065706268187,-0.000457778792668682,3.00727152824402,3.00727152824402,507.236358642578,755.490478515625,55.4463822686789,20.6102880812616,2.8544065952301,0,0,0,40,3.00600743293762,1,6,1,2.24380493164062,32.7468223571777,,,,,,,,,,,,,,,,
,3949034858.3965,3.00142359733582,780.391571044922,-0.0412425598759909,0.000318898024152911,1,0.999253354069792,40.0298881530762,1.99886356247073,17.8900007158518,-0.450508827905655,-0.0835447063897129,2.5,-0.000346069468680436,-0.0409658478134397,-0.000543765372465697,3.00142359733582,3.00142359733582,755.490478515625,805.292663574219,56.0240057443905,20.611354478223,2.85420942306519,0,0,0,40,3.00310015678406,1,6,1,2.2418212890625,32.2580642700195,,,,,,,,,,,,,,,,
,3949034859.1325,2.99938178062439,855.159454345703,-0.0482401865970047,0.000318801913335271,1,0.999253354069792,40.0298881530762,1.9989859320033,17.8900007158518,-0.52698103061543,-0.0977146268568495,2.5,-0.00040357993528624,-0.0479166928626999,-0.000635018662068518,3.00142359733582,3.00142359733582,805.292663574219,905.026245117187,56.0083731740059,20.60681931766,2.85470366477966,0,0,0,40,3.00080966949463,1,6,1,2.2381591796875,29.8142719268799,,,,,,,,,,,,,,,,
,3949034860.1075,2.99643361568451,949.833923339844,-0.0552299879385959,0.000318523026332358,1,0.999253354069792,40.0298881530762,1.99887597403698,17.8900007158518,-0.603320016438389,-0.111808577149375,2.5,-0.000456368533465775,-0.054859888956444,-0.000721662818908874,2.99733996391296,2.99733996391296,905.026245117187,994.6416015625,55.4659229816597,20.6124071545494,2.85493683815002,0,0,0,40,2.99847197532654,1,6,1,2.25921630859375,32.2580642700195,,,,,,,,,,,,,,,,
,3949034861.083,2.99428594112396,1044.47039794922,-0.0621941052115178,0.000319129380493329,1,0.999253354069792,40.0298881530762,1.99883836826938,17.8900007158518,-0.679401614485539,-0.125813482814337,2.5,-0.0005052080216944,-0.0617776575157059,-0.000804336795548544,2.99552726745605,2.99552726745605,994.6416015625,1094.29919433594,55.8825309824098,20.6171698897283,2.85539078712463,0,0,0,40,2.99870276451111,1,6,1,2.25677490234375,33.2355842590332,,,,,,,,,,,,,,,,
,3949034862.088,2.99306321144104,1143.96826171875,-0.0691031160693838,0.000315003594980968,1,0.999253354069792,40.0298881530762,1.99891790249248,17.8900007158518,-0.754898721065016,-0.139842689689724,2.5,-0.000565233851837181,-0.0686407156858069,-0.000897952254298848,2.99304461479187,2.99304461479187,1094.29919433594,1193.63732910156,55.558155146929,20.6134573703204,2.85576295852661,0,0,0,40,2.99958539009094,1,6,1,2.244873046875,32.2580642700195,,,,,,,,,,,,,,,,
,3949034863.087,2.99327969551086,1243.58276367188,-0.075925895097499,0.000310078982953025,1,0.999253354069792,40.0298881530762,1.99877974741605,17.8900007158518,-0.829412123855811,-0.153470539024321,2.5,-0.00060507469436208,-0.0754182863520425,-0.000971181190647164,2.99308180809021,2.99308180809021,1193.63732910156,1293.52819824219,55.4370027264482,20.6108488600059,2.85706853866577,0,0,0,40,3.0005898475647,1,6,1,2.2418212890625,32.7468223571777,,,,,,,,,,,,,,,,
,3949034864.079,2.99423360824585,1343.43304443359,-0.0827035740214764,0.000307788647858844,1,0.999253354069792,40.0298881530762,1.99869269337281,17.8900007158518,-0.903387706090875,-0.167338402240745,2.5,-0.000674524942588504,-0.0821509860898986,-0.00107368831210687,2.99347758293152,2.99347758293152,1293.52819824219,1393.337890625,55.6925952522367,20.6111156259945,2.85718870162964,0,0,0,40,3.00228548049927,1,6,1,2.24746704101562,32.7468223571777,,,,,,,,,,,,,,,,
,3949034865.0755,2.9961462020874,1443.22698974609,-0.0894448775552076,0.000307146830290058,1,0.999253354069792,40.0298881530762,1.99895993542678,17.8999993950129,-0.97718886456777,-0.180800408642163,2.5,-0.000710531552664808,-0.0888477888666387,-0.00114288132499829,2.99498963356018,2.99498963356018,1393.337890625,1493.11608886719,55.8403230423713,20.6116717434723,2.8581702709198,0,0,0,40,3.00419902801514,1,6,1,2.24273681640625,32.7468223571777,,,,,,,,,,,,,,,,
,3949034866.099,2.99785602092743,1547.99285888672,-0.0961678845643958,0.00030664342352978,1,0.999253354069792,40.0298881530762,1.99885601511932,17.8900007158518,-1.05061123246105,-0.194272041352073,2.5,-0.000753335662193799,-0.095526482795559,-0.00121885175217898,2.99730277061462,2.99730277061462,1493.11608886719,1602.86962890625,55.8825309824098,20.611381082807,2.85883259773254,0,0,0,40,3.00640916824341,1,6,1,2.24456787109375,33.2355842590332,,,,,,,,,,,,,,,,
,3949034867.1005,2.99944221973419,1647.82305908203,-0.102881241774257,0.000305558212482713,1,0.999253354069792,40.0298881530762,1.99877677142774,17.8900007158518,-1.12388183063381,-0.208024317847992,2.5,-0.000823328892291913,-0.102195511243912,-0.00132184463167788,2.99840927124023,2.99840927124023,1602.86962890625,1692.77648925781,55.9106696091021,20.6113500806932,2.85963487625122,0,0,0,40,3.00714564323425,1,6,1,2.22671508789062,33.2355842590332,,,,,,,,,,,,,,,,
,3949034868.114,3.00079321861267,1747.61926269531,-0.109533664880634,0.000303838217613889,1,0.999253354069792,40.0298881530762,1.99876083688619,17.8900007158518,-1.19656410928658,-0.221398849126723,2.5,-0.000868951110728868,-0.108804204952038,-0.00140041673637528,3.00047516822815,3.00047516822815,1692.77648925781,1802.46203613281,55.6011447154867,20.6070094147526,2.86050653457642,0,0,0,40,3.00795578956604,1,6,1,2.23892211914062,33.2355842590332,,,,,,,,,,,,,,,,
,3949034869.1125,3.0015115737915,1847.49011230469,-0.116136750826251,0.000301643322918136,1,0.999253354069792,40.0298881530762,1.99901400977012,17.8900007158518,-1.26885903807646,-0.234760886470789,2.5,-0.000919332452013375,-0.115363942216417,-0.00148356255883899,3.00111126899719,3.00111126899719,1802.46203613281,1892.51818847656,55.8997268098328,20.6168401969486,2.86079120635986,0,0,0,40,3.00812649726868,1,6,1,2.23602294921875,33.7243423461914,,,,,,,,,,,,,,,,
,3949034870.0935,3.0020067691803,1947.49310302734,-0.122716487254988,0.000300688248892681,1,0.999253354069792,40.0298881530762,1.9987619470024,17.8900007158518,-1.34061251041613,-0.247924398116778,2.5,-0.000960735221719102,-0.121900607030619,-0.00155776352133196,3.00191187858582,3.00191187858582,1892.51818847656,2002.46801757813,55.7910804456597,20.6107249622682,2.86151075363159,0,0,0,40,3.00818991661072,1,6,1,2.25753784179687,33.7243423461914,,,,,,,,,,,,,,,,
,3949034871.0925,3.0020557641983,2047.42578125,-0.1292510227711,0.000297392655089034,1,0.999253354069792,40.0298881530762,1.99896602763123,17.8900007158518,-1.41210733222607,-0.261356389444065,2.5,-0.00102969238793418,-0.128392311922685,-0.00165920245929202,3.00210165977478,3.00210165977478,2002.46801757813,2092.38354492187,55.995085489179,20.6129512972382,2.86161065101624,0,0,0,40,3.00749087333679,1,6,1,2.24075317382813,33.7243423461914,,,,,,,,,,,,,,,,
,3949034872.0895,3.00184369087219,2142.32373046875,-0.135725622808572,0.000297445122613515,1,0.999253354069792,40.0298881530762,1.99874325647695,17.8900007158518,-1.48273150960464,-0.27421707057767,2.5,-0.00106182156985989,-0.134824699288652,-0.00172380676660423,3.00200986862183,3.00200986862183,2092.38354492187,2192.26391601562,55.229871168852,20.6121349259206,2.86188149452209,0,0,0,40,3.00611639022827,1,6,1,2.24105834960938,33.7243423461914,,,,,,,,,,,,,,,,
,3949034873.8815,3.00098061561584,2321.73425292969,-0.148607366968956,0.0002922443403406,1,0.999253354069792,40.0298881530762,1.99870126672893,17.8900007158518,-1.62347574615136,-0.300048779730192,25,-0.00114341668004449,-0.147622515614884,-0.00187005733209685,3.00167751312256,3.00167751312256,2192.26391601562,2451.20458984375,55.7285501641213,20.6108954081987,2.86292815208435,0,0,0,40,3.00611639022827,1,6,1,2.242431640625,33.2355842590332,,,,,,,,,,,,,,,,
,3949034875.407,3.00021874904633,2476.10388183594,-0.154928013847455,0.000287188094304417,1,0.999253354069792,40.0298881530762,1.99900392836265,17.8900007158518,-1.69277513927572,-0.312910051369572,25,-0.00119524305969761,-0.153902611370818,-0.0019543117151687,3.00028371810913,3.00028371810913,2451.20458984375,2501.00317382813,55.4643597246213,20.6137236364271,2.8626663684845,0,0,0,40,3.00616049766541,1,6,1,2.2540283203125,33.7243423461914,,,,,,,,,,,,,,,,
