[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3949044084.4954,02/18/2025,12:44 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 L2,MOTOR_HW_VERSION
INFO,MMC884,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM641,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,VPA645,PREAMP_SERIAL_NUMBER
INFO,740,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NbTi,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,4.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 33.45 mm,3949046243.107,4.20092105865479,-0.342219620943069,7.22463422322878E-5,2.12310262662988E-7,1,0.999253354069792,40.0298881530762,1.99877846564872,17.8900007158518,0.000790608316680077,0.000137920988636407,0.25,-1.60815336392662E-7,7.17632262412039E-5,1.88150517949574E-7,4.20092105865479,4.20092105865479,-0.342219620943069,-0.342219620943069,55.7230787644867,20.6129546374545,3.56188726425171,0,0,0,40,4.20883655548096,1,4,1,2.2406005859375,30.3030319213867,,,,,,,,,,,,,,,,
,3949046251.394,4.19803071022034,-0.387248530983925,7.5872121319316E-5,2.59473321412203E-7,1,0.999253354069792,40.0298881530762,1.99919320517804,17.8999993950129,0.000829865067154025,0.000148177505451323,0.25,1.33302252848455E-7,7.53633044220394E-5,4.97757471222505E-7,4.19757986068726,4.19757986068726,-0.43227744102478,-0.342219620943069,55.2822402796405,20.6262296499672,3.56991767883301,0,0,0,40,4.20862674713135,1,6,1,2.25479125976562,31.7693061828613,,,,,,,,,,,,,,,,
,3949046252.383,4.19872999191284,33.7783223390579,-2.89790945556419E-5,1.92784104029855E-5,1,0.999253354069792,40.0298881530762,1.99891162023521,17.8900007158518,-0.000311942515852695,-8.47615401034435E-5,0.25,-2.6262247165646E-6,-2.87723701035235E-5,-2.74820284391255E-6,4.19848155975342,4.19848155975342,-0.43227744102478,67.9889221191406,55.1095003768904,20.6153175992819,3.570805311203,0,0,0,40,4.20914220809937,1,6,1,2.23648071289062,32.7468223571777,,,,,,,,,,,,,,,,
,3949046253.39,4.19956064224243,115.558837890625,-0.00167109987524026,0.000135709389430543,1,0.999253354069792,40.0298881530762,1.99886294212538,17.8900007158518,-0.0182268578626873,-0.00353635755374889,0.25,-2.7905791499536E-5,-0.00165977765251169,-3.57716151613371E-5,4.19897842407227,4.19897842407227,67.9889221191406,163.128753662109,55.9216124083713,20.6203714114198,3.57134079933167,0,0,0,40,4.21130609512329,1,6,1,2.24441528320313,32.2580642700195,,,,,,,,,,,,,,,,
,3949046254.383,4.20072197914124,206.84383392334,-0.00564101046694434,0.000220855474467207,1,0.999253354069792,40.0298881530762,1.99885090948597,17.8999993950129,-0.061576805537777,-0.0116551039251867,0.25,-6.83749066427368E-5,-0.00560293185988333,-9.51198193998702E-5,4.2001428604126,4.2001428604126,163.128753662109,250.55891418457,55.2587914240635,20.6242087907443,3.57248258590698,0,0,0,40,4.21313142776489,1,6,1,2.24411010742187,32.2580642700195,,,,,,,,,,,,,,,,
,3949046255.366,4.20257878303528,299.485939025879,-0.0109927596557453,0.000264645454571155,1,0.999253354069792,40.0298881530762,1.99894977814674,17.8999993950129,-0.120033718578333,-0.0225347222284483,0.25,-0.000116841212827236,-0.0109186701062467,-0.000169112477645277,4.20130109786987,4.20130109786987,250.55891418457,348.412963867188,55.2978728500251,20.6235803492856,3.5731053352356,0,0,0,40,4.21536588668823,1,6,1,2.24441528320313,33.2355842590332,,,,,,,,,,,,,,,,
,3949046256.3845,4.20458841323853,402.758544921875,-0.0170931646449145,0.000290190644500265,1,0.999253354069792,40.0298881530762,1.99898526522712,17.8999993950129,-0.186671052586296,-0.0349220207221482,0.25,-0.000170723646101335,-0.0169780788325341,-0.0002521557027195,4.20385646820068,4.20385646820068,348.412963867188,457.104125976562,55.0313375249674,20.6220147033816,3.57404065132141,0,0,0,40,4.2116436958313,1,6,1,2.24212646484375,32.7468223571777,,,,,,,,,,,,,,,,
,3949046258.2745,4.20442032814026,591.132751464844,-0.0303914480863022,0.000310560902400002,1,0.999253354069792,40.0298881530762,1.99869933712519,17.8900007158518,-0.331922919114263,-0.0617072910613231,2.5,-0.000268922627352212,-0.0301872263160534,-0.00041421556029788,4.20532035827637,4.20532035827637,457.104125976562,725.161376953125,54.945358387852,20.6144175696233,3.57564926147461,0,0,0,40,4.2116436958313,1,6,1,2.24349975585938,32.7468223571777,,,,,,,,,,,,,,,,
,3949046259.776,4.20352029800415,740.089569091797,-0.0371849074360333,0.000311327246057336,1,0.999253354069792,40.0298881530762,1.99869933712519,17.8900007158518,-0.406147506924506,-0.0753510019291259,2.5,-0.000315010908148317,-0.0369353421898895,-0.000493158034991844,4.20352029800415,4.20352029800415,725.161376953125,755.017761230469,55.7246420215251,20.6144175696233,3.57564926147461,0,0,0,40,4.20943546295166,1,6,1,2.24395751953125,32.7468223571777,,,,,,,,,,,,,,,,
,3949046260.404,4.20185685157776,804.854461669922,-0.0440402560831869,0.000313041531916792,1,0.999253354069792,40.0298881530762,1.99885399342605,17.8900007158518,-0.481076245983181,-0.0891625718303574,2.5,-0.000364999644386327,-0.0437448474130318,-0.000576193569163965,4.20352029800415,4.20352029800415,755.017761230469,854.691162109375,55.4018294430828,20.6213003508139,3.57568192481995,0,0,0,40,4.20781707763672,1,6,1,2.24411010742187,32.7468223571777,,,,,,,,,,,,,,,,
