[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3949066880.3983,02/18/2025,7:04 pm
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 L2,MOTOR_HW_VERSION
INFO,MMC884,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,VSM641,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,VPA645,PREAMP_SERIAL_NUMBER
INFO,740,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,NbTi,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,4.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
sample offset = 33.45 mm,3949069039.185,8.00202655792236,-0.090057797729969,6.78997424253688E-5,2.20216603118806E-7,1,0.999253354069792,40.0298881530762,1.99872705640298,17.8900007158518,0.000742824312397199,0.000130743778854678,0.25,-4.83835469079619E-8,6.74450725930464E-5,2.78898335396578E-7,8.00202655792236,8.00202655792236,-0.090057797729969,-0.090057797729969,55.0923045494674,20.6225655734457,6.49063587188721,0,0,0,40,8.02154636383057,1,4,1,2.24563598632813,29.8142719268799,,,,,,,,,,,,,,,,
,3949069046.936,8.00004386901855,6.8621080070734,6.54655863175591E-5,7.23471950266441E-7,1,0.999253354069792,40.0298881530762,1.99876808976956,17.8900007158518,0.000716326723113479,0.00012539096597758,0.25,-1.07742694630629E-7,6.50275168483156E-5,2.0822327711161E-7,8.00036144256592,8.00036144256592,-0.0540346801280975,13.7782506942749,55.5745693458328,20.6289598600455,6.49335622787476,0,0,0,40,8.01888561248779,1,6,1,2.2296142578125,33.2355842590332,,,,,,,,,,,,,,,,
,3949069047.945,7.99967217445374,59.918071269989,-0.000470254635508808,6.77387642717139E-5,1,0.999253354069792,40.0298881530762,1.99870789618383,17.8999993950129,-0.00512336883767652,-0.00102534907491426,0.25,-1.06218533423793E-5,-0.000467053571641233,-1.28158630197789E-5,7.99972629547119,7.99972629547119,13.7782506942749,106.057891845703,55.5878570306597,20.6250159983831,6.49316787719727,0,0,0,40,8.01914882659912,1,6,1,2.24334716796875,32.2580642700195,,,,,,,,,,,,,,,,
,3949069048.9625,7.99967288970947,154.158988952637,-0.0028936426588919,0.000146820662999341,1,0.999253354069792,40.0298881530762,1.99886185663953,17.8900007158518,-0.0315798157578522,-0.00601827339808562,0.25,-3.86999011950235E-5,-0.00287408183915941,-5.23887013478931E-5,7.99961805343628,7.99961805343628,106.057891845703,202.26008605957,55.5776958599097,20.6327822132299,6.4936580657959,0,0,0,40,8.01952362060547,1,6,1,2.24609375,31.7693061828613,,,,,,,,,,,,,,,,
,3949069049.951,8.00014472007751,250.971900939941,-0.00648127368884925,0.00017479806861111,1,0.999253354069792,40.0298881530762,1.99882315610271,17.8900007158518,-0.0707628717395681,-0.013307430051933,0.25,-7.09063789406354E-5,-0.00643755793645899,-0.000101698017231914,7.99972772598267,7.99972772598267,202.26008605957,299.683715820313,55.1900081143712,20.6259850806704,6.49356174468994,0,0,0,40,8.02033996582031,1,6,1,2.23876953125,32.2580642700195,,,,,,,,,,,,,,,,
,3949069050.937,8.00080823898315,348.900665283203,-0.0101719250342566,0.000157554133513133,1,0.999253354069792,40.0298881530762,1.99876096848358,17.8900007158518,-0.111079430756195,-0.0207447455804877,0.25,-9.84562914282398E-5,-0.0101034144070243,-0.000146911118043154,8.00056171417236,8.00056171417236,299.683715820313,398.117614746094,55.9169226372559,20.6314630363494,6.49419832229614,0,0,0,40,8.02124881744385,1,6,1,2.24594116210938,31.2805480957031,,,,,,,,,,,,,,,,
,3949069051.957,8.00143766403198,447.635299682617,-0.0131598717996937,0.000113651019705011,1,0.999253354069792,40.0298881530762,1.99870758180317,17.8999993950129,-0.143724413010783,-0.0267297878024895,0.25,-0.000117440952600538,-0.0130713349327654,-0.000180255655443577,8.00105476379395,8.00105476379395,398.117614746094,497.152984619141,55.3674377882366,20.6236629265094,6.49471282958984,0,0,0,40,8.02097511291504,1,6,1,2.25921630859375,32.2580642700195,,,,,,,,,,,,,,,,
,3949069053.739,8.00186967849731,626.303207397461,-0.0159406932909308,1.94487745764177E-5,1,0.999253354069792,40.0298881530762,1.99876419475336,17.8999993950129,-0.174141296404505,-0.0321506150914065,2.5,-0.000121223392509378,-0.0158336668450748,-0.000197591519919481,8.00182056427002,8.00182056427002,497.152984619141,755.453430175781,55.4846820661213,20.6265098837256,6.49572324752808,0,0,0,40,8.02097511291504,1,6,1,2.24029541015625,31.7693061828613,,,,,,,,,,,,,,,,
,3949069055.2255,8.00191879272461,775.331329345703,-0.0160439413025064,7.16759926723431E-6,1,0.999253354069792,40.0298881530762,1.99881687309207,17.8900007158518,-0.175283108905772,-0.0323125639549989,2.5,-0.000117560786443222,-0.0159363474715731,-0.000194576488937777,8.00191879272461,8.00191879272461,755.453430175781,795.209228515625,56.0583973992367,20.6245559025491,6.49499750137329,0,0,0,40,8.02081966400146,1,6,1,2.24746704101562,32.7468223571777,,,,,,,,,,,,,,,,
,3949069055.944,8.00166416168213,845.048400878906,-0.0157808220311187,1.61640431004447E-5,1,0.999253354069792,40.0298881530762,1.99875396722441,17.8900007158518,-0.172403238864477,-0.0317854321854108,2.5,-0.00011590738471894,-0.0156750408551038,-0.000191716525138038,8.00191879272461,8.00191879272461,795.209228515625,894.887573242188,55.7035380515059,20.623509373996,6.49566793441772,0,0,0,40,8.02021312713623,1,6,1,2.22885131835938,32.2580642700195,,,,,,,,,,,,,,,,
